,NWS
2016-01-11,11.31270980834961
2016-01-12,11.464617729187012
2016-01-13,11.196542739868164
2016-01-14,11.696948051452637
2016-01-15,11.446745872497559
2016-01-19,11.375262260437012
2016-01-20,11.151865005493164
2016-01-21,11.366323471069336
2016-01-22,11.652270317077637
2016-01-25,11.464617729187012
2016-01-26,11.759501457214355
2016-01-27,11.670141220092773
2016-01-28,11.777372360229492
2016-01-29,11.929278373718262
2016-02-01,11.723755836486816
2016-02-02,11.23228645324707
2016-02-03,11.339515686035156
2016-02-04,11.419939994812012
2016-02-05,10.651460647583008
2016-02-08,10.061697959899902
2016-02-09,9.909790992736816
2016-02-10,9.94553279876709
2016-02-11,9.731075286865234
2016-02-12,10.070633888244629
2016-02-16,10.311899185180664
2016-02-17,10.365516662597656
2016-02-18,10.231477737426758
2016-02-19,10.356578826904297
2016-02-22,10.499553680419922
2016-02-23,10.38338565826416
2016-02-24,10.320837020874023
2016-02-25,10.26722240447998
2016-02-26,10.34764289855957
2016-02-29,10.195735931396484
2016-03-01,10.186800956726074
2016-03-02,10.338706970214844
2016-03-03,10.34764289855957
2016-03-04,10.481681823730469
2016-03-07,10.770084381103516
2016-03-08,10.445629119873047
2016-03-09,10.67094612121582
2016-03-10,10.571807861328125
2016-03-11,11.175653457641602
2016-03-14,10.950336456298828
2016-03-15,11.076512336730957
2016-03-16,11.518133163452148
2016-03-17,11.806535720825195
2016-03-18,11.635297775268555
2016-03-21,11.725421905517578
2016-03-22,11.896660804748535
2016-03-23,11.73443603515625
2016-03-24,11.761472702026367
2016-03-28,12.040863990783691
2016-03-29,12.07691478729248
2016-03-30,11.94172477722168
2016-03-31,11.94172477722168
2016-04-01,12.194079399108887
2016-04-04,11.905675888061523
2016-04-05,11.761472702026367
2016-04-06,11.94172477722168
2016-04-07,11.707396507263184
2016-04-08,11.50912094116211
2016-04-11,11.464056015014648
2016-04-12,11.635297775268555
2016-04-13,11.797523498535156
2016-04-14,11.878639221191406
2016-04-15,11.806535720825195
2016-04-18,11.644307136535645
2016-04-19,11.698384284973145
2016-04-20,11.689373970031738
2016-04-21,11.905675888061523
2016-04-22,11.986788749694824
2016-04-25,11.788512229919434
2016-04-26,11.959749221801758
2016-04-27,11.887649536132812
2016-04-28,11.779500007629395
2016-04-29,11.68035888671875
2016-05-02,11.878639221191406
2016-05-03,11.563196182250977
2016-05-04,11.437017440795898
2016-05-05,11.473071098327637
2016-05-06,11.860614776611328
2016-05-09,11.464056015014648
2016-05-10,11.50912094116211
2016-05-11,11.382942199707031
2016-05-12,11.130589485168457
2016-05-13,10.860212326049805
2016-05-16,10.977374076843262
2016-05-17,10.896262168884277
2016-05-18,10.815149307250977
2016-05-19,10.761073112487793
