,EMN
2016-06-09,54.650936126708984
2016-06-10,55.503665924072266
2016-06-13,55.59561538696289
2016-06-14,54.72980499267578
2016-06-15,54.91368103027344
2016-06-16,54.93667984008789
2016-06-17,54.69916534423828
2016-06-20,55.14353942871094
2016-06-21,55.22018051147461
2016-06-22,54.8447380065918
2016-06-23,55.94040298461914
2016-06-24,52.415897369384766
2016-06-27,50.42373275756836
2016-06-28,50.960086822509766
2016-06-29,51.57305145263672
2016-06-30,52.02511978149414
2016-07-01,52.22433090209961
2016-07-05,50.285823822021484
2016-07-06,50.63063049316406
2016-07-07,51.32786178588867
2016-07-08,52.50015640258789
2016-07-11,52.944549560546875
2016-07-12,53.90996170043945
2016-07-13,54.20111083984375
2016-07-14,54.93667984008789
2016-07-15,54.66849899291992
2016-07-18,55.166542053222656
2016-07-19,54.706809997558594
2016-07-20,55.08991241455078
2016-07-21,55.181854248046875
2016-07-22,55.11289978027344
2016-07-25,55.25082778930664
2016-07-26,53.626468658447266
2016-07-27,53.87932205200195
2016-07-28,53.917640686035156
2016-07-29,49.979347229003906
2016-08-01,49.941043853759766
2016-08-02,49.128868103027344
2016-08-03,49.7418212890625
2016-08-04,49.634559631347656
2016-08-05,50.08661651611328
2016-08-08,50.23221206665039
2016-08-09,50.17856216430664
2016-08-10,49.68052291870117
2016-08-11,50.048301696777344
2016-08-12,49.6422119140625
2016-08-15,50.57699966430664
2016-08-16,50.15556716918945
2016-08-17,49.611576080322266
2016-08-18,49.711185455322266
2016-08-19,50.83749008178711
2016-08-22,51.0596923828125
2016-08-23,51.38149642944336
2016-08-24,51.61137390136719
2016-08-25,51.902503967285156
2016-08-26,51.527076721191406
2016-08-29,52.147701263427734
2016-08-30,52.30094909667969
2016-08-31,52.0174446105957
2016-09-01,51.925498962402344
2016-09-02,52.54612350463867
2016-09-06,52.339256286621094
2016-09-07,51.174617767333984
2016-09-08,50.462059020996094
2016-09-09,49.56559371948242
2016-09-12,49.933372497558594
2016-09-13,49.56298828125
2016-09-14,49.346923828125
2016-09-15,49.956520080566406
2016-09-16,49.18487548828125
2016-09-19,50.002830505371094
2016-09-20,49.617000579833984
2016-09-21,50.4349479675293
2016-09-22,50.7513313293457
2016-09-23,50.41951370239258
2016-09-26,50.218902587890625
2016-09-27,50.5429801940918
2016-09-28,51.52297592163086
2016-09-29,51.22203063964844
2016-09-30,52.22517395019531
2016-10-03,51.847068786621094
2016-10-04,51.2991828918457
2016-10-05,51.82391357421875
2016-10-06,52.23289108276367
2016-10-07,51.291473388671875
2016-10-10,51.067691802978516
2016-10-11,50.3963623046875
2016-10-12,49.67101287841797
2016-10-13,48.74503707885742
2016-10-14,49.17716598510742
2016-10-17,48.991966247558594
2016-10-18,50.42723083496094
2016-10-19,51.005958557128906
2016-10-20,51.615570068359375
2016-10-21,51.60014343261719
2016-10-24,51.65414047241211
2016-10-25,51.23745346069336
2016-10-26,51.75447082519531
2016-10-27,51.90878677368164
2016-10-28,55.55097198486328
2016-10-31,55.4892578125
2016-11-01,55.61272430419922
2016-11-02,54.53239440917969
2016-11-03,55.08799362182617
2016-11-04,54.987667083740234
2016-11-07,55.836490631103516
2016-11-08,56.05254364013672
2016-11-09,56.993980407714844
2016-11-10,58.44466018676758
2016-11-11,58.035682678222656
2016-11-14,57.294891357421875
2016-11-15,57.75788497924805
2016-11-16,57.23317337036133
2016-11-17,57.46467590332031
2016-11-18,57.24089431762695
2016-11-21,58.40608596801758
2016-11-22,58.65300369262695
2016-11-23,59.08511734008789
2016-11-25,57.981666564941406
2016-11-28,57.18687057495117
2016-11-29,56.86277389526367
2016-11-30,57.96623992919922
2016-12-01,57.418373107910156
2016-12-02,57.588130950927734
2016-12-05,57.97395706176758
2016-12-06,58.19001388549805
2016-12-07,59.33977508544922
2016-12-08,60.01112747192383
2016-12-09,59.57126998901367
2016-12-12,59.34748077392578
2016-12-13,59.86793518066406
2016-12-14,58.75712585449219
2016-12-15,59.712581634521484
2016-12-16,59.06007385253906
2016-12-19,59.19989776611328
2016-12-20,59.24651336669922
2016-12-21,59.33974075317383
2016-12-22,58.982391357421875
2016-12-23,59.47175979614258
2016-12-27,59.409610748291016
2016-12-28,58.71052551269531
2016-12-29,58.66389846801758
2016-12-30,58.423091888427734
2017-01-03,58.974632263183594
2017-01-04,59.95337677001953
2017-01-05,60.186439514160156
2017-01-06,60.20197296142578
2017-01-09,59.5106201171875
2017-01-10,60.06991958618164
2017-01-11,61.421539306640625
2017-01-12,60.83893966674805
2017-01-13,60.50494384765625
2017-01-17,59.766971588134766
2017-01-18,59.96116256713867
2017-01-19,59.05230712890625
2017-01-20,59.611595153808594
2017-01-23,59.634918212890625
2017-01-24,60.76128387451172
2017-01-25,61.670127868652344
2017-01-26,62.369239807128906
2017-01-27,60.35732650756836
2017-01-30,60.29520797729492
2017-01-31,60.20197296142578
2017-02-01,60.82340621948242
2017-02-02,60.29520797729492
2017-02-03,60.5126838684082
2017-02-06,60.93992233276367
2017-02-07,60.34956359863281
2017-02-08,60.473854064941406
2017-02-09,60.96324157714844
2017-02-10,61.64680480957031
2017-02-13,62.19057083129883
2017-02-14,62.59453201293945
2017-02-15,62.82756042480469
2017-02-16,62.61005401611328
2017-02-17,62.338172912597656
2017-02-21,62.86639404296875
2017-02-22,62.50129318237305
2017-02-23,62.25271224975586
2017-02-24,62.26824951171875
2017-02-27,62.120662689208984
2017-02-28,62.338172912597656
2017-03-01,63.28587341308594
2017-03-02,61.91868591308594
2017-03-03,62.41585922241211
2017-03-06,61.77886962890625
2017-03-07,61.30503463745117
2017-03-08,60.83893966674805
2017-03-09,60.2330436706543
2017-03-10,60.302955627441406
2017-03-13,60.701744079589844
2017-03-14,60.44369888305664
2017-03-15,61.49149703979492
2017-03-16,61.68697738647461
2017-03-17,61.90593338012695
2017-03-20,61.64004898071289
2017-03-21,60.60009002685547
2017-03-22,60.85032272338867
2017-03-23,61.0145263671875
2017-03-24,60.34987258911133
2017-03-27,60.93632507324219
2017-03-28,62.42198944091797
2017-03-29,62.91462326049805
2017-03-30,63.399417877197266
2017-03-31,63.18049621582031
2017-04-03,62.52364730834961
2017-04-04,62.75042724609375
2017-04-05,62.33596420288086
2017-04-06,62.71913146972656
2017-04-07,62.8208122253418
2017-04-10,62.812992095947266
2017-04-11,62.68787384033203
2017-04-12,61.53059768676758
2017-04-13,60.93632507324219
2017-04-17,61.21782684326172
2017-04-18,61.569679260253906
2017-04-19,61.444576263427734
2017-04-20,62.2734375
2017-04-21,62.0153923034668
2017-04-24,63.516700744628906
2017-04-25,63.829490661621094
2017-04-26,63.6809196472168
2017-04-27,63.85292434692383
2017-04-28,62.35944366455078
2017-05-01,62.84425735473633
2017-05-02,62.500186920166016
2017-05-03,61.444576263427734
2017-05-04,61.077064514160156
2017-05-05,62.24998092651367
2017-05-08,61.99191665649414
2017-05-09,61.296016693115234
2017-05-10,61.58531951904297
2017-05-11,60.87376403808594
2017-05-12,60.60790252685547
2017-05-15,61.475860595703125
2017-05-16,62.210880279541016
2017-05-17,60.41242218017578
2017-05-18,60.40458679199219
2017-05-19,61.43675994873047
2017-05-22,61.77299499511719
2017-05-23,62.234317779541016
2017-05-24,62.17178726196289
2017-05-25,62.296905517578125
2017-05-26,62.48455810546875
2017-05-30,62.52364730834961
2017-05-31,62.64093017578125
2017-06-01,63.45417022705078
2017-06-02,63.42289352416992
2017-06-05,62.97718048095703
2017-06-06,62.773860931396484
2017-06-07,63.14919662475586
2017-06-08,63.61054229736328
2017-06-09,64.55667877197266
2017-06-12,64.96329498291016
2017-06-13,65.9625015258789
2017-06-14,65.20718383789062
2017-06-15,64.75873565673828
2017-06-16,65.3409423828125
2017-06-19,67.66191101074219
2017-06-20,66.9774169921875
2017-06-21,65.48257446289062
2017-06-22,65.18359375
2017-06-23,65.27800750732422
2017-06-26,65.87593841552734
2017-06-27,65.71070861816406
2017-06-28,66.2929458618164
2017-06-29,65.6163330078125
2017-06-30,66.08050537109375
2017-07-03,66.48177337646484
2017-07-05,65.74217987060547
2017-07-06,65.77366638183594
2017-07-07,66.00969696044922
2017-07-10,66.59188842773438
2017-07-11,66.87515258789062
2017-07-12,67.50457000732422
2017-07-13,66.99315643310547
2017-07-14,67.18986511230469
2017-07-17,67.06396484375
2017-07-18,66.93807220458984
2017-07-19,67.7799072265625
2017-07-20,67.41014099121094
2017-07-21,67.38652038574219
2017-07-24,67.50457000732422
2017-07-25,67.75631713867188
2017-07-26,66.91448974609375
2017-07-27,66.89088439941406
2017-07-28,65.32521057128906
2017-07-31,65.42749786376953
2017-08-01,65.82086944580078
2017-08-02,65.99398040771484
2017-08-03,66.02542877197266
2017-08-04,66.14344787597656
2017-08-07,66.44241333007812
2017-08-08,66.18279266357422
2017-08-09,66.2929458618164
2017-08-10,65.4983139038086
2017-08-11,65.4668197631836
2017-08-14,66.2929458618164
2017-08-15,66.749267578125
2017-08-16,67.08755493164062
2017-08-17,65.12064361572266
2017-08-18,65.22293090820312
2017-08-21,65.40386962890625
2017-08-22,66.19852447509766
2017-08-23,66.38734436035156
2017-08-24,66.73352813720703
2017-08-25,66.77285766601562
2017-08-28,67.21345520019531
2017-08-29,66.53683471679688
