,DE
2016-06-29,71.28499603271484
2016-06-30,70.87394714355469
2016-07-01,70.75150299072266
2016-07-05,69.23851776123047
2016-07-06,69.50091552734375
2016-07-07,69.41346740722656
2016-07-08,70.81273651123047
2016-07-11,70.83021545410156
2016-07-12,72.08084106445312
2016-07-13,72.5531005859375
2016-07-14,73.14778900146484
2016-07-15,72.9466323852539
2016-07-18,73.30520629882812
2016-07-19,72.8154525756836
2016-07-20,72.4218978881836
2016-07-21,71.90591430664062
2016-07-22,70.0693588256836
2016-07-25,68.14535522460938
2016-07-26,69.08112335205078
2016-07-27,68.60882568359375
2016-07-28,68.36396026611328
2016-07-29,67.96167755126953
2016-08-01,67.94418334960938
2016-08-02,67.95293426513672
2016-08-03,68.4864273071289
2016-08-04,67.9879150390625
2016-08-05,68.51264190673828
2016-08-08,69.0198974609375
2016-08-09,68.99366760253906
2016-08-10,68.34650421142578
2016-08-11,68.20655059814453
2016-08-12,67.34075164794922
2016-08-15,68.46016693115234
2016-08-16,68.34650421142578
2016-08-17,67.716796875
2016-08-18,67.28826141357422
2016-08-19,76.36614990234375
2016-08-22,76.92586517333984
2016-08-23,77.0395736694336
2016-08-24,76.4536361694336
2016-08-25,76.33992767333984
2016-08-26,75.85891723632812
2016-08-29,76.02507019042969
2016-08-30,74.96687316894531
2016-08-31,73.94364929199219
2016-09-01,73.069091796875
2016-09-02,73.50636291503906
2016-09-06,73.87366485595703
2016-09-07,73.48013305664062
2016-09-08,73.09532928466797
2016-09-09,71.91468048095703
2016-09-12,72.66675567626953
2016-09-13,70.91769409179688
2016-09-14,70.4629135131836
2016-09-15,71.37242889404297
2016-09-16,71.6697769165039
2016-09-19,71.80972290039062
2016-09-20,72.12455749511719
2016-09-21,72.63180541992188
2016-09-22,73.6025619506836
2016-09-23,72.88541412353516
2016-09-26,73.09532928466797
2016-09-27,72.63180541992188
2016-09-28,74.07649230957031
2016-09-29,73.87390899658203
2016-09-30,75.18647766113281
2016-10-03,75.18647766113281
2016-10-04,74.61387634277344
2016-10-05,74.9838638305664
2016-10-06,75.13362121582031
2016-10-07,76.02334594726562
2016-10-10,77.07164001464844
2016-10-11,76.68404388427734
2016-10-12,76.587158203125
2016-10-13,76.0585708618164
2016-10-14,76.11143493652344
2016-10-17,76.17310333251953
2016-10-18,76.29644775390625
2016-10-19,76.25238037109375
2016-10-20,75.8559799194336
2016-10-21,76.13784790039062
2016-10-24,76.37572479248047
2016-10-25,76.21715545654297
2016-10-26,76.67523193359375
2016-10-27,76.63998413085938
2016-10-28,76.78976440429688
2016-10-31,77.78519439697266
2016-11-01,77.6001968383789
2016-11-02,77.66185760498047
2016-11-03,77.78519439697266
2016-11-04,77.5737533569336
2016-11-07,78.40182495117188
2016-11-08,78.39302062988281
2016-11-09,79.379638671875
2016-11-10,79.89937591552734
2016-11-11,80.25177001953125
2016-11-14,80.70985412597656
2016-11-15,80.38390350341797
2016-11-16,80.38390350341797
2016-11-17,80.84197998046875
2016-11-18,81.00934600830078
2016-11-21,81.30885314941406
2016-11-22,81.05339813232422
2016-11-23,90.00350952148438
2016-11-25,91.54513549804688
2016-11-28,89.58951568603516
2016-11-29,88.40025329589844
2016-11-30,88.26814270019531
2016-12-01,90.47042846679688
2016-12-02,89.41332244873047
2016-12-05,89.22831726074219
2016-12-06,90.31184387207031
2016-12-07,90.61137390136719
2016-12-08,91.54513549804688
2016-12-09,91.2808837890625
2016-12-12,90.22377014160156
2016-12-13,89.26355743408203
2016-12-14,88.5764389038086
2016-12-15,89.32522583007812
2016-12-16,89.64236450195312
2016-12-19,90.07403564453125
2016-12-20,91.2984848022461
2016-12-21,90.81397247314453
2016-12-22,90.81397247314453
2016-12-23,90.84041595458984
2016-12-27,91.52751922607422
2016-12-28,91.62499237060547
2016-12-29,91.44779968261719
2016-12-30,91.29716491699219
2017-01-03,92.19205474853516
2017-01-04,93.7603530883789
2017-01-05,93.34391021728516
2017-01-06,94.3539810180664
2017-01-09,93.20214080810547
2017-01-10,92.93630981445312
2017-01-11,93.662841796875
2017-01-12,93.18441009521484
2017-01-13,93.7337646484375
2017-01-17,92.44898986816406
2017-01-18,93.24645233154297
2017-01-19,93.051513671875
2017-01-20,94.57549285888672
2017-01-23,94.91219329833984
2017-01-24,95.3995132446289
2017-01-25,95.74506378173828
2017-01-26,95.36408233642578
2017-01-27,95.68302917480469
2017-01-30,94.85904693603516
2017-01-31,94.85016632080078
2017-02-01,94.93876647949219
2017-02-02,95.1868667602539
2017-02-03,95.68302917480469
2017-02-06,95.74506378173828
2017-02-07,96.36530303955078
2017-02-08,96.05519104003906
2017-02-09,96.6842269897461
2017-02-10,97.6766128540039
2017-02-13,98.12850952148438
2017-02-14,97.50827026367188
2017-02-15,96.6842269897461
2017-02-16,96.72855377197266
2017-02-17,97.70320892333984
2017-02-21,97.11842346191406
2017-02-22,97.15383911132812
2017-02-23,95.4526596069336
2017-02-24,96.24122619628906
2017-02-27,97.0298080444336
2017-02-28,97.0120849609375
2017-03-01,98.54491424560547
2017-03-02,97.05641174316406
2017-03-03,98.19937133789062
2017-03-06,98.20823669433594
2017-03-07,97.6766128540039
2017-03-08,97.88040161132812
2017-03-09,97.09185791015625
2017-03-10,97.3930892944336
2017-03-13,97.35765838623047
2017-03-14,96.7640151977539
2017-03-15,98.1639175415039
2017-03-16,98.11077117919922
2017-03-17,97.86267852783203
2017-03-20,98.24369812011719
2017-03-21,97.11842346191406
2017-03-22,97.26020050048828
2017-03-23,97.04754638671875
2017-03-24,96.56021881103516
2017-03-27,94.94762420654297
2017-03-28,95.98429870605469
2017-03-29,96.38524627685547
2017-03-30,97.26728057861328
2017-03-31,96.9910888671875
2017-04-03,96.9197998046875
2017-04-04,97.56132507324219
2017-04-05,97.33856201171875
2017-04-06,98.39883422851562
2017-04-07,97.40093231201172
2017-04-10,97.6771469116211
2017-04-11,99.04033660888672
2017-04-12,97.42765808105469
2017-04-13,96.224853515625
2017-04-17,96.93762969970703
2017-04-18,96.64361572265625
2017-04-19,96.42086029052734
2017-04-20,96.93762969970703
2017-04-21,95.81500244140625
2017-04-24,98.22954559326172
2017-04-25,100.81333923339844
2017-04-26,100.27877807617188
2017-04-27,99.05814361572266
2017-04-28,99.4412612915039
2017-05-01,99.76201629638672
2017-05-02,98.83540344238281
2017-05-03,98.71066284179688
2017-05-04,99.81547546386719
2017-05-05,100.77769470214844
2017-05-08,100.35897827148438
2017-05-09,101.19647216796875
2017-05-10,101.16976928710938
2017-05-11,101.09846496582031
2017-05-12,100.77769470214844
2017-05-15,101.39250946044922
2017-05-16,102.28346252441406
2017-05-17,100.88463592529297
2017-05-18,100.38569641113281
2017-05-19,107.7183609008789
2017-05-22,108.4400863647461
2017-05-23,108.81427764892578
2017-05-24,109.39342498779297
2017-05-25,109.0815658569336
2017-05-26,109.40229797363281
2017-05-30,108.93009948730469
2017-05-31,109.1082763671875
2017-06-01,111.10409545898438
2017-06-02,111.29117584228516
