,HPQ
2019-11-13,16.4482479095459
2019-11-14,16.953575134277344
2019-11-15,16.99567985534668
2019-11-18,16.852502822875977
2019-11-19,16.936723709106445
2019-11-20,16.591421127319336
2019-11-21,16.54930877685547
2019-11-22,16.79355239868164
2019-11-25,16.970413208007812
2019-11-26,16.894615173339844
2019-11-27,16.66722297668457
2019-11-29,16.91145896911621
2019-12-02,16.70090675354004
2019-12-03,16.532466888427734
2019-12-04,16.877775192260742
2019-12-05,17.113584518432617
2019-12-06,17.265186309814453
2019-12-09,17.23992156982422
2019-12-10,17.160066604614258
2019-12-11,17.04962730407715
2019-12-12,17.355451583862305
2019-12-13,17.28749656677246
2019-12-16,17.431907653808594
2019-12-17,17.304481506347656
2019-12-18,17.2705020904541
2019-12-19,17.24501609802246
2019-12-20,17.465892791748047
2019-12-23,17.465892791748047
2019-12-24,17.491374969482422
2019-12-26,17.57632064819336
2019-12-27,17.440399169921875
2019-12-30,17.40641975402832
2019-12-31,17.457395553588867
2020-01-02,17.66127586364746
2020-01-03,17.440399169921875
2020-01-06,17.508365631103516
2020-01-07,17.55083656311035
2020-01-08,17.78020668029785
2020-01-09,18.043556213378906
2020-01-10,18.162487030029297
2020-01-13,18.230445861816406
2020-01-14,18.179473876953125
2020-01-15,18.19646644592285
2020-01-16,18.408843994140625
2020-01-17,18.6636962890625
2020-01-21,18.655200958251953
2020-01-22,18.629711151123047
2020-01-23,18.774133682250977
2020-01-24,18.67218780517578
2020-01-27,18.332386016845703
2020-01-28,18.38335418701172
2020-01-29,18.2049617767334
2020-01-30,18.289907455444336
2020-01-31,18.111515045166016
2020-02-03,18.094528198242188
2020-02-04,18.306900024414062
2020-02-05,18.50229263305664
2020-02-06,18.553258895874023
2020-02-07,18.45981788635254
2020-02-10,18.604225158691406
2020-02-11,18.884567260742188
2020-02-12,19.09694480895996
2020-02-13,18.87607192993164
2020-02-14,19.003501892089844
2020-02-18,18.893064498901367
2020-02-19,19.054466247558594
2020-02-20,19.232866287231445
2020-02-21,19.283836364746094
2020-02-24,18.774133682250977
2020-02-25,19.836015701293945
2020-02-26,19.292327880859375
2020-02-27,18.587242126464844
2020-02-28,17.66127586364746
2020-03-02,18.570255279541016
2020-03-03,17.627294540405273
2020-03-04,18.349380493164062
2020-03-05,18.29840850830078
2020-03-06,18.187965393066406
2020-03-09,16.106672286987305
2020-03-10,16.96928596496582
2020-03-11,16.6005802154541
2020-03-12,15.014261245727539
2020-03-13,14.73129653930664
2020-03-16,12.398985862731934
2020-03-17,12.34753704071045
2020-03-18,11.241402626037598
2020-03-19,12.34753704071045
2020-03-20,11.961674690246582
2020-03-23,11.747310638427734
2020-03-24,13.265027046203613
2020-03-25,13.18785572052002
2020-03-26,15.382974624633789
2020-03-27,14.4569091796875
2020-03-30,15.297226905822754
2020-03-31,14.88564395904541
2020-04-01,12.724822998046875
2020-04-02,13.282176971435547
2020-04-03,12.416133880615234
2020-04-06,12.862018585205078
2020-04-07,12.964913368225098
2020-04-08,13.479393005371094
2020-04-09,13.693760871887207
2020-04-13,13.325052261352539
2020-04-14,13.650887489318848
2020-04-15,12.862018585205078
2020-04-16,13.067808151245117
2020-04-17,13.307899475097656
2020-04-20,13.170703887939453
2020-04-21,12.364686012268066
2020-04-22,12.681950569152832
2020-04-23,12.536178588867188
2020-04-24,12.862018585205078
2020-04-27,12.887742042541504
2020-04-28,13.307899475097656
2020-04-29,13.959577560424805
2020-04-30,13.299325942993164
2020-05-01,12.61335277557373
2020-05-04,12.776269912719727
2020-05-05,12.69909954071045
2020-05-06,12.570477485656738
2020-05-07,12.819143295288086
2020-05-08,13.427946090698242
2020-05-11,13.222153663635254
2020-05-12,12.750547409057617
