,MTCH
2019-12-24,80.94000244140625
2019-12-26,82.51000213623047
2019-12-27,84.02999877929688
2019-12-30,82.9800033569336
2019-12-31,82.11000061035156
2020-01-02,84.19000244140625
2020-01-03,84.0999984741211
2020-01-06,84.31999969482422
2020-01-07,83.81999969482422
2020-01-08,85.05000305175781
2020-01-09,85.75
2020-01-10,87.12999725341797
2020-01-13,89.58000183105469
2020-01-14,89.72000122070312
2020-01-15,91.0999984741211
2020-01-16,92.44999694824219
2020-01-17,91.11000061035156
2020-01-21,89.75
2020-01-22,89.55999755859375
2020-01-23,88.47000122070312
2020-01-24,85.56999969482422
2020-01-27,84.3499984741211
2020-01-28,83.95999908447266
2020-01-29,81.02999877929688
2020-01-30,81.05000305175781
2020-01-31,78.22000122070312
2020-02-03,80.72000122070312
2020-02-04,82.93000030517578
2020-02-05,76.0
2020-02-06,79.51000213623047
2020-02-07,77.75
2020-02-10,75.80999755859375
2020-02-11,74.58000183105469
2020-02-12,75.5
2020-02-13,75.20999908447266
2020-02-14,76.5
2020-02-18,76.69999694824219
2020-02-19,75.91999816894531
2020-02-20,75.1500015258789
2020-02-21,73.5
2020-02-24,70.1500015258789
2020-02-25,67.75
2020-02-26,66.04000091552734
2020-02-27,64.80000305175781
2020-02-28,65.0
2020-03-02,68.13999938964844
2020-03-03,65.80000305175781
2020-03-04,68.05999755859375
2020-03-05,66.61000061035156
2020-03-06,65.55999755859375
2020-03-09,64.04000091552734
2020-03-10,65.81999969482422
2020-03-11,63.02000045776367
2020-03-12,57.56999969482422
2020-03-13,60.470001220703125
2020-03-16,54.38999938964844
2020-03-17,57.02000045776367
2020-03-18,52.0
2020-03-19,50.7599983215332
2020-03-20,47.349998474121094
2020-03-23,48.709999084472656
2020-03-24,57.86000061035156
2020-03-25,65.5999984741211
2020-03-26,63.58000183105469
2020-03-27,62.47999954223633
2020-03-30,66.66999816894531
2020-03-31,66.04000091552734
2020-04-01,61.61000061035156
2020-04-02,62.189998626708984
2020-04-03,63.70000076293945
2020-04-06,68.41000366210938
2020-04-07,70.18000030517578
2020-04-08,69.20999908447266
2020-04-09,68.11000061035156
2020-04-13,68.4800033569336
2020-04-14,73.26000213623047
2020-04-15,74.48999786376953
2020-04-16,78.87000274658203
2020-04-17,80.0
2020-04-20,80.02999877929688
2020-04-21,76.9000015258789
2020-04-22,80.02999877929688
2020-04-23,80.37999725341797
2020-04-24,81.2300033569336
2020-04-27,78.37999725341797
2020-04-28,75.23999786376953
2020-04-29,79.58999633789062
2020-04-30,76.95999908447266
2020-05-01,74.63999938964844
2020-05-04,77.18000030517578
2020-05-05,80.0999984741211
2020-05-06,87.3499984741211
2020-05-07,82.62999725341797
2020-05-08,79.98999786376953
2020-05-11,79.94000244140625
2020-05-12,77.81999969482422
2020-05-13,74.75
2020-05-14,77.37000274658203
2020-05-15,78.16999816894531
2020-05-18,83.5999984741211
2020-05-19,85.72000122070312
2020-05-20,84.63999938964844
2020-05-21,84.0
2020-05-22,84.93000030517578
2020-05-26,85.48999786376953
2020-05-27,85.97000122070312
2020-05-28,88.93000030517578
