,CMCSA
2018-01-17,35.448360443115234
2018-01-18,35.59294128417969
2018-01-19,36.145748138427734
2018-01-22,36.47745132446289
2018-01-23,36.09471893310547
2018-01-24,36.5625
2018-01-25,35.83958053588867
2018-01-26,36.40090560913086
2018-01-29,35.7035026550293
2018-01-30,36.00967788696289
2018-01-31,36.17127227783203
2018-02-01,35.626949310302734
2018-02-02,34.96357727050781
2018-02-05,33.339149475097656
2018-02-06,33.738868713378906
2018-02-07,34.14710998535156
2018-02-08,32.48014450073242
2018-02-09,32.80333709716797
2018-02-12,32.77781295776367
2018-02-13,33.13502883911133
2018-02-14,33.53475570678711
2018-02-15,34.08757400512695
2018-02-16,33.8409423828125
2018-02-20,33.568782806396484
2018-02-21,33.177547454833984
2018-02-22,32.99895095825195
2018-02-23,33.59429168701172
2018-02-26,33.66232681274414
2018-02-27,31.178909301757812
2018-02-28,30.79619026184082
2018-03-01,31.076841354370117
2018-03-02,31.034324645996094
2018-03-05,31.280961990356445
2018-03-06,31.357500076293945
2018-03-07,30.719642639160156
2018-03-08,31.36601448059082
2018-03-09,31.578628540039062
2018-03-12,31.43404197692871
2018-03-13,30.983287811279297
2018-03-14,30.634593963623047
2018-03-15,30.745149612426758
2018-03-16,30.47299575805664
2018-03-19,30.02223777770996
2018-03-20,29.401384353637695
2018-03-21,29.33333969116211
2018-03-22,28.261730194091797
2018-03-23,28.210697174072266
2018-03-26,28.52537727355957
2018-03-27,28.05760955810547
2018-03-28,28.30425262451172
2018-03-29,29.06118392944336
2018-04-02,28.508373260498047
2018-04-03,28.62811851501465
2018-04-04,29.346593856811523
2018-04-05,29.594648361206055
2018-04-06,29.18408966064453
2018-04-09,29.03868293762207
2018-04-10,28.961700439453125
2018-04-11,28.705102920532227
2018-04-12,28.337303161621094
2018-04-13,28.243223190307617
2018-04-16,28.679447174072266
2018-04-17,28.457050323486328
2018-04-18,28.457050323486328
2018-04-19,28.636676788330078
2018-04-20,28.405725479125977
2018-04-23,28.97024917602539
2018-04-24,28.525476455688477
2018-04-25,29.303831100463867
2018-04-26,28.508373260498047
2018-04-27,27.208261489868164
2018-04-30,26.84902000427246
2018-05-01,27.422094345092773
2018-05-02,26.77203369140625
2018-05-03,26.523988723754883
2018-05-04,27.33655548095703
2018-05-07,27.7043514251709
2018-05-08,26.164749145507812
2018-05-09,26.28449821472168
2018-05-10,26.994426727294922
2018-05-11,27.285236358642578
2018-05-14,27.490516662597656
2018-05-15,27.379322052001953
2018-05-16,27.841203689575195
2018-05-17,27.721458435058594
2018-05-18,27.986618041992188
2018-05-21,27.661588668823242
2018-05-22,27.806997299194336
2018-05-23,27.268129348754883
2018-05-24,27.05430030822754
2018-05-25,27.15693473815918
2018-05-29,26.95166015625
2018-05-30,26.92599868774414
2018-05-31,26.669397354125977
2018-06-01,26.737823486328125
2018-06-04,26.763484954833984
2018-06-05,26.583860397338867
2018-06-06,27.601715087890625
2018-06-07,27.37077522277832
2018-06-08,27.43920135498047
2018-06-11,27.37077522277832
2018-06-12,27.6958065032959
2018-06-13,27.644479751586914
2018-06-14,28.9274845123291
2018-06-15,28.97881317138672
2018-06-18,27.86687469482422
2018-06-19,28.063600540161133
2018-06-20,28.559690475463867
2018-06-21,28.04648780822754
2018-06-22,28.9189395904541
2018-06-25,28.328744888305664
2018-06-26,28.037931442260742
2018-06-27,27.618818283081055
2018-06-28,27.909637451171875
2018-06-29,28.063600540161133
2018-07-02,28.536766052246094
2018-07-03,28.467952728271484
2018-07-05,28.493751525878906
2018-07-06,28.889503479003906
2018-07-09,28.872299194335938
2018-07-10,28.683019638061523
2018-07-11,29.052955627441406
2018-07-12,29.72401237487793
2018-07-13,29.85305404663086
2018-07-16,30.08535385131836
2018-07-17,29.483129501342773
2018-07-18,29.285245895385742
2018-07-19,30.033720016479492
2018-07-20,29.508935928344727
2018-07-23,29.397085189819336
2018-07-24,28.726041793823242
2018-07-25,28.751848220825195
2018-07-26,29.896072387695312
2018-07-27,30.179983139038086
2018-07-30,30.50688934326172
2018-07-31,30.782203674316406
2018-08-01,30.45528793334961
2018-08-02,29.801433563232422
2018-08-03,30.463876724243164
2018-08-06,30.386457443237305
2018-08-07,30.45528793334961
2018-08-08,30.154170989990234
2018-08-09,30.532718658447266
2018-08-10,30.179983139038086
2018-08-13,30.145572662353516
2018-08-14,30.446683883666992
2018-08-15,30.08535385131836
2018-08-16,30.678958892822266
2018-08-17,30.627347946166992
2018-08-20,30.481090545654297
2018-08-21,30.747785568237305
2018-08-22,30.524097442626953
2018-08-23,30.377851486206055
2018-08-24,31.40163803100586
2018-08-27,31.341407775878906
2018-08-28,31.272584915161133
2018-08-29,31.616710662841797
2018-08-30,31.556489944458008
2018-08-31,31.82318115234375
2018-09-04,31.298389434814453
2018-09-05,31.212356567382812
2018-09-06,30.902650833129883
2018-09-07,31.11772346496582
2018-09-10,31.28118896484375
2018-09-11,31.22957420349121
2018-09-12,31.048904418945312
2018-09-13,31.8662052154541
2018-09-14,31.797372817993164
2018-09-17,31.797372817993164
2018-09-18,32.46843719482422
2018-09-19,32.107093811035156
2018-09-20,32.528648376464844
2018-09-21,32.606075286865234
2018-09-24,30.653156280517578
2018-09-25,30.45528793334961
2018-09-26,30.42947006225586
2018-09-27,30.300416946411133
2018-09-28,30.463876724243164
2018-10-01,30.558523178100586
2018-10-02,30.87855339050293
2018-10-03,30.43742561340332
2018-10-04,30.45471954345703
2018-10-05,29.89251136779785
2018-10-08,30.428781509399414
2018-10-09,30.653663635253906
2018-10-10,29.65032958984375
2018-10-11,29.122713088989258
2018-10-12,29.94441032409668
2018-10-15,30.350927352905273
2018-10-16,31.138029098510742
2018-10-17,31.4840087890625
2018-10-18,31.08612823486328
2018-10-19,31.12074089050293
2018-10-22,30.921798706054688
2018-10-23,30.835308074951172
2018-10-24,29.511934280395508
2018-10-25,30.999652862548828
2018-10-26,30.480682373046875
2018-10-29,31.12938690185547
2018-10-30,32.617095947265625
2018-10-31,32.98902130126953
2018-11-01,32.82468795776367
2018-11-02,32.57383728027344
2018-11-05,32.88521957397461
2018-11-06,32.63438415527344
2018-11-07,33.12741470336914
2018-11-08,33.12741470336914
2018-11-09,33.1619987487793
2018-11-12,32.867919921875
2018-11-13,32.6257438659668
2018-11-14,33.1187629699707
2018-11-15,33.291748046875
2018-11-16,33.37824630737305
2018-11-19,33.02360916137695
2018-11-20,31.79538345336914
2018-11-21,32.444095611572266
2018-11-23,32.34030532836914
2018-11-26,32.66897201538086
2018-11-27,33.179298400878906
2018-11-28,33.784767150878906
2018-11-29,34.09614181518555
2018-11-30,33.74150848388672
2018-12-03,33.86260986328125
2018-12-04,32.59978485107422
2018-12-06,32.764129638671875
2018-12-07,32.35759353637695
2018-12-10,32.30569839477539
2018-12-11,31.864595413208008
2018-12-12,31.985685348510742
2018-12-13,31.79538345336914
2018-12-14,31.432119369506836
2018-12-17,31.319679260253906
2018-12-18,30.835308074951172
2018-12-19,30.43742561340332
2018-12-20,29.94441032409668
2018-12-21,29.191904067993164
2018-12-24,28.603744506835938
2018-12-26,29.529233932495117
2018-12-27,29.814672470092773
2018-12-28,29.710872650146484
2018-12-31,29.615201950073242
2019-01-02,29.893526077270508
2019-01-03,30.128353118896484
2019-01-04,31.14598274230957
2019-01-07,30.815462112426758
2019-01-08,31.067691802978516
2019-01-09,31.3634090423584
2019-01-10,31.15467643737793
2019-01-11,30.989418029785156
2019-01-14,31.11118507385254
2019-01-15,31.163362503051758
2019-01-16,31.2242488861084
2019-01-17,31.232954025268555
2019-01-18,31.493881225585938
2019-01-22,30.41538429260254
2019-01-23,32.08531188964844
2019-01-24,31.51996421813965
2019-01-25,31.11988067626953
2019-01-28,30.763277053833008
2019-01-29,31.380815505981445
2019-01-30,30.815462112426758
2019-01-31,31.806982040405273
2019-02-01,31.998336791992188
2019-02-04,31.980941772460938
2019-02-05,32.311439514160156
2019-02-06,32.32883834838867
2019-02-07,32.77241897583008
2019-02-08,32.70283126831055
2019-02-11,32.180992126464844
2019-02-12,32.389732360839844
2019-02-13,32.207069396972656
2019-02-14,32.40711975097656
2019-02-15,32.85069274902344
2019-02-19,32.65934371948242
2019-02-20,32.86809158325195
2019-02-21,33.45952606201172
2019-02-22,33.58127975463867
2019-02-25,33.5464973449707
2019-02-26,33.74654006958008
2019-02-27,33.5117073059082
2019-02-28,33.63347244262695
2019-03-01,34.00747299194336
2019-03-04,33.68566131591797
2019-03-05,33.676963806152344
2019-03-06,33.58127975463867
2019-03-07,33.381248474121094
2019-03-08,33.21598815917969
2019-03-11,34.0683479309082
2019-03-12,34.346675872802734
2019-03-13,34.40756607055664
2019-03-14,34.67718505859375
2019-03-15,35.199031829833984
2019-03-18,34.720672607421875
2019-03-19,34.598907470703125
2019-03-20,34.32928466796875
2019-03-21,34.833736419677734
2019-03-22,34.320579528808594
2019-03-25,34.07704162597656
2019-03-26,34.46844482421875
2019-03-27,34.972900390625
2019-03-28,35.155548095703125
2019-03-29,34.772850036621094
2019-04-01,35.05988311767578
2019-04-02,34.989925384521484
2019-04-03,35.2085075378418
2019-04-04,35.330909729003906
2019-04-05,35.339656829833984
2019-04-08,35.59319305419922
2019-04-09,35.88172912597656
2019-04-10,35.91669464111328
2019-04-11,35.88172912597656
2019-04-12,36.10904312133789
2019-04-15,36.528717041015625
2019-04-16,36.69483947753906
2019-04-17,37.219425201416016
2019-04-18,37.097023010253906
2019-04-22,36.721065521240234
2019-04-23,36.71232223510742
2019-04-24,36.58992385864258
2019-04-25,37.53417205810547
2019-04-26,37.665321350097656
2019-04-29,37.98882293701172
2019-04-30,38.058753967285156
2019-05-01,37.962589263916016
2019-05-02,37.289371490478516
2019-05-03,37.84892654418945
2019-05-06,37.857666015625
2019-05-07,37.38553237915039
2019-05-08,37.20193099975586
2019-05-09,37.52542495727539
2019-05-10,37.726524353027344
2019-05-13,36.96586990356445
2019-05-14,37.516693115234375
2019-05-15,37.149471282958984
2019-05-16,37.76150131225586
2019-05-17,38.067508697509766
2019-05-20,37.40303039550781
2019-05-21,37.84892654418945
2019-05-22,37.857666015625
2019-05-23,37.35931396484375
2019-05-24,37.306854248046875
2019-05-28,37.13199234008789
2019-05-29,36.65111541748047
2019-05-30,36.49374771118164
2019-05-31,35.84675216674805
2019-06-03,35.81178283691406
2019-06-04,36.19648742675781
2019-06-05,36.10904312133789
2019-06-06,35.977909088134766
2019-06-07,36.26642608642578
2019-06-10,36.10030746459961
2019-06-11,36.03910446166992
2019-06-12,36.240196228027344
2019-06-13,36.45003128051758
2019-06-14,36.99209976196289
2019-06-17,37.21067428588867
2019-06-18,37.81395721435547
2019-06-19,37.717769622802734
2019-06-20,38.18991470336914
2019-06-21,38.08498001098633
2019-06-24,38.119956970214844
2019-06-25,37.37679672241211
2019-06-26,36.81724166870117
2019-06-27,36.721065521240234
2019-06-28,36.96586990356445
2019-07-01,37.341827392578125
2019-07-02,37.68449020385742
2019-07-03,38.06230926513672
2019-07-05,38.02715301513672
2019-07-08,37.45604705810547
2019-07-09,37.76356887817383
2019-07-10,38.47526168823242
2019-07-11,38.730064392089844
2019-07-12,39.222103118896484
2019-07-15,39.292388916015625
2019-07-16,39.617488861083984
2019-07-17,39.0375862121582
2019-07-18,39.15181350708008
2019-07-19,38.712493896484375
2019-07-22,38.527976989746094
2019-07-23,38.940940856933594
2019-07-24,39.42418670654297
2019-07-25,39.19575119018555
2019-07-26,39.213314056396484
2019-07-29,38.86186218261719
2019-07-30,38.730064392089844
2019-07-31,37.93050765991211
2019-08-01,37.67570495605469
2019-08-02,37.473628997802734
2019-08-05,36.559844970703125
2019-08-06,36.96401596069336
2019-08-07,36.665283203125
2019-08-08,37.48240661621094
2019-08-09,37.719642639160156
2019-08-12,37.306678771972656
2019-08-13,38.1853141784668
2019-08-14,37.227596282958984
2019-08-15,37.21002960205078
2019-08-16,37.93928527832031
2019-08-19,38.6597785949707
2019-08-20,38.6070556640625
2019-08-21,38.75641632080078
2019-08-22,38.45769119262695
2019-08-23,37.28032684326172
