,PARA
2019-09-03,35.64948272705078
2019-09-04,35.97756576538086
2019-09-05,37.125885009765625
2019-09-06,37.6698112487793
2019-09-09,38.24201202392578
2019-09-10,38.54545211791992
2019-09-11,37.981929779052734
2019-09-12,37.9905891418457
2019-09-13,37.9905891418457
2019-09-16,38.189998626708984
2019-09-17,37.539772033691406
2019-09-18,37.609130859375
2019-09-19,36.750831604003906
2019-09-20,36.308685302734375
2019-09-23,36.38669967651367
2019-09-24,35.81450271606445
2019-09-25,35.75381088256836
2019-09-26,34.93886184692383
2019-09-27,34.956207275390625
2019-09-30,34.99955749511719
2019-10-01,34.82615280151367
2019-10-02,33.39565658569336
2019-10-03,33.3349723815918
2019-10-04,33.84648132324219
2019-10-07,33.60372543334961
2019-10-08,32.22524642944336
2019-10-09,32.606719970703125
2019-10-10,32.65006637573242
2019-10-11,33.317630767822266
2019-10-14,32.892818450927734
2019-10-15,33.005523681640625
2019-10-16,33.03153610229492
2019-10-17,32.75409698486328
2019-10-18,31.861114501953125
2019-10-21,31.51433753967285
2019-10-22,31.505661010742188
2019-10-23,31.635719299316406
2019-10-24,30.99414825439453
2019-10-25,31.245576858520508
2019-10-28,31.08085060119629
2019-10-29,31.3756160736084
2019-10-30,30.846769332885742
2019-10-31,31.245576858520508
2019-11-01,31.852455139160156
2019-11-04,32.19923400878906
2019-11-05,32.50267791748047
2019-11-06,31.921802520751953
2019-11-07,32.77143096923828
2019-11-08,33.040199279785156
2019-11-11,33.96786117553711
2019-11-12,32.73675537109375
2019-11-13,31.94782066345215
2019-11-14,32.624061584472656
2019-11-15,33.439002990722656
2019-11-18,34.1065788269043
2019-11-19,34.14126205444336
2019-11-20,33.82047653198242
2019-11-21,33.79446792602539
2019-11-22,34.26262664794922
2019-11-25,34.75680160522461
2019-11-26,35.12091827392578
2019-11-27,35.02556610107422
2019-11-29,35.00822448730469
2019-12-02,34.55739212036133
2019-12-03,34.1065788269043
2019-12-04,35.346336364746094
2019-12-05,35.42436599731445
2019-12-06,34.43601989746094
2019-12-09,33.49968719482422
2019-12-10,32.61538314819336
2019-12-11,32.329288482666016
2019-12-12,32.75409698486328
2019-12-13,33.49968719482422
2019-12-16,34.46202087402344
2019-12-17,34.92152404785156
2019-12-18,35.675785064697266
2019-12-19,36.36935806274414
2019-12-20,36.750831604003906
2019-12-23,36.577423095703125
2019-12-24,36.43004608154297
2019-12-26,36.984901428222656
2019-12-27,36.20463562011719
2019-12-30,35.961883544921875
2019-12-31,36.38669967651367
2020-01-02,36.4907341003418
2020-01-03,35.935874938964844
2020-01-06,36.4647331237793
2020-01-07,36.52541732788086
2020-01-08,36.300010681152344
2020-01-09,35.38101577758789
2020-01-10,34.94753646850586
2020-01-13,35.37234878540039
2020-01-14,34.964874267578125
2020-01-15,34.410011291503906
2020-01-16,34.71344757080078
2020-01-17,34.23661804199219
2020-01-21,33.57771682739258
2020-01-22,33.3349723815918
2020-01-23,32.06919479370117
2020-01-24,31.028823852539062
2020-01-27,30.456636428833008
2020-01-28,30.65602684020996
2020-01-29,30.075159072875977
2020-01-30,29.641677856445312
2020-01-31,29.58966636657715
2020-02-03,28.679349899291992
2020-02-04,29.104158401489258
2020-02-05,29.77172088623047
2020-02-06,29.99713897705078
2020-02-07,30.09250831604004
2020-02-10,29.659019470214844
2020-02-11,30.317914962768555
2020-02-12,30.59535026550293
2020-02-13,30.326587677001953
2020-02-14,30.326587677001953
2020-02-18,30.430625915527344
2020-02-19,30.924789428710938
2020-02-20,25.39353370666504
2020-02-21,24.500551223754883
2020-02-24,23.347482681274414
2020-02-25,21.986347198486328
2020-02-26,21.1887264251709
2020-02-27,20.711896896362305
2020-02-28,21.336118698120117
2020-03-02,21.07602310180664
2020-03-03,20.00965118408203
2020-03-04,20.02699089050293
2020-03-05,18.62249755859375
2020-03-06,18.70052719116211
2020-03-09,16.61979866027832
2020-03-10,17.798879623413086
2020-03-11,17.165990829467773
2020-03-12,13.99288272857666
2020-03-13,14.432910919189453
2020-03-16,11.977558135986328
2020-03-17,11.211909294128418
2020-03-18,10.745479583740234
2020-03-19,11.106301307678223
2020-03-20,10.534265518188477
2020-03-23,9.927026748657227
2020-03-24,12.980820655822754
2020-03-25,12.972018241882324
2020-03-26,12.311979293823242
2020-03-27,11.255911827087402
2020-03-30,12.399983406066895
2020-03-31,12.32957935333252
2020-04-01,11.247113227844238
2020-04-02,11.229508399963379
2020-04-03,10.939091682434082
2020-04-06,12.267974853515625
2020-04-07,12.928017616271973
2020-04-08,13.904877662658691
2020-04-09,14.573720932006836
2020-04-13,14.133691787719727
2020-04-14,14.31850528717041
2020-04-15,13.376843452453613
2020-04-16,12.875214576721191
2020-04-17,13.904877662658691
2020-04-20,13.658463478088379
2020-04-21,13.332842826843262
2020-04-22,13.13923168182373
2020-04-23,13.658463478088379
2020-04-24,13.755268096923828
2020-04-27,14.943346977233887
2020-04-28,15.35697078704834
2020-04-29,16.712257385253906
2020-04-30,15.189756393432617
2020-05-01,14.485713958740234
2020-05-04,14.16889476776123
2020-05-05,13.42965030670166
2020-05-06,13.095227241516113
2020-05-07,14.450511932373047
2020-05-08,15.91140365600586
2020-05-11,15.876205444335938
2020-05-12,16.061017990112305
2020-05-13,14.828938484191895
2020-05-14,15.10175609588623
2020-05-15,15.224963188171387
2020-05-18,16.76506233215332
2020-05-19,17.284290313720703
2020-05-20,17.275489807128906
2020-05-21,17.46030616760254
2020-05-22,17.240291595458984
2020-05-26,17.926729202270508
2020-05-27,19.370023727416992
2020-05-28,18.657180786132812
2020-05-29,18.25235366821289
2020-06-01,18.94759750366211
2020-06-02,19.22041130065918
2020-06-03,19.994863510131836
2020-06-04,21.226943969726562
2020-06-05,21.842979431152344
2020-06-08,25.090383529663086
2020-06-09,22.899049758911133
2020-06-10,21.121334075927734
2020-06-11,20.760507583618164
2020-06-12,20.36041831970215
2020-06-15,22.12972640991211
2020-06-16,21.507354736328125
2020-06-17,20.71605682373047
2020-06-18,21.782978057861328
2020-06-19,21.06280517578125
2020-06-22,20.88498306274414
2020-06-23,21.080585479736328
2020-06-24,20.965003967285156
2020-06-25,20.422653198242188
2020-06-26,19.844736099243164
2020-06-29,20.493783950805664
2020-06-30,20.733840942382812
2020-07-01,20.9827880859375
2020-07-02,20.671600341796875
2020-07-06,21.06280517578125
2020-07-07,20.404874801635742
2020-07-08,20.378198623657227
2020-07-09,19.649141311645508
2020-07-10,20.3870906829834
2020-07-13,21.080585479736328
2020-07-14,21.560705184936523
2020-07-15,22.183073043823242
2020-07-16,22.67207908630371
2020-07-17,22.39645767211914
2020-07-20,21.756303787231445
2020-07-21,21.800764083862305
2020-07-22,22.103055953979492
2020-07-23,22.343111038208008
2020-07-24,22.005258560180664
2020-07-27,22.07638168334961
2020-07-28,21.800764083862305
2020-07-29,22.48536491394043
2020-07-30,22.94769859313965
2020-07-31,23.17886734008789
2020-08-03,22.85879135131836
