,TFC
2015-09-09,25.307954788208008
2015-09-10,25.594043731689453
2015-09-11,25.426570892333984
2015-09-14,25.510311126708984
2015-09-15,25.873146057128906
2015-09-16,25.873146057128906
2015-09-17,25.231201171875
2015-09-18,24.631126403808594
2015-09-21,24.938140869140625
2015-09-22,24.59623908996582
2015-09-23,24.5822811126709
2015-09-24,24.45668601989746
2015-09-25,24.896276473999023
2015-09-28,24.317127227783203
2015-09-29,24.540414810180664
2015-09-30,24.840452194213867
2015-10-01,24.86138343811035
2015-10-02,24.94512176513672
2015-10-05,25.517284393310547
2015-10-06,25.412620544433594
2015-10-07,25.68474769592285
2015-10-08,25.75452423095703
2015-10-09,25.496355056762695
2015-10-12,25.61496925354004
2015-10-13,25.2730712890625
2015-10-14,24.94512176513672
2015-10-15,25.71964454650879
2015-10-16,25.461469650268555
2015-10-19,25.293996810913086
2015-10-20,25.642885208129883
2015-10-21,25.31493377685547
2015-10-22,25.76150131225586
2015-10-23,26.277851104736328
2015-10-26,26.019681930541992
2015-10-27,25.75452423095703
2015-10-28,26.52904510498047
2015-10-29,26.347627639770508
2015-10-30,25.921987533569336
2015-11-02,26.375537872314453
2015-11-03,26.36157989501953
2015-11-04,26.38948631286621
2015-11-05,26.619762420654297
2015-11-06,27.240774154663086
2015-11-09,26.96864128112793
2015-11-10,26.933507919311523
2015-11-11,26.91945457458496
2015-11-12,26.554061889648438
2015-11-13,26.244890213012695
2015-11-16,26.645414352416992
2015-11-17,26.561084747314453
2015-11-18,26.947555541992188
2015-11-19,27.081064224243164
2015-11-20,27.15835952758789
2015-11-23,27.2426815032959
2015-11-24,27.045934677124023
2015-11-25,27.03890609741211
2015-11-27,27.165390014648438
2015-11-30,27.137285232543945
2015-12-01,27.38321876525879
2015-12-02,27.045934677124023
2015-12-03,26.617305755615234
2015-12-04,27.369169235229492
2015-12-07,27.193485260009766
2015-12-08,26.63136100769043
2015-12-09,26.167591094970703
2015-12-10,26.392452239990234
2015-12-11,25.86543846130371
2015-12-14,25.935707092285156
2015-12-15,26.476760864257812
2015-12-16,26.933507919311523
2015-12-17,26.58216667175293
2015-12-18,26.160568237304688
2015-12-21,26.19569206237793
2015-12-22,26.448659896850586
2015-12-23,26.870256423950195
2015-12-24,26.89134979248047
2015-12-28,26.76485824584961
2015-12-29,27.081064224243164
2015-12-30,26.821075439453125
2015-12-31,26.568117141723633
2016-01-04,25.753021240234375
2016-01-05,25.760032653808594
2016-01-06,25.401668548583984
2016-01-07,24.677919387817383
2016-01-08,24.143892288208008
2016-01-11,24.368745803833008
2016-01-12,24.523332595825195
2016-01-13,23.694175720214844
2016-01-14,23.904977798461914
2016-01-15,23.28662109375
2016-01-19,23.132036209106445
2016-01-20,23.089876174926758
2016-01-21,22.33098793029785
2016-01-22,22.450439453125
2016-01-25,21.860197067260742
2016-01-26,22.113161087036133
2016-01-27,22.23963737487793
2016-01-28,22.422334671020508
2016-01-29,22.9493408203125
2016-02-01,22.689353942871094
2016-02-02,22.190446853637695
2016-02-03,22.33098793029785
2016-02-04,22.598005294799805
2016-02-05,22.527740478515625
2016-02-08,22.014785766601562
2016-02-09,22.20450782775879
2016-02-10,22.1619815826416
2016-02-11,21.460338592529297
2016-02-12,22.381689071655273
2016-02-16,23.090429306030273
2016-02-17,23.33138656616211
2016-02-18,22.863622665405273
2016-02-19,22.94867515563965
2016-02-22,23.366830825805664
2016-02-23,22.75023078918457
2016-02-24,22.679351806640625
2016-02-25,23.02663803100586
2016-02-26,23.6007022857666
2016-02-29,22.792755126953125
2016-03-01,23.707019805908203
2016-03-02,23.962156295776367
2016-03-03,24.28817367553711
2016-03-04,24.44409942626953
2016-03-07,24.34486961364746
2016-03-08,23.85584831237793
2016-03-09,23.71410369873047
2016-03-10,23.85584831237793
2016-03-11,24.415746688842773
2016-03-14,24.366138458251953
2016-03-15,24.274003982543945
2016-03-16,24.068466186523438
2016-03-17,24.203123092651367
2016-03-18,24.57166290283203
2016-03-21,24.543319702148438
2016-03-22,24.38031005859375
2016-03-23,24.196033477783203
2016-03-24,23.877111434936523
2016-03-28,23.784982681274414
2016-03-29,23.614879608154297
2016-03-30,23.763713836669922
2016-03-31,23.579442977905273
2016-04-01,23.749540328979492
2016-04-04,23.877111434936523
2016-04-05,23.430606842041016
2016-04-06,23.4802188873291
2016-04-07,22.99119758605957
2016-04-08,23.02663803100586
2016-04-11,23.11876678466797
2016-04-12,23.423526763916016
2016-04-13,24.245655059814453
2016-04-14,24.451181411743164
2016-04-15,24.118074417114258
2016-04-18,24.274003982543945
2016-04-19,24.60000991821289
2016-04-20,24.954378128051758
2016-04-21,24.904766082763672
2016-04-22,25.393795013427734
2016-04-25,25.131567001342773
2016-04-26,25.62767791748047
2016-04-27,25.620594024658203
2016-04-28,25.23078155517578
2016-04-29,25.074865341186523
2016-05-02,25.096128463745117
2016-05-03,24.68505859375
2016-05-04,24.174781799316406
2016-05-05,24.096817016601562
2016-05-06,24.110998153686523
2016-05-09,23.90546417236328
2016-05-10,24.366138458251953
2016-05-11,24.244659423828125
2016-05-12,24.10175132751465
2016-05-13,23.665870666503906
2016-05-16,23.958839416503906
2016-05-17,24.023151397705078
2016-05-18,24.880605697631836
2016-05-19,25.016374588012695
2016-05-20,25.066396713256836
2016-05-23,24.994937896728516
2016-05-24,25.39508628845215
2016-05-25,25.988161087036133
2016-05-26,25.816669464111328
2016-05-27,25.973865509033203
2016-05-31,25.988161087036133
2016-06-01,26.202526092529297
2016-06-02,26.388309478759766
2016-06-03,25.988161087036133
2016-06-06,26.28112030029297
2016-06-07,26.166793823242188
2016-06-08,26.159656524658203
2016-06-09,25.85239601135254
2016-06-10,25.666616439819336
2016-06-13,25.559432983398438
2016-06-14,25.280757904052734
2016-06-15,25.416521072387695
2016-06-16,25.409372329711914
2016-06-17,25.545146942138672
2016-06-20,25.55228614807129
2016-06-21,25.71663475036621
2016-06-22,25.709491729736328
2016-06-23,26.40259552001953
2016-06-24,24.666244506835938
2016-06-27,23.615859985351562
2016-06-28,24.380422592163086
2016-06-29,24.780574798583984
2016-06-30,25.44510841369629
2016-07-01,25.20215606689453
2016-07-05,24.451881408691406
2016-07-06,24.623371124267578
2016-07-07,24.84488296508789
2016-07-08,25.16642951965332
2016-07-11,25.280757904052734
2016-07-12,25.738067626953125
2016-07-13,25.652320861816406
2016-07-14,26.202526092529297
2016-07-15,26.273975372314453
2016-07-18,26.209671020507812
2016-07-19,26.166793823242188
2016-07-20,26.03817367553711
2016-07-21,26.145355224609375
2016-07-22,26.352582931518555
