,STX
2017-10-26,28.123319625854492
2017-10-27,27.18046760559082
2017-10-30,27.018413543701172
2017-10-31,27.232027053833008
2017-11-01,27.224660873413086
2017-11-02,27.084712982177734
2017-11-03,26.76060676574707
2017-11-06,27.592960357666016
2017-11-07,27.342519760131836
2017-11-08,27.777116775512695
2017-11-09,27.55613136291504
2017-11-10,27.983362197875977
2017-11-13,27.740285873413086
2017-11-14,27.615060806274414
2017-11-15,27.85077476501465
2017-11-16,28.815711975097656
2017-11-17,29.03668785095215
2017-11-20,29.35342788696289
2017-11-21,29.567045211791992
2017-11-22,29.70699691772461
2017-11-24,29.67754364013672
2017-11-27,28.786256790161133
2017-11-28,29.44919204711914
2017-11-29,28.543176651000977
2017-11-30,28.403221130371094
2017-12-01,28.808351516723633
2017-12-04,28.874635696411133
2017-12-05,28.823087692260742
2017-12-06,28.859907150268555
2017-12-07,29.15454864501953
2017-12-08,29.824857711791992
2017-12-11,29.81012725830078
2017-12-12,31.025510787963867
2017-12-13,30.996042251586914
2017-12-14,30.892919540405273
2017-12-15,30.95185089111328
2017-12-18,31.666351318359375
2017-12-19,31.53179359436035
2017-12-20,31.045879364013672
2017-12-21,31.367326736450195
2017-12-22,31.52431869506836
2017-12-26,31.50189208984375
2017-12-27,31.479455947875977
2017-12-28,31.412181854248047
2017-12-29,31.277626037597656
2018-01-02,32.092464447021484
2018-01-03,32.032649993896484
2018-01-04,31.875667572021484
2018-01-05,32.09992599487305
2018-01-08,34.38743591308594
2018-01-09,34.67898941040039
2018-01-10,35.18732833862305
2018-01-11,36.63758850097656
2018-01-12,38.31956100463867
2018-01-16,38.50646209716797
2018-01-17,38.977420806884766
2018-01-18,38.8802375793457
2018-01-19,39.33625030517578
2018-01-22,39.739925384521484
2018-01-23,40.412723541259766
2018-01-24,39.597896575927734
2018-01-25,39.747406005859375
2018-01-26,41.07057189941406
2018-01-29,41.19765090942383
2018-01-30,41.1004753112793
2018-01-31,41.26492691040039
2018-02-01,40.6967887878418
2018-02-02,38.700828552246094
2018-02-05,37.116004943847656
2018-02-06,36.3908805847168
2018-02-07,37.041255950927734
2018-02-08,35.463924407958984
2018-02-09,35.74798583984375
2018-02-12,36.75718307495117
2018-02-13,37.10105514526367
2018-02-14,38.40180206298828
2018-02-15,38.513938903808594
2018-02-16,38.43918228149414
2018-02-20,38.96247100830078
2018-02-21,38.45413589477539
2018-02-22,38.39433288574219
2018-02-23,39.837100982666016
2018-02-26,40.03145980834961
2018-02-27,39.523128509521484
2018-02-28,39.91934585571289
2018-03-01,40.36787796020508
2018-03-02,40.45757293701172
2018-03-05,41.22007751464844
2018-03-06,42.034912109375
2018-03-07,42.08723449707031
2018-03-08,44.015926361083984
2018-03-09,44.99522018432617
2018-03-12,45.010169982910156
2018-03-13,44.61396789550781
2018-03-14,44.80086898803711
2018-03-15,44.531742095947266
2018-03-16,44.92045974731445
2018-03-19,45.152198791503906
2018-03-20,45.257965087890625
2018-03-21,45.25040817260742
2018-03-22,44.600738525390625
2018-03-23,42.515750885009766
2018-03-26,43.91329574584961
2018-03-27,43.339168548583984
2018-03-28,42.9765625
2018-03-29,44.20791244506836
2018-04-02,43.62623977661133
2018-04-03,44.041717529296875
2018-04-04,44.517635345458984
2018-04-05,44.00395965576172
2018-04-06,42.77260208129883
2018-04-09,42.52330017089844
2018-04-10,44.83491897583008
2018-04-11,44.238128662109375
2018-04-12,45.22774887084961
2018-04-13,45.78677749633789
2018-04-16,46.19470977783203
2018-04-17,46.75371551513672
2018-04-18,46.91991424560547
2018-04-19,45.25040817260742
2018-04-20,45.05400466918945
2018-04-23,43.981292724609375
2018-04-24,44.01906204223633
2018-04-25,44.041717529296875
2018-04-26,44.82737731933594
2018-04-27,44.963356018066406
2018-04-30,43.73199462890625
2018-05-01,40.95201110839844
2018-05-02,41.32216262817383
2018-05-03,41.526126861572266
2018-05-04,42.0624885559082
2018-05-07,42.266456604003906
2018-05-08,42.67439270019531
2018-05-09,43.2334098815918
2018-05-10,43.263633728027344
2018-05-11,42.84058380126953
2018-05-14,43.11254119873047
2018-05-15,43.64133834838867
