,CHD
2018-10-29,54.790130615234375
2018-10-30,56.04635238647461
2018-10-31,55.24609375
2018-11-01,60.36406326293945
2018-11-02,61.47140884399414
2018-11-05,61.96458053588867
2018-11-06,63.16497039794922
2018-11-07,61.51791763305664
2018-11-08,59.95461654663086
2018-11-09,60.996826171875
2018-11-12,61.42488479614258
2018-11-13,60.987518310546875
2018-11-14,61.13502883911133
2018-11-15,61.443138122558594
2018-11-16,61.06034851074219
2018-11-19,60.518821716308594
2018-11-20,60.145362854003906
2018-11-21,61.18172073364258
2018-11-23,61.56451416015625
2018-11-26,61.28441619873047
2018-11-27,61.81658935546875
2018-11-28,61.94731140136719
2018-11-29,61.58319091796875
2018-11-30,61.79791259765625
2018-12-03,62.003318786621094
2018-12-04,62.18072509765625
2018-12-06,62.292762756347656
2018-12-07,62.37678146362305
2018-12-10,62.162052154541016
2018-12-11,63.86129379272461
2018-12-12,63.33842849731445
2018-12-13,64.58950805664062
2018-12-14,64.16938018798828
2018-12-17,61.125694274902344
2018-12-18,61.17238235473633
2018-12-19,60.46280288696289
2018-12-20,60.36944580078125
2018-12-21,60.59352493286133
2018-12-24,58.50215530395508
2018-12-26,60.55617904663086
2018-12-27,61.34975814819336
2018-12-28,61.387115478515625
2018-12-31,61.39645004272461
2019-01-02,60.15470886230469
2019-01-03,60.02400207519531
2019-01-04,60.74288558959961
2019-01-07,61.508487701416016
2019-01-08,61.35911178588867
2019-01-09,61.45246505737305
2019-01-10,62.58217239379883
2019-01-11,62.69422149658203
2019-01-14,62.26475524902344
2019-01-15,62.908973693847656
2019-01-16,62.89961624145508
2019-01-17,62.91829299926758
2019-01-18,63.82392501831055
2019-01-22,61.844608306884766
2019-01-23,61.16304397583008
2019-01-24,60.0333366394043
2019-01-25,59.370445251464844
2019-01-28,59.39845275878906
2019-01-29,59.491817474365234
2019-01-30,59.00633239746094
2019-01-31,60.322757720947266
2019-02-01,60.37877655029297
2019-02-04,61.032318115234375
2019-02-05,56.44812774658203
2019-02-06,58.61418914794922
