,MKTX
2016-07-22,142.4507598876953
2016-07-25,143.1314697265625
2016-07-26,143.35536193847656
2016-07-27,143.4392852783203
2016-07-28,148.997802734375
2016-07-29,150.76976013183594
2016-08-01,150.5925750732422
2016-08-02,150.92831420898438
2016-08-03,150.8444366455078
2016-08-04,151.46925354003906
2016-08-05,151.8610076904297
2016-08-08,150.87237548828125
2016-08-09,150.8070068359375
2016-08-10,151.43284606933594
2016-08-11,151.32077026367188
2016-08-12,151.53558349609375
2016-08-15,153.65614318847656
2016-08-16,152.3203125
2016-08-17,153.777587890625
2016-08-18,155.89805603027344
2016-08-19,155.72988891601562
2016-08-22,154.37539672851562
2016-08-23,153.9737548828125
2016-08-24,154.4781494140625
2016-08-25,155.0199432373047
2016-08-26,155.2161102294922
2016-08-29,156.75743103027344
2016-08-30,157.81301879882812
2016-08-31,157.4393310546875
2016-09-01,158.36416625976562
2016-09-02,161.1758575439453
2016-09-06,157.75694274902344
2016-09-07,157.88772583007812
2016-09-08,157.60751342773438
2016-09-09,160.09234619140625
2016-09-12,160.6901397705078
2016-09-13,158.34544372558594
2016-09-14,158.3548126220703
2016-09-15,161.92318725585938
2016-09-16,161.3814239501953
2016-09-19,159.49444580078125
2016-09-20,161.44676208496094
2016-09-21,161.92318725585938
2016-09-22,161.45616149902344
2016-09-23,159.5037841796875
2016-09-26,156.82286071777344
2016-09-27,159.05540466308594
2016-09-28,159.74668884277344
2016-09-29,155.19741821289062
2016-09-30,154.68359375
2016-10-03,153.34788513183594
2016-10-04,151.51690673828125
2016-10-05,150.66683959960938
2016-10-06,149.7794189453125
2016-10-07,148.70521545410156
2016-10-10,148.35952758789062
2016-10-11,146.55670166015625
2016-10-12,146.86495971679688
2016-10-13,144.7537841796875
2016-10-14,144.06251525878906
2016-10-17,142.2595977783203
2016-10-18,144.5576171875
2016-10-19,143.24050903320312
2016-10-20,141.42825317382812
2016-10-21,142.1942138671875
2016-10-24,143.16571044921875
2016-10-25,142.1942138671875
2016-10-26,143.0630340576172
2016-10-27,140.71829223632812
2016-10-28,140.2418975830078
2016-10-31,140.83041381835938
2016-11-01,138.541748046875
2016-11-02,137.96263122558594
2016-11-03,138.06536865234375
2016-11-04,140.55946350097656
2016-11-07,143.28256225585938
2016-11-08,145.23829650878906
2016-11-09,150.8902130126953
2016-11-10,149.63632202148438
2016-11-11,151.5171661376953
2016-11-14,154.9701385498047
2016-11-15,153.09861755371094
2016-11-16,155.1759490966797
2016-11-17,160.0325164794922
2016-11-18,158.57275390625
2016-11-21,159.1622772216797
2016-11-22,158.4979248046875
2016-11-23,157.6370391845703
2016-11-25,158.72247314453125
2016-11-28,158.28268432617188
2016-11-29,158.1049041748047
2016-11-30,155.119873046875
2016-12-01,152.4342041015625
2016-12-02,151.4984588623047
2016-12-05,153.5197296142578
2016-12-06,155.6905975341797
2016-12-07,152.9676055908203
2016-12-08,154.34315490722656
2016-12-09,156.24273681640625
2016-12-12,157.38436889648438
2016-12-13,158.07681274414062
2016-12-14,153.95010375976562
2016-12-15,156.38307189941406
2016-12-16,151.9569549560547
2016-12-19,150.3287353515625
2016-12-20,146.96942138671875
2016-12-21,143.79722595214844
2016-12-22,140.55015563964844
2016-12-23,139.82025146484375
2016-12-27,139.88575744628906
2016-12-28,138.89389038085938
2016-12-29,136.18016052246094
2016-12-30,137.4809112548828
2017-01-03,140.53146362304688
2017-01-04,143.09539794921875
2017-01-05,142.89892578125
2017-01-06,147.0536346435547
2017-01-09,146.71678161621094
2017-01-10,146.03366088867188
2017-01-11,146.90390014648438
2017-01-12,146.30502319335938
2017-01-13,146.77297973632812
2017-01-17,145.5189971923828
2017-01-18,146.45477294921875
2017-01-19,145.25698852539062
2017-01-20,146.81036376953125
2017-01-23,145.40667724609375
2017-01-24,148.1859130859375
2017-01-25,164.6832733154297
2017-01-26,168.8192596435547
2017-01-27,168.26715087890625
2017-01-30,169.6894989013672
2017-01-31,175.21981811523438
2017-02-01,176.05264282226562
2017-02-02,176.0152130126953
2017-02-03,178.9815673828125
2017-02-06,178.05516052246094
