,TMUS
2021-04-27,130.4182891845703
2021-04-28,129.59410095214844
2021-04-29,131.48776245117188
2021-04-30,129.64317321777344
2021-05-03,128.97593688964844
2021-05-04,126.06185150146484
2021-05-05,131.6055145263672
2021-05-06,136.26612854003906
2021-05-07,136.5015869140625
2021-05-10,133.25389099121094
2021-05-11,135.40267944335938
2021-05-12,134.06826782226562
2021-05-13,135.52041625976562
2021-05-14,138.85643005371094
2021-05-17,137.561279296875
2021-05-18,132.4591522216797
2021-05-19,131.82138061523438
2021-05-20,133.59732055664062
2021-05-21,133.4893798828125
2021-05-24,135.1377410888672
2021-05-25,134.18600463867188
2021-05-26,137.02162170410156
2021-05-27,138.65037536621094
2021-05-28,138.78773498535156
2021-06-01,139.03302001953125
2021-06-02,138.3265838623047
2021-06-03,139.64137268066406
2021-06-04,141.79014587402344
2021-06-07,140.80897521972656
2021-06-08,142.65359497070312
2021-06-09,144.49819946289062
2021-06-10,143.7524871826172
2021-06-11,142.61434936523438
2021-06-14,142.52603149414062
2021-06-15,142.93812561035156
2021-06-16,142.18263244628906
2021-06-17,143.69363403320312
2021-06-18,141.9765625
2021-06-21,142.9185028076172
2021-06-22,143.07550048828125
2021-06-23,142.3003692626953
2021-06-24,142.85964965820312
2021-06-25,142.60450744628906
2021-06-28,142.31016540527344
2021-06-29,142.26112365722656
2021-06-30,142.10414123535156
2021-07-01,142.60450744628906
2021-07-02,143.53663635253906
2021-07-06,143.9879913330078
2021-07-07,145.25369262695312
2021-07-08,144.09591674804688
2021-07-09,143.26193237304688
2021-07-12,144.13516235351562
2021-07-13,144.98880004882812
2021-07-14,146.09750366210938
2021-07-15,145.54806518554688
2021-07-16,146.59793090820312
2021-07-19,141.88827514648438
2021-07-20,141.6822052001953
2021-07-21,141.84902954101562
2021-07-22,142.025634765625
2021-07-23,141.28976440429688
2021-07-26,142.24148559570312
2021-07-27,142.0943145751953
2021-07-28,142.38864135742188
2021-07-29,141.9078826904297
2021-07-30,141.3093719482422
2021-08-02,142.18263244628906
2021-08-03,141.78033447265625
2021-08-04,139.54324340820312
2021-08-05,139.25868225097656
2021-08-06,139.5530548095703
2021-08-09,140.29876708984375
2021-08-10,140.5048065185547
2021-08-11,141.86863708496094
2021-08-12,142.01583862304688
2021-08-13,142.21205139160156
2021-08-16,138.08128356933594
2021-08-17,138.0224151611328
2021-08-18,137.19822692871094
2021-08-19,138.23828125
2021-08-20,139.14096069335938
2021-08-23,139.8572235107422
2021-08-24,139.81797790527344
2021-08-25,137.22767639160156
2021-08-26,134.99058532714844
2021-08-27,135.7755126953125
2021-08-30,135.30455017089844
2021-08-31,134.44113159179688
2021-09-01,135.14756774902344
2021-09-02,133.56788635253906
2021-09-03,133.4403076171875
2021-09-07,131.93910217285156
2021-09-08,131.15415954589844
2021-09-09,128.9661407470703
2021-09-10,128.34800720214844
2021-09-13,127.5728759765625
2021-09-14,126.49356842041016
2021-09-15,124.67839050292969
2021-09-16,126.4837646484375
2021-09-17,125.59088134765625
2021-09-20,123.26548767089844
2021-09-21,122.54923248291016
2021-09-22,125.32596588134766
2021-09-23,128.4755401611328
2021-09-24,126.99396514892578
2021-09-27,125.3750228881836
2021-09-28,123.93269348144531
2021-09-29,125.68901062011719
2021-09-30,125.35540771484375
2021-10-01,124.37422943115234
2021-10-04,123.09869384765625
2021-10-05,123.03982543945312
2021-10-06,122.25487518310547
2021-10-07,120.86160278320312
2021-10-08,118.93849182128906
2021-10-11,114.98434448242188
2021-10-12,114.09146881103516
2021-10-13,114.26808166503906
2021-10-14,117.01538848876953
2021-10-15,115.34737396240234
2021-10-18,115.17076110839844
2021-10-19,116.32855224609375
2021-10-20,119.64495086669922
2021-10-21,114.65074920654297
2021-10-22,114.67036437988281
2021-10-25,113.7480697631836
2021-10-26,114.16996765136719
2021-10-27,114.42507934570312
2021-10-28,113.85599517822266
2021-10-29,112.86499786376953
2021-11-01,113.67937469482422
2021-11-02,113.6205062866211
2021-11-03,119.64495086669922
2021-11-04,120.3415756225586
2021-11-05,120.3612060546875
2021-11-08,118.58526611328125
2021-11-09,117.60408782958984
2021-11-10,117.2999267578125
2021-11-11,116.2402572631836
2021-11-12,116.01457214355469
2021-11-15,115.55342102050781
2021-11-16,116.13233184814453
2021-11-17,114.98434448242188
2021-11-18,114.7782974243164
2021-11-19,113.44390106201172
2021-11-22,111.70719909667969
2021-11-23,113.28691101074219
2021-11-24,112.32535552978516
2021-11-26,111.39323425292969
2021-11-29,111.26567840576172
2021-11-30,106.7620620727539
2021-12-01,104.7114028930664
2021-12-02,108.28289031982422
2021-12-03,110.64752960205078
2021-12-06,113.45370483398438
2021-12-07,114.94509887695312
2021-12-08,112.59027099609375
2021-12-09,111.84457397460938
2021-12-10,112.60989379882812
2021-12-13,112.84537506103516
2021-12-14,115.10208129882812
2021-12-15,116.19119262695312
2021-12-16,118.310546875
2021-12-17,117.55501556396484
2021-12-20,116.7504653930664
2021-12-21,118.82074737548828
2021-12-22,118.29090881347656
2021-12-23,117.65315246582031
2021-12-27,116.34818267822266
2021-12-28,115.93609619140625
2021-12-29,115.42587280273438
2021-12-30,114.31715393066406
2021-12-31,113.79712677001953
2022-01-03,112.27628326416016
2022-01-04,111.91325378417969
2022-01-05,113.18878173828125
2022-01-06,113.39483642578125
2022-01-07,107.674560546875
2022-01-10,103.74984741210938
2022-01-11,108.88141632080078
2022-01-12,108.763671875
2022-01-13,108.04741668701172
2022-01-14,106.4775161743164
2022-01-18,104.8978271484375
2022-01-19,103.39662170410156
2022-01-20,102.1014633178711
2022-01-21,99.7073974609375
2022-01-24,104.6427230834961
2022-01-25,103.68115997314453
2022-01-26,102.25846099853516
