,ODFL
2022-08-25,148.70550537109375
2022-08-26,141.16421508789062
2022-08-29,138.268310546875
2022-08-30,136.54356384277344
2022-08-31,134.12701416015625
2022-09-01,137.24038696289062
2022-09-02,134.53225708007812
2022-09-06,134.56687927246094
2022-09-07,130.59915161132812
2022-09-08,128.52125549316406
2022-09-09,132.97879028320312
2022-09-12,136.54579162597656
2022-09-13,128.9269561767578
2022-09-14,128.49655151367188
2022-09-15,126.82928466796875
2022-09-16,125.67656707763672
2022-09-19,127.7791748046875
2022-09-20,125.45394134521484
2022-09-21,124.474365234375
2022-09-22,120.90240478515625
2022-09-23,122.70816802978516
2022-09-26,122.63396453857422
2022-09-27,123.55911254882812
2022-09-28,126.74022674560547
2022-09-29,125.7507553100586
2022-09-30,123.07426452636719
2022-10-03,129.55523681640625
2022-10-04,135.14077758789062
2022-10-05,134.80926513671875
2022-10-06,137.1295623779297
2022-10-07,128.64987182617188
2022-10-10,132.51377868652344
2022-10-11,132.46920776367188
2022-10-12,135.87791442871094
2022-10-13,132.86004638671875
2022-10-14,128.40252685546875
2022-10-17,132.1476287841797
2022-10-18,132.89962768554688
2022-10-19,129.00611877441406
2022-10-20,127.46747589111328
2022-10-21,128.84283447265625
2022-10-24,133.1915283203125
2022-10-25,135.57118225097656
2022-10-26,135.80369567871094
2022-10-27,130.8118896484375
2022-10-28,133.87428283691406
2022-10-31,135.8531951904297
2022-11-01,134.997314453125
2022-11-02,128.8230438232422
2022-11-03,130.1291046142578
2022-11-04,134.52232360839844
2022-11-07,139.5042724609375
2022-11-08,143.501708984375
2022-11-09,139.44491577148438
2022-11-10,151.20469665527344
2022-11-11,155.39999389648438
2022-11-14,155.47915649414062
2022-11-15,157.36903381347656
2022-11-16,151.96658325195312
2022-11-17,147.8108367919922
2022-11-18,147.59808349609375
2022-11-21,147.72671508789062
2022-11-22,146.3909454345703
2022-11-23,146.94998168945312
2022-11-25,145.44602966308594
2022-11-28,142.64088439941406
2022-11-29,144.4961395263672
2022-11-30,149.71060180664062
2022-12-01,148.8596649169922
2022-12-02,149.82933044433594
2022-12-05,143.3533172607422
2022-12-06,142.19444274902344
2022-12-07,141.961669921875
2022-12-08,142.26870727539062
2022-12-09,144.72511291503906
2022-12-12,149.464599609375
2022-12-13,150.87606811523438
2022-12-14,153.2284698486328
2022-12-15,148.14727783203125
2022-12-16,146.03753662109375
2022-12-19,143.71484375
2022-12-20,140.75328063964844
2022-12-21,142.2884979248047
2022-12-22,139.64393615722656
2022-12-23,141.68930053710938
2022-12-27,142.02108764648438
2022-12-28,139.7825927734375
2022-12-29,141.92698669433594
2022-12-30,140.5403289794922
2023-01-03,139.9163055419922
2023-01-04,143.021484375
2023-01-05,139.40126037597656
2023-01-06,148.91986083984375
2023-01-09,151.72787475585938
2023-01-10,151.84178161621094
2023-01-11,155.0509490966797
2023-01-12,155.13514709472656
2023-01-13,156.1751708984375
2023-01-17,155.79385375976562
2023-01-18,156.3286895751953
2023-01-19,153.89210510253906
2023-01-20,157.00222778320312
2023-01-23,159.89443969726562
2023-01-24,158.9237823486328
2023-01-25,158.75538635253906
2023-01-26,158.10662841796875
2023-01-27,165.30746459960938
2023-01-30,159.4091033935547
2023-01-31,165.03506469726562
2023-02-01,182.06155395507812
2023-02-02,183.9385223388672
2023-02-03,183.74046325683594
2023-02-06,183.02731323242188
2023-02-07,181.11070251464844
2023-02-08,181.209716796875
2023-02-09,175.81161499023438
2023-02-10,172.8401336669922
2023-02-13,176.2870330810547
2023-02-14,177.6390380859375
2023-02-15,176.90606689453125
2023-02-16,174.29119873046875
2023-02-17,175.73236083984375
2023-02-21,169.72007751464844
2023-02-22,169.3783721923828
2023-02-23,170.997802734375
2023-02-24,168.15512084960938
2023-02-27,169.56655883789062
2023-02-28,168.2129669189453
2023-03-01,167.8906707763672
2023-03-02,175.90316772460938
2023-03-03,176.0469512939453
2023-03-06,175.0007781982422
2023-03-07,173.43896484375
2023-03-08,173.75628662109375
2023-03-09,170.05247497558594
2023-03-10,166.78001403808594
2023-03-13,163.23489379882812
2023-03-14,165.40164184570312
2023-03-15,164.84632873535156
2023-03-16,167.34527587890625
2023-03-17,164.39512634277344
2023-03-20,165.32229614257812
2023-03-21,166.6709747314453
2023-03-22,164.02822875976562
2023-03-23,163.3737335205078
2023-03-24,163.3737335205078
2023-03-27,165.84786987304688
2023-03-28,164.628173828125
2023-03-29,164.30587768554688
2023-03-30,165.41156005859375
2023-03-31,168.99635314941406
2023-04-03,165.70904541015625
2023-04-04,162.98699951171875
2023-04-05,161.12767028808594
2023-04-06,161.5242919921875
2023-04-10,165.9966583251953
2023-04-11,168.5749053955078
2023-04-12,168.609619140625
2023-04-13,164.9950714111328
2023-04-14,167.92044067382812
2023-04-17,168.9864501953125
2023-04-18,170.2656707763672
2023-04-19,171.5597686767578
2023-04-20,171.99612426757812
2023-04-21,172.96788024902344
2023-04-24,175.73956298828125
2023-04-25,168.2675018310547
2023-04-26,151.48390197753906
2023-04-27,155.29678344726562
2023-04-28,158.85679626464844
2023-05-01,157.54286193847656
2023-05-02,156.46693420410156
2023-05-03,158.99560546875
2023-05-04,154.81581115722656
2023-05-05,157.16107177734375
2023-05-08,154.51834106445312
2023-05-09,154.7711944580078
