,CARR
2023-04-05,41.0883674621582
2023-04-06,40.79557418823242
2023-04-10,41.28356170654297
2023-04-11,42.474246978759766
2023-04-12,42.80607604980469
2023-04-13,43.04030990600586
2023-04-14,43.235504150390625
2023-04-17,43.6942138671875
2023-04-18,43.73324966430664
2023-04-19,43.899166107177734
2023-04-20,44.28955841064453
2023-04-21,44.133399963378906
2023-04-24,40.922454833984375
2023-04-25,41.30308532714844
2023-04-26,39.67321014404297
2023-04-27,40.463748931884766
2023-04-28,40.815093994140625
2023-05-01,40.18070983886719
2023-05-02,40.815093994140625
2023-05-03,40.102638244628906
2023-05-04,40.2938117980957
2023-05-05,41.548702239990234
2023-05-08,41.76438903808594
2023-05-09,41.94085693359375
2023-05-10,42.2349739074707
2023-05-11,41.9898796081543
2023-05-12,41.56831741333008
2023-05-15,41.970272064208984
2023-05-16,41.323219299316406
2023-05-17,42.05850982666016
2023-05-18,42.42124938964844
2023-05-19,41.95066452026367
2023-05-22,41.59772491455078
2023-05-23,40.69576644897461
2023-05-24,40.48988723754883
2023-05-25,40.39185333251953
2023-05-26,40.087928771972656
2023-05-30,40.93106460571289
2023-05-31,40.09773254394531
2023-06-01,40.68596649169922
2023-06-02,42.58790969848633
2023-06-05,42.35262298583984
2023-06-06,42.989871978759766
2023-06-07,44.70553970336914
2023-06-08,44.70553970336914
2023-06-09,44.41142654418945
2023-06-12,44.931034088134766
2023-06-13,45.85259246826172
2023-06-14,45.25455856323242
2023-06-15,45.627105712890625
2023-06-16,45.96043395996094
2023-06-20,46.67611312866211
2023-06-21,47.27415466308594
2023-06-22,47.101924896240234
2023-06-23,47.28891372680664
2023-06-26,47.85972595214844
2023-06-27,48.70610427856445
2023-06-28,48.53879928588867
2023-06-29,48.70610427856445
2023-06-30,48.9226188659668
2023-07-03,49.24739456176758
2023-07-05,48.46006774902344
2023-07-06,48.29275894165039
2023-07-07,48.548641204833984
2023-07-10,50.44806289672851
2023-07-11,52.16050720214844
2023-07-12,52.278602600097656
2023-07-13,52.278602600097656
2023-07-14,52.98719787597656
2023-07-17,53.69580078125
2023-07-18,54.365028381347656
2023-07-19,54.355186462402344
2023-07-20,53.804054260253906
2023-07-21,52.89863204956055
2023-07-24,52.95767974853515
2023-07-25,53.05609130859375
2023-07-26,53.5678596496582
2023-07-27,55.85110855102539
2023-07-28,58.05562973022461
2023-07-31,58.60675811767578
2023-08-01,58.85279846191406
2023-08-02,58.04578399658203
2023-08-03,57.17972946166992
2023-08-04,56.17588424682617
2023-08-07,57.17972946166992
2023-08-08,56.48097229003906
2023-08-09,55.27045822143555
2023-08-10,54.52249526977539
2023-08-11,54.660274505615234
2023-08-14,55.1326789855957
2023-08-15,54.53233337402344
2023-08-16,53.60722351074219
2023-08-17,52.209716796875
2023-08-18,52.54433059692383
2023-08-21,52.72147750854492
2023-08-22,52.94783020019531
2023-08-23,54.355186462402344
2023-08-24,53.075775146484375
2023-08-25,54.14851379394531
2023-08-28,54.68980026245117
2023-08-29,55.8609504699707
2023-08-30,56.27429962158203
2023-08-31,56.54001998901367
2023-09-01,57.02225875854492
2023-09-05,55.52633285522461
2023-09-06,55.50665664672851
2023-09-07,56.34319305419922
2023-09-08,57.73085403442383
2023-09-11,58.00642395019531
2023-09-12,55.68380355834961
2023-09-13,54.365028381347656
2023-09-14,53.89263153076172
2023-09-15,53.597381591796875
2023-09-18,53.52848815917969
2023-09-19,52.99704360961914
2023-09-20,52.97736358642578
2023-09-21,51.727481842041016
2023-09-22,52.032562255859375
2023-09-25,52.731319427490234
2023-09-26,51.88494110107422
2023-09-27,54.20756530761719
2023-09-28,55.05393981933594
2023-09-29,54.32565689086914
2023-10-02,53.69580078125
2023-10-03,52.672271728515625
2023-10-04,53.74500274658203
2023-10-05,52.66242980957031
2023-10-06,53.42023468017578
2023-10-09,54.14851379394531
2023-10-10,54.54217529296875
2023-10-11,55.1523551940918
2023-10-12,53.6170654296875
2023-10-13,51.727481842041016
