,SYF
2020-06-11,19.744029998779297
2020-06-12,21.188066482543945
2020-06-15,21.740720748901367
2020-06-16,22.427080154418945
2020-06-17,22.06161880493164
2020-06-18,21.615928649902344
2020-06-19,21.188066482543945
2020-06-22,21.20589256286621
2020-06-23,21.3217716217041
2020-06-24,19.690549850463867
2020-06-25,20.278858184814453
2020-06-26,19.06658172607422
2020-06-29,19.56575584411621
2020-06-30,19.752946853637695
2020-07-01,19.26268768310547
2020-07-02,19.485532760620117
2020-07-06,20.323429107666016
2020-07-07,19.423139572143555
2020-07-08,19.895570755004883
2020-07-09,19.022016525268555
2020-07-10,20.10949325561523
2020-07-13,20.225378036499023
2020-07-14,20.011445999145508
2020-07-15,21.07218360900879
2020-07-16,21.170236587524418
2020-07-17,20.68889045715332
2020-07-20,19.94904899597168
2020-07-21,20.18081283569336
2020-07-22,20.43039321899414
2020-07-23,20.849340438842773
2020-07-24,21.000879287719727
2020-07-27,21.161331176757812
2020-07-28,20.57301902770996
2020-07-29,21.196983337402344
2020-07-30,20.653240203857425
2020-07-31,19.915306091308594
2020-08-03,20.446252822875977
2020-08-04,20.38326072692871
2020-08-05,20.995210647583008
2020-08-06,20.77922821044922
2020-08-07,21.319185256958008
2020-08-10,22.129114151000977
2020-08-11,22.588071823120117
2020-08-12,22.264102935791016
2020-08-13,22.228107452392575
2020-08-14,22.43509101867676
2020-08-17,21.913131713867188
2020-08-18,21.580156326293945
2020-08-19,21.6971492767334
2020-08-20,21.544166564941406
2020-08-21,21.517166137695312
2020-08-24,22.723064422607425
2020-08-25,22.408090591430664
2020-08-26,22.00312614440918
2020-08-27,23.02003288269043
2020-08-28,23.20002555847168
2020-08-31,22.327091217041016
2020-09-01,22.37209129333496
2020-09-02,22.336095809936523
2020-09-03,22.6060733795166
2020-09-04,23.55099296569824
2020-09-08,22.975040435791016
2020-09-09,23.038036346435547
2020-09-10,22.858051300048828
2020-09-11,23.209022521972656
2020-09-14,24.261926651000977
2020-09-15,23.83896827697754
2020-09-16,24.828876495361328
2020-09-17,24.873878479003903
2020-09-18,24.50490951538086
2020-09-21,23.30801010131836
2020-09-22,23.047033309936523
2020-09-23,22.588071823120117
2020-09-24,22.291101455688477
2020-09-25,22.62407112121582
2020-09-28,23.209022521972656
2020-09-29,22.9930419921875
2020-09-30,23.55099296569824
2020-10-01,23.98295783996582
2020-10-02,24.71189308166504
2020-10-05,25.53982162475586
2020-10-06,24.747888565063477
2020-10-07,25.46782684326172
2020-10-08,26.232763290405273
2020-10-09,25.95379066467285
2020-10-12,25.98078727722168
2020-10-13,25.683815002441406
2020-10-14,25.800798416137695
2020-10-15,26.187767028808594
2020-10-16,26.43974494934082
2020-10-19,26.169769287109375
2020-10-20,24.84688186645508
2020-10-21,24.17194175720215
2020-10-22,25.16185760498047
2020-10-23,24.972871780395508
2020-10-26,24.19893455505371
2020-10-27,23.6049861907959
2020-10-28,22.65106964111328
2020-10-29,22.912044525146484
2020-10-30,22.712337493896484
2020-11-02,23.56563949584961
2020-11-03,24.20107650756836
2020-11-04,24.073986053466797
2020-11-05,24.94544792175293
2020-11-06,24.328163146972656
2020-11-09,27.09685707092285
2020-11-10,26.878992080688477
2020-11-11,26.68835830688477
2020-11-12,26.425106048583984
2020-11-13,27.251174926757812
2020-11-16,28.240644454956055
2020-11-17,27.75044631958008
2020-11-18,27.305644989013672
2020-11-19,27.278406143188477
2020-11-20,26.733745574951172
2020-11-23,27.804908752441406
2020-11-24,29.021318435668945
2020-11-25,28.485734939575195
2020-11-27,28.22248649597168
2020-11-30,27.65966796875
2020-12-01,28.567432403564453
2020-12-02,29.348115921020508
2020-12-03,29.36626625061035
2020-12-04,29.92909049987793
2020-12-07,29.565982818603516
2020-12-08,29.4025821685791
2020-12-09,29.36626625061035
2020-12-10,29.938161849975582
2020-12-11,29.293651580810547
2020-12-14,28.966856002807617
2020-12-15,29.711225509643555
2020-12-16,29.920013427734375
2020-12-17,30.22865104675293
2020-12-18,29.36626625061035
2020-12-21,30.3012752532959
2020-12-22,30.192337036132812
2020-12-23,30.982101440429688
2020-12-24,30.827775955200195
2020-12-28,30.818695068359375
2020-12-29,30.80054473876953
2020-12-30,31.127338409423828
2020-12-31,31.508607864379883
2021-01-04,30.991167068481445
2021-01-05,31.56307029724121
2021-01-06,33.47846221923828
2021-01-07,33.324127197265625
2021-01-08,33.20612716674805
2021-01-11,32.942874908447266
2021-01-12,33.18797302246094
2021-01-13,33.959571838378906
2021-01-14,35.32122039794922
2021-01-15,35.194129943847656
2021-01-19,36.03836441040039
2021-01-20,36.2289924621582
2021-01-21,34.64947509765625
2021-01-22,33.92326736450195
2021-01-25,33.251522064208984
2021-01-26,32.11680221557617
2021-01-27,31.20903587341309
2021-01-28,32.57976531982422
2021-01-29,30.546367645263672
2021-02-01,31.490447998046875
2021-02-02,32.71593475341797
2021-02-03,32.77947998046875
2021-02-04,33.921146392822266
2021-02-05,34.05813980102539
2021-02-08,34.405208587646484
2021-02-09,33.90287399291992
2021-02-10,34.59700012207031
2021-02-11,34.04900360107422
2021-02-12,33.93027877807617
2021-02-16,34.615272521972656
2021-02-17,34.22254943847656
2021-02-18,33.473609924316406
2021-02-19,34.77967071533203
2021-02-22,35.45553970336914
2021-02-23,35.1450080871582
2021-02-24,36.73419952392578
2021-02-25,35.63819885253906
2021-02-26,35.32767105102539
2021-03-01,36.53326797485352
2021-03-02,36.13140106201172
2021-03-03,36.64286804199219
2021-03-04,35.5377311706543
2021-03-05,36.62459945678711
2021-03-08,37.11780548095703
2021-03-09,36.688533782958984
2021-03-10,38.00373840332031
2021-03-11,38.96274185180664
2021-03-12,38.999267578125
