,GE
2020-04-27,31.429800033569336
2020-04-28,33.23835754394531
2020-04-29,32.162994384765625
2020-04-30,33.23835754394531
2020-05-01,31.77195930480957
2020-05-04,30.354440689086914
2020-05-05,30.30556297302246
2020-05-06,29.23020362854004
2020-05-07,29.86564064025879
2020-05-08,30.74547576904297
2020-05-11,30.25667953491211
2020-05-12,29.327960968017578
2020-05-13,28.30147933959961
2020-05-14,27.861562728881836
2020-05-15,26.8350772857666
2020-05-18,30.64771270751953
2020-05-19,30.354440689086914
2020-05-20,31.380916595458984
2020-05-21,31.674196243286133
2020-05-22,31.3320369720459
2020-05-26,33.23835754394531
2020-05-27,35.63347625732422
2020-05-28,33.14059066772461
2020-05-29,32.11411666870117
2020-06-01,33.0428352355957
2020-06-02,34.460357666015625
2020-06-03,35.97563171386719
2020-06-04,37.83306121826172
2020-06-05,38.51738739013672
2020-06-08,41.352413177490234
2020-06-09,39.201717376708984
2020-06-10,37.197628021240234
2020-06-11,33.9715576171875
2020-06-12,35.43796157836914
2020-06-15,35.38907241821289
2020-06-16,36.513309478759766
2020-06-17,35.38907241821289
2020-06-18,35.5845947265625
2020-06-19,34.94914245605469
2020-06-22,34.411476135253906
2020-06-23,34.2159538269043
2020-06-24,31.918596267700195
2020-06-25,32.651798248291016
2020-06-26,31.721681594848633
2020-06-29,33.28818893432617
2020-06-30,33.43504333496094
2020-07-01,32.99446487426758
2020-07-02,33.3860969543457
2020-07-06,34.267250061035156
2020-07-07,33.09237289428711
2020-07-08,33.58190155029297
2020-07-09,32.211212158203125
2020-07-10,32.749698638916016
2020-07-13,32.79866027832031
2020-07-14,33.6798095703125
2020-07-15,34.952598571777344
2020-07-16,34.512020111083984
2020-07-17,34.609928131103516
2020-07-20,33.63086700439453
2020-07-21,34.463069915771484
2020-07-22,34.56097412109375
2020-07-23,34.463069915771484
2020-07-24,33.58190155029297
2020-07-27,32.84761428833008
2020-07-28,33.728759765625
2020-07-29,32.260169982910156
2020-07-30,30.64470863342285
2020-07-31,29.714599609375
2020-08-03,29.910415649414062
2020-08-04,30.057273864746094
2020-08-05,31.330055236816406
2020-08-06,30.987382888793945
2020-08-07,31.330055236816406
2020-08-10,32.651798248291016
2020-08-11,32.94551467895508
2020-08-12,32.89656066894531
2020-08-13,32.309120178222656
2020-08-14,32.60284423828125
2020-08-17,31.672733306884766
2020-08-18,31.52586555480957
2020-08-19,31.23215103149414
2020-08-20,30.693660736083984
2020-08-21,30.889476776123047
2020-08-24,32.45597839355469
2020-08-25,32.260169982910156
2020-08-26,31.721681594848633
2020-08-27,31.721681594848633
2020-08-28,32.35807800292969
2020-08-31,31.036338806152344
2020-09-01,30.302040100097656
2020-09-02,31.52586555480957
2020-09-03,30.938430786132812
2020-09-04,31.42796516418457
2020-09-08,30.057273864746094
2020-09-09,30.155179977416992
2020-09-10,29.37192726135254
2020-09-11,29.127164840698242
2020-09-14,30.106225967407227
2020-09-15,29.86146354675293
2020-09-16,33.04342269897461
2020-09-17,34.512020111083984
2020-09-18,33.6798095703125
2020-09-21,31.085294723510742
2020-09-22,30.59575653076172
2020-09-23,29.910415649414062
2020-09-24,29.6656494140625
2020-09-25,29.959850311279297
2020-09-28,30.401161193847656
2020-09-29,30.008888244628906
2020-09-30,30.548267364501953
2020-10-01,30.5972957611084
2020-10-02,31.332809448242188
2020-10-05,31.430875778198242
2020-10-06,30.254058837890625
2020-10-07,30.940540313720703
2020-10-08,32.60769271850586
2020-10-09,33.539337158203125
2020-10-12,33.49031066894531
2020-10-13,32.95093536376953
2020-10-14,33.44127655029297
2020-10-15,33.68644332885742
2020-10-16,35.745887756347656
2020-10-19,35.745887756347656
2020-10-20,35.99105453491211
2020-10-21,35.89298629760742
2020-10-22,37.85435104370117
2020-10-23,37.41304397583008
2020-10-26,36.18718338012695
2020-10-27,34.814231872558594
2020-10-28,36.38332748413086
2020-10-29,36.138153076171875
2020-10-30,36.38332748413086
2020-11-02,36.8736572265625
2020-11-03,38.49178695678711
2020-11-04,38.49178695678711
