,DPZ
2017-03-31,169.871337890625
2017-04-03,171.65023803710938
2017-04-04,171.77011108398438
2017-04-05,170.64561462402344
2017-04-06,171.43824768066406
2017-04-07,161.44691467285156
2017-04-10,160.1472930908203
2017-04-11,161.76951599121094
2017-04-12,161.41925048828125
2017-04-13,160.41456604003906
2017-04-17,161.33628845214844
2017-04-18,162.80186462402344
2017-04-19,161.95387268066406
2017-04-20,163.05990600585938
2017-04-21,165.26275634765625
2017-04-24,166.4518280029297
2017-04-25,166.4518280029297
2017-04-26,166.79281616210938
2017-04-27,171.0235137939453
2017-04-28,167.1891326904297
2017-05-01,167.89886474609375
2017-05-02,169.9727020263672
2017-05-03,172.4245147705078
2017-05-04,175.4845428466797
2017-05-05,178.0008087158203
2017-05-08,177.23583984375
2017-05-09,180.0654296875
2017-05-10,180.35122680664062
2017-05-11,180.0839080810547
2017-05-12,179.99171447753906
2017-05-15,181.13462829589844
2017-05-16,180.8673553466797
2017-05-17,176.4708251953125
2017-05-18,179.46640014648438
2017-05-19,180.47103881835938
2017-05-22,183.25460815429688
2017-05-23,183.6509552001953
2017-05-24,189.84478759765625
2017-05-25,191.7527618408203
2017-05-26,190.8402862548828
2017-05-30,192.16751098632812
2017-05-31,195.14468383789062
2017-06-01,198.4812469482422
2017-06-02,200.97909545898438
2017-06-05,200.10345458984375
2017-06-06,200.7947540283203
2017-06-07,201.07125854492188
2017-06-08,200.82241821289062
2017-06-09,190.04762268066406
2017-06-12,188.09356689453125
2017-06-13,192.51853942871094
2017-06-14,194.51394653320312
2017-06-15,193.5901336669922
2017-06-16,194.7725830078125
2017-06-19,199.28994750976562
2017-06-20,198.64328002929688
2017-06-21,199.62249755859375
2017-06-22,201.47006225585938
2017-06-23,200.50933837890625
2017-06-26,202.19989013671875
2017-06-27,196.8972930908203
2017-06-28,197.32228088378906
2017-06-29,194.68942260742188
2017-06-30,195.41001892089844
2017-07-03,193.9226837158203
2017-07-05,192.17674255371094
2017-07-06,192.9249725341797
2017-07-07,196.13980102539062
2017-07-10,195.4931182861328
2017-07-11,195.94580078125
2017-07-12,197.266845703125
2017-07-13,194.412353515625
2017-07-14,193.26683044433594
2017-07-17,192.37998962402344
2017-07-18,195.33607482910156
2017-07-19,196.32461547851562
2017-07-20,196.25067138671875
2017-07-21,196.97120666503906
2017-07-24,197.66409301757812
2017-07-25,177.73782348632812
2017-07-26,172.22279357910156
2017-07-27,168.5276336669922
2017-07-28,169.1373291015625
2017-07-31,172.28746032714844
2017-08-01,172.2412567138672
2017-08-02,177.69168090820312
2017-08-03,183.1235809326172
2017-08-04,181.7932891845703
2017-08-07,180.5369415283203
2017-08-08,177.49765014648438
2017-08-09,179.05885314941406
2017-08-10,177.85794067382812
2017-08-11,178.16278076171875
2017-08-14,179.1328125
2017-08-15,173.83021545410156
2017-08-16,173.36827087402344
2017-08-17,173.91336059570312
2017-08-18,174.2828826904297
2017-08-21,175.04037475585938
2017-08-22,174.60618591308594
2017-08-23,173.3867645263672
2017-08-24,169.33131408691406
2017-08-25,165.10955810546875
2017-08-28,165.13729858398438
2017-08-29,164.7863006591797
2017-08-30,165.2943878173828
2017-08-31,168.37060546875
2017-09-01,169.59922790527344
2017-09-05,168.59231567382812
2017-09-06,168.71240234375
2017-09-07,169.3498077392578
2017-09-08,172.22279357910156
2017-09-11,174.61541748046875
2017-09-12,175.44686889648438
2017-09-13,174.18124389648438
2017-09-14,175.86666870117188
2017-09-15,180.283935546875
2017-09-18,181.1544189453125
2017-09-19,181.44149780273438
2017-09-20,182.969482421875
2017-09-21,183.39541625976562
2017-09-22,182.62684631347656
2017-09-25,179.11709594726562
2017-09-26,179.0152587890625
2017-09-27,182.28419494628906
2017-09-28,182.46939086914062
2017-09-29,183.8677978515625
2017-10-02,185.20130920410156
2017-10-03,187.812744140625
2017-10-04,186.72926330566406
2017-10-05,190.78541564941406
2017-10-06,190.2019500732422
2017-10-09,190.58164978027344
2017-10-10,193.95248413085938
2017-10-11,193.7672576904297
2017-10-12,186.1643524169922
2017-10-13,178.70965576171875
2017-10-16,178.90408325195312
2017-10-17,178.05215454101562
2017-10-18,173.90341186523438
