,CB
2021-11-03,183.35763549804688
2021-11-04,181.25885009765625
2021-11-05,184.3020782470703
2021-11-08,183.0714111328125
2021-11-09,184.61691284179688
2021-11-10,184.1685028076172
2021-11-11,184.2162322998047
2021-11-12,183.96820068359375
2021-11-15,184.27346801757812
2021-11-16,184.26393127441406
2021-11-17,182.95693969726562
2021-11-18,183.1000518798828
2021-11-19,179.58938598632812
2021-11-22,181.98388671875
2021-11-23,184.0731201171875
2021-11-24,181.65951538085938
2021-11-26,176.0595703125
2021-11-29,176.5270233154297
2021-11-30,171.2132568359375
2021-12-01,167.08250427246094
2021-12-02,173.97032165527344
2021-12-03,173.11172485351562
2021-12-06,178.90248107910156
2021-12-07,179.38902282714844
2021-12-08,180.45750427246094
2021-12-09,181.4496612548828
2021-12-10,182.66122436523438
2021-12-13,181.47830200195312
2021-12-14,183.68199157714844
2021-12-15,185.0366668701172
2021-12-16,187.62313842773438
2021-12-17,181.78919982910156
2021-12-20,177.95745849609375
2021-12-21,179.36563110351562
2021-12-22,180.4576873779297
2021-12-23,182.62266540527344
2021-12-27,185.34323120117188
2021-12-28,185.2952880859375
2021-12-29,186.18621826171875
2021-12-30,184.98878479003906
2021-12-31,185.1803436279297
2022-01-03,183.38900756835938
2022-01-04,187.38365173339844
2022-01-05,185.86048889160156
2022-01-06,189.66355895996094
2022-01-07,192.72894287109375
2022-01-10,190.45863342285156
2022-01-11,191.09088134765625
2022-01-12,189.5006866455078
2022-01-13,189.22288513183594
2022-01-14,188.0063018798828
2022-01-18,186.78012084960938
2022-01-19,183.8105010986328
2022-01-20,184.98878479003906
2022-01-21,183.93504333496094
2022-01-24,187.66143798828125
2022-01-25,185.51565551757812
2022-01-26,185.93711853027344
2022-01-27,184.66311645507812
2022-01-28,188.60980224609375
2022-01-31,188.9833984375
2022-02-01,191.4644775390625
2022-02-02,198.8023223876953
2022-02-03,198.62989807128906
2022-02-04,197.90187072753906
2022-02-07,196.37875366210938
2022-02-08,199.15676879882812
2022-02-09,200.17221069335938
2022-02-10,199.82733154296875
2022-02-11,195.47825622558594
2022-02-14,193.5719757080078
2022-02-15,195.08551025390625
2022-02-16,196.2925262451172
2022-02-17,195.06637573242188
2022-02-18,196.10092163085938
2022-02-22,194.54904174804688
2022-02-23,192.93972778320312
2022-02-24,190.65977478027344
2022-02-25,198.3137969970703
2022-02-28,195.07594299316406
2022-03-01,191.14834594726562
2022-03-02,195.7081756591797
2022-03-03,197.33670043945312
2022-03-04,196.8768768310547
2022-03-07,190.55442810058594
2022-03-08,189.3378448486328
2022-03-09,195.3633270263672
2022-03-10,192.94931030273438
2022-03-11,193.418701171875
2022-03-14,196.34042358398438
2022-03-15,198.72569274902344
2022-03-16,202.0977020263672
2022-03-17,202.991943359375
2022-03-18,203.3861846923828
2022-03-21,204.79013061523438
2022-03-22,205.43438720703125
2022-03-23,202.5496063232422
2022-03-24,205.00167846679688
2022-03-25,209.4153594970703
2022-03-28,208.81918334960938
2022-03-29,207.54989624023438
2022-03-30,209.1461181640625
2022-03-31,205.6843719482422
2022-04-01,208.2326202392578
2022-04-04,205.3670654296875
2022-04-05,204.2227783203125
2022-04-06,204.3189239501953
2022-04-07,204.4151153564453
2022-04-08,207.84796142578125
2022-04-11,206.99217224121094
2022-04-12,206.18443298339844
2022-04-13,204.6651153564453
2022-04-14,202.43421936035156
2022-04-18,203.77084350585938
2022-04-19,201.8572540283203
2022-04-20,204.4151153564453
2022-04-21,203.40542602539062
2022-04-22,198.18397521972656
2022-04-25,199.3571319580078
2022-04-26,195.5876922607422
2022-04-27,202.5303955078125
2022-04-28,203.05926513671875
2022-04-29,198.5205535888672
2022-05-02,197.2897186279297
2022-05-03,199.6071319580078
2022-05-04,205.7421112060547
2022-05-05,200.01104736328125
2022-05-06,201.12646484375
2022-05-09,197.2320098876953
2022-05-10,197.001220703125
2022-05-11,196.7704315185547
2022-05-12,197.54934692382812
2022-05-13,198.60708618164062
2022-05-16,200.01104736328125
2022-05-17,204.25161743164062
2022-05-18,199.34750366210938
2022-05-19,196.0492706298828
2022-05-20,196.16464233398438
2022-05-23,199.34750366210938
2022-05-24,200.15525817871094
2022-05-25,199.9917755126953
2022-05-26,199.72254943847656
2022-05-27,202.7899932861328
2022-05-31,203.17465209960938
2022-06-01,200.62643432617188
2022-06-02,201.84767150878906
2022-06-03,200.52066040039062
2022-06-06,203.98239135742188
2022-06-07,205.41514587402344
2022-06-08,202.25152587890625
