,DG
2020-06-04,176.14889526367188
2020-06-05,175.94041442871094
2020-06-08,176.26263427734375
2020-06-09,176.49952697753906
2020-06-10,180.17642211914062
2020-06-11,178.42323303222656
2020-06-12,174.3673095703125
2020-06-15,178.02523803710938
2020-06-16,180.88714599609375
2020-06-17,179.82577514648438
2020-06-18,181.3041229248047
2020-06-19,178.8970489501953
2020-06-22,182.08119201660156
2020-06-23,180.0247802734375
2020-06-24,181.8063507080078
2020-06-25,180.68814086914062
2020-06-26,179.47515869140625
2020-06-29,180.07217407226562
2020-06-30,180.53651428222656
2020-07-01,180.90609741210938
2020-07-02,179.5604705810547
2020-07-06,177.6804962158203
2020-07-07,178.32615661621094
2020-07-08,177.10133361816406
2020-07-09,180.14907836914062
2020-07-10,178.72491455078125
2020-07-13,177.03489685058594
2020-07-14,180.1396026611328
2020-07-15,179.85476684570312
2020-07-16,179.3705596923828
2020-07-17,178.95277404785156
2020-07-20,183.02597045898438
2020-07-21,182.1619415283203
2020-07-22,185.28564453125
2020-07-23,181.9625244140625
2020-07-24,182.0099639892578
2020-07-27,180.3484649658203
2020-07-28,180.42440795898438
2020-07-29,181.7062225341797
2020-07-30,181.64923095703125
2020-07-31,180.77572631835938
2020-08-03,183.13986206054688
2020-08-04,185.55145263671875
2020-08-05,185.40907287597656
2020-08-06,182.81704711914062
2020-08-07,185.4185333251953
2020-08-10,183.5196533203125
2020-08-11,181.4308319091797
2020-08-12,186.88075256347656
2020-08-13,186.16859436035156
2020-08-14,188.51377868652344
2020-08-17,190.58360290527344
2020-08-18,187.97256469726562
2020-08-19,190.013916015625
2020-08-20,187.80169677734375
2020-08-21,188.87454223632812
2020-08-24,188.29537963867188
2020-08-25,188.6182098388672
2020-08-26,193.77374267578125
2020-08-27,191.16273498535156
2020-08-28,190.26077270507812
2020-08-31,191.6754608154297
2020-09-01,189.79551696777344
2020-09-02,193.78323364257812
2020-09-03,186.85223388671875
2020-09-04,185.8268280029297
2020-09-08,182.67465209960938
2020-09-09,187.46937561035156
2020-09-10,187.1560516357422
2020-09-11,190.36521911621094
2020-09-14,191.89382934570312
2020-09-15,192.61538696289062
2020-09-16,192.50144958496094
2020-09-17,193.2135467529297
2020-09-18,197.58103942871094
2020-09-21,192.68185424804688
2020-09-22,197.8088836669922
2020-09-23,193.89718627929688
2020-09-24,194.65672302246094
2020-09-25,197.85641479492188
2020-09-28,199.19512939453125
2020-09-29,199.04319763183594
2020-09-30,199.02420043945312
2020-10-01,200.82818603515625
2020-10-02,200.82818603515625
2020-10-05,202.75881958007812
2020-10-06,201.90284729003906
2020-10-07,204.03326416015625
2020-10-08,208.1704559326172
2020-10-09,210.16766357421875
2020-10-12,209.76820373535156
2020-10-13,212.08883666992188
2020-10-14,209.33074951171875
2020-10-15,211.96517944335938
2020-10-16,210.86195373535156
2020-10-19,207.40008544921875
2020-10-20,207.12425231933594
2020-10-21,209.10247802734375
2020-10-22,203.8335418701172
2020-10-23,204.8987274169922
2020-10-26,201.6650848388672
2020-10-27,203.25341796875
2020-10-28,200.69500732421875
2020-10-29,200.419189453125
2020-10-30,198.49803161621094
2020-11-02,199.2684326171875
2020-11-03,203.6243133544922
2020-11-04,205.65008544921875
2020-11-05,207.34300231933594
2020-11-06,210.56710815429688
2020-11-09,200.19097900390625
2020-11-10,200.25750732421875
2020-11-11,203.12025451660156
2020-11-12,202.36891174316406
2020-11-13,203.43406677246094
2020-11-16,202.66372680664062
2020-11-17,198.5360870361328
2020-11-18,198.36489868164062
2020-11-19,200.8756866455078
2020-11-20,199.9436798095703
2020-11-23,200.71401977539062
2020-11-24,202.5591278076172
2020-11-25,206.3824005126953
2020-11-27,207.34300231933594
2020-11-30,207.88510131835938
2020-12-01,209.08351135253906
2020-12-02,206.89601135253906
2020-12-03,203.99522399902344
2020-12-04,202.98709106445312
2020-12-07,202.92051696777344
2020-12-08,201.02789306640625
2020-12-09,198.7548370361328
2020-12-10,195.79701232910156
2020-12-11,196.5007781982422
2020-12-14,195.82553100585938
2020-12-15,197.613525390625
2020-12-16,200.69500732421875
2020-12-17,202.15013122558594
2020-12-18,200.18142700195312
2020-12-21,200.63796997070312
2020-12-22,202.6447296142578
2020-12-23,200.8376922607422
2020-12-24,200.94227600097656
2020-12-28,200.09584045410156
2020-12-29,200.99935913085938
2020-12-30,199.65835571289062
2020-12-31,200.01025390625
2021-01-04,199.79112243652344
2021-01-05,196.95208740234375
2021-01-06,205.12625122070312
2021-01-07,207.42227172851562
2021-01-08,205.6026153564453
2021-01-11,205.07861328125
2021-01-12,208.0510711669922
2021-01-13,207.89859008789062
2021-01-14,203.1541748046875
2021-01-15,201.4393310546875
2021-01-19,196.31378173828125
2021-01-20,195.41822814941406
2021-01-21,197.89524841308594
2021-01-22,196.45664978027344
2021-01-25,196.79966735839844
2021-01-26,196.37094116210938
2021-01-27,190.1878662109375
2021-01-28,189.6353302001953
2021-01-29,185.40533447265625
2021-02-01,183.63328552246094
2021-02-02,186.11032104492188
2021-02-03,186.52000427246094
2021-02-04,186.4628143310547
2021-02-05,184.6526641845703
2021-02-08,188.99700927734375
2021-02-09,193.86532592773438
2021-02-10,191.79795837402344
2021-02-11,190.57847595214844
2021-02-12,189.2066192626953
2021-02-16,190.759521484375
2021-02-17,191.9694366455078
2021-02-18,193.23654174804688
2021-02-19,191.64552307128906
2021-02-22,189.36856079101562
2021-02-23,185.9483642578125
2021-02-24,183.49990844726562
2021-02-25,179.75576782226562
2021-02-26,180.0511474609375
2021-03-01,183.77621459960938
2021-03-02,177.67893981933594
2021-03-03,174.23963928222656
2021-03-04,169.7143096923828
2021-03-05,170.2573699951172
2021-03-08,173.3727264404297
2021-03-09,177.8694610595703
2021-03-10,178.67926025390625
2021-03-11,180.69900512695312
2021-03-12,182.88070678710938
2021-03-15,184.91946411132812
2021-03-16,184.3954620361328
2021-03-17,178.64114379882812
2021-03-18,170.3430938720703
2021-03-19,178.8983612060547
2021-03-22,184.78607177734375
2021-03-23,187.7680206298828
2021-03-24,187.75851440429688
2021-03-25,188.42539978027344
2021-03-26,193.47470092773438
2021-03-29,193.7700653076172
2021-03-30,192.2075958251953
2021-03-31,193.03646850585938
2021-04-01,192.8268585205078
2021-04-05,198.36402893066406
2021-04-06,196.31146240234375
2021-04-07,196.40692138671875
2021-04-08,197.80078125
2021-04-09,197.29478454589844
2021-04-12,199.56692504882812
2021-04-13,202.4309844970703
2021-04-14,203.87254333496094
2021-04-15,205.9728240966797
2021-04-16,206.91796875
2021-04-19,206.90847778320312
2021-04-20,208.39773559570312
2021-04-21,207.01345825195312
2021-04-22,205.40956115722656
2021-04-23,203.64340209960938
2021-04-26,202.13499450683594
2021-04-27,202.77464294433594
2021-04-28,202.46917724609375
2021-04-29,205.1327362060547
2021-04-30,205.01817321777344
2021-05-03,206.75570678710938
2021-05-04,206.44065856933594
2021-05-05,206.09693908691406
2021-05-06,208.59823608398438
2021-05-07,210.22117614746094
2021-05-10,208.94189453125
2021-05-11,204.20668029785156
2021-05-12,196.54058837890625
2021-05-13,196.43557739257812
2021-05-14,196.85562133789062
2021-05-17,194.9462432861328
2021-05-18,195.6622772216797
2021-05-19,194.49754333496094
2021-05-20,194.86990356445312
2021-05-21,195.74819946289062
2021-05-24,188.21572875976562
2021-05-25,189.8577880859375
2021-05-26,190.9175262451172
2021-05-27,195.12765502929688
2021-05-28,193.76248168945312
2021-06-01,192.29225158691406
2021-06-02,193.06553649902344
2021-06-03,196.66468811035156
2021-06-04,197.39022827148438
2021-06-07,196.66468811035156
2021-06-08,196.39739990234375
2021-06-09,195.64315795898438
2021-06-10,197.09429931640625
2021-06-11,199.82470703125
2021-06-14,200.05384826660156
2021-06-15,202.50735473632812
2021-06-16,201.57174682617188
2021-06-17,203.61477661132812
2021-06-18,203.06106567382812
2021-06-21,204.27354431152344
2021-06-22,205.10409545898438
2021-06-23,204.37852478027344
2021-06-24,204.20668029785156
2021-06-25,202.30685424804688
2021-06-28,205.27590942382812
2021-06-29,207.15664672851562
2021-06-30,206.58384704589844
2021-07-01,207.93951416015625
2021-07-02,209.0299072265625
2021-07-06,208.90557861328125
2021-07-07,211.8708038330078
2021-07-08,210.11077880859375
2021-07-09,211.1725616455078
2021-07-12,209.91949462890625
2021-07-13,210.45516967773438
2021-07-14,211.28736877441406
2021-07-15,212.30123901367188
2021-07-16,212.51170349121094
2021-07-19,214.52041625976562
2021-07-20,216.56739807128906
2021-07-21,214.4725799560547
2021-07-22,215.7830047607422
2021-07-23,218.9491424560547
2021-07-26,219.9726104736328
2021-07-27,220.14476013183594
2021-07-28,220.05865478515625
2021-07-29,222.870849609375
2021-07-30,222.52655029296875
2021-08-02,222.39259338378906
2021-08-03,224.83175659179688
2021-08-04,224.68824768066406
2021-08-05,225.55873107910156
2021-08-06,225.8839569091797
