,CTAS
2020-04-08,42.32240676879883
2020-04-09,43.714744567871094
2020-04-13,42.909706115722656
2020-04-14,44.36582946777344
2020-04-15,41.14781951904297
2020-04-16,41.933067321777344
2020-04-17,44.90693283081055
2020-04-20,42.652347564697266
2020-04-21,41.90228271484375
2020-04-22,43.428802490234375
2020-04-23,43.864322662353516
2020-04-24,44.03147506713867
2020-04-27,46.73479461669922
2020-04-28,47.988563537597656
2020-04-29,50.799644470214844
2020-04-30,48.79361343383789
2020-05-01,46.58961868286133
2020-05-04,46.112300872802734
2020-05-05,46.3542594909668
2020-05-06,46.228878021240234
2020-05-07,46.939361572265625
2020-05-08,47.99736785888672
2020-05-11,47.15491485595703
2020-05-12,45.25666046142578
2020-05-13,43.87531661987305
2020-05-14,50.30693054199219
2020-05-15,50.02318572998047
2020-05-18,52.00502395629883
2020-05-19,52.565914154052734
2020-05-20,52.90685272216797
2020-05-21,53.353370666503906
2020-05-22,52.93324661254883
2020-05-26,55.59035873413086
2020-05-27,55.337406158447266
2020-05-28,55.36820983886719
2020-05-29,54.54115676879883
2020-06-01,55.1966438293457
2020-06-02,56.08966827392578
2020-06-03,59.56721878051758
2020-06-04,59.21529006958008
2020-06-05,63.01840591430664
2020-06-08,64.1203842163086
2020-06-09,62.2287483215332
2020-06-10,61.18832015991211
2020-06-11,58.069305419921875
2020-06-12,58.55320739746094
2020-06-15,58.62580108642578
2020-06-16,60.18751525878906
2020-06-17,60.11053466796875
2020-06-18,60.66702651977539
2020-06-19,59.42425537109375
2020-06-22,59.402259826660156
2020-06-23,59.949954986572266
2020-06-24,57.548004150390625
2020-06-25,57.754756927490234
2020-06-26,56.41960525512695
2020-06-29,57.98351287841797
2020-06-30,58.58841323852539
2020-07-01,58.94255065917969
2020-07-02,59.53203201293945
2020-07-06,60.18751525878906
2020-07-07,59.384666442871094
2020-07-08,59.677207946777344
2020-07-09,58.5400276184082
2020-07-10,58.702789306640625
2020-07-13,58.58841323852539
2020-07-14,59.45504379272461
2020-07-15,61.236717224121094
2020-07-16,61.02776336669922
2020-07-17,61.60186004638672
2020-07-20,61.10913848876953
2020-07-21,62.4860954284668
2020-07-22,63.64748001098633
2020-07-23,66.6499252319336
2020-07-24,66.55973815917969
2020-07-27,65.6095199584961
2020-07-28,64.57130432128906
2020-07-29,67.26360321044922
2020-07-30,66.385986328125
2020-07-31,66.399169921875
2020-08-03,65.710693359375
2020-08-04,66.34858703613281
2020-08-05,65.98124694824219
2020-08-06,66.65431213378906
2020-08-07,68.18963623046875
2020-08-10,69.59518432617188
2020-08-11,70.01969909667969
2020-08-12,70.36284637451172
2020-08-13,70.16268920898438
2020-08-14,69.60397338867188
2020-08-17,70.60480499267578
2020-08-18,70.1164779663086
2020-08-19,70.05709075927734
2020-08-20,70.39363098144531
2020-08-21,70.47281646728516
2020-08-24,71.56600952148438
2020-08-25,71.42743682861328
2020-08-26,71.69579315185547
2020-08-27,72.31829071044922
2020-08-28,73.44007873535156
2020-08-31,73.29930877685547
2020-09-01,73.75462341308594
2020-09-02,75.30973052978516
2020-09-03,72.74059295654297
2020-09-04,72.83078002929688
2020-09-08,70.11868286132812
2020-09-09,71.69139099121094
2020-09-10,69.83274841308594
2020-09-11,70.59600067138672
2020-09-14,72.10492706298828
2020-09-15,72.1841049194336
2020-09-16,71.75297546386719
2020-09-17,71.4890365600586
2020-09-18,70.0064926147461
2020-09-21,69.636962890625
2020-09-22,71.26908111572266
2020-09-23,69.66337585449219
2020-09-24,70.087890625
2020-09-25,71.96414947509766
2020-09-28,73.90638732910156
2020-09-29,72.64822387695312
2020-09-30,73.2091064453125
2020-10-01,75.21075439453125
2020-10-02,73.69741821289062
2020-10-05,73.9943618774414
2020-10-06,72.7449951171875
2020-10-07,73.84040832519531
2020-10-08,74.34191131591797
2020-10-09,74.68284606933594
2020-10-12,76.76587677001953
2020-10-13,77.5753173828125
2020-10-14,77.24755859375
2020-10-15,76.62947082519531
2020-10-16,76.6338882446289
2020-10-19,75.07657623291016
2020-10-20,75.59127807617188
2020-10-21,74.49807739257812
2020-10-22,74.456298828125
2020-10-23,74.3616943359375
2020-10-26,72.35126495361328
2020-10-27,71.26908111572266
2020-10-28,69.4060287475586
2020-10-29,70.36944580078125
2020-10-30,69.18826293945312
2020-11-02,70.46842193603516
2020-11-03,72.59103393554688
2020-11-04,74.20772552490234
2020-11-05,77.82024383544922
2020-11-06,78.24710845947266
2020-11-09,83.41800689697266
2020-11-10,82.3209228515625
2020-11-11,82.6330795288086
2020-11-12,80.25304412841797
2020-11-13,81.70585632324219
2020-11-16,84.61146545410156
2020-11-17,82.947509765625
2020-11-18,82.73634338378906
2020-11-19,84.43473815917969
2020-11-20,83.0484848022461
2020-11-23,82.22683715820312
2020-11-24,83.07373809814453
2020-11-25,82.73634338378906
2020-11-27,82.87406158447266
2020-11-30,81.54518127441406
2020-12-01,82.4127426147461
2020-12-02,82.83275604248047
2020-12-03,82.55274963378906
2020-12-04,83.42030334472656
2020-12-07,81.0494613647461
2020-12-08,82.56880950927734
2020-12-09,81.25601959228516
2020-12-10,79.7205810546875
2020-12-11,80.12452697753906
2020-12-14,79.69993591308594
2020-12-15,81.00125885009766
2020-12-16,81.2720718383789
2020-12-17,80.78779602050781
2020-12-18,81.32715606689453
2020-12-21,79.44058227539062
2020-12-22,79.86976623535156
2020-12-23,77.90055847167969
2020-12-24,77.66645050048828
2020-12-28,81.29045104980469
