,WTW
2019-02-05,153.73692321777344
2019-02-06,153.59844970703125
2019-02-07,150.28382873535156
2019-02-08,154.94647216796875
2019-02-11,156.97767639160156
2019-02-12,158.10411071777344
2019-02-13,157.8548126220703
2019-02-14,155.57424926757812
2019-02-15,156.552978515625
2019-02-19,157.62396240234375
2019-02-20,157.95635986328125
2019-02-21,157.31930541992188
2019-02-22,157.96559143066406
2019-02-25,158.29800415039062
2019-02-26,157.31008911132812
2019-02-27,157.45782470703125
2019-02-28,158.82423400878906
2019-03-01,159.32284545898438
2019-03-04,159.77528381347656
2019-03-05,168.0756378173828
2019-03-06,157.77169799804688
2019-03-07,157.1438751220703
2019-03-08,156.23907470703125
2019-03-11,157.3377685546875
2019-03-12,157.62396240234375
2019-03-13,158.61187744140625
2019-03-14,159.03662109375
2019-03-15,160.3292236328125
2019-03-18,160.72621154785156
2019-03-19,159.63674926757812
2019-03-20,159.2028045654297
2019-03-21,160.94781494140625
2019-03-22,161.21556091308594
2019-03-25,162.3050537109375
2019-03-26,163.92083740234375
2019-03-27,163.24679565429688
2019-03-28,162.1903839111328
2019-03-29,162.77418518066406
2019-04-01,163.2004852294922
2019-04-02,164.21060180664062
2019-04-03,164.78514099121094
2019-04-04,165.42453002929688
2019-04-05,165.02609252929688
2019-04-08,165.36892700195312
2019-04-09,164.97975158691406
2019-04-10,165.9156951904297
2019-04-11,166.59217834472656
2019-04-12,167.47254943847656
2019-04-15,167.4910888671875
2019-04-16,167.92665100097656
2019-04-17,163.9325714111328
2019-04-18,164.36810302734375
2019-04-22,164.26614379882812
2019-04-23,166.80532836914062
2019-04-24,166.3975830078125
2019-04-25,166.9628448486328
2019-04-26,168.24171447753906
2019-04-29,168.21392822265625
2019-04-30,170.82717895507812
2019-05-01,162.51470947265625
2019-05-02,165.415283203125
2019-05-03,166.59217834472656
2019-05-06,165.53575134277344
2019-05-07,161.62510681152344
2019-05-08,162.6444549560547
2019-05-09,162.17184448242188
2019-05-10,163.7008819580078
2019-05-13,160.96714782714844
2019-05-14,162.5240020751953
2019-05-15,162.67222595214844
2019-05-16,165.0075225830078
2019-05-17,163.0985565185547
2019-05-20,163.44142150878906
2019-05-21,165.23922729492188
2019-05-22,166.82388305664062
2019-05-23,164.79440307617188
2019-05-24,164.7017059326172
2019-05-28,163.75648498535156
2019-05-29,162.81124877929688
2019-05-30,164.66468811035156
2019-05-31,162.6352081298828
2019-06-03,165.0075225830078
2019-06-04,166.08251953125
2019-06-05,169.44639587402344
2019-06-06,170.0209503173828
2019-06-07,173.1810302734375
2019-06-10,174.50616455078125
2019-06-11,174.50616455078125
2019-06-12,174.32081604003906
2019-06-13,174.87689208984375
2019-06-14,176.3780975341797
2019-06-17,174.47836303710938
2019-06-18,174.32081604003906
2019-06-19,175.82208251953125
2019-06-20,177.57351684570312
2019-06-21,177.76812744140625
2019-06-24,177.71255493164062
2019-06-25,178.2129669189453
2019-06-26,173.15316772460938
2019-06-27,175.7105255126953
2019-06-28,178.1190185546875
2019-07-01,180.350830078125
2019-07-02,181.47605895996094
2019-07-03,182.02474975585938
2019-07-05,182.1177215576172
2019-07-08,181.02972412109375
2019-07-09,181.5690460205078
2019-07-10,181.90382385253906
2019-07-11,182.54547119140625
2019-07-12,182.65708923339844
2019-07-15,183.81951904296875
2019-07-16,183.652099609375
2019-07-17,181.364501953125
2019-07-18,183.8473663330078
2019-07-19,182.15492248535156
2019-07-22,181.93174743652344
2019-07-23,182.86166381835938
2019-07-24,183.36380004882812
2019-07-25,182.87095642089844
2019-07-26,185.2236785888672
2019-07-29,185.39111328125
2019-07-30,183.652099609375
2019-07-31,181.5412139892578
2019-08-01,182.3037109375
2019-08-02,181.68997192382812
2019-08-05,175.48731994628906
2019-08-06,180.54615783691406
