,JKHY
2016-05-17,75.6040267944336
2016-05-18,75.37853240966797
2016-05-19,74.7291030883789
2016-05-20,74.91854858398438
2016-05-23,74.40264892578125
2016-05-24,76.03172302246094
2016-05-25,75.68781280517578
2016-05-26,75.56108856201172
2016-05-27,76.33037567138672
2016-05-31,76.41183471679688
2016-06-01,76.52043914794922
2016-06-02,77.17205047607422
2016-06-03,76.75576782226562
2016-06-06,76.91864013671875
2016-06-07,76.93675231933594
2016-06-08,77.32591247558594
2016-06-09,77.63361358642578
2016-06-10,76.4932861328125
2016-06-13,75.81450653076172
2016-06-14,76.65618896484375
2016-06-15,75.95024871826172
2016-06-16,75.86882781982422
2016-06-17,74.65605163574219
2016-06-20,75.70590209960938
2016-06-21,75.55203247070312
2016-06-22,75.4615478515625
2016-06-23,76.35751342773438
2016-06-24,75.31673431396484
2016-06-27,74.25786590576172
2016-06-28,76.45706939697266
2016-06-29,77.28064727783203
2016-06-30,78.98210144042969
2016-07-01,78.94590759277344
2016-07-05,78.96401977539062
2016-07-06,79.02735900878906
2016-07-07,78.5567398071289
2016-07-08,79.45274353027344
2016-07-11,79.98667907714844
2016-07-12,79.81476593017578
2016-07-13,80.03196716308594
2016-07-14,79.7423324584961
2016-07-15,79.46179962158203
2016-07-18,79.17218780517578
2016-07-19,79.3984375
2016-07-20,79.68802642822266
2016-07-21,79.13597106933594
2016-07-22,79.7242431640625
2016-07-25,80.12244415283203
2016-07-26,80.88268280029297
2016-07-27,81.07275390625
2016-07-28,80.66546630859375
2016-07-29,80.7740707397461
2016-08-01,80.90982818603516
2016-08-02,80.25820922851562
2016-08-03,79.66993713378906
2016-08-04,79.94144439697266
2016-08-05,80.52973175048828
2016-08-08,79.71517181396484
2016-08-09,79.9504623413086
2016-08-10,80.49351501464844
2016-08-11,80.3125228881836
2016-08-12,79.94144439697266
2016-08-15,80.42112731933594
2016-08-16,80.00479888916016
2016-08-17,77.7784194946289
2016-08-18,78.85543060302734
2016-08-19,79.37129211425781
2016-08-22,79.94144439697266
2016-08-23,80.30345916748047
2016-08-24,79.4798812866211
2016-08-25,79.68802642822266
2016-08-26,79.28076934814453
2016-08-29,79.21739959716797
2016-08-30,79.32603454589844
2016-08-31,78.98210144042969
2016-09-01,79.82379150390625
2016-09-02,80.74986267089844
2016-09-06,80.49566650390625
2016-09-07,80.40486907958984
2016-09-08,80.10526275634766
2016-09-09,78.24403381347656
2016-09-12,79.42433166503906
2016-09-13,77.96260070800781
2016-09-14,77.39058685302734
2016-09-15,78.00796508789062
2016-09-16,77.3179702758789
2016-09-19,77.880859375
2016-09-20,78.01704406738281
2016-09-21,78.87047576904297
2016-09-22,79.66036987304688
2016-09-23,79.19734954833984
2016-09-26,78.44377136230469
2016-09-27,78.5981216430664
2016-09-28,78.69799041748047
2016-09-29,77.74468231201172
2016-09-30,77.67204284667969
2016-10-03,77.53585815429688
2016-10-04,76.2193832397461
2016-10-05,76.02870178222656
2016-10-06,76.63701629638672
2016-10-07,75.51121520996094
2016-10-10,75.53843688964844
2016-10-11,73.81341552734375
2016-10-12,75.07540130615234
2016-10-13,74.63958740234375
2016-10-14,75.06632995605469
2016-10-17,74.8211898803711
2016-10-18,74.92106628417969
2016-10-19,74.6032943725586
2016-10-20,74.3127670288086
2016-10-21,74.26736450195312
2016-10-24,74.77579498291016
2016-10-25,74.05854034423828
2016-10-26,73.01445770263672
2016-10-27,72.22456359863281
2016-10-28,72.83285522460938
2016-10-31,73.55917358398438
2016-11-01,73.1234130859375
2016-11-02,73.07801818847656
2016-11-03,72.87825775146484
2016-11-04,72.96903991699219
2016-11-07,74.22197723388672
2016-11-08,76.14674377441406
2016-11-09,75.98333740234375
2016-11-10,75.82898712158203
2016-11-11,76.79135131835938
2016-11-14,76.89124298095703
2016-11-15,76.88214111328125
2016-11-16,77.33610534667969
2016-11-17,78.57994079589844
2016-11-18,78.72523498535156
2016-11-21,80.07798767089844
2016-11-22,80.26866912841797
2016-11-23,80.73172760009766
2016-11-25,80.6045913696289
2016-11-28,80.44117736816406
2016-11-29,80.4502944946289
2016-11-30,78.72888946533203
2016-12-01,77.0348129272461
2016-12-02,77.83629608154297
2016-12-05,79.11141967773438
2016-12-06,79.89471435546875
2016-12-07,81.1060562133789
2016-12-08,81.45215606689453
2016-12-09,81.4977035522461
2016-12-12,81.58879089355469
2016-12-13,82.40849304199219
2016-12-14,81.46126556396484
2016-12-15,81.58879089355469
2016-12-16,81.47035217285156
2016-12-19,81.38842010498047
2016-12-20,81.58879089355469
2016-12-21,81.17892456054688
2016-12-22,80.97854614257812
2016-12-23,81.4339370727539
2016-12-27,81.5250244140625
2016-12-28,80.9603271484375
2016-12-29,81.22445678710938
2016-12-30,80.86014556884766
2017-01-03,80.9603271484375
2017-01-04,81.73448181152344
2017-01-05,82.4813461303711
2017-01-06,82.74546813964844
2017-01-09,82.16256713867188
2017-01-10,81.51590728759766
2017-01-11,81.31554412841797
2017-01-12,81.30643463134766
2017-01-13,82.46315002441406
2017-01-17,82.14437866210938
2017-01-18,82.10794067382812
2017-01-19,82.19900512695312
2017-01-20,82.67262268066406
2017-01-23,82.9094467163086
2017-01-24,83.06426239013672
2017-01-25,82.60887145996094
2017-01-26,81.69805145263672
2017-01-27,82.01683807373047
2017-01-30,82.08971405029297
2017-01-31,81.77094268798828
2017-02-01,81.13338470458984
2017-02-02,81.1060562133789
2017-02-03,82.1807861328125
2017-02-06,81.68896484375
2017-02-07,81.98041534423828
2017-02-08,81.54325103759766
2017-02-09,82.71814727783203
2017-02-10,82.51778411865234
2017-02-13,83.31928253173828
2017-02-14,82.92765045166016
2017-02-15,83.5014419555664
2017-02-16,84.01148986816406
2017-02-17,84.27561950683594
2017-02-21,84.84941101074219
2017-02-22,85.04068756103516
2017-02-23,85.47787475585938
2017-02-24,86.25204467773438
2017-02-27,86.30668640136719
2017-02-28,85.685302734375
2017-03-01,87.11080932617188
2017-03-02,86.32496643066406
2017-03-03,86.80926513671875
2017-03-06,86.45288848876953
2017-03-07,86.32496643066406
2017-03-08,86.14219665527344
2017-03-09,85.9502944946289
2017-03-10,86.29753875732422
2017-03-13,86.9097900390625
2017-03-14,86.66304016113281
2017-03-15,87.12908172607422
2017-03-16,86.580810546875
2017-03-17,86.900634765625
2017-03-20,86.34325408935547
2017-03-21,85.79498291015625
2017-03-22,85.63047790527344
2017-03-23,85.41116333007812
2017-03-24,85.28323364257812
2017-03-27,85.54826354980469
2017-03-28,85.66702270507812
2017-03-29,85.91374969482422
2017-03-30,85.82237243652344
2017-03-31,85.07307434082031
2017-04-03,84.8080825805664
2017-04-04,84.73497772216797
2017-04-05,84.51567840576172
2017-04-06,84.21411895751953
2017-04-07,84.04049682617188
2017-04-10,84.32379150390625
2017-04-11,85.50255584716797
2017-04-12,85.81324005126953
2017-04-13,85.0091323852539
2017-04-17,86.05078887939453
2017-04-18,86.27926635742188
2017-04-19,86.60823822021484
2017-04-20,87.29354858398438
2017-04-21,87.38493347167969
2017-04-24,88.18907165527344
2017-04-25,88.29871368408203
2017-04-26,88.6093978881836
2017-04-27,88.92924499511719
2017-04-28,88.56370544433594
2017-05-01,88.58199310302734
2017-05-02,88.96578979492188
2017-05-03,89.075439453125
2017-05-04,89.58716583251953
2017-05-05,89.68766784667969
2017-05-08,88.75562286376953
2017-05-09,88.91096496582031
2017-05-10,89.00232696533203
2017-05-11,88.31700897216797
2017-05-12,87.71391296386719
2017-05-15,88.42662811279297
2017-05-16,89.89783477783203
2017-05-17,89.42267608642578
2017-05-18,90.33645629882812
2017-05-19,91.96299743652344
2017-05-22,93.62206268310547
2017-05-23,94.57530975341797
2017-05-24,94.63947296142578
2017-05-25,96.36268615722656
2017-05-26,95.60191345214844
2017-05-30,96.3443832397461
2017-05-31,97.3526382446289
2017-06-01,96.3443832397461
2017-06-02,96.4543685913086
2017-06-05,96.21602630615234
2017-06-06,94.95112609863281
2017-06-07,95.2994384765625
2017-06-08,95.23527526855469
2017-06-09,94.65782165527344
2017-06-12,94.93281555175781
2017-06-13,95.51940155029297
2017-06-14,95.22610473632812
2017-06-15,95.68441009521484
2017-06-16,96.05103302001953
2017-06-19,95.96853637695312
2017-06-20,95.93190002441406
2017-06-21,96.18853759765625
2017-06-22,96.18853759765625
2017-06-23,96.79349517822266
2017-06-26,96.58267211914062
