,GOOGL
2017-07-28,47.74342727661133
2017-07-31,47.104244232177734
2017-08-01,47.157047271728516
2017-08-02,47.21085739135742
2017-08-03,46.84518051147461
2017-08-04,47.11869430541992
2017-08-07,47.116695404052734
2017-08-08,47.038978576660156
2017-08-09,46.834224700927734
2017-08-10,46.012699127197266
2017-08-11,46.33652877807617
2017-08-14,46.77693176269531
2017-08-15,46.734580993652344
2017-08-16,47.04296875
2017-08-17,46.2154655456543
2017-08-18,46.14173126220703
2017-08-21,45.877193450927734
2017-08-22,46.85016632080078
2017-08-23,46.958770751953125
2017-08-24,46.67530059814453
2017-08-25,46.356956481933594
2017-08-28,46.23888397216797
2017-08-29,46.61850357055664
2017-08-30,47.011077880859375
2017-08-31,47.58948516845703
2017-09-01,47.42757034301758
2017-09-05,46.903968811035156
2017-09-06,46.93087387084961
2017-09-07,47.32295227050781
2017-09-08,46.900482177734375
2017-09-11,46.994144439697266
2017-09-12,47.161537170410156
2017-09-13,47.35034942626953
2017-09-14,46.83671569824219
2017-09-15,46.59558868408203
2017-09-18,46.31958770751953
2017-09-19,46.67380142211914
2017-09-20,47.20587158203125
2017-09-21,47.20637130737305
2017-09-22,46.99264907836914
2017-09-25,46.54526901245117
2017-09-26,46.70220184326172
2017-09-27,47.82164001464844
2017-09-28,48.06625747680664
2017-09-29,48.51015090942383
2017-10-02,48.19877624511719
2017-10-03,48.42844009399414
2017-10-04,48.16440200805664
2017-10-05,49.08157730102539
2017-10-06,49.50254821777344
2017-10-09,49.43629455566406
2017-10-10,49.211605072021484
2017-10-11,50.10088348388672
2017-10-12,50.10088348388672
2017-10-13,50.21147918701172
2017-10-16,50.28520965576172
2017-10-17,50.36741256713867
2017-10-18,50.454097747802734
2017-10-19,49.911067962646484
2017-10-20,50.071983337402344
2017-10-23,49.0990104675293
2017-10-24,49.24597930908203
2017-10-25,49.393943786621094
2017-10-26,49.39194869995117
2017-10-27,51.49681854248047
2017-10-30,51.46991729736328
2017-10-31,51.46543884277344
2017-11-01,51.941707611083984
2017-11-02,51.96014404296875
2017-11-03,52.309871673583984
2017-11-06,51.94569396972656
2017-11-07,52.42943572998047
2017-11-08,52.7233772277832
2017-11-09,52.196781158447266
2017-11-10,52.01892852783203
2017-11-13,51.8719596862793
2017-11-14,51.893882751464844
2017-11-15,51.633323669433594
2017-11-16,52.23414611816406
2017-11-17,51.607418060302734
2017-11-20,51.546142578125
2017-11-21,52.3253173828125
2017-11-22,52.40602111816406
2017-11-24,52.63519287109375
2017-11-27,53.40689468383789
2017-11-28,52.97247314453125
2017-11-29,51.681644439697266
2017-11-30,51.621368408203125
2017-12-01,51.06837463378906
2017-12-04,50.4107551574707
2017-12-05,50.795860290527344
2017-12-06,51.44948959350586
2017-12-07,52.039852142333984
2017-12-08,52.27947998046875
2017-12-11,52.40851593017578
2017-12-12,52.24909210205078
2017-12-13,52.37961959838867
2017-12-14,52.68252182006836
2017-12-15,53.406394958496094
2017-12-18,54.058536529541016
2017-12-19,53.79399108886719
2017-12-20,53.48411560058594
2017-12-21,53.34910202026367
2017-12-22,53.24996566772461
2017-12-26,53.100006103515625
2017-12-27,52.81852722167969
2017-12-28,52.6068000793457
2017-12-29,52.47975540161133
2018-01-02,53.46668243408203
2018-01-03,54.37887191772461
2018-01-04,54.59010314941406
2018-01-05,55.31398010253906
2018-01-08,55.509273529052734
2018-01-09,55.438533782958984
2018-01-10,55.30651092529297
2018-01-11,55.40166473388672
2018-01-12,56.32830810546875
2018-01-16,56.33079528808594
2018-01-17,56.74928283691406
2018-01-18,56.593345642089844
2018-01-19,56.968482971191406
2018-01-22,57.99775314331055
2018-01-23,58.5960807800293
2018-01-24,58.35296630859375
2018-01-25,58.89350509643555
2018-01-26,59.16352462768555
2018-01-29,59.10972595214844
2018-01-30,58.65586471557617
2018-01-31,58.897491455078125
2018-02-01,58.86610412597656
2018-02-02,55.75787353515625
2018-02-05,52.92763137817383
2018-02-06,54.02565002441406
2018-02-07,52.57989501953125
2018-02-08,50.203514099121094
2018-02-09,52.124542236328125
2018-02-12,52.53755187988281
2018-02-13,52.516624450683594
2018-02-14,53.44126510620117
2018-02-15,54.37089920043945
2018-02-16,54.577152252197266
2018-02-20,54.980194091796875
2018-02-21,55.486358642578125
2018-02-22,55.294551849365234
