,VTR
2020-04-28,24.653736114501953
2020-04-29,27.61285972595215
2020-04-30,27.350767135620117
2020-05-01,25.642921447753906
2020-05-04,25.456928253173828
2020-05-05,25.270925521850586
2020-05-06,24.036542892456055
2020-05-07,22.895166397094727
2020-05-08,25.44847297668457
2020-05-11,24.552282333374023
2020-05-12,23.470088958740234
2020-05-13,22.649982452392578
2020-05-14,23.52927017211914
2020-05-15,23.647632598876953
2020-05-18,27.274677276611328
2020-05-19,27.41840171813965
2020-05-20,27.765043258666992
2020-05-21,27.841135025024414
2020-05-22,28.500595092773438
2020-05-26,30.047801971435547
2020-05-27,31.594989776611328
2020-05-28,31.079259872436523
2020-05-29,29.54897689819336
2020-06-01,30.013975143432617
2020-06-02,31.730266571044922
2020-06-03,34.308937072753906
2020-06-04,34.81621551513672
2020-06-05,36.58323287963867
2020-06-08,38.62926483154297
2020-06-09,36.80305480957031
2020-06-10,34.74858093261719
2020-06-11,31.163808822631836
2020-06-12,33.31974792480469
2020-06-15,33.74247741699219
2020-06-16,34.680946350097656
2020-06-17,33.539554595947266
2020-06-18,33.269012451171875
2020-06-19,30.267614364624023
2020-06-22,30.33525848388672
2020-06-23,29.98015785217285
2020-06-24,29.07551383972168
2020-06-25,30.08162498474121
2020-06-26,30.199983596801758
2020-06-29,31.02853775024414
2020-06-30,31.34524154663086
2020-07-01,32.80036544799805
2020-07-02,31.91873550415039
2020-07-06,31.893051147460938
2020-07-07,30.326644897460938
2020-07-08,30.292407989501953
2020-07-09,29.38509178161621
2020-07-10,30.6947078704834
2020-07-13,29.86443519592285
2020-07-14,30.104097366333008
2020-07-15,30.788862228393555
2020-07-16,30.164016723632812
2020-07-17,30.94293785095215
2020-07-20,29.3337345123291
2020-07-21,29.97570037841797
2020-07-22,31.097013473510742
2020-07-23,30.848787307739258
2020-07-24,30.617679595947266
2020-07-27,30.4807186126709
2020-07-28,31.98720359802246
2020-07-29,33.442344665527344
2020-07-30,32.98011779785156
2020-07-31,32.83460998535156
2020-08-03,32.278236389160156
2020-08-04,32.67197036743164
2020-08-05,32.83460998535156
2020-08-06,33.8189582824707
2020-08-07,35.53944778442383
2020-08-10,36.455318450927734
2020-08-11,35.53944778442383
2020-08-12,35.17993927001953
2020-08-13,34.144229888916016
2020-08-14,34.75196075439453
2020-08-17,35.16282272338867
2020-08-18,34.871795654296875
2020-08-19,34.555084228515625
2020-08-20,35.20562744140625
2020-08-21,35.64215087890625
2020-08-24,36.19852828979492
2020-08-25,35.496639251708984
2020-08-26,34.6834831237793
2020-08-27,35.69351577758789
2020-08-28,36.56659698486328
2020-08-31,35.27409362792969
2020-09-01,35.83903121948242
2020-09-02,37.61085891723633
2020-09-03,37.8762092590332
2020-09-04,38.14155960083008
2020-09-08,37.516700744628906
2020-09-09,37.867652893066406
2020-09-10,37.33695602416992
2020-09-11,37.49958801269531
2020-09-14,38.929039001464844
2020-09-15,38.800655364990234
2020-09-16,38.800655364990234
2020-09-17,37.7478141784668
2020-09-18,36.90040969848633
2020-09-21,34.9573860168457
2020-09-22,35.684959411621094
2020-09-23,33.878883361816406
2020-09-24,34.80331802368164
2020-09-25,35.667842864990234
2020-09-28,36.70355224609375
2020-09-29,36.446754455566406
2020-09-30,36.2996940612793
2020-10-01,37.623294830322266
2020-10-02,38.59220504760742
2020-10-05,38.15966796875
2020-10-06,38.3499870300293
2020-10-07,38.047203063964844
2020-10-08,38.97285842895508
2020-10-09,38.64411544799805
2020-10-12,38.26347351074219
2020-10-13,37.856868743896484
2020-10-14,38.02988815307617
2020-10-15,37.68385696411133
2020-10-16,36.93986892700195
2020-10-19,35.7027702331543
2020-10-20,36.0488166809082
2020-10-21,35.598960876464844
2020-10-22,37.078285217285156
2020-10-23,36.54192352294922
2020-10-26,35.43458938598633
2020-10-27,34.56084060668945
2020-10-28,33.60056686401367
2020-10-29,34.517578125
2020-10-30,34.14558792114258
2020-11-02,35.4432373046875
2020-11-03,37.18210220336914
2020-11-04,36.0488166809082
2020-11-05,35.5730094909668
2020-11-06,34.29265594482422
2020-11-09,40.5300407409668
2020-11-10,41.8623046875
2020-11-11,41.89690399169922
2020-11-12,41.30863571166992
2020-11-13,43.34162902832031
2020-11-16,44.120208740234375
2020-11-17,43.67901611328125
2020-11-18,41.70657730102539
2020-11-19,42.0612678527832
2020-11-20,42.14778137207031
2020-11-23,42.208343505859375
2020-11-24,43.54924774169922
2020-11-25,42.5889892578125
2020-11-27,41.43839645385742
2020-11-30,41.447052001953125
2020-12-01,41.54221725463867
2020-12-02,41.248077392578125
2020-12-03,42.23427963256836
2020-12-04,42.78795623779297
2020-12-07,42.467872619628906
2020-12-08,42.48517990112305
2020-12-09,42.8485107421875
2020-12-10,42.242942810058594
2020-12-11,42.433265686035156
2020-12-14,41.386497497558594
2020-12-15,43.211856842041016
2020-12-16,43.89529037475586
2020-12-17,44.544124603271484
2020-12-18,43.9731559753418
2020-12-21,42.242942810058594
2020-12-22,42.5976448059082
2020-12-23,42.3813591003418
2020-12-24,42.55437088012695
2020-12-28,42.70144271850586
2020-12-29,42.41595458984375
2020-12-30,42.26890182495117
2020-12-31,42.8189811706543
2021-01-04,40.9329833984375
2021-01-05,41.42195129394531
2021-01-06,42.23397445678711
2021-01-07,41.42195129394531
2021-01-08,41.160003662109375
2021-01-11,40.3392448425293
2021-01-12,40.775821685791016
2021-01-13,41.99821472167969
2021-01-14,42.32128143310547
2021-01-15,42.766578674316406
2021-01-19,41.71009063720703
2021-01-20,42.54829788208008
2021-01-21,42.417327880859375
2021-01-22,42.89756774902344
2021-01-25,41.83232879638672
2021-01-26,41.23858642578125
2021-01-27,40.251930236816406
2021-01-28,41.20366287231445
2021-01-29,40.22574234008789
2021-02-01,41.5267219543457
2021-02-02,41.28224182128906
2021-02-03,41.62276840209961
2021-02-04,42.28636169433594
2021-02-05,42.32128143310547
2021-02-08,42.04187774658203
2021-02-09,42.12046432495117
2021-02-10,43.342864990234375
2021-02-11,44.312049865722656
2021-02-12,44.28586196899414
2021-02-16,43.94533920288086
2021-02-17,44.216007232666016
2021-02-18,45.05422592163086
2021-02-19,45.74400329589844
2021-02-22,47.30694580078125
2021-02-23,47.69112014770508
2021-02-24,48.82620620727539
2021-02-25,47.14104461669922
2021-02-26,46.18931198120117
2021-03-01,46.058349609375
2021-03-02,46.28535842895508
2021-03-03,46.44252014160156
2021-03-04,46.643341064453125
2021-03-05,48.1451530456543
2021-03-08,49.62077331542969
2021-03-09,49.32390213012695
2021-03-10,49.917640686035156
2021-03-11,49.09688186645508
2021-03-12,49.376285552978516
2021-03-15,49.54219055175781
2021-03-16,48.800018310546875
2021-03-17,49.89144515991211
2021-03-18,48.05784225463867
2021-03-19,47.568878173828125
2021-03-22,46.983882904052734
2021-03-23,46.94021224975586
2021-03-24,46.81797409057617
2021-03-25,46.783050537109375
2021-03-26,47.909400939941406
2021-03-29,47.28074264526367
2021-03-30,47.778438568115234
2021-03-31,46.95967483520508
2021-04-01,47.89289093017578
2021-04-05,47.26781463623047
2021-04-06,48.03375244140625
2021-04-07,47.98092269897461
2021-04-08,48.34188461303711
2021-04-09,48.19221878051758
2021-04-12,48.50034713745117
2021-04-13,48.59719467163086
2021-04-14,48.016143798828125
2021-04-15,48.98455810546875
2021-04-16,48.782073974609375
2021-04-19,48.24504089355469
2021-04-20,48.84370422363281
2021-04-21,49.04619216918945
2021-04-22,48.676422119140625
2021-04-23,48.2186279296875
2021-04-26,48.95814895629883
2021-04-27,48.99337387084961
2021-04-28,48.6500129699707
2021-04-29,49.12541961669922
2021-04-30,48.826087951660156
2021-05-03,49.248680114746094
2021-05-04,48.73805236816406
2021-05-05,46.93326950073242
2021-05-06,47.549530029296875
2021-05-07,48.2186279296875
2021-05-10,48.359493255615234
2021-05-11,47.1973762512207
2021-05-12,45.93844223022461
2021-05-13,47.21499252319336
2021-05-14,48.10417556762695
2021-05-17,47.778438568115234
2021-05-18,47.55834197998047
2021-05-19,47.65517807006836
2021-05-20,47.86648178100586
2021-05-21,47.67279052734375
2021-05-24,48.57078170776367
2021-05-25,48.77326965332031
2021-05-26,48.97575759887695
2021-05-27,48.55317306518555
2021-05-28,48.817291259765625
2021-06-01,50.269927978515625
2021-06-02,51.326385498046875
2021-06-03,50.085044860839844
2021-06-04,49.97059631347656
2021-06-07,50.30513000488281
2021-06-08,50.49883270263672
2021-06-09,50.79815673828125
2021-06-10,50.789344787597656
2021-06-11,51.14150619506836
2021-06-14,51.907440185546875
2021-06-15,51.449642181396484
2021-06-16,50.85977554321289
2021-06-17,50.89500427246094
2021-06-18,49.80331802368164
2021-06-21,50.72772216796875
2021-06-22,51.53768539428711
2021-06-23,52.15394592285156
2021-06-24,51.02705001831055
2021-06-25,51.33518981933594
2021-06-28,51.071075439453125
2021-06-29,50.947818756103516
2021-06-30,50.663883209228516
2021-07-01,50.7614860534668
2021-07-02,50.814720153808594
2021-07-06,51.23175048828125
2021-07-07,51.06316375732422
2021-07-08,51.08090591430664
2021-07-09,52.030303955078125
2021-07-12,52.74900436401367
2021-07-13,52.305362701416016
2021-07-14,52.94419860839844
2021-07-15,52.624778747558594
2021-07-16,52.89984130859375
2021-07-19,51.06316375732422
2021-07-20,53.30799102783203
2021-07-21,53.591922760009766
2021-07-22,53.35235595703125
2021-07-23,53.10390853881836
2021-07-26,53.01519012451172
2021-07-27,53.27250289916992
2021-07-28,52.828857421875
2021-07-29,52.91758728027344
2021-07-30,53.04180145263672
2021-08-02,52.598167419433594
2021-08-03,52.77561569213867
2021-08-04,52.101287841796875
2021-08-05,53.219261169433594
2021-08-06,51.7286262512207
2021-08-09,50.947818756103516
2021-08-10,50.42433166503906
2021-08-11,50.49530029296875
2021-08-12,50.184757232666016
2021-08-13,50.65501022338867
2021-08-16,50.184757232666016
