,ED
2018-01-11,62.79758834838867
2018-01-12,62.094566345214844
2018-01-16,61.7274055480957
2018-01-17,61.922691345214844
2018-01-18,61.14933395385742
2018-01-19,61.14152145385742
2018-01-22,61.34462356567383
2018-01-23,62.22732925415039
2018-01-24,62.03986740112305
2018-01-25,62.789772033691406
2018-01-26,62.805397033691406
2018-01-29,61.81333541870117
2018-01-30,62.17267608642578
2018-01-31,62.7741584777832
2018-02-01,61.5164794921875
2018-02-02,60.89936828613281
2018-02-05,60.251007080078125
2018-02-06,59.27455139160156
2018-02-07,58.790218353271484
2018-02-08,58.376224517822266
2018-02-09,60.06352996826172
2018-02-12,60.46192932128906
2018-02-13,60.73394012451172
2018-02-14,59.83511734008789
2018-02-15,60.7969970703125
2018-02-16,61.317378997802734
2018-02-20,60.20568084716797
2018-02-21,59.503963470458984
2018-02-22,59.756263732910156
2018-02-23,61.20699691772461
2018-02-26,60.67874526977539
2018-02-27,59.65374755859375
2018-02-28,59.046653747558594
2018-03-01,58.81012725830078
2018-03-02,58.62089538574219
2018-03-05,59.9927978515625
2018-03-06,59.243770599365234
2018-03-07,58.723388671875
2018-03-08,59.3777961730957
2018-03-09,59.3226203918457
2018-03-12,59.67742919921875
2018-03-13,59.51971435546875
2018-03-14,59.89816665649414
2018-03-15,60.3791389465332
2018-03-16,61.0650749206543
2018-03-19,60.74970626831055
2018-03-20,60.623558044433594
2018-03-21,60.4500846862793
2018-03-22,60.52104949951172
2018-03-23,59.590694427490234
2018-03-26,60.25296401977539
2018-03-27,61.19913101196289
2018-03-28,61.15180587768555
2018-03-29,61.451412200927734
2018-04-02,60.765472412109375
2018-04-03,61.230655670166016
2018-04-04,61.71159362792969
2018-04-05,62.20044708251953
2018-04-06,61.940250396728516
2018-04-09,61.861419677734375
2018-04-10,61.1833381652832
2018-04-11,61.112388610839844
2018-04-12,60.166259765625
2018-04-13,60.46586608886719
2018-04-16,61.333152770996094
2018-04-17,61.861419677734375
2018-04-18,61.50659942626953
2018-04-19,61.5854606628418
2018-04-20,61.1833381652832
2018-04-23,61.26218032836914
2018-04-24,61.74314498901367
2018-04-25,61.806217193603516
2018-04-26,62.6419792175293
2018-04-27,63.41465759277344
2018-04-30,63.178096771240234
2018-05-01,63.03618240356445
2018-05-02,62.484275817871094
2018-05-03,62.287174224853516
2018-05-04,62.484275817871094
2018-05-07,61.78257369995117
2018-05-08,60.10316848754883
2018-05-09,59.47243118286133
2018-05-10,60.371253967285156
2018-05-11,60.57625198364258
2018-05-14,60.41854476928711
2018-05-15,59.610748291015625
2018-05-16,59.34015655517578
2018-05-17,58.846702575683594
2018-05-18,58.8705940246582
2018-05-21,58.76712417602539
2018-05-22,59.00589370727539
2018-05-23,59.76991271972656
2018-05-24,60.39069366455078
2018-05-25,60.41457748413086
2018-05-29,60.47824478149414
2018-05-30,60.74884033203125
2018-05-31,61.067195892333984
2018-06-01,60.1201057434082
2018-06-04,59.6505241394043
2018-06-05,58.90240478515625
2018-06-06,57.613121032714844
2018-06-07,57.93144989013672
2018-06-08,57.899620056152344
2018-06-11,56.81722640991211
2018-06-12,57.68474197387695
2018-06-13,57.64493942260742
2018-06-14,58.29755401611328
2018-06-15,58.679595947265625
2018-06-18,58.81489181518555
2018-06-19,59.578914642333984
2018-06-20,59.71420669555664
2018-06-21,60.0484619140625
2018-06-22,60.29520797729492
2018-06-25,61.61634826660156
2018-06-26,61.66409683227539
2018-06-27,61.998355865478516
2018-06-28,62.030189514160156
2018-06-29,62.062042236328125
2018-07-02,62.34852600097656
2018-07-03,62.44404983520508
2018-07-05,62.86587142944336
2018-07-06,63.27175521850586
2018-07-09,61.1706657409668
2018-07-10,61.96651840209961
2018-07-11,62.89768981933594
2018-07-12,63.04892349243164
2018-07-13,63.23992156982422
2018-07-16,63.03299331665039
2018-07-17,62.84198760986328
2018-07-18,62.507728576660156
2018-07-19,62.6987419128418
2018-07-20,62.117759704589844
2018-07-23,61.64816665649414
2018-07-24,61.76756286621094
2018-07-25,61.59245681762695
2018-07-26,62.31669998168945
2018-07-27,62.51567459106445
2018-07-30,62.20527648925781
2018-07-31,62.818115234375
2018-08-01,61.90285110473633
2018-08-02,62.22917556762695
2018-08-03,62.961360931396484
2018-08-06,62.818115234375
2018-08-07,62.491790771484375
2018-08-08,62.48383712768555
2018-08-09,62.83403015136719
2018-08-10,62.61117172241211
2018-08-13,62.91362380981445
2018-08-14,63.06218719482422
2018-08-15,64.08216857910156
2018-08-16,64.8210678100586
2018-08-17,65.19049835205078
2018-08-20,64.49176788330078
2018-08-21,63.945640563964844
2018-08-22,63.391475677490234
2018-08-23,63.4637565612793
2018-08-24,63.80909729003906
2018-08-27,63.3834342956543
2018-08-28,63.00596237182617
2018-08-29,63.6163444519043
2018-08-30,63.76090621948242
2018-08-31,63.391475677490234
2018-09-04,63.89744567871094
2018-09-05,64.80501556396484
2018-09-06,65.33505249023438
2018-09-07,64.31509399414062
2018-09-10,64.68451690673828
2018-09-11,64.41145324707031
2018-09-12,64.37130737304688
2018-09-13,64.8531723022461
2018-09-14,64.4837417602539
2018-09-17,64.53192138671875
2018-09-18,64.31509399414062
2018-09-19,62.90157699584961
2018-09-20,62.99796676635742
2018-09-21,62.556209564208984
2018-09-24,61.528202056884766
2018-09-25,60.7973518371582
2018-09-26,59.76129913330078
2018-09-27,60.39577102661133
2018-09-28,61.190895080566406
2018-10-01,60.85356903076172
2018-10-02,61.90565872192383
2018-10-03,61.126625061035156
2018-10-04,61.520172119140625
2018-10-05,62.371482849121094
2018-10-08,62.66062545776367
2018-10-09,62.82929229736328
2018-10-10,62.459835052490234
2018-10-11,61.078433990478516
2018-10-12,60.419883728027344
2018-10-15,60.46003723144531
2018-10-16,61.11859893798828
2018-10-17,61.126625061035156
2018-10-18,61.32741928100586
2018-10-19,62.146610260009766
2018-10-22,61.69685745239258
2018-10-23,61.271202087402344
2018-10-24,62.82125473022461
2018-10-25,61.68883514404297
2018-10-26,61.30332565307617
2018-10-29,62.11449432373047
2018-10-30,62.02614974975586
2018-10-31,61.038291931152344
2018-11-01,60.741119384765625
2018-11-02,59.86571502685547
2018-11-05,61.07042694091797
2018-11-06,62.02614974975586
2018-11-07,62.85338592529297
2018-11-08,62.781105041503906
2018-11-09,63.44767761230469
2018-11-12,63.7448616027832
2018-11-13,64.11360931396484
2018-11-14,64.36485290527344
2018-11-15,62.030792236328125
2018-11-16,62.40357971191406
2018-11-19,62.80879592895508
2018-11-20,63.30317687988281
2018-11-21,62.49273681640625
2018-11-23,62.67913818359375
2018-11-26,63.34370040893555
2018-11-27,64.06497955322266
2018-11-28,63.8947868347168
2018-11-29,64.21895599365234
2018-11-30,65.11853790283203
2018-12-03,65.83172607421875
2018-12-04,66.44766235351562
2018-12-06,66.1559066772461
2018-12-07,66.82856750488281
2018-12-10,67.19326782226562
2018-12-11,67.46881103515625
2018-12-12,66.836669921875
2018-12-13,68.01991271972656
2018-12-14,67.9388656616211
2018-12-17,65.345458984375
2018-12-18,65.00508880615234
2018-12-19,64.91593170166016
2018-12-20,65.42652893066406
2018-12-21,64.80247497558594
2018-12-24,61.042057037353516
2018-12-26,61.66609573364258
2018-12-27,62.26580810546875
2018-12-28,61.98215866088867
2018-12-31,61.96592712402344
2019-01-02,60.89617156982422
2019-01-03,61.05015563964844
2019-01-04,62.03889465332031
2019-01-07,61.13930892944336
2019-01-08,61.512107849121094
2019-01-09,61.02582550048828
2019-01-10,62.03889465332031
2019-01-11,61.53641128540039
2019-01-14,60.336971282958984
2019-01-15,61.422950744628906
2019-01-16,61.90111541748047
2019-01-17,62.42790222167969
2019-01-18,62.00647735595703
2019-01-22,62.192874908447266
2019-01-23,62.38737106323242
2019-01-24,62.9384651184082
2019-01-25,61.5526237487793
2019-01-28,61.26087188720703
2019-01-29,61.50400924682617
2019-01-30,61.74714279174805
2019-01-31,62.930381774902344
2019-02-01,62.144248962402344
2019-02-04,62.86553955078125
2019-02-05,62.881744384765625
2019-02-06,62.61430740356445
2019-02-07,63.30317687988281
2019-02-08,63.96772766113281
2019-02-11,64.00015258789062
2019-02-12,64.2782974243164
2019-02-13,63.672916412353516
2019-02-14,63.84470748901367
2019-02-15,64.22919464111328
2019-02-19,64.52373504638672
2019-02-20,64.6382827758789
2019-02-21,65.44818115234375
2019-02-22,67.16619110107422
2019-02-25,66.77350616455078
2019-02-26,66.56080627441406
2019-02-27,66.8062515258789
2019-02-28,67.4525375366211
2019-03-01,67.62434387207031
2019-03-04,68.06611633300781
2019-03-05,67.84522247314453
2019-03-06,68.17247009277344
2019-03-07,68.18064880371094
2019-03-08,68.57332611083984
2019-03-11,68.94148254394531
2019-03-12,69.48143768310547
2019-03-13,69.68595123291016
2019-03-14,69.52233123779297
2019-03-15,69.4078140258789
2019-03-18,69.29326629638672
2019-03-19,68.56515502929688
2019-03-20,68.58966827392578
2019-03-21,69.0396499633789
2019-03-22,69.4650650024414
2019-03-25,69.62051391601562
2019-03-26,70.09500885009766
2019-03-27,69.66958618164062
2019-03-28,68.94148254394531
2019-03-29,69.38324737548828
2019-04-01,68.98238372802734
2019-04-02,69.34235382080078
2019-04-03,69.08055877685547
2019-04-04,68.71241760253906
2019-04-05,69.38324737548828
2019-04-08,68.54879760742188
2019-04-09,68.85149383544922
2019-04-10,68.61425018310547
2019-04-11,69.10509490966797
2019-04-12,69.17054748535156
2019-04-15,69.21961975097656
2019-04-16,68.40973663330078
2019-04-17,68.63878631591797
2019-04-18,68.40153503417969
2019-04-22,68.60606384277344
2019-04-23,68.87602233886719
2019-04-24,68.98238372802734
2019-04-25,69.1460189819336
2019-04-26,69.51416778564453
2019-04-29,69.11328125
2019-04-30,70.48771667480469
2019-05-01,69.72686004638672
2019-05-02,69.66958618164062
2019-05-03,70.38134002685547
2019-05-06,69.8823013305664
2019-05-07,69.71050262451172
2019-05-08,68.66333770751953
2019-05-09,68.72059631347656
2019-05-10,69.78412628173828
2019-05-13,70.3895263671875
2019-05-14,70.05944061279297
2019-05-15,70.56282043457031
2019-05-16,71.27246856689453
2019-05-17,71.74284362792969
2019-05-20,71.80061340332031
2019-05-21,71.53657531738281
2019-05-22,72.22145080566406
2019-05-23,72.9311294555664
2019-05-24,72.73307037353516
2019-05-28,71.58605194091797
2019-05-29,70.64533233642578
2019-05-30,70.3482666015625
2019-05-31,71.2147216796875
2019-06-03,72.09769439697266
2019-06-04,72.2297134399414
2019-06-05,73.70683288574219
2019-06-06,73.8553695678711
2019-06-07,72.87338256835938
2019-06-10,71.98216247558594
2019-06-11,71.56129455566406
2019-06-12,72.38651275634766
2019-06-13,72.43602752685547
2019-06-14,73.06317901611328
2019-06-17,72.72483825683594
2019-06-18,72.67533111572266
2019-06-19,73.34373474121094
2019-06-20,73.34373474121094
2019-06-21,73.61605072021484
2019-06-24,73.97914123535156
2019-06-25,73.39324951171875
2019-06-26,72.04816436767578
2019-06-27,72.00691986083984
2019-06-28,72.35350799560547
2019-07-01,72.08944702148438
2019-07-02,72.9641342163086
2019-07-03,73.63256072998047
2019-07-05,73.2859878540039
2019-07-08,73.32723236083984
2019-07-09,73.21170043945312
2019-07-10,73.53353881835938
2019-07-11,73.64080810546875
2019-07-12,73.40974426269531
2019-07-15,73.07141876220703
2019-07-16,72.4690170288086
2019-07-17,72.27922058105469
2019-07-18,72.90638732910156
2019-07-19,71.99040985107422
2019-07-22,71.64383697509766
2019-07-23,71.38800811767578
2019-07-24,71.40452575683594
