,UDR
2018-09-18,32.26447296142578
2018-09-19,32.07243347167969
2018-09-20,32.41651916503906
2018-09-21,32.6485710144043
2018-09-24,31.992406845092773
2018-09-25,32.11243438720703
2018-09-26,31.688329696655273
2018-09-27,31.912397384643555
2018-09-28,32.35248947143555
2018-10-01,32.0244140625
2018-10-02,32.10443878173828
2018-10-03,31.78435516357422
2018-10-04,31.744333267211914
2018-10-05,31.744333267211914
2018-10-08,32.13644790649414
2018-10-09,32.51801681518555
2018-10-10,32.04206085205078
2018-10-11,30.88848304748535
2018-10-12,30.727148056030273
2018-10-15,30.880414962768555
2018-10-16,31.566112518310547
2018-10-17,31.501567840576172
2018-10-18,31.517702102661133
2018-10-19,31.775842666625977
2018-10-22,31.186960220336914
2018-10-23,31.267623901367188
2018-10-24,31.912982940673828
2018-10-25,32.16305923461914
2018-10-26,31.4209041595459
2018-10-29,31.896852493286133
2018-10-30,32.542213439941406
2018-10-31,31.614505767822266
2018-11-01,31.662914276123047
2018-11-02,31.396697998046875
2018-11-05,31.929119110107422
2018-11-06,32.24372863769531
2018-11-07,32.69547653198242
2018-11-08,32.78422164916992
2018-11-09,32.94556427001953
2018-11-12,33.13917922973633
2018-11-13,33.2279052734375
2018-11-14,33.07463073730469
2018-11-15,32.63094711303711
2018-11-16,33.13111114501953
2018-11-19,33.42958068847656
2018-11-20,33.33278274536133
2018-11-21,33.21177291870117
2018-11-23,33.2279052734375
2018-11-26,33.316650390625
2018-11-27,33.53445053100586
2018-11-28,33.703861236572266
2018-11-29,33.7925910949707
2018-11-30,34.38148498535156
2018-12-03,34.558963775634766
2018-12-04,33.703861236572266
2018-12-06,34.61543273925781
2018-12-07,34.22821044921875
2018-12-10,34.13948059082031
2018-12-11,34.23627853393555
2018-12-12,33.21984100341797
2018-12-13,33.8006706237793
2018-12-14,33.889400482177734
2018-12-17,32.8487548828125
2018-12-18,33.26016616821289
2018-12-19,33.2359733581543
2018-12-20,33.15530776977539
2018-12-21,32.768089294433594
2018-12-24,31.0417537689209
2018-12-26,31.880725860595703
2018-12-27,31.880725860595703
2018-12-28,31.75971221923828
2018-12-31,31.961383819580078
2019-01-02,30.969152450561523
2019-01-03,31.122419357299805
2019-01-04,31.074020385742188
2019-01-07,31.138566970825195
2019-01-08,31.848453521728516
2019-01-09,31.810224533081055
2019-01-10,32.5422477722168
2019-01-11,32.6561164855957
2019-01-14,32.631710052490234
2019-01-15,33.209190368652344
2019-01-16,33.57518768310547
2019-01-17,33.77853775024414
2019-01-18,33.900543212890625
2019-01-22,34.05508041381836
2019-01-23,34.12827682495117
2019-01-24,34.07948303222656
2019-01-25,34.50241470336914
2019-01-28,34.94976806640625
2019-01-29,35.18564224243164
2019-01-30,35.486576080322266
2019-01-31,35.58418273925781
2019-02-01,35.29137420654297
2019-02-04,35.71431350708008
2019-02-05,35.860721588134766
2019-02-06,35.803794860839844
2019-02-07,36.1697883605957
2019-02-08,36.26740264892578
2019-02-11,36.21859359741211
2019-02-12,35.9745979309082
2019-02-13,36.316200256347656
2019-02-14,36.30806350708008
2019-02-15,36.26740264892578
2019-02-19,36.37314224243164
2019-02-20,36.05592346191406
2019-02-21,36.38939666748047
2019-02-22,36.50327682495117
2019-02-25,36.21859359741211
2019-02-26,36.283660888671875
2019-02-27,36.088462829589844
2019-02-28,36.12913513183594
2019-03-01,36.03965377807617
2019-03-04,36.39753341674805
2019-03-05,36.5195426940918
2019-03-06,36.33246994018555
2019-03-07,36.32433319091797
2019-03-08,36.511409759521484
2019-03-11,36.511409759521484
2019-03-12,36.5846061706543
2019-03-13,36.71473693847656
2019-03-14,36.869285583496094
2019-03-15,36.70661163330078
2019-03-18,36.283660888671875
2019-03-19,36.21046447753906
2019-03-20,36.194190979003906
2019-03-21,36.70661163330078
2019-03-22,36.5846061706543
2019-03-25,36.657806396484375
2019-03-26,36.942481994628906
2019-03-27,36.861141204833984
2019-03-28,37.007545471191406
2019-03-29,36.97500991821289
2019-04-01,36.812339782714844
2019-04-02,37.17021560668945
2019-04-03,37.22714614868164
2019-04-04,36.95061492919922
2019-04-05,37.10515594482422
2019-04-08,36.951904296875
2019-04-09,36.98468780517578
2019-04-10,37.173179626464844
2019-04-11,37.271507263183594
2019-04-12,37.533756256103516
2019-04-15,37.47639083862305
2019-04-16,36.45199966430664
2019-04-17,35.81277847290039
2019-04-18,36.24713134765625
2019-04-22,35.65707015991211
2019-04-23,36.14057922363281
2019-04-24,36.43560791015625
2019-04-25,36.62409973144531
2019-04-26,36.90272903442383
2019-04-29,36.37824249267578
2019-04-30,36.83717727661133
2019-05-01,36.4683837890625
2019-05-02,36.27170944213867
2019-05-03,36.44379806518555
2019-05-06,36.36185073852539
2019-05-07,35.689842224121094
2019-05-08,35.7308235168457
2019-05-09,35.82097244262695
2019-05-10,36.38642883300781
2019-05-13,36.37004089355469
2019-05-14,36.35365295410156
2019-05-15,36.566734313964844
2019-05-16,36.755218505859375
2019-05-17,36.771610260009766
2019-05-20,36.329071044921875
2019-05-21,36.558536529541016
2019-05-22,36.79619598388672
2019-05-23,36.98468780517578
2019-05-24,37.1321907043457
2019-05-28,36.82078170776367
2019-05-29,36.1569709777832
2019-05-30,36.238929748535156
2019-05-31,36.69785690307617
2019-06-03,36.894535064697266
2019-06-04,36.566734313964844
2019-06-05,37.591129302978516
2019-06-06,37.77960968017578
2019-06-07,37.81239700317383
2019-06-10,37.77141571044922
2019-06-11,37.730445861816406
2019-06-12,37.787803649902344
