,INVH
2019-10-07,26.234752655029297
2019-10-08,26.03315544128418
2019-10-09,26.46265411376953
2019-10-10,26.602895736694336
2019-10-11,26.515247344970703
2019-10-14,26.50647735595703
2019-10-15,26.66425514221191
2019-10-16,26.71685028076172
2019-10-17,26.65549087524414
2019-10-18,27.067462921142575
2019-10-21,27.25153350830078
2019-10-22,26.94474983215332
2019-10-23,27.03240394592285
2019-10-24,27.07622718811035
2019-10-25,27.07622718811035
2019-10-28,26.979816436767575
2019-10-29,26.997344970703125
2019-10-30,26.699317932128903
2019-10-31,26.988574981689453
2019-11-01,27.03240394592285
2019-11-04,26.646726608276367
2019-11-05,25.97179412841797
2019-11-06,26.296113967895508
2019-11-07,25.87537384033203
2019-11-08,25.866609573364254
2019-11-11,25.822778701782227
2019-11-12,25.778759002685547
2019-11-13,26.26299095153809
2019-11-14,26.41266441345215
2019-11-15,26.40385627746582
2019-11-18,26.40385627746582
2019-11-19,26.351036071777344
2019-11-20,26.465490341186523
2019-11-21,25.813976287841797
2019-11-22,26.09571075439453
2019-11-25,26.527118682861328
2019-11-26,26.844072341918945
2019-11-27,26.72081184387207
2019-11-29,26.87929344177246
2019-12-02,26.562334060668945
2019-12-03,26.483097076416016
2019-12-04,26.527118682861328
2019-12-05,26.25418472290039
2019-12-06,26.43907928466797
2019-12-09,26.53592300415039
2019-12-10,26.29821014404297
2019-12-11,25.937236785888672
2019-12-12,25.35615921020508
2019-12-13,25.558652877807617
2019-12-16,25.690719604492188
2019-12-17,25.259313583374023
2019-12-18,25.40017890930176
2019-12-19,25.73473739624023
2019-12-20,25.946044921875
2019-12-23,25.690719604492188
2019-12-24,25.70832633972168
2019-12-26,25.910825729370117
2019-12-27,25.98125648498535
2019-12-30,26.20136451721191
2019-12-31,26.386249542236328
2020-01-02,25.946044921875
2020-01-03,26.483097076416016
2020-01-06,26.57994842529297
2020-01-07,26.00767517089844
2020-01-08,26.27179527282715
2020-01-09,26.26299095153809
2020-01-10,26.465490341186523
2020-01-13,26.57994842529297
2020-01-14,26.29821014404297
2020-01-15,26.491899490356445
2020-01-16,26.87929344177246
2020-01-17,26.844072341918945
2020-01-21,27.213848114013672
2020-01-22,27.425148010253903
2020-01-23,27.61004066467285
2020-01-24,27.592432022094727
2020-01-27,27.46917152404785
2020-01-28,27.548410415649418
2020-01-29,27.5748233795166
2020-01-30,27.742103576660156
2020-01-31,27.70688247680664
2020-02-03,27.65406036376953
2020-02-04,27.935792922973633
2020-02-05,27.65406036376953
2020-02-06,27.7861270904541
2020-02-07,27.742103576660156
2020-02-10,28.103076934814453
2020-02-11,27.93500518798828
2020-02-12,28.14729881286621
2020-02-13,28.61612892150879
2020-02-14,28.79304313659668
2020-02-18,28.84611701965332
2020-02-19,28.10307502746582
2020-02-20,27.899620056152344
2020-02-21,27.766939163208008
2020-02-24,27.64309310913086
2020-02-25,26.93543243408203
2020-02-26,26.192384719848633
2020-02-27,25.59971809387207
2020-02-28,25.378572463989254
2020-03-02,26.404682159423828
2020-03-03,26.36045265197754
2020-03-04,27.183115005493164
2020-03-05,26.714284896850582
2020-03-06,26.13046646118164
2020-03-09,24.281688690185547
2020-03-10,25.17511749267578
2020-03-11,23.857093811035156
2020-03-12,22.71599006652832
2020-03-13,23.927858352661133
2020-03-16,18.293092727661133
2020-03-17,19.5491943359375
2020-03-18,17.072370529174805
2020-03-19,16.364715576171875
2020-03-20,15.205909729003906
2020-03-23,14.268258094787598
2020-03-24,16.046262741088867
2020-03-25,16.700847625732422
2020-03-26,17.62965965270996
2020-03-27,18.408090591430664
2020-03-30,18.744232177734375
2020-03-31,18.903453826904297
2020-04-01,17.93926429748535
2020-04-02,18.08964157104492
2020-04-03,17.134296417236328
2020-04-06,18.97422218322754
2020-04-07,19.106903076171875
