,LNT
2020-04-27,43.25678253173828
2020-04-28,43.523170471191406
2020-04-29,42.77859115600586
2020-04-30,42.03400421142578
2020-05-01,40.90848159790039
2020-05-04,41.12492752075195
2020-05-05,41.575138092041016
2020-05-06,39.97343444824219
2020-05-07,40.03403854370117
2020-05-08,41.54917526245117
2020-05-11,40.76130294799805
2020-05-12,40.17256546020508
2020-05-13,39.70503616333008
2020-05-14,39.774295806884766
2020-05-15,39.782958984375
2020-05-18,41.332725524902344
2020-05-19,40.103302001953125
2020-05-20,40.397666931152344
2020-05-21,39.85221481323242
2020-05-22,40.15524673461914
2020-05-26,40.61410903930664
2020-05-27,40.97774887084961
2020-05-28,42.302398681640625
2020-05-29,42.735294342041016
2020-06-01,42.821868896484375
2020-06-02,43.42792510986328
2020-06-03,44.1898193359375
2020-06-04,43.375972747802734
2020-06-05,43.843505859375
2020-06-08,45.298030853271484
2020-06-09,43.956058502197266
2020-06-10,43.91277313232422
2020-06-11,42.15522003173828
2020-06-12,42.03400421142578
2020-06-15,42.35435104370117
2020-06-16,42.423614501953125
2020-06-17,42.34569549560547
2020-06-18,42.4495849609375
2020-06-19,41.54917526245117
2020-06-22,41.9820671081543
2020-06-23,41.462589263916016
2020-06-24,40.79592514038086
2020-06-25,40.4929084777832
2020-06-26,40.735328674316406
2020-06-29,41.03834915161133
2020-06-30,41.4193000793457
2020-07-01,42.2158203125
2020-07-02,42.7872428894043
2020-07-06,42.423614501953125
2020-07-07,41.96474838256836
2020-07-08,41.99937438964844
2020-07-09,41.77427673339844
2020-07-10,42.45824432373047
2020-07-13,42.38032531738281
2020-07-14,42.84785079956055
2020-07-15,42.74394607543945
2020-07-16,43.055633544921875
2020-07-17,43.956058502197266
2020-07-20,43.67900466918945
2020-07-21,43.92142105102539
2020-07-22,45.49715805053711
2020-07-23,46.103214263916016
2020-07-24,45.990657806396484
2020-07-27,45.77421188354492
2020-07-28,46.42354965209961
2020-07-29,46.76121139526367
2020-07-30,46.883277893066406
2020-07-31,46.953025817871094
2020-08-03,46.65657043457031
2020-08-04,46.90944290161133
2020-08-05,46.09855651855469
2020-08-06,46.50834655761719
2020-08-07,47.71160125732422
2020-08-10,48.260921478271484
2020-08-11,46.78736877441406
2020-08-12,47.022789001464844
2020-08-13,47.066383361816406
2020-08-14,46.883277893066406
2020-08-17,46.99663162231445
2020-08-18,46.77864456176758
2020-08-19,46.92687225341797
2020-08-20,46.75248718261719
2020-08-21,47.1535758972168
