,LRCX
2021-02-18,44.693965911865234
2021-02-19,46.29059600830078
2021-02-22,43.92272186279297
2021-02-23,43.52433776855469
2021-02-24,46.17378234863281
2021-02-25,42.3640022277832
2021-02-26,43.87554168701172
2021-03-01,46.321533203125
2021-03-02,44.35282897949219
2021-03-03,42.64094161987305
2021-03-04,40.9066162109375
2021-03-05,42.36786651611328
2021-03-08,38.87989044189453
2021-03-09,42.04375457763672
2021-03-10,40.124542236328125
2021-03-11,41.415618896484375
2021-03-12,40.59796142578125
2021-03-15,41.52082061767578
2021-03-16,43.378257751464844
2021-03-17,43.84043502807617
2021-03-18,42.743263244628906
2021-03-19,42.992183685302734
2021-03-22,44.3969612121582
2021-03-23,43.15866470336914
2021-03-24,43.796043395996094
2021-03-25,43.44565200805664
2021-03-26,46.3154411315918
2021-03-29,45.21033477783203
2021-03-30,45.39028549194336
2021-03-31,47.188262939453125
2021-04-01,50.68117141723633
2021-04-05,52.385597229003906
2021-04-06,51.72602844238281
2021-04-07,52.225467681884766
2021-04-08,52.95639419555664
2021-04-09,52.48073196411133
2021-04-12,51.55083084106445
2021-04-13,51.132259368896484
2021-04-14,50.770755767822266
2021-04-15,51.48978805541992
2021-04-16,51.03078079223633
2021-04-19,49.28828811645508
2021-04-20,48.59858703613281
2021-04-21,50.83576583862305
2021-04-22,48.71829605102539
2021-04-23,49.74492645263672
2021-04-26,50.987972259521484
2021-04-27,51.1235237121582
2021-04-28,50.58207702636719
2021-04-29,50.81356430053711
2021-04-30,49.18681335449219
2021-05-03,48.93234634399414
2021-05-04,48.06427001953125
2021-05-05,48.43765640258789
2021-05-06,48.94819259643555
2021-05-07,49.98671340942383
2021-05-10,46.491432189941406
2021-05-11,46.96550750732422
2021-05-12,44.20986557006836
2021-05-13,46.35507583618164
2021-05-14,47.80266189575195
2021-05-17,46.93696594238281
2021-05-18,46.36300277709961
2021-05-19,47.740028381347656
2021-05-20,49.68388748168945
2021-05-21,48.68341064453125
2021-05-24,50.311744689941406
2021-05-25,50.76599884033203
2021-05-26,50.58128356933594
2021-05-27,51.188533782958984
2021-05-28,51.51753234863281
2021-06-01,51.45331954956055
2021-06-02,51.4493522644043
2021-06-03,50.40211868286133
2021-06-04,51.950382232666016
2021-06-07,51.496124267578125
2021-06-08,50.54243087768555
2021-06-09,50.26814651489258
2021-06-10,50.79771041870117
2021-06-11,50.903934478759766
2021-06-14,51.54845428466797
2021-06-15,51.1147346496582
2021-06-16,50.73821258544922
2021-06-17,50.82082748413086
2021-06-18,48.66655349731445
2021-06-21,49.13998031616211
2021-06-22,49.39179992675781
2021-06-23,49.58482360839844
2021-06-24,50.44271469116211
2021-06-25,50.07890701293945
2021-06-28,51.39116287231445
2021-06-29,51.77483367919922
2021-06-30,51.688255310058594
2021-07-01,50.287818908691406
2021-07-02,50.15834045410156
2021-07-06,49.40052795410156
2021-07-07,48.74042892456055
2021-07-08,48.139896392822266
2021-07-09,48.681644439697266
2021-07-12,49.680137634277344
2021-07-13,49.620567321777344
2021-07-14,49.08120346069336
2021-07-15,48.5140380859375
2021-07-16,46.74580764770508
2021-07-19,46.987300872802734
2021-07-20,48.224098205566406
2021-07-21,50.619850158691406
2021-07-22,50.51499938964844
2021-07-23,50.8597526550293
2021-07-26,50.86928939819336
2021-07-27,49.4553337097168
2021-07-28,50.44112777709961
2021-07-29,49.220218658447266
2021-07-30,50.632568359375
2021-08-02,50.98128128051758
2021-08-03,51.27678298950195
2021-08-04,51.615177154541016
2021-08-05,51.287906646728516
2021-08-06,51.47060012817383
2021-08-09,50.87802505493164
2021-08-10,49.02480697631836
2021-08-11,48.33769607543945
2021-08-12,46.35102844238281
2021-08-13,46.104774475097656
2021-08-16,46.776798248291016
2021-08-17,45.991973876953125
2021-08-18,45.23894119262695
2021-08-19,45.84503173828125
2021-08-20,44.957740783691406
2021-08-23,46.41378402709961
2021-08-24,46.51545715332031
2021-08-25,46.768856048583984
2021-08-26,46.49718475341797
2021-08-27,48.42268371582031
2021-08-30,48.29559326171875
2021-08-31,48.04377746582031
2021-09-01,47.6434326171875
2021-09-02,47.827720642089844
2021-09-03,48.511661529541016
2021-09-07,47.119956970214844
2021-09-08,46.35340881347656
2021-09-09,47.1533203125
2021-09-10,47.51077651977539
2021-09-13,48.3575553894043
2021-09-14,47.93893051147461
2021-09-15,48.57440948486328
2021-09-16,48.91995620727539
2021-09-17,48.374229431152344
2021-09-20,46.85940933227539
2021-09-21,46.56629943847656
2021-09-22,47.748287200927734
2021-09-23,48.65861129760742
2021-09-24,48.65224838256836
2021-09-27,50.21487808227539
2021-09-28,47.71501159667969
2021-09-29,46.21181869506836
2021-09-30,46.34537124633789
2021-10-01,46.39259338378906
2021-10-04,44.79740524291992
2021-10-05,45.26643753051758
2021-10-06,44.926876068115234
2021-10-07,45.259918212890625
2021-10-08,44.79902648925781
2021-10-11,44.98469161987305
2021-10-12,44.523799896240234
2021-10-13,44.330810546875
2021-10-14,46.246028900146484
2021-10-15,45.96427917480469
2021-10-18,46.3087272644043
2021-10-19,46.4821662902832
2021-10-20,46.04814910888672
2021-10-21,45.227352142333984
2021-10-22,45.334842681884766
2021-10-25,44.946414947509766
2021-10-26,44.69969177246094
2021-10-27,45.080772399902344
2021-10-28,46.08479309082031
2021-10-29,45.890995025634766
2021-11-01,46.63932418823242
2021-11-02,46.75984191894531
2021-11-03,47.34286880493164
2021-11-04,48.7540397644043
2021-11-05,49.73444747924805
2021-11-08,49.596012115478516
2021-11-09,50.64157485961914
2021-11-10,49.3281135559082
2021-11-11,49.97303771972656
2021-11-12,50.845951080322266
2021-11-15,51.32149887084961
2021-11-16,51.647220611572266
2021-11-17,51.351627349853516
2021-11-18,51.77262496948242
2021-11-19,52.48104476928711
2021-11-22,52.66019058227539
2021-11-23,53.85068893432617
2021-11-24,53.807533264160156
2021-11-26,52.275856018066406
2021-11-29,55.41575622558594
2021-11-30,55.35956954956055
2021-12-01,56.4735107421875
2021-12-02,53.86697769165039
2021-12-03,53.862911224365234
2021-12-06,54.358802795410156
2021-12-07,57.50115203857422
2021-12-08,58.14281463623047
2021-12-09,56.95070266723633
2021-12-10,57.485687255859375
2021-12-13,55.77648162841797
2021-12-14,56.54574203491211
2021-12-15,58.05259323120117
2021-12-16,55.88555145263672
2021-12-17,55.709877014160156
2021-12-20,55.036376953125
2021-12-21,56.867088317871094
2021-12-22,57.545597076416016
2021-12-23,58.169986724853516
2021-12-27,60.22465515136719
2021-12-28,59.616912841796875
2021-12-29,60.50355529785156
2021-12-30,59.80255889892578
2021-12-31,59.87083053588867
2022-01-03,60.39615249633789
2022-01-04,59.275577545166016
2022-01-05,57.5947151184082
2022-01-06,58.4355583190918
2022-01-07,55.71987533569336
2022-01-10,55.30361557006836
2022-01-11,56.04622268676758
2022-01-12,57.137664794921875
2022-01-13,57.17512130737305
2022-01-14,60.75912094116211
2022-01-18,56.52909851074219
2022-01-19,53.50870132446289
2022-01-20,51.58890151977539
2022-01-21,50.43335723876953
2022-01-24,51.76789474487305
2022-01-25,48.97145080566406
2022-01-26,49.67409133911133
2022-01-27,46.22995376586914
2022-01-28,46.71614074707031
2022-01-31,49.112144470214844
2022-02-01,49.07468032836914
2022-02-02,50.931209564208984
2022-02-03,49.01557540893555
2022-02-04,48.2088623046875
2022-02-07,47.567813873291016
2022-02-08,47.97740936279297
2022-02-09,50.570716857910156
2022-02-10,49.52424240112305
2022-02-11,46.62040328979492
2022-02-14,46.47555160522461
2022-02-15,49.43682861328125
2022-02-16,49.24118423461914
2022-02-17,48.33707046508789
2022-02-18,47.45293045043945
2022-02-22,46.597930908203125
2022-02-23,45.15516662597656
2022-02-24,46.86101150512695
2022-02-25,47.72017288208008
2022-02-28,46.73362731933594
2022-03-01,45.0036506652832
2022-03-02,46.12339401245117
2022-03-03,45.2484130859375
2022-03-04,43.77235412597656
2022-03-07,40.72282028198242
2022-03-08,40.82439422607422
2022-03-09,43.06719970703125
2022-03-10,41.38217544555664
2022-03-11,40.243289947509766
2022-03-14,39.0452880859375
2022-03-15,41.68729782104492
2022-03-16,44.24760055541992
2022-03-17,45.2650146484375
2022-03-18,46.8405876159668
2022-03-21,46.171485900878906
2022-03-22,47.022911071777344
2022-03-23,45.66665267944336
2022-03-24,47.83650207519531
2022-03-25,47.71609878540039
2022-03-28,47.930240631103516
2022-03-29,48.92959213256836
2022-03-30,47.17771530151367
2022-03-31,46.23598861694336
2022-04-01,45.190185546875
2022-04-04,46.05881881713867
2022-04-05,43.31446838378906
2022-04-06,42.84403991699219
2022-04-07,43.288673400878906
2022-04-08,42.282432556152344
2022-04-11,40.916709899902344
2022-04-12,40.163326263427734
2022-04-13,40.64580154418945
2022-04-14,39.23105239868164
2022-04-18,40.4686393737793
2022-04-19,41.21170425415039
2022-04-20,41.40606689453125
2022-04-21,40.379188537597656
2022-04-22,39.830501556396484
2022-04-25,40.973472595214844
2022-04-26,39.32222366333008
2022-04-27,39.28437805175781
2022-04-28,41.667518615722656
2022-04-29,40.056678771972656
2022-05-02,41.22288131713867
2022-05-03,41.74492263793945
2022-05-04,43.51055145263672
2022-05-05,41.39488220214844
2022-05-06,41.1291389465332
