,SWKS
2021-11-26,141.35081481933594
2021-11-29,143.6127471923828
2021-11-30,140.59066772460938
2021-12-01,139.20941162109375
2021-12-02,138.77371215820312
2021-12-03,138.50491333007812
2021-12-06,141.2952117919922
2021-12-07,145.83755493164062
2021-12-08,148.39613342285156
2021-12-09,149.2675018310547
2021-12-10,150.62094116210938
2021-12-13,147.8677215576172
2021-12-14,147.7471923828125
2021-12-15,148.26632690429688
2021-12-16,135.705322265625
2021-12-17,140.6277313232422
2021-12-20,138.96841430664062
2021-12-21,141.4899139404297
2021-12-22,141.2952117919922
2021-12-23,142.2222137451172
2021-12-27,144.02061462402344
2021-12-28,144.5583038330078
2021-12-29,144.9569091796875
2021-12-30,144.4285125732422
2021-12-31,143.81668090820312
2022-01-03,148.11802673339844
2022-01-04,149.48072814941406
2022-01-05,146.54209899902344
2022-01-06,146.59771728515625
2022-01-07,142.95455932617188
2022-01-10,142.8433074951172
2022-01-11,144.69732666015625
2022-01-12,144.71591186523438
2022-01-13,141.48060607910156
2022-01-14,144.28945922851562
2022-01-18,140.58139038085938
2022-01-19,135.23255920410156
2022-01-20,132.55349731445312
2022-01-21,129.68899536132812
2022-01-24,133.34144592285156
2022-01-25,129.6055908203125
2022-01-26,131.66354370117188
2022-01-27,127.32514190673828
2022-01-28,129.75387573242188
2022-01-31,135.82582092285156
2022-02-01,135.6311492919922
2022-02-02,137.633544921875
2022-02-03,128.4282684326172
2022-02-04,125.2393569946289
2022-02-07,126.15709686279297
2022-02-08,130.00421142578125
2022-02-09,133.4341278076172
2022-02-10,130.5789337158203
2022-02-11,123.41314697265625
2022-02-14,124.8963623046875
2022-02-15,129.40162658691406
2022-02-16,129.9671173095703
2022-02-17,126.46300506591797
2022-02-18,127.13322448730469
2022-02-22,125.53217315673828
2022-02-23,124.15454864501953
2022-02-24,129.22760009765625
2022-02-25,129.68368530273438
2022-02-28,128.61325073242188
2022-03-01,123.84738159179688
2022-03-02,127.3565902709961
2022-03-03,127.39385223388672
2022-03-04,126.49092864990234
2022-03-07,119.8634033203125
2022-03-08,122.94446563720703
2022-03-09,124.8805923461914
2022-03-10,122.37665557861328
2022-03-11,118.71847534179688
2022-03-14,112.22126770019531
2022-03-15,116.81026458740234
2022-03-16,122.00431823730469
2022-03-17,123.76358795166016
2022-03-18,125.83000946044922
2022-03-21,125.23431396484375
2022-03-22,128.00819396972656
2022-03-23,124.08007049560547
2022-03-24,128.85525512695312
2022-03-25,128.45498657226562
2022-03-28,127.57998657226562
2022-03-29,130.58660888671875
2022-03-30,126.96566009521484
2022-03-31,124.06143951416016
2022-04-01,122.8979263305664
2022-04-04,124.9922866821289
2022-04-05,119.07219696044922
2022-04-06,115.8701400756836
2022-04-07,114.54834747314453
2022-04-08,113.8222885131836
