,CNP
2017-12-07,23.156240463256836
2017-12-08,23.19635772705078
2017-12-11,23.148216247558594
2017-12-12,22.771102905273438
2017-12-13,22.787153244018555
2017-12-14,22.96367073059082
2017-12-15,23.108095169067383
2017-12-18,22.835294723510742
2017-12-19,22.47422981262207
2017-12-20,22.482248306274414
2017-12-21,22.281660079956055
2017-12-22,22.522367477416992
2017-12-26,22.49027442932129
2017-12-27,22.586557388305664
2017-12-28,22.75505828857422
2017-12-29,22.75505828857422
2018-01-02,22.482248306274414
2018-01-03,22.434112548828125
2018-01-04,22.458181381225586
2018-01-05,22.361896514892578
2018-01-08,22.4982967376709
2018-01-09,22.273632049560547
2018-01-10,21.872453689575195
2018-01-11,22.008859634399414
2018-01-12,21.960716247558594
2018-01-16,22.081073760986328
2018-01-17,22.36992073059082
2018-01-18,22.329805374145508
2018-01-19,22.305736541748047
2018-01-22,22.297712326049805
2018-01-23,22.530393600463867
2018-01-24,22.578536987304688
2018-01-25,22.771102905273438
2018-01-26,22.835294723510742
2018-01-29,22.249568939208984
2018-01-30,22.321781158447266
2018-01-31,22.61063003540039
2018-02-01,22.24154281616211
2018-02-02,22.105144500732422
2018-02-05,21.591625213623047
2018-02-06,21.118234634399414
2018-02-07,21.15032958984375
2018-02-08,20.741117477416992
2018-02-09,21.262657165527344
2018-02-12,21.447200775146484
2018-02-13,21.479299545288086
2018-02-14,21.234439849853516
2018-02-15,21.696592330932617
2018-02-16,21.81820297241211
2018-02-20,21.67226219177246
2018-02-21,21.26687240600586
2018-02-22,21.891176223754883
2018-02-23,22.483049392700195
2018-02-26,22.531700134277344
2018-02-27,22.093873977661133
2018-02-28,21.931713104248047
2018-03-01,21.664154052734375
2018-03-02,21.639833450317383
2018-03-05,22.01279067993164
2018-03-06,21.704696655273438
2018-03-07,21.656047821044922
2018-03-08,21.964141845703125
2018-03-09,21.996580123901367
2018-03-12,22.23981475830078
2018-03-13,22.142513275146484
2018-03-14,21.931713104248047
2018-03-15,21.826313018798828
2018-03-16,22.01279067993164
2018-03-19,21.850635528564453
2018-03-20,21.737125396728516
2018-03-21,21.76144790649414
2018-03-22,21.67226219177246
2018-03-23,21.485782623291016
2018-03-26,21.76144790649414
2018-03-27,21.964141845703125
2018-03-28,21.850635528564453
2018-03-29,22.215492248535156
2018-04-02,21.87495994567871
2018-04-03,21.95604133605957
2018-04-04,22.05333137512207
2018-04-05,22.12630271911621
2018-04-06,21.80198860168457
2018-04-09,21.996580123901367
2018-04-10,21.972253799438477
2018-04-11,21.753337860107422
2018-04-12,21.510107040405273
2018-04-13,21.62361717224121
2018-04-16,21.94793128967285
2018-04-17,22.029006958007812
2018-04-18,22.00468635559082
2018-04-19,21.87495994567871
2018-04-20,21.631729125976562
2018-04-23,21.031747817993164
2018-04-24,20.561487197875977
2018-04-25,20.204748153686523
2018-04-26,20.358797073364258
2018-04-27,20.650672912597656
2018-04-30,20.537168502807617
2018-05-01,20.6263484954834
2018-05-02,20.64256477355957
2018-05-03,20.57770538330078
2018-05-04,21.39659309387207
2018-05-07,21.591182708740234
2018-05-08,21.526323318481445
2018-05-09,21.299301147460938
2018-05-10,21.599294662475586
2018-05-11,21.631729125976562
2018-05-14,21.477672576904297
2018-05-15,21.12903594970703
2018-05-16,20.897932052612305
2018-05-17,20.725828170776367
2018-05-18,20.758615493774414
2018-05-21,20.6684627532959
2018-05-22,20.824174880981445
2018-05-23,21.192960739135742
2018-05-24,21.447011947631836
2018-05-25,21.291303634643555
2018-05-29,21.17656707763672
2018-05-30,21.406036376953125
2018-05-31,21.414228439331055
2018-06-01,21.029052734375
2018-06-04,21.004470825195312
2018-06-05,21.029052734375
2018-06-06,20.660266876220703
2018-06-07,20.824174880981445
2018-06-08,20.775001525878906
2018-06-11,20.6684627532959
2018-06-12,21.233938217163086
2018-06-13,21.012664794921875
2018-06-14,21.455211639404297
2018-06-15,21.217546463012695
2018-06-18,21.373262405395508
