,WBA
2018-06-27,48.26934051513672
2018-06-28,43.490482330322266
2018-06-29,43.72359085083008
2018-07-02,44.53221130371094
2018-07-03,44.262672424316406
2018-07-05,45.44282150268555
2018-07-06,46.1130256652832
2018-07-09,46.42626190185547
2018-07-10,46.0401725769043
2018-07-11,46.375274658203125
2018-07-12,46.53553771972656
2018-07-13,47.47528839111328
2018-07-16,47.46799850463867
2018-07-17,47.81039047241211
2018-07-18,48.19648742675781
2018-07-19,47.30044937133789
2018-07-20,47.336883544921875
2018-07-23,47.599124908447266
2018-07-24,47.72297286987305
2018-07-25,48.58985900878906
2018-07-26,49.201786041259766
2018-07-27,50.00312042236328
2018-07-30,50.381935119628906
2018-07-31,49.260074615478516
2018-08-01,48.40045928955078
2018-08-02,48.793846130371094
2018-08-03,48.968685150146484
2018-08-06,49.11436080932617
2018-08-07,48.8448371887207
2018-08-08,48.4368782043457
2018-08-09,48.20376968383789
2018-08-10,48.4368782043457
2018-08-13,48.42960739135742
2018-08-14,50.01769256591797
2018-08-15,50.06869125366211
2018-08-16,50.71703338623047
2018-08-17,51.31085968017578
2018-08-20,51.31085968017578
2018-08-21,51.50148391723633
2018-08-22,51.05427169799805
2018-08-23,50.79035568237305
2018-08-24,50.73903274536133
2018-08-27,50.90763473510742
2018-08-28,50.79035568237305
2018-08-29,50.335819244384766
2018-08-30,49.70534133911133
2018-08-31,50.26249694824219
2018-09-04,49.57337951660156
2018-09-05,50.02790832519531
2018-09-06,49.87394332885742
2018-09-07,49.99126052856445
2018-09-10,50.43844985961914
2018-09-11,50.394466400146484
2018-09-12,51.59677505493164
2018-09-13,51.67009735107422
2018-09-14,51.523475646972656
2018-09-17,51.648094177246094
2018-09-18,51.96333694458008
2018-09-19,52.25657653808594
2018-09-20,53.43689727783203
2018-09-21,53.51754379272461
2018-09-24,52.93104553222656
2018-09-25,52.93837356567383
2018-09-26,53.488224029541016
2018-09-27,54.11137008666992
2018-09-28,53.44422912597656
2018-10-01,53.12166213989258
2018-10-02,53.876766204833984
2018-10-03,54.10403823852539
2018-10-04,53.76681137084961
2018-10-05,53.1583137512207
2018-10-08,54.36064529418945
2018-10-09,53.9280891418457
2018-10-10,53.011695861816406
2018-10-11,51.97800064086914
2018-10-12,53.88410568237305
2018-10-15,54.77850341796875
2018-10-16,55.92217254638672
2018-10-17,56.43534851074219
2018-10-18,56.142112731933594
2018-10-19,56.70659637451172
2018-10-22,56.92654800415039
2018-10-23,56.640628814697266
2018-10-24,54.397281646728516
2018-10-25,55.52627944946289
2018-10-26,55.88551330566406
2018-10-29,56.31805419921875
2018-10-30,57.76962661743164
2018-10-31,58.480735778808594
2018-11-01,58.576053619384766
2018-11-02,58.13618469238281
2018-11-05,58.62736129760742
2018-11-06,59.0892333984375
2018-11-07,60.04962921142578
2018-11-08,60.764583587646484
