,GOOG
2019-07-26,62.296661376953125
2019-07-29,61.748634338378906
2019-07-30,61.037681579589844
2019-07-31,60.6161994934082
2019-08-01,60.234073638916016
2019-08-02,59.48575973510742
2019-08-05,57.40972137451172
2019-08-06,58.28806686401367
2019-08-07,58.489341735839844
2019-08-08,60.02432632446289
2019-08-09,59.187835693359375
2019-08-12,58.52521514892578
2019-08-13,59.649173736572266
2019-08-14,58.006080627441406
2019-08-15,58.154048919677734
2019-08-16,58.6692008972168
2019-08-19,59.70796585083008
2019-08-20,58.92278289794922
2019-08-21,59.3492546081543
2019-08-22,59.2635612487793
2019-08-23,57.35840606689453
2019-08-26,58.235252380371094
2019-08-27,58.18294143676758
2019-08-28,58.341373443603516
2019-08-29,59.4289665222168
2019-08-30,59.19231414794922
2019-09-03,58.21034240722656
2019-09-04,58.859012603759766
2019-09-05,60.35214614868164
2019-09-06,60.030799865722656
2019-09-09,60.00489807128906
2019-09-10,60.084110260009766
2019-09-11,60.79007339477539
2019-09-12,61.49155807495117
2019-09-13,61.756103515625
2019-09-16,61.344581604003906
2019-09-17,61.23746871948242
2019-09-18,61.39988327026367
2019-09-19,61.7137565612793
2019-09-20,61.27632522583008
2019-09-23,61.480594635009766
2019-09-24,60.719825744628906
2019-09-25,62.10285949707031
2019-09-26,61.8472785949707
2019-09-27,61.035194396972656
2019-09-30,60.73178482055664
2019-10-01,60.03927230834961
2019-10-02,58.62086868286133
2019-10-03,59.17885971069336
2019-10-04,60.233577728271484
2019-10-07,60.167808532714844
2019-10-08,59.24363327026367
2019-10-09,59.900272369384766
2019-10-10,60.217132568359375
2019-10-11,60.5549201965332
2019-10-14,60.63911819458008
2019-10-15,61.9279899597168
2019-10-16,61.959373474121094
2019-10-17,62.4291877746582
2019-10-18,62.051544189453125
2019-10-21,62.08442306518555
2019-10-22,61.91752243041992
2019-10-23,62.731101989746094
2019-10-24,62.82376480102539
2019-10-25,63.030029296875
2019-10-28,64.26907348632812
2019-10-29,62.90497589111328
2019-10-30,62.838714599609375
2019-10-31,62.77992248535156
2019-11-01,63.458984375
2019-11-04,64.33732604980469
2019-11-05,64.37020874023438
2019-11-06,64.35874938964844
2019-11-07,65.20869445800781
2019-11-08,65.33374786376953
2019-11-11,64.7269287109375
2019-11-12,64.70750427246094
2019-11-13,64.66764831542969
2019-11-14,65.3382339477539
2019-11-15,66.5045394897461
2019-11-18,65.798583984375
2019-11-19,65.53752136230469
2019-11-20,64.91923522949219
2019-11-21,64.83454132080078
2019-11-22,64.53512573242188
2019-11-25,65.10059356689453
2019-11-26,65.4423599243164
2019-11-27,65.41445922851562
2019-11-29,65.01439666748047
2019-12-02,64.26509094238281
2019-12-03,64.5321273803711
2019-12-04,65.79061126708984
2019-12-05,66.16874694824219
2019-12-06,66.79100799560547
2019-12-09,66.93749237060547
2019-12-10,66.9922866821289
2019-12-11,67.0102310180664
