,STLD
2018-10-12,37.03251647949219
2018-10-15,35.52988815307617
2018-10-16,35.17171096801758
2018-10-17,35.4250602722168
2018-10-18,36.09774398803711
2018-10-19,35.844390869140625
2018-10-22,36.25499725341797
2018-10-23,35.53862762451172
2018-10-24,33.712772369384766
2018-10-25,34.5601806640625
2018-10-26,33.52058029174805
2018-10-29,33.712772369384766
2018-10-30,34.07095718383789
2018-10-31,34.59512710571289
2018-11-01,35.35517883300781
2018-11-02,35.69587707519531
2018-11-05,35.67840576171875
2018-11-06,36.019126892089844
2018-11-07,36.420989990234375
2018-11-08,35.87934112548828
2018-11-09,35.189186096191406
2018-11-12,34.86593246459961
2018-11-13,35.189186096191406
2018-11-14,34.2806396484375
2018-11-15,34.944583892822266
2018-11-16,34.67375183105469
2018-11-19,34.726173400878906
2018-11-20,33.16240310668945
2018-11-21,33.61667251586914
2018-11-23,32.7081184387207
2018-11-26,32.323726654052734
2018-11-27,29.432065963745117
2018-11-28,30.620182037353516
2018-11-29,30.559043884277344
2018-11-30,30.751222610473633
2018-12-03,31.17057228088379
2018-12-04,30.33190155029297
2018-12-06,28.95157814025879
2018-12-07,28.226484298706055
2018-12-10,27.789669036865234
2018-12-11,27.30918312072754
2018-12-12,27.955659866333008
2018-12-13,28.287633895874023
2018-12-14,28.130380630493164
2018-12-17,27.42275619506836
2018-12-18,27.85082244873047
2018-12-19,27.055837631225586
2018-12-20,26.287057876586914
2018-12-21,26.31326675415039
2018-12-24,25.378494262695312
2018-12-26,26.31326675415039
2018-12-27,26.17348861694336
2018-12-28,26.259641647338867
2018-12-31,26.409088134765625
2019-01-02,26.769540786743164
2019-01-03,26.33876609802246
2019-01-04,27.72779083251953
2019-01-07,28.01790428161621
2019-01-08,28.949779510498047
2019-01-09,29.09922981262207
2019-01-10,29.36296844482422
2019-01-11,29.44209861755371
2019-01-14,29.028902053833008
2019-01-15,28.80911636352539
2019-01-16,29.319015502929688
2019-01-17,29.556371688842773
2019-01-18,30.154193878173828
2019-01-22,30.69046401977539
2019-01-23,30.611339569091797
2019-01-24,30.51463508605957
2019-01-25,31.156396865844727
2019-01-28,31.253103256225586
2019-01-29,31.552013397216797
2019-01-30,32.40476989746094
2019-01-31,32.16740798950195
2019-02-01,32.65971755981445
2019-02-04,32.976200103759766
2019-02-05,32.39597702026367
2019-02-06,32.49268341064453
2019-02-07,31.648714065551758
2019-02-08,31.437719345092773
2019-02-11,31.824541091918945
2019-02-12,32.5278434753418
2019-02-13,32.43113708496094
2019-02-14,32.316856384277344
2019-02-15,32.60696792602539
2019-02-19,32.756404876708984
2019-02-20,34.32127380371094
2019-02-21,33.925662994384766
2019-02-22,34.33885955810547
2019-02-25,34.15422821044922
2019-02-26,33.68830108642578
2019-02-27,33.3630256652832
2019-02-28,32.80916213989258
2019-03-01,33.292694091796875
2019-03-04,33.38059997558594
2019-03-05,33.15202713012695
2019-03-06,32.211368560791016
2019-03-07,31.675085067749023
2019-03-08,30.470678329467773
2019-03-11,31.358600616455078
2019-03-12,31.956409454345703
2019-03-13,32.088279724121094
2019-03-14,30.87508201599121
2019-03-15,30.87508201599121
2019-03-18,30.725631713867188
2019-03-19,31.173988342285156
2019-03-20,30.92782211303711
2019-03-21,31.472881317138672
2019-03-22,29.86408233642578
2019-03-25,29.91682243347168
2019-03-26,30.075063705444336
2019-03-27,30.45309829711914
2019-03-28,30.692115783691406
2019-03-29,31.223270416259766
2019-04-01,31.57738494873047
2019-04-02,31.32950210571289
2019-04-03,31.36492156982422
2019-04-04,31.187868118286133
2019-04-05,31.701322555541992
2019-04-08,31.727874755859375
2019-04-09,30.700971603393555
2019-04-10,30.692115783691406
2019-04-11,29.92193603515625
2019-04-12,29.983905792236328
2019-04-15,29.79800033569336
2019-04-16,30.15210723876953
2019-04-17,30.240636825561523
2019-04-18,30.06357765197754
2019-04-22,28.576332092285156
2019-04-23,29.054380416870117
2019-04-24,28.75339126586914
2019-04-25,27.965497970581055
2019-04-26,27.956647872924805
2019-04-29,28.310754776000977
2019-04-30,28.045175552368164
2019-05-01,27.876976013183594
2019-05-02,28.089441299438477
2019-05-03,29.302249908447266
2019-05-06,28.850767135620117
2019-05-07,28.496662139892578
2019-05-08,28.877321243286133
2019-05-09,28.700273513793945
2019-05-10,28.69141960144043
2019-05-13,27.37237548828125
2019-05-14,27.69107437133789
2019-05-15,27.51401138305664
2019-05-16,27.37237548828125
2019-05-17,26.575637817382812
2019-05-20,26.239234924316406
2019-05-21,26.850069046020508
2019-05-22,25.716928482055664
2019-05-23,24.07918930053711
2019-05-24,24.034927368164062
2019-05-28,24.088048934936523
2019-05-29,23.65426254272461
2019-05-30,22.63620948791504
2019-05-31,22.2643985748291
2019-06-03,23.202775955200195
2019-06-04,23.45950698852539
2019-06-05,23.193927764892578
2019-06-06,23.016878128051758
2019-06-07,22.954906463623047
2019-06-10,23.069988250732422
2019-06-11,23.57459259033203
2019-06-12,23.043432235717773
2019-06-13,23.610004425048828
2019-06-14,23.397537231445312
2019-06-17,23.220487594604492
2019-06-18,25.318565368652344
2019-06-19,26.30120849609375
2019-06-20,25.74349021911621
2019-06-21,25.81431007385254
2019-06-24,25.805456161499023
2019-06-25,26.442846298217773
2019-06-26,27.027118682861328
2019-06-27,27.089580535888672
2019-06-28,26.946819305419922
2019-07-01,27.37511444091797
2019-07-02,26.90220069885254
2019-07-03,26.88435935974121
2019-07-05,27.303730010986328
2019-07-08,26.456064224243164
2019-07-09,26.616674423217773
2019-07-10,26.027767181396484
2019-07-11,26.170536041259766
2019-07-12,26.866514205932617
2019-07-15,27.169885635375977
2019-07-16,27.794479370117188
2019-07-17,27.37511444091797
2019-07-18,27.40188217163086
2019-07-19,28.08001136779785
2019-07-22,28.142473220825195
2019-07-23,28.642147064208984
2019-07-24,28.552921295166016
2019-07-25,28.75814437866211
2019-07-26,29.08828353881836
2019-07-29,29.097213745117188
2019-07-30,29.320280075073242
2019-07-31,28.115705490112305
2019-08-01,27.044963836669922
2019-08-02,26.456064224243164
2019-08-05,25.760086059570312
