,DHR
2017-05-24,71.90015411376953
2017-05-25,72.37115478515625
2017-05-26,72.27691650390625
2017-05-30,72.62803649902344
2017-05-31,72.73937225341797
2017-06-01,73.73274230957031
2017-06-02,74.36646270751953
2017-06-05,74.10099792480469
2017-06-06,73.41590118408203
2017-06-07,73.15900421142578
2017-06-08,72.41394805908203
2017-06-09,72.35401916503906
2017-06-12,71.99435424804688
2017-06-13,72.07996368408203
2017-06-14,72.32831573486328
2017-06-15,72.25980377197266
2017-06-16,72.34544372558594
2017-06-19,73.02198791503906
2017-06-20,73.37307739257812
2017-06-21,74.05815887451172
2017-06-22,73.61285400390625
2017-06-23,73.35594940185547
2017-06-26,73.1932373046875
2017-06-27,72.46533966064453
2017-06-28,72.67121887207031
2017-06-29,72.0793228149414
2017-06-30,72.38813018798828
2017-07-03,72.27662658691406
2017-07-05,72.13080596923828
2017-07-06,71.13577270507812
2017-07-07,71.25585174560547
2017-07-10,70.81841278076172
2017-07-11,71.28158569335938
2017-07-12,71.61614227294922
2017-07-13,72.27662658691406
2017-07-14,72.91138458251953
2017-07-17,73.31454467773438
2017-07-18,73.32313537597656
2017-07-19,73.5890121459961
2017-07-20,71.36740112304688
2017-07-21,71.23867797851562
2017-07-24,71.2215576171875
2017-07-25,70.3294448852539
2017-07-26,70.34660339355469
2017-07-27,69.61750030517578
2017-07-28,69.8490982055664
2017-07-31,69.90055847167969
2017-08-01,69.32585144042969
2017-08-02,69.72042083740234
2017-08-03,69.72042083740234
2017-08-04,69.48883819580078
2017-08-07,69.8490982055664
2017-08-08,68.85408782958984
2017-08-09,68.81977081298828
2017-08-10,68.01347351074219
2017-08-11,68.46808624267578
2017-08-14,69.13713073730469
2017-08-15,69.10282897949219
2017-08-16,69.9605941772461
2017-08-17,69.4030532836914
2017-08-18,69.36875915527344
2017-08-21,69.54888153076172
2017-08-22,70.78406524658203
2017-08-23,70.18363189697266
2017-08-24,70.17506408691406
2017-08-25,70.47526550292969
2017-08-28,70.6554183959961
2017-08-29,70.3294448852539
2017-08-30,70.4581298828125
2017-08-31,71.55611419677734
2017-09-01,71.39311218261719
2017-09-05,71.24727630615234
2017-09-06,72.07076263427734
2017-09-07,72.9971694946289
2017-09-08,74.42107391357422
2017-09-11,74.68695831298828
2017-09-12,74.85855102539062
2017-09-13,74.83282470703125
2017-09-14,75.87074279785156
2017-09-15,75.66484832763672
2017-09-18,75.5790786743164
2017-09-19,74.51544189453125
2017-09-20,74.1637191772461
2017-09-21,74.12942504882812
2017-09-22,74.4382095336914
2017-09-25,73.76914978027344
2017-09-26,73.30597686767578
2017-09-27,73.30597686767578
2017-09-28,73.06538391113281
2017-09-29,73.70117950439453
2017-10-02,74.33698272705078
2017-10-03,74.33698272705078
2017-10-04,74.64628601074219
2017-10-05,74.72361755371094
2017-10-06,75.29068756103516
2017-10-09,74.77518463134766
2017-10-10,74.89545440673828
2017-10-11,74.71504211425781
2017-10-12,74.77518463134766
2017-10-13,74.61192321777344
2017-10-16,74.00188446044922
2017-10-17,73.25443267822266
2017-10-18,73.93317413330078
2017-10-19,77.41288757324219
2017-10-20,78.00572204589844
2017-10-23,77.73078155517578
2017-10-24,78.14320373535156
2017-10-25,77.88542938232422
2017-10-26,78.58138275146484
2017-10-27,79.2601318359375
2017-10-30,78.88211059570312
2017-10-31,79.27733612060547
2017-11-01,79.82719421386719
2017-11-02,79.65536499023438
2017-11-03,80.01620483398438
2017-11-06,79.57804870605469
2017-11-07,80.07635498046875
2017-11-08,80.1107406616211
2017-11-09,79.88734436035156
2017-11-10,79.25154113769531
2017-11-13,80.18806457519531
2017-11-14,80.0677719116211
