,APTV
2019-04-09,86.61087036132812
2019-04-10,87.65007019042969
2019-04-11,88.16473388671875
2019-04-12,89.85716247558594
2019-04-15,88.79815673828125
2019-04-16,89.19405364990234
2019-04-17,89.78787994384766
2019-04-18,89.41178131103516
2019-04-22,88.81794738769531
2019-04-23,88.57051849365234
2019-04-24,88.03606414794922
2019-04-25,84.57202911376953
2019-04-26,85.62113952636719
2019-04-29,84.95801544189453
2019-04-30,84.8194580078125
2019-05-01,82.78062438964844
2019-05-02,78.96028137207031
2019-05-03,79.3561782836914
2019-05-06,78.88111114501953
2019-05-07,78.83148193359375
2019-05-08,79.11930847167969
2019-05-09,77.32294464111328
2019-05-10,76.6480712890625
2019-05-13,72.75759887695312
2019-05-14,74.16690826416016
2019-05-15,74.47457122802734
2019-05-16,73.15458679199219
2019-05-17,73.09503936767578
2019-05-20,72.18196868896484
2019-05-21,71.83460998535156
2019-05-22,68.82743835449219
2019-05-23,67.20972442626953
2019-05-24,67.29904174804688
2019-05-28,68.59917449951172
2019-05-29,68.093017578125
2019-05-30,68.1525650024414
2019-05-31,63.55745315551758
2019-06-03,66.33634948730469
2019-06-04,69.97869873046875
2019-06-05,71.96363067626953
2019-06-06,72.37053680419922
2019-06-07,72.846923828125
2019-06-10,75.13951873779297
2019-06-11,75.56627655029297
2019-06-12,74.32569885253906
2019-06-13,75.51665496826172
2019-06-14,74.76238250732422
2019-06-17,75.2685317993164
2019-06-18,76.22130584716797
2019-06-19,76.27092742919922
2019-06-20,77.87872314453125
2019-06-21,77.82909393310547
2019-06-24,77.71992492675781
2019-06-25,77.52143096923828
2019-06-26,78.32532501220703
2019-06-27,80.44920349121094
2019-06-28,80.22093963623047
2019-07-01,80.10184478759766
2019-07-02,78.98035430908203
2019-07-03,78.7223129272461
2019-07-05,78.59329223632812
2019-07-08,76.1915283203125
2019-07-09,75.49681091308594
2019-07-10,76.93587493896484
2019-07-11,77.13436889648438
2019-07-12,79.5956802368164
2019-07-15,80.17131042480469
2019-07-16,79.38726806640625
2019-07-17,77.7695541381836
2019-07-18,78.057373046875
2019-07-19,79.48651885986328
2019-07-22,79.48651885986328
2019-07-23,81.58061218261719
2019-07-24,83.04946899414062
2019-07-25,81.29280853271484
2019-07-26,81.77911376953125
2019-07-29,81.5607681274414
2019-07-30,80.95536041259766
2019-07-31,86.98954772949219
2019-08-01,82.99983978271484
