,ETN
2018-04-13,67.31233978271484
2018-04-16,67.47787475585938
2018-04-17,67.91350555419922
2018-04-18,68.99383544921875
2018-04-19,68.95897674560547
2018-04-20,68.88057708740234
2018-04-23,68.41880798339844
2018-04-24,66.15359497070312
2018-04-25,66.85057067871094
2018-04-26,66.13616180419922
2018-04-27,66.34524536132812
2018-04-30,65.36946868896484
2018-05-01,64.35009002685547
2018-05-02,63.44400405883789
2018-05-03,64.24407196044922
2018-05-04,65.82667541503906
2018-05-07,65.6772232055664
2018-05-08,65.78272247314453
2018-05-09,66.5212631225586
2018-05-10,67.21581268310547
2018-05-11,67.23341369628906
2018-05-14,67.33013916015625
2018-05-15,67.46200561523438
2018-05-16,67.98954010009766
2018-05-17,68.2884750366211
2018-05-18,69.0973129272461
2018-05-21,70.2403335571289
2018-05-22,69.59850311279297
2018-05-23,69.45783233642578
2018-05-24,69.37869262695312
2018-05-25,68.81600952148438
2018-05-29,67.64665222167969
2018-05-30,68.49948120117188
2018-05-31,67.33013916015625
2018-06-01,67.61148071289062
2018-06-04,67.67301940917969
2018-06-05,69.85346984863281
2018-06-06,70.58322143554688
2018-06-07,70.63595581054688
2018-06-08,70.64478302001953
2018-06-11,71.04920196533203
2018-06-12,70.69751739501953
2018-06-13,70.38099670410156
2018-06-14,69.70401000976562
2018-06-15,69.67762756347656
2018-06-18,69.6600570678711
2018-06-19,68.76325988769531
2018-06-20,68.52584838867188
2018-06-21,67.13671875
2018-06-22,67.33891296386719
2018-06-25,66.7674331665039
2018-06-26,66.38936614990234
2018-06-27,66.16954803466797
2018-06-28,65.4486312866211
2018-06-29,65.71239471435547
2018-07-02,65.87942504882812
2018-07-03,66.33662414550781
2018-07-05,66.67950439453125
2018-07-06,66.83777618408203
2018-07-09,68.40276336669922
2018-07-10,68.8511734008789
2018-07-11,66.60917663574219
2018-07-12,67.58509826660156
2018-07-13,68.36759948730469
2018-07-16,67.99832916259766
2018-07-17,68.42033386230469
2018-07-18,68.90393829345703
2018-07-19,68.76325988769531
2018-07-20,68.2621078491211
2018-07-23,67.58509826660156
2018-07-24,68.09505462646484
2018-07-25,69.44025421142578
2018-07-26,70.30187225341797
2018-07-27,70.83820343017578
2018-07-30,70.2139663696289
2018-07-31,73.12413024902344
2018-08-01,72.42076873779297
2018-08-02,71.36573028564453
2018-08-03,71.71741485595703
2018-08-06,71.38330078125
2018-08-07,72.60541534423828
2018-08-08,72.0163345336914
2018-08-09,71.84049224853516
2018-08-10,70.82060241699219
2018-08-13,70.44254302978516
2018-08-14,70.46012115478516
2018-08-15,70.01172637939453
2018-08-16,70.78545379638672
2018-08-17,71.21623992919922
2018-08-20,71.52397918701172
2018-08-21,72.12183380126953
2018-08-22,71.64706420898438
2018-08-23,71.14591979980469
2018-08-24,71.81411743164062
2018-08-27,73.05379486083984
2018-08-28,73.475830078125
2018-08-29,73.475830078125
2018-08-30,72.82522583007812
2018-08-31,73.09774780273438
2018-09-04,72.77246856689453
2018-09-05,74.34623718261719
2018-09-06,74.44295501708984
2018-09-07,73.68685150146484
2018-09-10,74.95289611816406
2018-09-11,74.78585052490234
2018-09-12,75.5859375
2018-09-13,76.22776794433594
2018-09-14,76.6234130859375
2018-09-17,76.60582733154297
2018-09-18,76.42999267578125
2018-09-19,77.37954711914062
2018-09-20,77.65209197998047
2018-09-21,77.81037139892578
2018-09-24,76.88716888427734
2018-09-25,76.6234130859375
2018-09-26,76.41242218017578
2018-09-27,76.28053283691406
2018-09-28,76.254150390625
2018-10-01,76.88716888427734
2018-10-02,77.23886108398438
2018-10-03,77.12458801269531
2018-10-04,77.10698699951172
2018-10-05,76.20138549804688
2018-10-08,76.20138549804688
2018-10-09,74.67156982421875
2018-10-10,71.87566375732422
2018-10-11,69.923828125
2018-10-12,70.13482666015625
2018-10-15,69.59850311279297
2018-10-16,70.56564331054688
2018-10-17,70.16998291015625
2018-10-18,68.91270446777344
2018-10-19,67.95437622070312
2018-10-22,67.31253814697266
2018-10-23,64.6309585571289
2018-10-24,61.88779067993164
2018-10-25,63.47918701171875
2018-10-26,63.31212615966797
2018-10-29,62.45049285888672
2018-10-30,61.852622985839844
2018-10-31,63.013206481933594
2018-11-01,64.84195709228516
2018-11-02,64.39356994628906
2018-11-05,64.84195709228516
2018-11-06,66.18714141845703
2018-11-07,66.31026458740234
2018-11-08,65.27278137207031
2018-11-09,64.56061553955078
2018-11-12,63.751731872558594
2018-11-13,63.57588195800781
2018-11-14,63.619876861572266
2018-11-15,65.04417419433594
2018-11-16,65.27278137207031
2018-11-19,64.60456085205078
2018-11-20,64.13858795166016
2018-11-21,65.13211059570312
2018-11-23,65.1408920288086
2018-11-26,66.02010345458984
2018-11-27,66.2486801147461
2018-11-28,67.32132720947266
2018-11-29,66.82898712158203
2018-11-30,67.64665222167969
2018-12-03,68.5874252319336
2018-12-04,65.93218231201172
