,NI
2016-12-09,16.740018844604492
2016-12-12,16.816879272460938
2016-12-13,16.985971450805664
2016-12-14,16.647790908813477
2016-12-15,16.916791915893555
2016-12-16,16.932167053222656
2016-12-19,17.16274642944336
2016-12-20,17.07051658630371
2016-12-21,17.16274642944336
2016-12-22,17.23961067199707
2016-12-23,17.139690399169922
2016-12-27,17.085886001586914
2016-12-28,16.870683670043945
2016-12-29,17.093570709228516
2016-12-30,17.016708374023438
2017-01-03,17.055143356323242
2017-01-04,17.185802459716797
2017-01-05,17.431751251220703
2017-01-06,17.185802459716797
2017-01-09,16.955219268798828
2017-01-10,16.862995147705078
2017-01-11,17.001340866088867
2017-01-12,16.932167053222656
2017-01-13,16.878366470336914
2017-01-17,17.17812156677246
2017-01-18,17.30877685546875
2017-01-19,17.170434951782227
2017-01-20,17.301090240478516
2017-01-23,17.06283187866211
2017-01-24,17.10125732421875
2017-01-25,17.06283187866211
2017-01-26,17.078201293945312
2017-01-27,16.932167053222656
2017-01-30,16.786134719848633
2017-01-31,17.193492889404297
2017-02-01,16.89373207092285
2017-02-02,17.032085418701172
2017-02-03,17.108945846557617
2017-02-06,17.093570709228516
2017-02-07,17.032085418701172
2017-02-08,17.183155059814453
2017-02-09,17.22188949584961
2017-02-10,17.36134147644043
2017-02-13,17.44655418395996
2017-02-14,17.237384796142578
2017-02-15,17.22188949584961
2017-02-16,17.562767028808594
2017-02-17,17.58600425720215
2017-02-21,17.810672760009766
2017-02-22,17.95012664794922
2017-02-23,18.414949417114258
2017-02-24,18.600879669189453
2017-02-27,18.438194274902344
2017-02-28,18.523408889770508
2017-03-01,18.515661239624023
2017-03-02,18.662858963012695
2017-03-03,18.376211166381836
2017-03-06,18.26775550842285
2017-03-07,18.205774307250977
2017-03-08,17.833913803100586
2017-03-09,17.810672760009766
2017-03-10,18.074077606201172
2017-03-13,18.205774307250977
2017-03-14,18.09731674194336
2017-03-15,18.368467330932617
2017-03-16,18.10506248474121
2017-03-17,18.205774307250977
2017-03-20,17.988859176635742
2017-03-21,18.2600040435791
2017-03-22,18.445941925048828
2017-03-23,18.399456024169922
2017-03-24,18.4924259185791
2017-03-27,18.445941925048828
2017-03-28,18.368467330932617
2017-03-29,18.368467330932617
2017-03-30,18.275501251220703
2017-03-31,18.430442810058594
2017-04-03,18.345230102539062
2017-04-04,18.329727172851562
2017-04-05,18.42269515991211
2017-04-06,18.469181060791016
2017-04-07,18.345230102539062
2017-04-10,18.391708374023438
2017-04-11,18.4769287109375
2017-04-12,18.546649932861328
2017-04-13,18.42269515991211
2017-04-17,18.60862922668457
2017-04-18,18.75582504272461
2017-04-19,18.77131462097168
2017-04-20,18.68609619140625
2017-04-21,18.74033546447754
2017-04-24,18.79456329345703
2017-04-25,18.926258087158203
2017-04-26,18.797510147094727
2017-04-27,19.008195877075195
2017-04-28,18.922361373901367
2017-05-01,18.797510147094727
2017-05-02,18.914554595947266
2017-05-03,18.73508644104004
2017-05-04,18.945770263671875
2017-05-05,19.140846252441406
2017-05-08,19.023799896240234
2017-05-09,18.805315017700195
2017-05-10,18.836523056030273
2017-05-11,18.836523056030273
2017-05-12,18.961374282836914
2017-05-15,19.133037567138672
2017-05-16,18.89114761352539
2017-05-17,18.922361373901367
2017-05-18,19.117435455322266
2017-05-19,19.273500442504883
2017-05-22,19.515390396118164
2017-05-23,19.61682891845703
2017-05-24,19.679256439208984
2017-05-25,19.9211483001709
2017-05-26,19.944555282592773
2017-05-30,20.147436141967773
2017-05-31,20.342512130737305
2017-06-01,20.475162506103516
2017-06-02,20.560998916625977
2017-06-05,20.58440399169922
2017-06-06,20.490766525268555
2017-06-07,20.631223678588867
2017-06-08,20.155235290527344
2017-06-09,20.108423233032227
2017-06-12,20.030391693115234
2017-06-13,20.147436141967773
2017-06-14,20.225467681884766
2017-06-15,20.326902389526367
2017-06-16,20.334707260131836
2017-06-19,20.420543670654297
2017-06-20,20.467363357543945
2017-06-21,20.303495407104492
2017-06-22,20.225467681884766
2017-06-23,20.13963508605957
2017-06-26,20.350311279296875
2017-06-27,20.194250106811523
2017-06-28,19.889938354492188
2017-06-29,19.811908721923828
2017-06-30,19.788497924804688
2017-07-03,19.757287979125977
2017-07-05,19.78069305419922
2017-07-06,19.663650512695312
2017-07-07,19.757287979125977
2017-07-10,19.67145347595215
2017-07-11,19.640239715576172
2017-07-12,19.952360153198242
2017-07-13,19.78069305419922
2017-07-14,20.092819213867188
2017-07-17,20.13963508605957
2017-07-18,20.04599952697754
2017-07-19,20.014781951904297
2017-07-20,20.147436141967773
2017-07-21,20.27228355407715
2017-07-24,20.358118057250977
2017-07-25,20.303495407104492
2017-07-26,20.68584442138672
2017-07-27,20.65049934387207
2017-07-28,20.477689743041992
2017-07-31,20.469837188720703
2017-08-01,20.611225128173828
2017-08-02,20.948984146118164
2017-08-03,20.815452575683594
2017-08-04,20.736900329589844
2017-08-07,20.70548439025879
2017-08-08,20.67405891418457
2017-08-09,20.72119140625
2017-08-10,20.713342666625977
2017-08-11,20.697628021240234
2017-08-14,20.9254207611084
2017-08-15,20.94113540649414
2017-08-16,21.176776885986328
2017-08-17,20.964698791503906
2017-08-18,21.043241500854492
2017-08-21,21.03538703918457
