,DHI
2016-11-30,25.446277618408203
2016-12-01,25.069910049438477
2016-12-02,25.04237174987793
2016-12-05,25.253496170043945
2016-12-06,25.74920654296875
2016-12-07,26.419328689575195
2016-12-08,27.071096420288086
2016-12-09,26.492769241333008
2016-12-12,26.75898551940918
2016-12-13,26.850780487060547
2016-12-14,26.143939971923828
2016-12-15,25.602331161499023
2016-12-16,25.740032196044922
2016-12-19,25.72167205810547
2016-12-20,25.767566680908203
2016-12-21,25.84101104736328
2016-12-22,25.48299789428711
2016-12-23,25.29939842224121
2016-12-27,25.639053344726562
2016-12-28,25.345294952392578
2016-12-29,25.271862030029297
2016-12-30,25.088260650634766
2017-01-03,25.29939842224121
2017-01-04,25.914443969726562
2017-01-05,26.024606704711914
2017-01-06,25.565616607666016
2017-01-09,25.666593551635742
2017-01-10,25.84101104736328
2017-01-11,26.263277053833008
2017-01-12,26.336713790893555
2017-01-13,26.16230010986328
2017-01-17,26.22655487060547
2017-01-18,26.16230010986328
2017-01-19,25.712495803833008
2017-01-20,25.987878799438477
2017-01-23,26.382612228393555
2017-01-24,28.12676429748535
2017-01-25,28.79688835144043
2017-01-26,28.77852439880371
2017-01-27,28.402158737182617
2017-01-30,28.191020965576172
2017-01-31,27.45664405822754
2017-02-01,27.33690643310547
2017-02-02,27.5211124420166
2017-02-03,27.53032112121582
2017-02-06,27.16190528869629
2017-02-07,27.09743309020996
2017-02-08,27.53032112121582
2017-02-09,27.74217414855957
2017-02-10,28.386913299560547
2017-02-13,28.018489837646484
2017-02-14,27.73296546936035
2017-02-15,28.331642150878906
2017-02-16,28.02770233154297
2017-02-17,28.082956314086914
2017-02-21,28.460590362548828
2017-02-22,28.55270004272461
2017-02-23,28.53427505493164
2017-02-24,28.911914825439453
2017-02-27,29.501379013061523
2017-02-28,29.473752975463867
2017-03-01,30.026386260986328
2017-03-02,29.943485260009766
2017-03-03,29.980331420898438
2017-03-06,29.851383209228516
2017-03-07,30.25664710998535
2017-03-08,30.671131134033203
2017-03-09,30.440853118896484
2017-03-10,30.91981315612793
2017-03-13,30.560596466064453
2017-03-14,30.302709579467773
2017-03-15,30.643495559692383
2017-03-16,31.177696228027344
2017-03-17,31.00271224975586
2017-03-20,30.892169952392578
2017-03-21,30.54218101501465
2017-03-22,30.376386642456055
2017-03-23,30.625076293945312
2017-03-24,30.597448348999023
2017-03-27,30.440853118896484
2017-03-28,30.643495559692383
2017-03-29,30.735595703125
2017-03-30,30.790868759155273
2017-03-31,30.680334091186523
2017-04-03,30.735595703125
2017-04-04,30.661916732788086
2017-04-05,30.606647491455078
2017-04-06,30.661916732788086
2017-04-07,30.505332946777344
2017-04-10,30.56981086730957
2017-04-11,31.076385498046875
2017-04-12,30.800065994262695
2017-04-13,31.03033447265625
2017-04-17,31.46323585510254
2017-04-18,31.573747634887695
2017-04-19,31.269811630249023
2017-04-20,30.486915588378906
2017-04-21,30.27506446838379
2017-04-24,30.440853118896484
2017-04-25,30.072439193725586
2017-04-26,30.38559913635254
2017-04-27,30.625076293945312
2017-04-28,30.293487548828125
2017-05-01,30.164546966552734
2017-05-02,29.731651306152344
2017-05-03,29.916433334350586
2017-05-04,30.036544799804688
2017-05-05,30.11969566345215
2017-05-08,30.17513084411621
2017-05-09,30.683284759521484
2017-05-10,30.6370849609375
2017-05-11,30.720237731933594
2017-05-12,30.553932189941406
2017-05-15,30.905025482177734
2017-05-16,31.00665283203125
2017-05-17,30.35991096496582
2017-05-18,30.720237731933594
2017-05-19,31.219158172607422
2017-05-22,31.33001708984375
2017-05-23,30.831106185913086
2017-05-24,31.043617248535156
2017-05-25,30.692529678344727
