,EBAY
2016-03-07,21.920530319213867
2016-03-08,21.748851776123047
2016-03-09,21.640424728393555
2016-03-10,21.405500411987305
2016-03-11,21.703676223754883
2016-03-14,21.938602447509766
2016-03-15,21.306106567382812
2016-03-16,21.396461486816406
2016-03-17,21.4687442779541
2016-03-18,21.477781295776367
2016-03-21,21.992816925048828
2016-03-22,21.803064346313477
2016-03-23,21.839214324951172
2016-03-24,21.983781814575195
2016-03-28,21.794034957885742
2016-03-29,21.775959014892578
2016-03-30,21.721750259399414
2016-03-31,21.559110641479492
2016-04-01,21.577173233032227
2016-04-04,21.71271324157715
2016-04-05,22.037996292114258
2016-04-06,22.977703094482422
2016-04-07,21.775959014892578
2016-04-08,21.748851776123047
2016-04-11,21.739818572998047
2016-04-12,22.06509780883789
2016-04-13,22.661453247070312
2016-04-14,22.778921127319336
2016-04-15,22.787954330444336
2016-04-18,22.86927604675293
2016-04-19,21.956674575805664
2016-04-20,22.281959533691406
2016-04-21,22.309064865112305
2016-04-22,22.047029495239258
2016-04-25,21.884389877319336
2016-04-26,22.12834930419922
2016-04-27,22.833133697509766
2016-04-28,22.24581527709961
2016-04-29,22.074134826660156
2016-05-02,21.920530319213867
2016-05-03,21.66753578186035
2016-05-04,21.50489044189453
2016-05-05,21.5139217376709
2016-05-06,21.522960662841797
2016-05-09,21.703676223754883
2016-05-10,21.83017921447754
2016-05-11,21.4506778717041
2016-05-12,21.306106567382812
2016-05-13,21.48681640625
2016-05-16,21.50489044189453
2016-05-17,21.0260009765625
2016-05-18,21.405500411987305
2016-05-19,21.16153335571289
2016-05-20,21.369352340698242
2016-05-23,21.197669982910156
2016-05-24,21.730775833129883
2016-05-25,21.721750259399414
2016-05-26,21.794034957885742
2016-05-27,22.010887145996094
2016-05-31,22.101247787475586
2016-06-01,21.748851776123047
2016-06-02,21.9114933013916
2016-06-03,21.66753578186035
2016-06-06,21.67656898498535
2016-06-07,21.938602447509766
2016-06-08,21.893428802490234
2016-06-09,21.983781814575195
2016-06-10,21.748851776123047
2016-06-13,21.586210250854492
2016-06-14,21.577173233032227
2016-06-15,21.649459838867188
2016-06-16,21.55006980895996
2016-06-17,21.495853424072266
2016-06-20,22.200637817382812
2016-06-21,22.318098068237305
2016-06-22,21.992816925048828
2016-06-23,22.453632354736328
2016-06-24,20.89949607849121
2016-06-27,20.529035568237305
2016-06-28,20.772998809814453
2016-06-29,21.0621395111084
2016-06-30,21.15250015258789
2016-07-01,21.48681640625
2016-07-05,21.4687442779541
2016-07-06,21.531993865966797
2016-07-07,21.62235450744629
2016-07-08,22.236778259277344
2016-07-11,22.462669372558594
2016-07-12,22.706632614135742
2016-07-13,22.69759750366211
2016-07-14,23.565017700195312
2016-07-15,23.799949645996094
2016-07-18,23.935487747192383
2016-07-19,23.944520950317383
2016-07-20,24.387266159057617
2016-07-21,27.043760299682617
2016-07-22,27.54975128173828
2016-07-25,27.72142791748047
2016-07-26,28.37199592590332
2016-07-27,28.290672302246094
2016-07-28,28.164173126220703
2016-07-29,28.155139923095703
2016-08-01,28.236461639404297
2016-08-02,27.82082176208496
2016-08-03,27.965396881103516
2016-08-04,28.064783096313477
2016-08-05,28.362964630126953
2016-08-08,28.146100997924805
2016-08-09,28.109962463378906
2016-08-10,28.119003295898438
2016-08-11,28.191282272338867
2016-08-12,27.911184310913086
2016-08-15,28.05574607849121
2016-08-16,27.856962203979492
2016-08-17,27.65817642211914
