,DRI
2020-08-21,72.5580062866211
2020-08-24,72.7071533203125
2020-08-25,72.47029113769531
2020-08-26,72.5755615234375
2020-08-27,75.233642578125
2020-08-28,78.83040618896484
2020-08-31,76.03195190429688
2020-09-01,76.44425964355469
2020-09-02,79.22516632080078
2020-09-03,78.16368865966797
2020-09-04,78.32160949707031
2020-09-08,78.1812515258789
2020-09-09,77.70753479003906
2020-09-10,78.90936279296875
2020-09-11,76.14599609375
2020-09-14,80.36559295654297
2020-09-15,81.91834259033203
2020-09-16,81.55870056152344
2020-09-17,80.37437438964844
2020-09-18,78.92691040039062
2020-09-21,77.0057144165039
2020-09-22,78.93567657470703
2020-09-23,78.95321655273438
2020-09-24,85.36597442626953
2020-09-25,85.24317169189453
2020-09-28,88.234619140625
2020-09-29,88.42760467529297
2020-09-30,88.37498474121094
2020-10-01,92.00680541992188
2020-10-02,91.41905212402344
2020-10-05,90.98043823242188
2020-10-06,88.82235717773438
2020-10-07,89.0066146850586
2020-10-08,90.95988464355469
2020-10-09,89.73688507080078
2020-10-12,88.13554382324219
2020-10-13,86.89494323730469
2020-10-14,87.3084716796875
2020-10-15,88.10033416748047
2020-10-16,87.05332946777344
2020-10-19,85.00323486328125
2020-10-20,86.52539825439453
2020-10-21,85.95348358154297
2020-10-22,87.82758331298828
2020-10-23,87.5724105834961
2020-10-26,83.93860626220703
2020-10-27,84.32574462890625
2020-10-28,79.35454559326172
2020-10-29,81.39582061767578
2020-10-30,80.8766860961914
2020-11-02,80.80631256103516
2020-11-03,81.91493225097656
2020-11-04,84.98563385009766
2020-11-05,89.32334899902344
2020-11-06,89.85126495361328
2020-11-09,106.06707763671875
2020-11-10,99.73208618164062
2020-11-11,94.21537017822266
2020-11-12,93.53787231445312
2020-11-13,94.66410827636719
2020-11-16,96.85494995117188
2020-11-17,95.49116516113281
2020-11-18,96.92533111572266
2020-11-19,96.60858917236328
2020-11-20,95.4207763671875
2020-11-23,96.41503143310547
2020-11-24,99.828857421875
2020-11-25,97.29486846923828
2020-11-27,96.74054718017578
2020-11-30,95.00724792480469
2020-12-01,97.23329162597656
2020-12-02,96.45901489257812
2020-12-03,99.2393569946289
2020-12-04,101.02546691894531
2020-12-07,98.64985656738281
2020-12-08,98.236328125
2020-12-09,100.64714050292969
2020-12-10,101.57099914550781
2020-12-11,99.17778778076172
2020-12-14,98.9930191040039
2020-12-15,100.68233489990234
2020-12-16,102.49484252929688
2020-12-17,104.36894989013672
2020-12-18,102.20447540283203
2020-12-21,102.87318420410156
2020-12-22,105.26639556884766
2020-12-23,105.213623046875
2020-12-24,103.72663879394531
2020-12-28,103.59468841552734
2020-12-29,104.3161392211914
2020-12-30,103.427490234375
2020-12-31,104.80887603759766
2021-01-04,102.2748794555664
2021-01-05,103.91141510009766
2021-01-06,106.37501525878906
2021-01-07,109.39338684082031
2021-01-08,109.74640655517578
2021-01-11,110.54954528808594
2021-01-12,112.37644958496094
2021-01-13,110.1965103149414
2021-01-14,108.6432113647461
2021-01-15,106.8604507446289
2021-01-19,109.54341888427734
2021-01-20,109.9317398071289
2021-01-21,110.28477478027344
2021-01-22,107.65473937988281
2021-01-25,105.90726470947266
2021-01-26,104.65403747558594
2021-01-27,98.93504333496094
2021-01-28,104.83055114746094
2021-01-29,103.16250610351562
2021-02-01,105.34244537353516
2021-02-02,108.3960952758789
2021-02-03,110.79666900634766
2021-02-04,113.57672882080078
2021-02-05,116.48033905029297
2021-02-08,114.97117614746094
2021-02-09,114.16802978515625
2021-02-10,113.8326644897461
2021-02-11,113.77971649169922
2021-02-12,113.36490631103516
2021-02-16,113.78853607177734
2021-02-17,113.2060546875
2021-02-18,114.71520233154297
2021-02-19,118.27193450927734
2021-02-22,119.14569091796875
2021-02-23,118.53671264648438
2021-02-24,122.48175811767578
2021-02-25,120.02824401855469
2021-02-26,121.20205688476562
2021-03-01,122.69358825683594
2021-03-02,122.64065551757812
2021-03-03,121.8198471069336
2021-03-04,120.59305572509766
2021-03-05,124.1409683227539
2021-03-08,126.2326431274414
2021-03-09,122.95834350585938
2021-03-10,125.40303039550781
2021-03-11,124.47633361816406
2021-03-12,128.33311462402344
2021-03-15,129.06565856933594
2021-03-16,124.0350570678711
2021-03-17,124.6617202758789
2021-03-18,123.5320053100586
2021-03-19,123.37313842773438
2021-03-22,120.68133544921875
2021-03-23,120.69014739990234
2021-03-24,118.20133972167969
2021-03-25,127.88304138183594
2021-03-26,131.48388671875
2021-03-29,126.84161376953125
2021-03-30,128.03305053710938
2021-03-31,125.32359313964844
2021-04-01,127.33585357666016
2021-04-05,127.18582153320312
2021-04-06,127.49470520019531
2021-04-07,128.63323974609375
2021-04-08,129.40570068359375
2021-04-09,127.06157684326172
2021-04-12,127.58544921875
2021-04-13,127.01718139648438
2021-04-14,127.99390411376953
2021-04-15,127.12372589111328
2021-04-16,129.92958068847656
2021-04-19,129.60104370117188
2021-04-20,126.9195327758789
2021-04-21,126.88399505615234
2021-04-22,128.82855224609375
2021-04-23,127.8340835571289
2021-04-26,126.20916748046875
2021-04-27,126.6708984375
2021-04-28,127.74527740478516
2021-04-29,129.83189392089844
2021-04-30,130.27584838867188
2021-05-03,128.40237426757812
2021-05-04,127.63874816894531
2021-05-05,126.28909301757812
2021-05-06,125.86289978027344
2021-05-07,126.42229461669922
2021-05-10,124.92169189453125
2021-05-11,122.01819610595703
2021-05-12,117.09912109375
2021-05-13,118.96373748779297
2021-05-14,123.8828353881836
