,PG
2019-03-29,90.16060638427734
2019-04-01,89.80532836914062
2019-04-02,89.90065002441406
2019-04-03,89.84869384765625
2019-04-04,89.62337493896484
2019-04-05,89.81401062011719
2019-04-08,90.95779418945312
2019-04-09,90.6891860961914
2019-04-10,90.68053436279297
2019-04-11,90.76717376708984
2019-04-12,91.0357894897461
2019-04-15,91.6163558959961
2019-04-16,92.21427154541016
2019-04-17,92.36783599853516
2019-04-18,92.54236602783203
2019-04-22,92.5074462890625
2019-04-23,90.02046966552734
2019-04-24,90.48297119140625
2019-04-25,90.12516784667969
2019-04-26,92.37654876708984
2019-04-29,91.43412780761719
2019-04-30,92.91759490966797
2019-05-01,91.56501007080078
2019-05-02,92.1147689819336
2019-05-03,92.56854248046875
2019-05-06,92.21949005126953
2019-05-07,91.36431121826172
2019-05-08,91.68719482421875
2019-05-09,90.9629135131836
2019-05-10,92.5074462890625
2019-05-13,92.5947265625
2019-05-14,92.1496810913086
2019-05-15,93.10957336425781
2019-05-16,94.3399887084961
2019-05-17,93.76403045654297
2019-05-20,93.65931701660156
2019-05-21,92.82160949707031
2019-05-22,93.12703704833984
2019-05-23,93.16191864013672
2019-05-24,93.10083770751953
2019-05-28,91.15486145019531
2019-05-29,90.91925811767578
2019-05-30,91.91407012939453
2019-05-31,89.80231475830078
2019-06-03,90.5789566040039
2019-06-04,91.34684753417969
2019-06-05,93.13574981689453
2019-06-06,93.70294952392578
2019-06-07,94.91590881347656
2019-06-10,94.87227630615234
2019-06-11,95.44822692871094
2019-06-12,95.70999145507812
2019-06-13,96.78334045410156
2019-06-14,97.03640747070312
2019-06-17,96.85315704345703
2019-06-18,95.64019012451172
2019-06-19,96.35575866699219
2019-06-20,97.50762939453125
2019-06-21,97.03640747070312
2019-06-24,98.02247619628906
2019-06-25,97.49016571044922
2019-06-26,95.75361633300781
2019-06-27,95.7972640991211
2019-06-28,95.6838150024414
2019-07-01,96.4168472290039
2019-07-02,97.28072357177734
2019-07-03,99.549560546875
2019-07-05,98.73804473876953
2019-07-08,99.52338409423828
2019-07-09,98.52859497070312
2019-07-10,99.26161193847656
2019-07-11,99.81133270263672
2019-07-12,100.34367370605469
2019-07-15,100.7712631225586
2019-07-16,101.1290512084961
2019-07-17,101.17266082763672
2019-07-18,101.38872528076172
2019-07-19,101.01103973388672
2019-07-22,101.26576232910156
2019-07-23,99.99226379394531
2019-07-24,98.89440155029297
2019-07-25,99.04370880126953
2019-07-26,100.76513671875
2019-07-29,101.88056945800781
2019-07-30,105.7537841796875
2019-07-31,103.6722412109375
2019-08-01,102.5217056274414
2019-08-02,102.26699829101562
2019-08-05,99.31597900390625
2019-08-06,100.36991882324219
2019-08-07,101.45897674560547
2019-08-08,103.1452865600586
2019-08-09,102.56562042236328
2019-08-12,101.90691375732422
2019-08-13,102.9784164428711
2019-08-14,101.69612121582031
2019-08-15,103.10137939453125
2019-08-16,104.6734848022461
2019-08-19,105.6044692993164
2019-08-20,104.4275894165039
2019-08-21,104.69107055664062
2019-08-22,104.88427734375
2019-08-23,103.0398941040039
2019-08-26,104.79644775390625
2019-08-27,105.8767318725586
2019-08-28,106.6232681274414
2019-08-29,106.43006896972656
2019-08-30,105.595703125
2019-09-03,106.5881576538086
2019-09-04,108.21295928955078
2019-09-05,107.81773376464844
2019-09-06,107.91434478759766
2019-09-09,107.29955291748047
2019-09-10,105.28827667236328
2019-09-11,106.50909423828125
2019-09-12,107.82652282714844
2019-09-13,107.25563049316406
2019-09-16,105.17411041259766
2019-09-17,106.41251373291016
2019-09-18,106.632080078125
2019-09-19,107.06241607666016
2019-09-20,107.36103820800781
2019-09-23,108.22173309326172
2019-09-24,108.56427764892578
2019-09-25,108.04608154296875
2019-09-26,109.1790771484375
2019-09-27,109.40744018554688
2019-09-30,109.24055480957031
2019-10-01,108.77507781982422
2019-10-02,106.34223937988281
2019-10-03,106.92189025878906
2019-10-04,108.90681457519531
2019-10-07,107.88800048828125
2019-10-08,106.2104721069336
2019-10-09,107.13267517089844
2019-10-10,107.09757232666016
2019-10-11,106.35100555419922
2019-10-14,105.4375991821289
2019-10-15,102.93450164794922
2019-10-16,103.22432708740234
2019-10-17,103.08821105957031
2019-10-18,103.83068084716797
2019-10-21,105.25373077392578
2019-10-22,107.9937973022461
2019-10-23,108.71859741210938
2019-10-24,110.30075073242188
2019-10-25,108.9395523071289
2019-10-28,109.14286041259766
2019-10-29,109.2489242553711
2019-10-30,110.43334197998047
2019-10-31,110.05326843261719
2019-11-01,109.4875717163086
2019-11-04,105.2448959350586
2019-11-05,105.09465026855469
2019-11-06,106.34977722167969
2019-11-07,105.7310562133789
2019-11-08,105.8017578125
2019-11-11,105.4747085571289
2019-11-12,105.42169189453125
2019-11-13,106.64147186279297
2019-11-14,106.50885009765625
2019-11-15,106.54422760009766
2019-11-18,107.73746490478516
2019-11-19,107.32202911376953
2019-11-20,108.0910415649414
2019-11-21,106.36744689941406
2019-11-22,106.32325744628906
2019-11-25,106.51771545410156
2019-11-26,108.06450653076172
2019-11-27,107.62257385253906
2019-11-29,107.88774108886719
2019-12-02,108.47109985351562
2019-12-03,108.67440032958984
2019-12-04,110.07095336914062
2019-12-05,110.15050506591797
2019-12-06,109.77043151855469
2019-12-09,110.37146759033203
2019-12-10,109.84114074707031
2019-12-11,110.18588256835938
2019-12-12,110.10631561279297
2019-12-13,110.90180969238281
2019-12-16,110.98136138916016
2019-12-17,110.76038360595703
2019-12-18,109.61131286621094
2019-12-19,110.41567993164062
2019-12-20,110.80459594726562
2019-12-23,110.39801025390625
2019-12-24,110.68084716796875
2019-12-26,110.68084716796875
2019-12-27,111.4498291015625
2019-12-30,110.01791381835938
2019-12-31,110.39801025390625
2020-01-02,109.08099365234375
2020-01-03,108.34735870361328
2020-01-06,108.49762725830078
2020-01-07,107.82584381103516
2020-01-08,108.28547668457031
2020-01-09,109.46990203857422
2020-01-10,109.57596588134766
2020-01-13,110.38030242919922
2020-01-14,110.21236419677734
2020-01-15,111.33489990234375
2020-01-16,111.4321517944336
2020-01-17,111.73267364501953
