,KDP
2017-05-01,12.39428997039795
2017-05-02,12.305643081665039
2017-05-03,12.387473106384277
2017-05-04,12.439294815063477
2017-05-05,12.439294815063477
2017-05-08,12.42156982421875
2017-05-09,12.343832015991211
2017-05-10,12.338374137878418
2017-05-11,12.397013664245605
2017-05-12,12.322010040283203
2017-05-15,12.422929763793945
2017-05-16,12.406564712524414
2017-05-17,12.317914009094238
2017-05-18,12.33292007446289
2017-05-19,12.399746894836426
2017-05-22,12.474753379821777
2017-05-23,12.533397674560547
2017-05-24,12.721604347229004
2017-05-25,12.724332809448242
2017-05-26,12.744787216186523
2017-05-30,12.627498626708984
2017-05-31,12.65750503540039
2017-06-01,12.673870086669922
2017-06-02,12.66159439086914
2017-06-05,12.66705322265625
2017-06-06,12.586589813232422
2017-06-07,12.751608848571777
2017-06-08,12.560673713684082
2017-06-09,12.465208053588867
2017-06-12,12.717751502990723
2017-06-13,12.752065658569336
2017-06-14,12.865985870361328
2017-06-15,12.871474266052246
2017-06-16,12.800105094909668
2017-06-19,13.111665725708008
2017-06-20,13.184408187866211
2017-06-21,13.145976066589355
2017-06-22,12.668339729309082
2017-06-23,12.752065658569336
2017-06-26,12.753437042236328
2017-06-27,12.576379776000977
2017-06-28,12.65736198425293
2017-06-29,12.476184844970703
2017-06-30,12.505009651184082
2017-07-03,12.558536529541016
2017-07-05,12.321089744567871
2017-07-06,12.225015640258789
2017-07-07,12.25109577178955
2017-07-10,12.244232177734375
2017-07-11,12.17835521697998
2017-07-12,12.253840446472168
2017-07-13,12.277174949645996
2017-07-14,12.39657974243164
2017-07-17,12.391093254089355
2017-07-18,12.485795974731445
2017-07-19,12.544814109802246
2017-07-20,12.525602340698242
2017-07-21,12.542067527770996
2017-07-24,12.558536529541016
2017-07-25,12.612067222595215
2017-07-26,12.647753715515137
2017-07-27,12.631284713745117
2017-07-28,12.467951774597168
2017-07-31,12.51187801361084
2017-08-01,12.496781349182129
2017-08-02,12.488542556762695
2017-08-03,12.470695495605469
2017-08-04,12.44325065612793
2017-08-07,12.498150825500488
2017-08-08,12.395212173461914
2017-08-09,12.39657974243164
2017-08-10,12.404818534851074
2017-08-11,12.404818534851074
2017-08-14,12.529715538024902
2017-08-15,12.623050689697266
2017-08-16,12.687555313110352
2017-08-17,12.58873462677002
2017-08-18,12.500897407531738
2017-08-21,12.544814109802246
2017-08-22,12.617559432983398
2017-08-23,12.507757186889648
2017-08-24,12.347173690795898
2017-08-25,12.399325370788574
