,CF
2016-10-11,18.817726135253906
2016-10-12,18.38458251953125
2016-10-13,18.480833053588867
2016-10-14,17.871219635009766
2016-10-17,18.12790298461914
2016-10-18,18.817726135253906
2016-10-19,19.371191024780273
2016-10-20,20.036945343017578
2016-10-21,20.790945053100586
2016-10-24,20.3337345123291
2016-10-25,20.486133575439453
2016-10-26,20.494155883789062
2016-10-27,19.675996780395508
2016-10-28,19.667972564697266
2016-10-31,19.25889015197754
2016-11-01,19.96475601196289
2016-11-02,19.812353134155273
2016-11-03,18.12790298461914
2016-11-04,18.5369815826416
2016-11-07,18.681367874145508
2016-11-08,19.52359390258789
2016-11-09,21.240131378173828
2016-11-10,22.01087760925293
2016-11-11,22.538227081298828
2016-11-14,22.878976821899414
2016-11-15,22.554458618164062
2016-11-16,22.262378692626953
2016-11-17,21.978418350219727
2016-11-18,23.49557113647461
2016-11-21,24.233867645263672
2016-11-22,23.033126831054688
2016-11-23,23.025012969970703
2016-11-25,23.162935256958008
2016-11-28,22.87086296081543
2016-11-29,22.2542667388916
2016-11-30,23.479351043701172
2016-12-01,23.300859451293945
2016-12-02,23.025012969970703
2016-12-05,23.187274932861328
2016-12-06,23.179162979125977
2016-12-07,24.112165451049805
2016-12-08,24.6395263671875
2016-12-09,25.110084533691406
2016-12-12,23.528026580810547
2016-12-13,23.04935073852539
2016-12-14,22.80596160888672
2016-12-15,23.244064331054688
2016-12-16,23.917455673217773
2016-12-19,22.951995849609375
2016-12-20,23.519912719726562
2016-12-21,23.446895599365234
2016-12-22,24.42858123779297
2016-12-23,24.915367126464844
2016-12-27,25.92139434814453
2016-12-28,25.661773681640625
2016-12-29,25.880828857421875
2016-12-30,25.540077209472656
2017-01-03,25.856487274169922
2017-01-04,26.805727005004883
2017-01-05,26.813838958740234
2017-01-06,27.154592514038086
2017-01-09,27.397981643676758
2017-01-10,26.554216384887695
2017-01-11,27.738733291625977
2017-01-12,27.99835205078125
2017-01-13,27.56835174560547
2017-01-17,26.68402671813965
2017-01-18,26.221582412719727
2017-01-19,26.1647891998291
2017-01-20,27.74683380126953
2017-01-23,28.598722457885742
2017-01-24,29.896820068359375
2017-01-25,29.645320892333984
2017-01-26,29.37757682800293
2017-01-27,29.620975494384766
2017-01-30,28.71230125427246
2017-01-31,28.631174087524414
2017-02-01,29.718339920043945
2017-02-02,28.907026290893555
2017-02-03,28.947586059570312
2017-02-06,28.793447494506836
2017-02-07,28.306655883789062
2017-02-08,28.347213745117188
2017-02-09,27.98212432861328
2017-02-10,29.077394485473633
2017-02-13,29.783241271972656
2017-02-14,29.466825485229492
2017-02-15,28.215181350708008
2017-02-16,27.421653747558594
2017-02-17,27.904314041137695
2017-02-21,27.757061004638672
2017-02-22,27.176237106323242
2017-02-23,26.030933380126953
2017-02-24,25.482830047607422
2017-02-27,25.76097297668457
2017-02-28,25.70371437072754
2017-03-01,26.3009033203125
2017-03-02,25.8182373046875
2017-03-03,25.31922149658203
2017-03-06,25.221054077148438
2017-03-07,24.70566177368164
