,IP
2015-06-19,32.42228317260742
2015-06-22,31.490325927734375
2015-06-23,31.255748748779297
2015-06-24,31.122621536254883
2015-06-25,30.66614532470703
2015-06-26,30.590068817138672
2015-06-29,30.24136734008789
2015-06-30,30.171627044677734
2015-07-01,30.780254364013672
2015-07-02,30.406204223632812
2015-07-06,30.222341537475586
2015-07-07,30.431570053100586
2015-07-08,29.683454513549805
2015-07-09,29.543977737426758
2015-07-10,29.759538650512695
2015-07-13,30.304773330688477
2015-07-14,30.2730712890625
2015-07-15,29.93705177307129
2015-07-16,30.501293182373047
2015-07-17,30.203332901000977
2015-07-20,30.843666076660156
2015-07-21,30.488615036010742
2015-07-22,30.94510269165039
2015-07-23,30.818302154541016
2015-07-24,30.2730712890625
2015-07-27,30.02581214904785
2015-07-28,30.89437484741211
2015-07-29,29.791234970092773
2015-07-30,30.095548629760742
2015-07-31,30.34914779663086
2015-08-03,30.013134002685547
2015-08-04,30.057519912719727
2015-08-05,30.29843521118164
2015-08-06,29.968746185302734
2015-08-07,30.13993263244629
2015-08-10,30.425230026245117
2015-08-11,29.968746185302734
2015-08-12,30.14778709411621
2015-08-13,29.96875
2015-08-14,30.250085830688477
2015-08-17,30.793590545654297
2015-08-18,30.435510635375977
2015-08-19,30.064661026000977
2015-08-20,29.425262451171875
2015-08-21,28.331892013549805
2015-08-24,26.86125373840332
2015-08-25,26.010852813720703
2015-08-26,26.86125373840332
2015-08-27,27.590173721313477
2015-08-28,27.961036682128906
2015-08-31,27.583786010742188
2015-09-01,26.65665626525879
2015-09-02,26.842092514038086
2015-09-03,26.950775146484375
2015-09-04,26.663047790527344
2015-09-08,27.45590591430664
2015-09-09,26.848472595214844
2015-09-10,26.739778518676758
2015-09-11,26.624685287475586
2015-09-14,26.53516387939453
2015-09-15,26.279409408569336
2015-09-16,26.34973907470703
2015-09-17,26.15791130065918
2015-09-18,25.84461212158203
2015-09-21,25.793468475341797
2015-09-22,25.301124572753906
2015-09-23,25.102909088134766
2015-09-24,24.89189910888672
2015-09-25,24.744840621948242
2015-09-28,23.964771270751953
2015-09-29,23.907224655151367
2015-09-30,24.162981033325195
2015-10-01,24.521055221557617
2015-10-02,24.885513305664062
2015-10-05,25.416215896606445
2015-10-06,25.480152130126953
2015-10-07,25.761489868164062
2015-10-08,26.27301025390625
2015-10-09,27.641326904296875
2015-10-12,26.822900772094727
2015-10-13,26.874040603637695
2015-10-14,26.92520523071289
2015-10-15,26.950775146484375
2015-10-16,26.93798065185547
2015-10-19,26.541561126708984
2015-10-20,26.496801376342773
2015-10-21,26.343347549438477
2015-10-22,27.29605484008789
2015-10-23,28.037755966186523
2015-10-26,27.78839111328125
2015-10-27,27.50066375732422
2015-10-28,28.088911056518555
2015-10-29,27.48148536682129
2015-10-30,27.29605484008789
2015-11-02,27.7628173828125
2015-11-03,27.353599548339844
2015-11-04,27.18096160888672
2015-11-05,26.880449295043945
2015-11-06,27.2065372467041
2015-11-09,26.92520523071289
2015-11-10,26.822900772094727
2015-11-11,27.059473037719727
2015-11-12,25.999839782714844
2015-11-13,25.967538833618164
2015-11-16,25.838306427001953
2015-11-17,25.760780334472656
2015-11-18,26.529653549194336
2015-11-19,26.658885955810547
2015-11-20,26.633031845092773
2015-11-23,26.613658905029297
2015-11-24,27.027172088623047
2015-11-25,26.904407501220703
2015-11-27,27.040098190307617
2015-11-30,27.027172088623047
2015-12-01,26.633031845092773
2015-12-02,25.889997482299805
2015-12-03,25.592775344848633
2015-12-04,25.99338150024414
2015-12-07,25.7026309967041
2015-12-08,25.392480850219727
2015-12-09,25.45709800720215
2015-12-10,25.043581008911133
2015-12-11,24.63652801513672
2015-12-14,24.274702072143555
2015-12-15,24.655912399291992
2015-12-16,24.92728614807129
2015-12-17,24.371620178222656
2015-12-18,23.77718734741211
2015-12-21,24.100248336791992
2015-12-22,24.326391220092773
2015-12-23,24.7657470703125
2015-12-24,24.88851547241211
2015-12-28,24.630067825317383
2015-12-29,24.972501754760742
2015-12-30,24.681758880615234
2015-12-31,24.35869789123535
2016-01-04,24.339305877685547
2016-01-05,24.546070098876953
2016-01-06,24.15839958190918
2016-01-07,23.447662353515625
2016-01-08,23.195682525634766
2016-01-11,23.518741607666016
2016-01-12,23.486433029174805
2016-01-13,23.2926025390625
2016-01-14,23.609193801879883
2016-01-15,23.531665802001953
2016-01-19,23.027687072753906
2016-01-20,22.80155372619629
2016-01-21,22.911386489868164
2016-01-22,23.55104637145996
2016-01-25,21.05057144165039
2016-01-26,21.237937927246094
2016-01-27,21.263790130615234
2016-01-28,21.095796585083008
2016-01-29,22.103740692138672
2016-02-01,22.02620506286621
2016-02-02,21.877599716186523
2016-02-03,22.077896118164062
2016-02-04,22.659399032592773
2016-02-05,22.59478759765625
2016-02-08,22.20066261291504
2016-02-09,22.698171615600586
2016-02-10,22.472026824951172
2016-02-11,21.673654556274414
2016-02-12,22.354238510131836
2016-02-16,22.969369888305664
2016-02-17,23.28348159790039
2016-02-18,23.113344192504883
2016-02-19,22.25607681274414
2016-02-22,22.47857093811035
2016-02-23,22.373870849609375
2016-02-24,22.714155197143555
2016-02-25,22.766511917114258
2016-02-26,23.060985565185547
2016-02-29,23.36200523376465
2016-03-01,23.977144241333008
2016-03-02,24.068756103515625
2016-03-03,25.069992065429688
2016-03-04,25.344839096069336
2016-03-07,25.46916961669922
2016-03-08,24.75588035583496
2016-03-09,25.22704315185547
2016-03-10,25.685121536254883
2016-03-11,26.1104736328125
2016-03-14,26.182466506958008
2016-03-15,25.829092025756836
2016-03-16,26.431137084960938
2016-03-17,27.007007598876953
2016-03-18,26.79104995727539
2016-03-21,27.131345748901367
2016-03-22,27.0135555267334
2016-03-23,26.640539169311523
2016-03-24,26.692901611328125
2016-03-28,26.738710403442383
2016-03-29,27.052814483642578
2016-03-30,26.830322265625
2016-03-31,26.85650062561035
2016-04-01,26.810686111450195
2016-04-04,26.542387008666992
2016-04-05,26.090848922729492
2016-04-06,26.306798934936523
2016-04-07,25.914161682128906
2016-04-08,26.319896697998047
2016-04-11,26.293704986572266
2016-04-12,26.516206741333008
2016-04-13,27.039730072021484
2016-04-14,26.82377815246582
2016-04-15,27.301488876342773
2016-04-18,27.4978084564209
2016-04-19,28.086769104003906
2016-04-20,27.844636917114258
2016-04-21,27.857723236083984
2016-04-22,28.374691009521484
2016-04-25,28.040966033935547
2016-04-26,28.381240844726562
2016-04-27,28.91131019592285
2016-04-28,28.512115478515625
2016-04-29,28.315811157226562
2016-05-02,28.440135955810547
2016-05-03,27.602508544921875
2016-05-04,27.334205627441406
2016-05-05,27.157522201538086
2016-05-06,27.550151824951172
2016-05-09,27.825010299682617
2016-05-10,28.198009490966797
2016-05-11,28.01477813720703
2016-05-12,27.877361297607422
2016-05-13,27.4650821685791
2016-05-16,27.622146606445312
2016-05-17,26.95465660095215
2016-05-18,26.36568832397461
2016-05-19,26.3460636138916
2016-05-20,26.457317352294922
2016-05-23,26.784521102905273
2016-05-24,27.105167388916016
2016-05-25,27.865800857543945
2016-05-26,27.673994064331055
2016-05-27,27.839351654052734
2016-05-31,27.885643005371094
2016-06-01,27.852575302124023
2016-06-02,28.375104904174805
2016-06-03,28.394941329956055
2016-06-06,28.52062225341797
2016-06-07,29.043142318725586
2016-06-08,29.17542839050293
2016-06-09,28.83148956298828
2016-06-10,28.560298919677734
2016-06-13,27.766592025756836
2016-06-14,27.60123634338379
2016-06-15,27.508630752563477
2016-06-16,27.60123634338379
2016-06-17,27.75335693359375
2016-06-20,28.229591369628906
2016-06-21,28.077457427978516
2016-06-22,28.0245418548584
2016-06-23,28.633058547973633
2016-06-24,27.363115310668945
2016-06-27,26.218860626220703
2016-06-28,26.628942489624023
2016-06-29,27.230836868286133
2016-06-30,28.031166076660156
2016-07-01,28.249439239501953
2016-07-05,27.62106704711914
2016-07-06,27.75335693359375
2016-07-07,27.71367073059082
2016-07-08,28.27588653564453
2016-07-11,28.461082458496094
2016-07-12,29.21512222290039
2016-07-13,29.261417388916016
2016-07-14,29.1357479095459
2016-07-15,30.074954986572266
2016-07-18,30.114646911621094
2016-07-19,29.744245529174805
2016-07-20,29.77070426940918
2016-07-21,29.684720993041992
2016-07-22,29.843456268310547
2016-07-25,29.843456268310547
2016-07-26,30.21385383605957
2016-07-27,30.154327392578125
2016-07-28,30.246931076049805
2016-07-29,30.299837112426758
2016-08-01,30.09480094909668
2016-08-02,30.022043228149414
2016-08-03,30.253549575805664
2016-08-04,30.306459426879883
2016-08-05,30.412281036376953
2016-08-08,30.54457664489746
2016-08-09,30.465206146240234
2016-08-10,30.94804573059082
2016-08-11,31.33530616760254
2016-08-12,31.048192977905273
2016-08-15,30.928022384643555
2016-08-16,31.155029296875
2016-08-17,31.589040756225586
2016-08-18,31.78935432434082
2016-08-19,31.689191818237305
2016-08-22,31.088260650634766
2016-08-23,31.355348587036133
2016-08-24,31.088260650634766
2016-08-25,32.31015396118164
2016-08-26,32.644012451171875
2016-08-29,32.65068435668945
2016-08-30,32.710777282714844
2016-08-31,32.376930236816406
2016-09-01,32.52381896972656
2016-09-02,32.79757308959961
2016-09-06,32.95115661621094
2016-09-07,33.0379524230957
2016-09-08,32.76420211791992
2016-09-09,31.856121063232422
2016-09-12,32.18996810913086
2016-09-13,31.869474411010742
2016-09-14,31.73593521118164
2016-09-15,32.2166748046875
2016-09-16,32.844322204589844
2016-09-19,32.710777282714844
2016-09-20,32.06310272216797
2016-09-21,32.376930236816406
2016-09-22,31.989652633666992
2016-09-23,32.323509216308594
2016-09-26,31.62242889404297
2016-09-27,31.71590805053711
2016-09-28,32.123199462890625
2016-09-29,31.5957088470459
2016-09-30,32.03640365600586
2016-10-03,31.916221618652344
2016-10-04,31.442140579223633
2016-10-05,31.188413619995117
2016-10-06,31.582366943359375
2016-10-07,31.261869430541992
2016-10-10,31.235137939453125
2016-10-11,30.52739143371582
2016-10-12,30.974746704101562
2016-10-13,30.594165802001953
2016-10-14,31.201772689819336
2016-10-17,31.515583038330078
2016-10-18,31.402080535888672
2016-10-19,32.23670196533203
2016-10-20,31.502233505249023
2016-10-21,31.382055282592773
2016-10-24,31.188413619995117
2016-10-25,31.114971160888672
2016-10-26,30.82117462158203
2016-10-27,30.140119552612305
2016-10-28,30.05331802368164
2016-10-31,30.06666374206543
2016-11-01,29.525829315185547
2016-11-02,29.49913215637207
2016-11-03,29.11185646057129
2016-11-04,29.3655948638916
2016-11-07,29.692760467529297
2016-11-08,29.879716873168945
2016-11-09,30.480648040771484
2016-11-10,30.90088653564453
2016-11-11,30.79970932006836
2016-11-14,31.845245361328125
2016-11-15,32.20950698852539
2016-11-16,32.33767318725586
2016-11-17,32.593990325927734
2016-11-18,32.68168258666992
2016-11-21,32.58725357055664
2016-11-22,32.769386291503906
2016-11-23,32.86381149291992
2016-11-25,32.95151901245117
2016-11-28,32.84359359741211
2016-11-29,32.944766998291016
2016-11-30,32.86381149291992
2016-12-01,33.545101165771484
2016-12-02,34.03752136230469
2016-12-05,34.6783447265625
2016-12-06,34.92116928100586
2016-12-07,35.953224182128906
2016-12-08,36.196075439453125
2016-12-09,36.31072998046875
2016-12-12,36.15559387207031
2016-12-13,35.94648361206055
2016-12-14,35.6968994140625
2016-12-15,36.15559387207031
2016-12-16,36.256771087646484
2016-12-19,36.209556579589844
2016-12-20,36.41866683959961
2016-12-21,36.39168167114258
2016-12-22,36.28375244140625
2016-12-23,36.44564437866211
2016-12-27,36.614288330078125
2016-12-28,36.00719451904297
2016-12-29,36.000457763671875
2016-12-30,35.79133224487305
2017-01-03,36.013938903808594
2017-01-04,36.459129333496094
2017-01-05,36.16233825683594
2017-01-06,36.236541748046875
2017-01-09,36.16908264160156
2017-01-10,36.27700424194336
2017-01-11,36.51985168457031
2017-01-12,36.20281219482422
2017-01-13,36.121864318847656
