,MPC
2020-10-09,26.62757110595703
2020-10-12,26.954668045043945
2020-10-13,25.97337532043457
2020-10-14,26.44192123413086
2020-10-15,26.998868942260742
2020-10-16,25.964529037475586
2020-10-19,24.974395751953125
2020-10-20,25.849607467651367
2020-10-21,25.478303909301758
2020-10-22,26.088302612304688
2020-10-23,26.42424201965332
2020-10-26,25.283815383911133
2020-10-27,24.921358108520508
2020-10-28,24.311359405517578
2020-10-29,25.48714828491211
2020-10-30,26.079458236694336
2020-11-02,27.670745849609375
2020-11-03,28.210018157958984
2020-11-04,28.024368286132812
2020-11-05,28.139291763305664
2020-11-06,27.91828155517578
2020-11-09,32.24128723144531
2020-11-10,33.275611877441406
2020-11-11,32.8777961730957
2020-11-12,30.676511764526367
2020-11-13,33.204898834228516
2020-11-16,36.007328033447266
2020-11-17,36.41987228393555
2020-11-18,34.56344985961914
2020-11-19,35.0477409362793
2020-11-20,34.312347412109375
2020-11-23,36.96693420410156
2020-11-24,38.070030212402344
2020-11-25,37.200103759765625
2020-11-27,37.14628982543945
2020-11-30,34.86837387084961
2020-12-01,35.37956237792969
2020-12-02,36.392974853515625
2020-12-03,36.760658264160156
2020-12-04,38.48256301879883
2020-12-07,37.85478973388672
2020-12-08,38.070030212402344
2020-12-09,38.240421295166016
2020-12-10,39.30763626098633
2020-12-11,38.48256301879883
2020-12-14,36.55438995361328
2020-12-15,37.89065933227539
2020-12-16,37.35256576538086
2020-12-17,36.392974853515625
2020-12-18,36.186702728271484
2020-12-21,35.64860534667969
2020-12-22,35.57686233520508
