,CMS
2020-05-05,49.893314361572266
2020-05-06,47.71113586425781
2020-05-07,47.60639572143555
2020-05-08,48.261043548583984
2020-05-11,48.426883697509766
2020-05-12,48.48798751831055
2020-05-13,47.68495178222656
2020-05-14,47.81510925292969
2020-05-15,47.20829772949219
2020-05-18,49.3277473449707
2020-05-19,48.641788482666016
2020-05-20,48.756107330322266
2020-05-21,48.140506744384766
2020-05-22,48.88801956176758
2020-05-26,48.96717071533203
2020-05-27,49.22221755981445
2020-05-28,50.94590377807617
2020-05-29,51.51755142211914
2020-06-01,51.89570236206055
2020-06-02,52.32662582397461
2020-06-03,52.889469146728516
2020-06-04,51.70222091674805
2020-06-05,52.27385711669922
2020-06-08,53.62820053100586
2020-06-09,53.02138900756836
2020-06-10,52.67840576171875
2020-06-11,51.104209899902344
2020-06-12,51.27130126953125
2020-06-15,51.42081069946289
2020-06-16,52.001243591308594
2020-06-17,51.9924430847168
2020-06-18,51.91328430175781
2020-06-19,50.94590377807617
2020-06-22,51.684635162353516
2020-06-23,50.84917449951172
2020-06-24,50.47981262207031
2020-06-25,49.925758361816406
2020-06-26,49.70590591430664
2020-06-29,50.61172103881836
2020-06-30,51.3768310546875
2020-07-01,52.731178283691406
2020-07-02,53.03018569946289
2020-07-06,52.7927360534668
2020-07-07,52.31782913208008
2020-07-08,52.238685607910156
2020-07-09,51.878108978271484
2020-07-10,52.30025100708008
2020-07-13,52.22108840942383
2020-07-14,52.85429382324219
2020-07-15,52.537696838378906
2020-07-16,53.05656814575195
2020-07-17,54.31416320800781
2020-07-20,53.997562408447266
2020-07-21,54.64834213256836
2020-07-22,56.35445785522461
2020-07-23,56.32808303833008
2020-07-24,55.870765686035156
2020-07-27,55.395870208740234
2020-07-28,55.870765686035156
2020-07-29,56.25770950317383
2020-07-30,56.22254943847656
2020-07-31,56.442405700683594
2020-08-03,55.3782844543457
2020-08-04,55.48381805419922
2020-08-05,54.83302688598633
2020-08-06,54.66307067871094
2020-08-07,55.66337966918945
2020-08-10,55.80501937866211
2020-08-11,54.00798416137695
2020-08-12,54.353240966796875
2020-08-13,53.9637336730957
2020-08-14,53.89291763305664
2020-08-17,53.99913787841797
2020-08-18,53.92831802368164
2020-08-19,53.71586608886719
2020-08-20,53.43259811401367
2020-08-21,53.45915603637695
2020-08-24,53.85750961303711
2020-08-25,53.2998046875
2020-08-26,52.5827751159668
2020-08-27,52.866050720214844
2020-08-28,53.15817642211914
2020-08-31,53.54767608642578
2020-09-01,53.30866241455078
2020-09-02,54.67192459106445
2020-09-03,54.80470275878906
2020-09-04,54.58340072631836
2020-09-08,53.5565299987793
2020-09-09,54.609947204589844
2020-09-10,53.82209396362305
2020-09-11,53.91947555541992
2020-09-14,54.370941162109375
2020-09-15,54.096527099609375
2020-09-16,54.831260681152344
2020-09-17,54.30011749267578
2020-09-18,54.08766555786133
2020-09-21,53.105064392089844
2020-09-22,53.7247200012207
2020-09-23,52.73326110839844
2020-09-24,52.74211502075195
2020-09-25,54.30011749267578
2020-09-28,54.353240966796875
2020-09-29,54.096527099609375
2020-09-30,54.362091064453125
2020-10-01,54.60110092163086
2020-10-02,54.58340072631836
2020-10-05,54.51258087158203
2020-10-06,55.67223358154297
2020-10-07,55.77846145629883
2020-10-08,56.53974914550781
2020-10-09,56.955814361572266
2020-10-12,57.61089324951172
2020-10-13,57.327613830566406
2020-10-14,57.35417556762695
2020-10-15,57.336463928222656
2020-10-16,57.78793716430664
2020-10-19,57.318763732910156
2020-10-20,57.548927307128906
2020-10-21,57.69941329956055
2020-10-22,58.204002380371094
2020-10-23,58.292518615722656
2020-10-26,58.55809020996094
2020-10-27,58.142024993896484
2020-10-28,56.62828826904297
2020-10-29,56.21221923828125
2020-10-30,56.06173324584961
2020-11-02,56.96466827392578
2020-11-03,57.805633544921875
2020-11-04,57.15057373046875
2020-11-05,57.407135009765625
2020-11-06,57.17551803588867
2020-11-09,58.921607971191406
2020-11-10,59.78573989868164
2020-11-11,59.6966552734375
2020-11-12,57.75457763671875
2020-11-13,57.9683723449707
2020-11-16,58.8503303527832
2020-11-17,56.863712310791016
2020-11-18,54.788002014160156
2020-11-19,53.968406677246094
2020-11-20,54.565284729003906
2020-11-23,54.73454284667969
2020-11-24,55.509605407714844
2020-11-25,55.85703659057617
2020-11-27,55.21561813354492
2020-11-30,54.82363510131836
2020-12-01,54.79691696166992
2020-12-02,55.04635238647461
2020-12-03,54.298030853271484
2020-12-04,53.2468147277832
2020-12-07,54.0753173828125
2020-12-08,53.629886627197266
2020-12-09,53.273536682128906
2020-12-10,52.95283126831055
2020-12-11,52.89937973022461
2020-12-14,52.756839752197266
2020-12-15,53.451717376708984
2020-12-16,52.7835578918457
2020-12-17,53.01518249511719
2020-12-18,52.7657470703125
2020-12-21,51.66998291015625
2020-12-22,51.31363296508789
2020-12-23,51.322547912597656
2020-12-24,51.81251907348633
2020-12-28,52.400489807128906
2020-12-29,52.70338439941406
2020-12-30,53.37152862548828
2020-12-31,54.351478576660156
2021-01-04,53.10426712036133
2021-01-05,52.15996551513672
2021-01-06,53.21117401123047
2021-01-07,51.625450134277344
2021-01-08,51.384910583496094
2021-01-11,50.89494323730469
2021-01-12,50.21788024902344
2021-01-13,51.4650993347168
2021-01-14,51.509639739990234
2021-01-15,52.22231674194336
2021-01-19,51.8927001953125
2021-01-20,52.29358673095703
2021-01-21,51.76797866821289
2021-01-22,52.035240173339844
2021-01-25,53.02410125732422
2021-01-26,52.36486053466797
2021-01-27,51.0463752746582
2021-01-28,51.0018424987793
2021-01-29,50.672218322753906
2021-02-01,50.93947982788086
2021-02-02,51.153289794921875
2021-02-03,50.95729446411133
2021-02-04,51.042579650878906
2021-02-05,51.57221221923828
2021-02-08,50.66554260253906
2021-02-09,50.79121780395508
2021-02-10,51.10541534423828
2021-02-11,50.79121780395508
2021-02-12,50.61168670654297
2021-02-16,49.776832580566406
2021-02-17,50.117958068847656
2021-02-18,50.82713317871094
2021-02-19,50.25260925292969
2021-02-22,49.175376892089844
2021-02-23,49.992279052734375
2021-02-24,48.98686981201172
2021-02-25,49.4267463684082
2021-02-26,48.57393264770508
2021-03-01,49.2112922668457
2021-03-02,49.26515579223633
2021-03-03,48.36745834350586
2021-03-04,48.3943977355957
2021-03-05,49.70502471923828
2021-03-08,50.405216217041016
2021-03-09,50.746334075927734
2021-03-10,51.249046325683594
2021-03-11,50.95280838012695
2021-03-12,51.65300750732422
2021-03-15,52.514793395996094
