,TPL
2017-05-16,88.9061050415039
2017-05-17,84.72628784179688
2017-05-18,84.86056518554688
2017-05-19,85.74365997314453
2017-05-22,85.96143341064453
2017-05-23,86.69834899902344
2017-05-24,86.98178100585938
2017-05-25,86.05990600585938
2017-05-26,86.3343734741211
2017-05-30,85.10221862792969
2017-05-31,84.5353775024414
2017-06-01,83.36589050292969
2017-06-02,85.5885238647461
2017-06-05,84.88146209716797
2017-06-06,85.91967010498047
2017-06-07,85.15892028808594
2017-06-08,84.2191390991211
2017-06-09,85.37970733642578
2017-06-12,86.06884002685547
2017-06-13,87.39947509765625
2017-06-14,87.6411361694336
2017-06-15,87.85294342041016
2017-06-16,91.0481948852539
2017-06-19,91.07205963134766
2017-06-20,88.75394439697266
2017-06-21,86.22101593017578
2017-06-22,86.33737182617188
2017-06-23,87.78134155273438
2017-06-26,85.88088989257812
2017-06-27,85.21856689453125
2017-06-28,86.67748260498047
2017-06-29,86.56111907958984
2017-06-30,87.6470947265625
2017-07-03,88.19304656982422
2017-07-05,87.04741668701172
2017-07-06,86.45670318603516
2017-07-07,86.88034057617188
2017-07-10,88.44962310791016
2017-07-11,90.012939453125
2017-07-12,89.98014068603516
2017-07-13,91.43305206298828
2017-07-14,90.91991424560547
2017-07-17,90.94673919677734
2017-07-18,91.94024658203125
2017-07-19,94.63723754882812
2017-07-20,95.51438903808594
2017-07-21,94.90576171875
2017-07-24,96.36465454101562
2017-07-25,98.67981719970703
2017-07-26,100.24312591552734
2017-07-27,99.72696685791016
2017-07-28,99.42864227294922
2017-07-31,99.0527114868164
2017-08-01,103.82321166992188
2017-08-02,109.27394104003906
2017-08-03,110.70299530029297
2017-08-04,109.19637298583984
2017-08-07,107.30188751220703
2017-08-08,106.4933853149414
2017-08-09,106.06080627441406
2017-08-10,106.57396697998047
2017-08-11,107.38247680664062
2017-08-14,110.78654479980469
2017-08-15,114.3159408569336
2017-08-16,113.81771850585938
2017-08-17,108.95469665527344
2017-08-18,109.87959289550781
2017-08-21,111.3145980834961
2017-08-22,110.37184143066406
2017-08-23,111.49360656738281
2017-08-24,110.83130645751953
2017-08-25,113.75506591796875
2017-08-28,114.08920288085938
2017-08-29,114.89769744873047
2017-08-30,119.33406066894531
2017-08-31,120.53040313720703
2017-09-01,117.56790924072266
2017-09-05,114.8768310546875
2017-09-06,116.9502944946289
