,HES
2017-03-13,42.131263732910156
2017-03-14,41.584678649902344
2017-03-15,43.330238342285156
2017-03-16,42.836551666259766
2017-03-17,42.545616149902344
2017-03-20,42.58088684082031
2017-03-21,42.02547073364258
2017-03-22,41.293758392333984
2017-03-23,41.0292854309082
2017-03-24,40.64137268066406
2017-03-27,40.36810302734375
2017-03-28,41.83152770996094
2017-03-29,43.86800003051758
2017-03-30,43.18036651611328
2017-03-31,42.50154113769531
2017-04-03,41.40835952758789
2017-04-04,41.99903106689453
2017-04-05,41.61994934082031
2017-04-06,42.52798080444336
2017-04-07,42.36048126220703
2017-04-10,44.05314254760742
2017-04-11,45.05815124511719
2017-04-12,44.58209991455078
2017-04-13,43.585899353027344
2017-04-17,43.55944061279297
2017-04-18,42.483917236328125
2017-04-19,41.17033004760742
2017-04-20,41.337833404541016
2017-04-21,41.70810317993164
2017-04-24,42.016658782958984
2017-04-25,42.88062286376953
2017-04-26,43.647605895996094
2017-04-27,43.86800003051758
2017-04-28,43.048126220703125
2017-05-01,42.28995895385742
2017-05-02,41.44363021850586
2017-05-03,41.320213317871094
2017-05-04,40.412174224853516
2017-05-05,41.80507278442383
2017-05-08,42.695491790771484
2017-05-09,42.166534423828125
2017-05-10,43.4007568359375
2017-05-11,43.77984619140625
2017-05-12,43.5241813659668
2017-05-15,43.82392120361328
2017-05-16,43.00404739379883
2017-05-17,42.27231216430664
2017-05-18,42.12244415283203
2017-05-19,43.136287689208984
2017-05-22,43.409576416015625
2017-05-23,43.700496673583984
2017-05-24,43.682865142822266
2017-05-25,42.14008712768555
2017-05-26,42.43983459472656
2017-05-30,41.143890380859375
2017-05-31,40.45624923706055
2017-06-01,41.12625503540039
2017-06-02,40.332820892333984
2017-06-05,40.65020751953125
2017-06-06,41.38191223144531
2017-06-07,39.495323181152344
2017-06-08,38.34043884277344
2017-06-09,40.103607177734375
2017-06-12,40.00663757324219
2017-06-13,41.055721282958984
2017-06-14,40.14279556274414
2017-06-15,38.54737091064453
2017-06-16,38.6625862121582
2017-06-19,38.077606201171875
2017-06-20,36.8632926940918
2017-06-21,35.7287712097168
2017-06-22,36.34920883178711
2017-06-23,36.69489669799805
2017-06-26,36.8632926940918
2017-06-27,36.668296813964844
2017-06-28,37.30646896362305
2017-06-29,38.11305618286133
2017-06-30,38.8841667175293
2017-07-03,40.25802230834961
2017-07-05,38.43212890625
2017-07-06,37.96237564086914
2017-07-07,37.04057312011719
2017-07-10,37.634422302246094
2017-07-11,38.16622543334961
2017-07-12,38.228267669677734
2017-07-13,38.3878173828125
2017-07-14,38.96394348144531
2017-07-17,38.635990142822266
