,GEN
2020-08-10,20.833221435546875
2020-08-11,20.271629333496094
2020-08-12,20.398439407348633
2020-08-13,20.806045532226562
2020-08-14,20.760757446289062
2020-08-17,20.652061462402344
2020-08-18,20.697355270385742
2020-08-19,20.552427291870117
2020-08-20,20.516191482543945
2020-08-21,20.575397491455078
2020-08-24,21.36781120300293
2020-08-25,21.39513397216797
2020-08-26,22.050920486450195
2020-08-27,22.014490127563477
2020-08-28,21.90519142150879
2020-08-31,21.422460556030273
2020-09-01,21.695703506469727
2020-09-02,21.959842681884766
2020-09-03,20.866857528686523
2020-09-04,21.30405044555664
2020-09-08,20.575397491455078
2020-09-09,20.99437141418457
2020-09-10,20.466096878051758
2020-09-11,19.24559783935547
2020-09-14,19.3640079498291
2020-09-15,19.33668327331543
2020-09-16,19.227384567260742
2020-09-17,19.01789665222168
2020-09-18,19.008792877197266
2020-09-21,18.753759384155273
2020-09-22,19.136306762695312
2020-09-23,18.51694679260254
2020-09-24,18.635351181030273
2020-09-25,19.036113739013672
2020-09-28,19.190950393676758
2020-09-29,18.99968147277832
2020-09-30,18.981456756591797
2020-10-01,18.86305809020996
2020-10-02,18.72643280029297
2020-10-05,19.600818634033203
2020-10-06,19.309358596801758
2020-10-07,19.090763092041016
2020-10-08,19.04522132873535
2020-10-09,19.118083953857422
2020-10-12,19.373117446899414
2020-10-13,19.40044403076172
2020-10-14,19.6463623046875
2020-10-15,19.218280792236328
2020-10-16,19.218280792236328
2020-10-19,18.853954315185547
2020-10-20,18.84484100341797
2020-10-21,18.954137802124023
2020-10-22,18.80841064453125
2020-10-23,18.981456756591797
2020-10-26,18.781084060668945
2020-10-27,18.945032119750977
2020-10-28,18.598918914794922
2020-10-29,18.771976470947266
2020-10-30,18.735544204711914
2020-11-02,19.07254409790039
2020-11-03,19.6463623046875
2020-11-04,20.019794464111328
2020-11-05,20.056228637695312
2020-11-06,18.57159423828125
2020-11-09,17.724536895751953
2020-11-10,17.624343872070312
2020-11-11,18.298349380493164
2020-11-12,17.806509017944336
2020-11-13,18.03421401977539
2020-11-16,17.43307113647461
2020-11-17,17.205366134643555
2020-11-18,17.159826278686523
2020-11-19,17.004985809326172
2020-11-20,16.752822875976562
2020-11-23,16.771162033081055
2020-11-24,16.70697021484375
2020-11-25,16.67029571533203
2020-11-27,16.606107711791992
2020-11-30,16.716144561767578
2020-12-01,16.716144561767578
2020-12-02,17.046249389648438
2020-12-03,17.513898849487305
2020-12-04,17.669784545898438
2020-12-07,18.073238372802734
2020-12-08,17.68812370300293
2020-12-09,17.87150764465332
2020-12-10,17.899019241333008
2020-12-11,17.963214874267578
2020-12-14,18.219953536987305
2020-12-15,18.302478790283203
2020-12-16,18.687602996826172
2020-12-17,18.852657318115234
2020-12-18,19.476186752319336
2020-12-21,19.237777709960938
2020-12-22,19.56788444519043
2020-12-23,19.219440460205078
2020-12-24,19.29279899597168
2020-12-28,19.274456024169922
2020-12-29,19.10024070739746
2020-12-30,19.026880264282227
2020-12-31,19.054386138916016
2021-01-04,19.045217514038086
2021-01-05,19.228612899780273
2021-01-06,19.18276023864746
2021-01-07,19.36615562438965
2021-01-08,19.29279899597168
2021-01-11,19.28363037109375
2021-01-12,19.56788444519043
2021-01-13,19.13691520690918
2021-01-14,18.650924682617188
2021-01-15,18.75179100036621
2021-01-19,19.054386138916016
2021-01-20,19.173593521118164
2021-01-21,18.907676696777344
2021-01-22,18.953519821166992
2021-01-25,18.944351196289062
2021-01-26,19.210269927978516
2021-01-27,19.08189582824707
2021-01-28,19.531208038330078
2021-01-29,19.3203067779541
2021-02-01,19.659582138061523
2021-02-02,20.04470443725586
2021-02-03,19.833797454833984
2021-02-04,19.659582138061523
2021-02-05,19.3203067779541
2021-02-08,18.852657318115234
2021-02-09,20.20975685119629
2021-02-10,19.85213851928711
2021-02-11,19.52204132080078
2021-02-12,19.68708610534668
2021-02-16,19.613731384277344
2021-02-17,19.393661499023438
2021-02-18,19.10940170288086
2021-02-19,18.87416648864746
2021-02-22,18.92029571533203
2021-02-23,18.292997360229492
2021-02-24,18.957191467285156
2021-02-25,18.661998748779297
2021-02-26,17.997804641723633
2021-03-01,18.136178970336914
2021-03-02,18.39447784423828
2021-03-03,18.440595626831055
2021-03-04,18.542072296142578
2021-03-05,18.625099182128906
2021-03-08,19.34463882446289
2021-03-09,19.861236572265625
2021-03-10,19.381542205810547
2021-03-11,19.741313934326172
2021-03-12,19.81511116027832
2021-03-15,19.898136138916016
2021-03-16,19.630611419677734
2021-03-17,19.741313934326172
2021-03-18,19.538366317749023
2021-03-19,19.483013153076172
2021-03-22,19.65828514099121
2021-03-23,19.722862243652344
2021-03-24,19.427663803100586
2021-03-25,19.418439865112305
2021-03-26,19.93503761291504
2021-03-29,20.0365047454834
