,WDC
2018-02-01,80.40116882324219
2018-02-02,78.19964599609375
2018-02-05,74.71390533447266
2018-02-06,77.28234100341797
2018-02-07,76.7870101928711
2018-02-08,73.46638488769531
2018-02-09,73.9250259399414
2018-02-12,75.53031158447266
2018-02-13,76.10820770263672
2018-02-14,76.43843841552734
2018-02-15,77.54837799072266
2018-02-16,77.88777160644531
2018-02-20,79.30958557128906
2018-02-21,78.58491516113281
2018-02-22,78.45649719238281
2018-02-23,81.76793670654297
2018-02-26,81.84132385253906
2018-02-27,79.97920227050781
2018-02-28,79.84159851074219
2018-03-01,80.0525894165039
2018-03-02,80.95154571533203
2018-03-05,82.51094818115234
2018-03-06,86.04254150390625
2018-03-07,87.3909683227539
2018-03-08,89.1797103881836
2018-03-09,91.31700897216797
2018-03-12,94.35326385498047
2018-03-13,94.3991470336914
2018-03-14,94.6651382446289
2018-03-15,93.77538299560547
2018-03-16,97.6463623046875
2018-03-19,94.62844848632812
2018-03-20,95.09627532958984
2018-03-21,94.33492279052734
2018-03-22,92.49114227294922
2018-03-23,84.70327758789062
2018-03-26,86.47367095947266
2018-03-27,84.55652618408203
2018-03-28,83.74488830566406
2018-03-29,85.10067749023438
2018-04-02,82.99783325195312
2018-04-03,84.12303161621094
2018-04-04,85.32202911376953
2018-04-05,83.4958724975586
2018-04-06,80.9503173828125
2018-04-09,81.67893981933594
2018-04-10,83.6711196899414
2018-04-11,82.66580200195312
2018-04-12,83.46820831298828
2018-04-13,82.94248962402344
2018-04-16,83.48664093017578
2018-04-17,84.27061462402344
2018-04-18,84.57495880126953
2018-04-19,82.55512237548828
2018-04-20,82.60124206542969
2018-04-23,80.24015045166016
2018-04-24,79.71444702148438
2018-04-25,79.24406433105469
2018-04-26,81.07945251464844
2018-04-27,74.59567260742188
2018-04-30,72.6680679321289
2018-05-01,73.59036254882812
2018-05-02,70.80502319335938
2018-05-03,70.99869537353516
2018-05-04,71.27538299560547
2018-05-07,72.41902923583984
2018-05-08,71.6904296875
2018-05-09,72.35448455810547
2018-05-10,72.89863586425781
2018-05-11,72.67729187011719
2018-05-14,74.81703186035156
2018-05-15,76.53250885009766
2018-05-16,80.25859069824219
2018-05-17,79.79743957519531
2018-05-18,78.16497039794922
2018-05-21,79.80667114257812
2018-05-22,81.04255676269531
2018-05-23,81.62360382080078
2018-05-24,80.6644058227539
2018-05-25,79.64065551757812
2018-05-29,79.76978302001953
2018-05-30,79.80667114257812
2018-05-31,77.02132415771484
2018-06-01,79.19795227050781
2018-06-04,78.25719451904297
2018-06-05,79.22562408447266
2018-06-06,78.13731384277344
2018-06-07,76.18202209472656
2018-06-08,76.20048522949219
2018-06-11,76.55096435546875
2018-06-12,75.73933410644531
2018-06-13,76.42182922363281
2018-06-14,76.13591766357422
2018-06-15,74.33743286132812
2018-06-18,74.03307342529297
2018-06-19,74.25442504882812
2018-06-20,73.9869613647461
2018-06-21,74.60489654541016
2018-06-22,73.4889144897461
2018-06-25,72.0593490600586
2018-06-26,72.40982818603516
2018-06-27,71.29383850097656
2018-06-28,71.41452026367188
2018-06-29,71.860107421875
2018-07-02,72.4449462890625
2018-07-03,71.35882568359375
