,AMAT
2019-01-07,32.14537811279297
2019-01-08,30.842681884765625
2019-01-09,32.14537811279297
2019-01-10,32.57646560668945
2019-01-11,32.59521484375
2019-01-14,31.732995986938477
2019-01-15,31.62991714477539
2019-01-16,31.52683448791504
2019-01-17,32.37029266357422
2019-01-18,33.466796875
2019-01-22,32.27656936645508
2019-01-23,32.15473175048828
2019-01-24,35.44424819946289
2019-01-25,36.728179931640625
2019-01-28,36.26898193359375
2019-01-29,35.80038070678711
2019-01-30,37.11243438720703
2019-01-31,36.62510299682617
2019-02-01,36.84064483642578
2019-02-04,36.45640563964844
2019-02-05,36.66259002685547
2019-02-06,37.74970626831055
2019-02-07,37.41232681274414
2019-02-08,37.2811279296875
2019-02-11,37.39359664916992
2019-02-12,38.13395690917969
2019-02-13,38.28392028808594
2019-02-14,38.1526985168457
2019-02-15,36.64384841918945
2019-02-19,36.83128356933594
2019-02-20,36.73707580566406
2019-02-21,36.576942443847656
2019-02-22,37.14213180541992
2019-02-25,37.35878372192383
2019-02-26,37.283424377441406
2019-02-27,36.52984619140625
2019-02-28,36.11537551879883
2019-03-01,36.32261276245117
2019-03-04,36.812442779541016
2019-03-05,36.6711311340332
2019-03-06,35.86103820800781
2019-03-07,35.39006042480469
2019-03-08,35.55018615722656
2019-03-11,36.2755012512207
2019-03-12,36.463905334472656
2019-03-13,36.36029815673828
2019-03-14,36.6711311340332
2019-03-15,38.04643249511719
2019-03-18,37.679054260253906
2019-03-19,38.0275764465332
2019-03-20,37.27401351928711
2019-03-21,38.931884765625
2019-03-22,37.547176361083984
2019-03-25,37.11386489868164
2019-03-26,37.33052444458008
2019-03-27,36.6711311340332
2019-03-28,36.2755012512207
2019-03-29,37.35878372192383
2019-04-01,38.743492126464844
2019-04-02,38.611610412597656
2019-04-03,39.96806335449219
2019-04-04,40.147029876708984
2019-04-05,40.54266357421875
2019-04-08,40.42961883544922
2019-04-09,39.57243347167969
2019-04-10,39.72315216064453
2019-04-11,40.005733489990234
2019-04-12,40.495567321777344
2019-04-15,40.2318115234375
2019-04-16,41.18321228027344
2019-04-17,41.34335708618164
2019-04-18,41.39986801147461
2019-04-22,41.24915313720703
2019-04-23,41.28682327270508
2019-04-24,41.88027572631836
2019-04-25,41.870845794677734
2019-04-26,42.06866455078125
2019-04-29,41.673038482666016
2019-04-30,41.512901306152344
2019-05-01,40.86293411254883
2019-05-02,41.164363861083984
2019-05-03,41.409278869628906
2019-05-06,40.60859680175781
2019-05-07,39.610107421875
2019-05-08,39.167381286621094
2019-05-09,38.564517974853516
2019-05-10,38.43263626098633
2019-05-13,36.821861267089844
2019-05-14,37.688472747802734
2019-05-15,39.09201431274414
2019-05-16,39.24273681640625
2019-05-17,40.22239303588867
2019-05-20,38.00873565673828
2019-05-21,38.875370025634766
2019-05-22,38.33568572998047
2019-05-23,37.8149528503418
2019-05-24,37.398372650146484
2019-05-28,36.93444061279297
2019-05-29,37.27528762817383
2019-05-30,37.63507080078125
2019-05-31,36.63147735595703
2019-06-03,36.7166862487793
2019-06-04,38.26941680908203
2019-06-05,38.43037414550781
2019-06-06,39.1783447265625
2019-06-07,39.30143356323242
2019-06-10,40.84469985961914
2019-06-11,41.42224884033203
2019-06-12,39.29194641113281
2019-06-13,39.43397521972656
2019-06-14,39.03631591796875
2019-06-17,38.34516525268555
2019-06-18,40.05886459350586
2019-06-19,40.267154693603516
2019-06-20,40.910980224609375
2019-06-21,40.674278259277344
2019-06-24,40.077796936035156
2019-06-25,39.74641418457031
2019-06-26,41.261287689208984
2019-06-27,42.312232971191406
2019-06-28,42.52052688598633
2019-07-01,43.24955368041992
2019-07-02,42.2838249206543
2019-07-03,42.29328918457031
2019-07-05,41.63999938964844
2019-07-08,41.13821029663086
2019-07-09,41.63054275512695
2019-07-10,42.34063720703125
2019-07-11,42.8708381652832
2019-07-12,44.0353889465332
2019-07-15,43.817630767822266
2019-07-16,43.56199264526367
2019-07-17,43.76082992553711
2019-07-18,45.60707092285156
2019-07-19,45.26622772216797
2019-07-22,48.03087615966797
2019-07-23,48.314903259277344
2019-07-24,49.3658447265625
2019-07-25,48.11608123779297
2019-07-26,48.040340423583984
2019-07-29,47.974056243896484
2019-07-30,48.03087615966797
2019-07-31,46.74322509765625
2019-08-01,45.89109802246094
2019-08-02,45.020057678222656
2019-08-05,43.041255950927734
2019-08-06,43.8649787902832
2019-08-07,44.196353912353516
2019-08-08,45.313568115234375
2019-08-09,44.64134216308594
2019-08-12,43.988059997558594
2019-08-13,45.502933502197266
2019-08-14,44.22475051879883
2019-08-15,44.65081024169922
2019-08-16,44.149009704589844
2019-08-19,44.59400939941406
2019-08-20,44.243690490722656
2019-08-21,44.53852081298828
2019-08-22,44.72873306274414
2019-08-23,42.912200927734375
2019-08-26,43.37821578979492
2019-08-27,43.283111572265625
2019-08-28,43.65403366088867
2019-08-29,44.99502944946289
2019-08-30,45.67029571533203
2019-09-03,45.28036117553711
2019-09-04,47.08738327026367
2019-09-05,47.88627624511719
2019-09-06,47.64851379394531
2019-09-09,48.18111038208008
2019-09-10,47.73411178588867
2019-09-11,49.037071228027344
2019-09-12,48.74224853515625
2019-09-13,48.837337493896484
2019-09-16,48.42838668823242
2019-09-17,48.69468688964844
2019-09-18,49.54113006591797
2019-09-19,49.15119934082031
2019-09-20,48.466426849365234
2019-09-23,49.22727966308594
2019-09-24,48.656639099121094
2019-09-25,49.38896560668945
2019-09-26,49.59820556640625
2019-09-27,47.01130294799805
2019-09-30,47.45829391479492
2019-10-01,47.57243347167969
2019-10-02,47.03982162475586
2019-10-03,47.21102523803711
2019-10-04,48.390342712402344
2019-10-07,48.17159652709961
2019-10-08,46.897178649902344
2019-10-09,48.35230255126953
2019-10-10,48.51398849487305
2019-10-11,49.2177734375
2019-10-14,49.39848709106445
2019-10-15,50.32101821899414
2019-10-16,49.037071228027344
2019-10-17,49.58869171142578
2019-10-18,49.15119934082031
2019-10-21,50.06421661376953
2019-10-22,49.43651580810547
2019-10-23,48.05746841430664
2019-10-24,52.37531280517578
2019-10-25,52.99351501464844
2019-10-28,54.16333770751953
2019-10-29,52.80329513549805
2019-10-30,52.508460998535156
2019-10-31,51.604957580566406
2019-11-01,52.74623489379883
2019-11-04,53.012542724609375
2019-11-05,53.145687103271484
2019-11-06,53.0886116027832
2019-11-07,53.20275115966797
2019-11-08,53.2883415222168
2019-11-11,53.820945739746094
2019-11-12,53.65925979614258
2019-11-13,54.325016021728516
2019-11-14,54.1728401184082
2019-11-15,59.023284912109375
2019-11-18,59.29908752441406
2019-11-19,57.95809555053711
2019-11-20,56.9273796081543
2019-11-21,53.863895416259766
2019-11-22,53.386714935302734
2019-11-25,55.619911193847656
2019-11-26,54.94231414794922
2019-11-27,55.62946319580078
2019-11-29,55.25725173950195
2019-12-02,54.11203384399414
2019-12-03,52.81410217285156
2019-12-04,53.529869079589844
2019-12-05,53.29128646850586
2019-12-06,54.016605377197266
2019-12-09,54.016605377197266
2019-12-10,54.035675048828125
2019-12-11,56.345218658447266
2019-12-12,57.60498046875
2019-12-13,57.13734436035156
2019-12-16,57.22322463989258
2019-12-17,58.015342712402344
2019-12-18,57.62406921386719
2019-12-19,57.90082550048828
2019-12-20,58.988792419433594
2019-12-23,58.2921142578125
2019-12-24,58.69293975830078
2019-12-26,58.51162338256836
2019-12-27,58.37800598144531
2019-12-30,58.148963928222656
2019-12-31,58.25392532348633
2020-01-02,59.36099624633789
2020-01-03,58.41618347167969
2020-01-06,57.156429290771484
2020-01-07,58.80746841430664
2020-01-08,58.76929473876953
2020-01-09,59.14149475097656
2020-01-10,58.664310455322266
2020-01-13,58.988792419433594
2020-01-14,59.504146575927734
2020-01-15,59.10331726074219
2020-01-16,60.32489776611328
2020-01-17,59.981319427490234
2020-01-21,60.315345764160156
2020-01-22,60.973854064941406
2020-01-23,60.973854064941406
2020-01-24,59.17012405395508
2020-01-27,56.35477066040039
2020-01-28,57.44272994995117
2020-01-29,57.08963394165039
2020-01-30,57.50000762939453
2020-01-31,55.34315872192383
2020-02-03,56.99418640136719
2020-02-04,60.13401412963867
2020-02-05,60.887962341308594
2020-02-06,60.305809020996094
2020-02-07,58.89335250854492
2020-02-10,60.04813003540039
2020-02-11,61.50828170776367
2020-02-12,62.38631057739258
2020-02-13,64.2950210571289
2020-02-14,63.798763275146484
2020-02-18,62.38186264038086
2020-02-19,64.53592681884766
2020-02-20,63.56898880004883
