,ARE
2019-10-10,130.92782592773438
2019-10-11,130.7919158935547
2019-10-14,130.7069549560547
2019-10-15,130.20574951171875
2019-10-16,131.89620971679688
2019-10-17,131.93017578125
2019-10-18,132.52479553222656
2019-10-21,133.83302307128906
2019-10-22,133.48472595214844
2019-10-23,133.98587036132812
2019-10-24,135.20065307617188
2019-10-25,134.42762756347656
2019-10-28,134.9627685546875
2019-10-29,132.77964782714844
2019-10-30,135.11569213867188
2019-10-31,134.8523712158203
2019-11-01,134.57200622558594
2019-11-04,133.53567504882812
2019-11-05,131.7348175048828
2019-11-06,131.67532348632812
2019-11-07,130.7154541015625
2019-11-08,130.74095153808594
2019-11-11,131.7772979736328
2019-11-12,131.4375
2019-11-13,133.0260009765625
2019-11-14,133.75653076171875
2019-11-15,134.86083984375
2019-11-18,135.48094177246094
2019-11-19,135.353515625
2019-11-20,135.93963623046875
2019-11-21,135.0731964111328
2019-11-22,135.6338653564453
2019-11-25,136.6022186279297
2019-11-26,136.96749877929688
2019-11-27,137.87644958496094
2019-11-29,138.0548095703125
2019-12-02,135.5828857421875
2019-12-03,137.00146484375
2019-12-04,135.9736328125
2019-12-05,136.8231201171875
2019-12-06,137.56214904785156
2019-12-09,137.952880859375
2019-12-10,137.64703369140625
2019-12-11,135.1326904296875
2019-12-12,133.23834228515625
2019-12-13,132.91555786132812
2019-12-16,132.8306121826172
2019-12-17,131.58192443847656
2019-12-18,134.33413696289062
2019-12-19,135.7612762451172
2019-12-20,135.26861572265625
2019-12-23,135.2431182861328
2019-12-24,135.99911499023438
2019-12-26,135.93963623046875
2019-12-27,136.25393676757812
2019-12-30,136.51043701171875
2019-12-31,138.14341735839844
2020-01-02,136.56170654296875
2020-01-03,137.3397674560547
2020-01-06,137.6731719970703
2020-01-07,133.16758728027344
2020-01-08,134.9373016357422
2020-01-09,134.45855712890625
2020-01-10,135.56997680664062
2020-01-13,137.45941162109375
2020-01-14,137.18585205078125
2020-01-15,138.75039672851562
2020-01-16,140.0499725341797
2020-01-17,139.2719268798828
2020-01-21,140.89634704589844
2020-01-22,139.5968475341797
2020-01-23,141.41787719726562
2020-01-24,140.77667236328125
2020-01-27,140.0328369140625
2020-01-28,140.53724670410156
2020-01-29,140.656982421875
2020-01-30,140.62278747558594
2020-01-31,139.5284423828125
2020-02-03,140.90489196777344
2020-02-04,143.45260620117188
2020-02-05,143.57235717773438
2020-02-06,143.49542236328125
2020-02-07,143.24749755859375
2020-02-10,145.82945251464844
2020-02-11,146.75279235839844
2020-02-12,148.2575225830078
2020-02-13,148.40286254882812
2020-02-14,149.55702209472656
2020-02-18,148.63369750976562
2020-02-19,144.6496124267578
2020-02-20,144.2477569580078
2020-02-21,143.61512756347656
2020-02-24,142.5549774169922
2020-02-25,139.9131622314453
2020-02-26,139.42584228515625
2020-02-27,132.2442169189453
2020-02-28,129.85035705566406
2020-03-02,133.01368713378906
2020-03-03,134.86892700195312
2020-03-04,139.733642578125
2020-03-05,137.59625244140625
2020-03-06,135.98895263671875
2020-03-09,126.78961944580078
2020-03-10,134.330322265625
2020-03-11,129.43142700195312
2020-03-12,116.60710906982422
2020-03-13,126.31086730957031
2020-03-16,104.56936645507812
2020-03-17,115.5726318359375
2020-03-18,113.66608428955078
2020-03-19,112.85387420654297
2020-03-20,105.4243392944336
2020-03-23,98.25126647949219
2020-03-24,110.72503662109375
2020-03-25,114.05082702636719
2020-03-26,121.23241424560547
2020-03-27,122.6601791381836
2020-03-30,124.56328582763672
2020-03-31,118.02729034423828
2020-04-01,113.01546478271484
2020-04-02,113.13603973388672
2020-04-03,111.9390640258789
2020-04-06,118.56116485595703
2020-04-07,119.06925964355469
2020-04-08,126.96588897705078
2020-04-09,135.88723754882812
2020-04-13,126.88836669921875
2020-04-14,133.78607177734375
2020-04-15,130.90127563476562
2020-04-16,130.9529266357422
2020-04-17,133.74301147460938
2020-04-20,130.0229034423828
2020-04-21,126.9314193725586
2020-04-22,129.9798583984375
2020-04-23,127.41366577148438
2020-04-24,128.73121643066406
2020-04-27,129.84207153320312
2020-04-28,131.03903198242188
2020-04-29,134.65582275390625
2020-04-30,135.27581787109375
2020-05-01,130.0229034423828
2020-05-04,128.80874633789062
2020-05-05,131.71070861816406
2020-05-06,130.17791748046875
2020-05-07,130.45346069335938
2020-05-08,130.89266967773438
2020-05-11,130.72042846679688
2020-05-12,127.62032318115234
2020-05-13,123.53856658935547
2020-05-14,121.01541137695312
2020-05-15,121.79041290283203
