,BKR
2017-11-07,27.242191314697266
2017-11-08,26.785432815551758
2017-11-09,26.703874588012695
2017-11-10,26.875152587890625
2017-11-13,26.002426147460938
2017-11-14,24.885000228881836
2017-11-15,24.958419799804688
2017-11-16,24.59137535095215
2017-11-17,25.211259841918945
2017-11-20,24.827913284301758
2017-11-21,25.007354736328125
2017-11-22,25.04813575744629
2017-11-24,25.121540069580078
2017-11-27,24.721878051757812
2017-11-28,24.53428077697754
2017-11-29,24.452722549438477
2017-11-30,24.24881362915039
2017-12-01,25.039981842041016
2017-12-04,25.863765716552734
2017-12-05,25.12969398498535
2017-12-06,24.885000228881836
2017-12-07,24.770814895629883
2017-12-08,24.681093215942383
2017-12-11,24.950254440307617
2017-12-12,25.243886947631836
2017-12-13,24.738191604614258
2017-12-14,24.950254440307617
2017-12-15,24.681093215942383
2017-12-18,25.309133529663086
2017-12-19,25.96164321899414
2017-12-20,26.703874588012695
2017-12-21,26.344993591308594
2017-12-22,26.28789520263672
2017-12-26,26.149240493774414
2017-12-27,26.124771118164062
2017-12-28,25.610923767089844
2017-12-29,25.80668067932129
2018-01-02,26.28789520263672
2018-01-03,27.348222732543945
2018-01-04,28.24541473388672
2018-01-05,28.0904483795166
2018-01-08,28.14754295349121
2018-01-09,28.57166862487793
2018-01-10,28.930551528930664
2018-01-11,29.770662307739258
2018-01-12,30.341598510742188
2018-01-16,29.591217041015625
2018-01-17,29.599376678466797
2018-01-18,28.33514404296875
2018-01-19,28.33514404296875
2018-01-22,28.99579620361328
2018-01-23,29.216022491455078
2018-01-24,27.552125930786133
2018-01-25,26.353147506713867
2018-01-26,26.703874588012695
2018-01-29,25.610923767089844
2018-01-30,25.986114501953125
2018-01-31,26.22264862060547
2018-02-01,26.467336654663086
2018-02-02,25.466716766357422
2018-02-05,24.097003936767578
2018-02-06,23.965774536132812
2018-02-07,23.629501342773438
2018-02-08,22.555065155029297
2018-02-09,21.734874725341797
2018-02-12,22.021942138671875
2018-02-13,21.27557373046875
2018-02-14,21.66926383972168
2018-02-15,21.439611434936523
2018-02-16,21.75948143005371
2018-02-20,21.6856632232666
2018-02-21,21.948123931884766
2018-02-22,22.99795913696289
2018-02-23,22.989761352539062
2018-02-26,22.661685943603516
2018-02-27,22.14496612548828
2018-02-28,21.652854919433594
2018-03-01,22.251588821411133
2018-03-02,22.514055252075195
2018-03-05,22.981555938720703
2018-03-06,23.41625213623047
2018-03-07,23.719722747802734
2018-03-08,24.039588928222656
2018-03-09,24.8023624420166
2018-03-12,25.253467559814453
2018-03-13,24.8925838470459
2018-03-14,25.097631454467773
2018-03-15,24.515300750732422
2018-03-16,25.360090255737305
2018-03-19,25.073020935058594
2018-03-20,24.482494354248047
2018-03-21,25.392894744873047
2018-03-22,24.425079345703125
2018-03-23,23.949373245239258
2018-03-26,24.53170394897461
2018-03-27,23.949373245239258
2018-03-28,23.022558212280273
2018-03-29,22.776512145996094
2018-04-02,22.776512145996094
2018-04-03,23.719722747802734
2018-04-04,24.572711944580078
2018-04-05,24.3676700592041
2018-04-06,24.26104164123535
2018-04-09,24.113414764404297
2018-04-10,25.335481643676758
2018-04-11,25.60614585876465
2018-04-12,26.35251235961914
2018-04-13,26.71339225769043
2018-04-16,26.934846878051758
2018-04-17,26.910240173339844
2018-04-18,27.68941307067871
2018-04-19,27.648405075073242
2018-04-20,27.878053665161133
2018-04-23,28.665430068969727
2018-04-24,28.402969360351562
2018-04-25,28.796653747558594
2018-04-26,29.510221481323242
2018-04-27,29.52663230895996
2018-04-30,29.616844177246094
2018-05-01,29.23134994506836
2018-05-02,29.198551177978516
2018-05-03,29.198551177978516
2018-05-04,29.52663230895996
2018-05-07,29.223154067993164
2018-05-08,29.551233291625977
2018-05-09,29.83009147644043
2018-05-10,29.67426300048828
2018-05-11,29.329776763916016
2018-05-14,29.264162063598633
2018-05-15,29.584041595458984
2018-05-16,30.223779678344727
2018-05-17,30.051538467407227
2018-05-18,29.420000076293945
2018-05-21,29.914588928222656
2018-05-22,30.00527000427246
2018-05-23,29.708513259887695
2018-05-24,29.403507232666016
2018-05-25,28.603927612304688
2018-05-29,28.744064331054688
2018-05-30,29.420000076293945
2018-05-31,28.513246536254883
2018-06-01,28.793514251708984
2018-06-04,26.930551528930664
2018-06-05,27.705411911010742
2018-06-06,28.554458618164062
2018-06-07,28.59568214416504
2018-06-08,28.603927612304688
2018-06-11,28.150543212890625
2018-06-12,28.472036361694336
2018-06-13,28.076356887817383
2018-06-14,27.763118743896484
2018-06-15,26.84811782836914
2018-06-18,26.82339096069336
2018-06-19,26.996498107910156
2018-06-20,27.260276794433594
2018-06-21,26.642038345336914
2018-06-22,26.971769332885742
2018-06-25,26.7409610748291
2018-06-26,27.309743881225586
2018-06-27,27.69716453552246
2018-06-28,27.16136360168457
