,EQT
2022-07-27,43.59580993652344
2022-07-28,41.01498031616211
2022-07-29,42.243038177490234
2022-08-01,40.59284210205078
2022-08-02,40.18029022216797
2022-08-03,41.05335998535156
2022-08-04,39.575862884521484
2022-08-05,40.56406021118164
2022-08-08,39.80342102050781
2022-08-09,41.315067291259766
2022-08-10,41.892765045166016
2022-08-11,44.097652435302734
2022-08-12,44.473148345947266
2022-08-15,43.56808853149414
2022-08-16,45.435977935791016
2022-08-17,45.35895538330078
2022-08-18,46.44695281982422
2022-08-19,45.92702865600586
2022-08-22,47.29423904418945
2022-08-23,46.06182861328125
2022-08-24,47.843055725097656
2022-08-25,47.640865325927734
2022-08-26,47.82379913330078
2022-08-29,48.15116882324219
2022-08-30,45.12787628173828
2022-08-31,46.0233154296875
2022-09-01,44.58869171142578
2022-09-02,45.52262878417969
2022-09-06,43.74140167236328
2022-09-07,44.29021453857422
2022-09-08,45.34932327270508
2022-09-09,46.55286407470703
2022-09-12,48.430389404296875
2022-09-13,46.12922286987305
2022-09-14,48.71923065185547
2022-09-15,46.302528381347656
2022-09-16,44.347984313964844
2022-09-19,45.580406188964844
2022-09-20,44.82939910888672
2022-09-21,43.70288848876953
2022-09-22,42.971134185791016
2022-09-23,39.72639465332031
2022-09-26,37.91627502441406
2022-09-27,37.82961654663086
2022-09-28,39.293121337890625
2022-09-29,38.060699462890625
2022-09-30,39.2353515625
2022-10-03,40.19818115234375
2022-10-04,43.240726470947266
2022-10-05,43.654747009277344
2022-10-06,42.30677795410156
2022-10-07,41.56539535522461
2022-10-10,41.180267333984375
2022-10-11,41.9312858581543
2022-10-12,41.9312858581543
2022-10-13,42.72079849243164
2022-10-14,39.60123062133789
2022-10-17,40.25595474243164
2022-10-18,40.25595474243164
2022-10-19,40.64108657836914
2022-10-20,39.22572708129883
2022-10-21,36.47202682495117
2022-10-24,36.905296325683594
2022-10-25,38.12809753417969
2022-10-26,37.56002426147461
2022-10-27,37.64668273925781
2022-10-28,37.24229049682617
2022-10-31,40.28484344482422
2022-11-01,39.2353515625
2022-11-02,38.96575927734375
2022-11-03,37.887386322021484
2022-11-04,39.5530891418457
2022-11-07,42.53786087036133
2022-11-08,42.450904846191406
2022-11-09,39.45596694946289
2022-11-10,41.44615936279297
2022-11-11,41.17564010620117
2022-11-14,40.93411636352539
2022-11-15,42.27701187133789
2022-11-16,40.08393859863281
2022-11-17,40.277156829833984
2022-11-18,39.6395263671875
2022-11-21,39.92936706542969
2022-11-22,42.296329498291016
2022-11-23,42.08378982543945
2022-11-25,41.57175064086914
2022-11-28,40.112918853759766
2022-11-29,41.214290618896484
2022-11-30,40.97276306152344
2022-12-01,40.112918853759766
2022-12-02,38.576812744140625
2022-12-05,35.813720703125
2022-12-06,35.65915298461914
2022-12-07,35.48524856567383
2022-12-08,34.480499267578125
2022-12-09,34.461177825927734
2022-12-12,35.65915298461914
2022-12-13,35.85236740112305
2022-12-14,36.528648376464844
2022-12-15,36.934417724609375
2022-12-16,35.97796630859375
2022-12-19,34.886260986328125
2022-12-20,34.915245056152344
2022-12-21,35.3983039855957
2022-12-22,33.813880920410156
2022-12-23,34.98286819458008
2022-12-27,35.10847091674805
2022-12-28,32.364715576171875
2022-12-29,32.72216796875
2022-12-30,32.683528900146484
2023-01-03,30.741647720336914
2023-01-04,32.08454513549805
2023-01-05,30.992835998535156
2023-01-06,32.21013641357422
2023-01-09,33.49506759643555
2023-01-10,32.886409759521484
2023-01-11,32.268104553222656
2023-01-12,33.77523422241211
2023-01-13,33.63032150268555
2023-01-17,33.997440338134766
2023-01-18,32.5096321105957
2023-01-19,32.78014373779297
2023-01-20,32.799461364746094
2023-01-23,34.045745849609375
2023-01-24,33.05065155029297
2023-01-25,32.094200134277344
2023-01-26,31.978267669677734
2023-01-27,31.814027786254883
2023-01-30,31.060470581054688
2023-01-31,31.562835693359375
2023-02-01,30.55808448791504
2023-02-02,30.760971069335938
2023-02-03,30.200624465942383
2023-02-06,28.96400260925293
2023-02-07,29.62095832824707
2023-02-08,28.799762725830078
2023-02-09,29.466381072998047
2023-02-10,30.59673309326172
2023-02-13,29.81418228149414
2023-02-14,30.02672576904297
2023-02-15,29.58231544494629
2023-02-16,30.751306533813477
2023-02-17,30.333911895751953
2023-02-21,29.547658920288086
2023-02-22,31.042512893676758
2023-02-23,31.53756332397461
2023-02-24,33.7119026184082
2023-02-27,32.54707336425781
2023-02-28,32.207340240478516
2023-03-01,32.323814392089844
2023-03-02,32.38206100463867
2023-03-03,33.34303665161133
2023-03-06,31.98407554626465
2023-03-07,31.98407554626465
2023-03-08,31.217239379882812
2023-03-09,30.42127227783203
2023-03-10,29.518539428710938
2023-03-13,29.39234733581543
2023-03-14,29.79033088684082
2023-03-15,27.98485565185547
2023-03-16,29.23703956604004
2023-03-17,28.5090274810791
2023-03-20,29.275869369506836
2023-03-21,30.091243743896484
2023-03-22,28.64492416381836
2023-03-23,28.664335250854492
2023-03-24,29.664140701293945
2023-03-27,29.547658920288086
2023-03-28,29.994173049926758
2023-03-29,30.528051376342773
2023-03-30,30.372743606567383
2023-03-31,30.974567413330078
2023-04-03,30.86779022216797
2023-04-04,31.527856826782227
2023-04-05,31.644336700439453
2023-04-06,31.17841148376465
2023-04-10,32.41118240356445
2023-04-11,32.4402961730957
2023-04-12,31.692874908447266
2023-04-13,31.90642547607422
2023-04-14,32.16850662231445
2023-04-17,31.82876968383789
2023-04-18,32.33352279663086
2023-04-19,32.24616241455078
2023-04-20,31.770523071289062
2023-04-21,31.634634017944336
2023-04-24,31.780231475830078
2023-04-25,30.780427932739258
2023-04-26,30.440690994262695
2023-04-27,32.55678176879883
2023-04-28,33.81867218017578
2023-05-01,33.26538848876953
2023-05-02,31.867597579956055
2023-05-03,30.57658576965332
2023-05-04,30.13007164001465
2023-05-05,31.40166664123535
2023-05-08,31.343425750732422
2023-05-09,31.518966674804688
2023-05-10,31.401941299438477
2023-05-11,31.109375
2023-05-12,32.6209602355957
2023-05-15,34.26906967163086
2023-05-16,33.9472541809082
2023-05-17,33.9472541809082
2023-05-18,35.926937103271484
2023-05-19,35.33205795288086
2023-05-22,35.41007995605469
2023-05-23,34.96147537231445
2023-05-24,35.634376525878906
2023-05-25,35.58561706542969
2023-05-26,35.19552993774414
2023-05-30,34.200809478759766
2023-05-31,33.908241271972656
2023-06-01,34.230064392089844
2023-06-02,35.64413070678711
2023-06-05,35.14677429199219
2023-06-06,36.43404769897461
2023-06-07,37.848114013671875
2023-06-08,38.004150390625
2023-06-09,37.59455490112305
2023-06-12,37.36050796508789
2023-06-13,37.97488784790039
2023-06-14,37.49703598022461
2023-06-15,37.98464584350586
2023-06-16,38.65753936767578
2023-06-20,38.325965881347656
2023-06-21,38.79407501220703
2023-06-22,38.481998443603516
2023-06-23,38.208946228027344
2023-06-26,39.21341323852539
2023-06-27,39.34019088745117
2023-06-28,38.76482391357422
2023-06-29,40.02284240722656
2023-06-30,40.11061477661133
2023-07-03,39.67176055908203
2023-07-05,39.39870834350586
2023-07-06,38.306461334228516
2023-07-07,38.725807189941406
2023-07-10,39.29143524169922
2023-07-11,39.55474090576172
2023-07-12,38.79407501220703
2023-07-13,38.43324661254883
2023-07-14,37.26298141479492
2023-07-17,37.50679016113281
2023-07-18,38.65753936767578
2023-07-19,38.88184356689453
2023-07-20,39.80829620361328
2023-07-21,38.91110610961914
2023-07-24,38.71605682373047
2023-07-25,38.65753936767578
2023-07-26,40.49094772338867
2023-07-27,40.39342498779297
2023-07-28,41.23210906982422
2023-07-31,41.13459396362305
2023-08-01,40.637229919433594
2023-08-02,39.8473014831543
2023-08-03,40.695743560791016
2023-08-04,40.76400375366211
2023-08-07,41.10533905029297
2023-08-08,41.99595260620117
2023-08-09,43.11166000366211
2023-08-10,41.87850570678711
2023-08-11,42.132965087890625
2023-08-14,41.98616409301758
2023-08-15,41.30107498168945
2023-08-16,41.085758209228516
2023-08-17,41.99595260620117
2023-08-18,42.54402542114258
2023-08-21,43.62058639526367
2023-08-22,42.47551345825195
2023-08-23,40.860652923583984
2023-08-24,40.81172561645508
2023-08-25,41.14448165893555
2023-08-28,41.447872161865234
2023-08-29,41.82957077026367
2023-08-30,42.074249267578125
2023-08-31,42.299346923828125
2023-09-01,43.278045654296875
2023-09-05,42.289554595947266
2023-09-06,41.42830276489258
2023-09-07,40.870445251464844
2023-09-08,41.57510757446289
2023-09-11,41.310855865478516
2023-09-12,42.83763122558594
2023-09-13,42.03509521484375
2023-09-14,41.68276596069336
2023-09-15,40.64534378051758
2023-09-18,40.31258773803711
2023-09-19,40.11684799194336
2023-09-20,39.1479377746582
2023-09-21,37.91477584838867
2023-09-22,37.630950927734375
2023-09-25,38.090938568115234
2023-09-26,38.13008499145508
2023-09-27,38.76624298095703
2023-09-28,39.57856369018555
2023-09-29,39.71558380126953
2023-10-02,38.25732421875
2023-10-03,38.776031494140625
2023-10-04,38.80539321899414
2023-10-05,40.2147216796875
2023-10-06,41.87850570678711
2023-10-09,43.405269622802734
2023-10-10,43.150814056396484
2023-10-11,42.622310638427734
2023-10-12,42.485294342041016
2023-10-13,42.44615173339844
2023-10-16,42.57337951660156
2023-10-17,43.31718826293945
2023-10-18,42.74954605102539
2023-10-19,42.172115325927734
2023-10-20,41.447872161865234
2023-10-23,41.36958694458008
2023-10-24,41.62403869628906
2023-10-25,41.124908447265625
2023-10-26,41.8980827331543
2023-10-27,41.056396484375
2023-10-30,40.30280685424805
2023-10-31,41.47724533081055
2023-11-01,41.80999755859375
2023-11-02,43.405269622802734
2023-11-03,43.76739501953125
2023-11-06,41.604469299316406
2023-11-07,40.04056930541992
2023-11-08,39.18592834472656
2023-11-09,38.71439743041992
2023-11-10,38.4393424987793
2023-11-13,39.097511291503906
2023-11-14,39.19575119018555
2023-11-15,40.60050582885742
2023-11-16,39.34309387207031
2023-11-17,39.65745162963867
2023-11-20,39.38239669799805
2023-11-21,39.31362533569336
2023-11-22,39.60833740234375
2023-11-24,40.12897491455078
2023-11-27,39.51992416381836
2023-11-28,39.146629333496094
2023-11-29,39.048397064208984
2023-11-30,39.25468826293945
2023-12-01,39.529747009277344
2023-12-04,38.282161712646484
2023-12-05,37.68292999267578
2023-12-06,36.21923065185547
2023-12-07,36.33710861206055
2023-12-08,36.474639892578125
2023-12-11,36.23887634277344
2023-12-12,35.3744010925293
2023-12-13,36.60234451293945
2023-12-14,38.13481140136719
2023-12-15,37.761512756347656
2023-12-18,38.22322463989258
2023-12-19,38.154457092285156
2023-12-20,37.32928466796875
2023-12-21,38.33128356933594
2023-12-22,38.30181121826172
2023-12-26,38.517921447753906
2023-12-27,38.48845291137695
2023-12-28,38.33128356933594
2023-12-29,37.977630615234375
2024-01-02,38.2330436706543
2024-01-03,38.04640197753906
2024-01-04,37.525753021240234
2024-01-05,38.02675247192383
2024-01-08,37.535579681396484
2024-01-09,37.398048400878906
2024-01-10,37.044403076171875
2024-01-11,36.396053314208984
2024-01-12,37.15245819091797
2024-01-16,35.65928649902344
2024-01-17,35.325286865234375
2024-01-18,34.58852767944336
2024-01-19,34.70641326904297
2024-01-22,34.75552749633789
2024-01-23,34.63764572143555
2024-01-24,35.03058624267578
2024-01-25,35.42353057861328
2024-01-26,35.246707916259766
2024-01-29,35.18775939941406
2024-01-30,35.51193618774414
2024-01-31,34.775177001953125
2024-02-01,34.44117736816406
2024-02-02,34.421531677246094
2024-02-05,33.57670974731445
2024-02-06,33.62582778930664
2024-02-07,33.62582778930664
2024-02-08,34.13665008544922
2024-02-09,33.72406005859375
2024-02-12,34.31346893310547
2024-02-13,33.49811553955078
2024-02-14,32.37824249267578
2024-02-15,33.88124084472656
2024-02-16,34.244407653808594
2024-02-20,33.287139892578125
2024-02-21,36.81026840209961
2024-02-22,36.83000183105469
2024-02-23,36.52407455444336
2024-02-26,36.257625579833984
2024-02-27,36.04051208496094
2024-02-28,36.09972381591797
2024-02-29,36.66223907470703
2024-03-01,36.52407455444336
2024-03-04,37.047119140625
2024-03-05,37.4912109375
2024-03-06,37.09646224975586
2024-03-07,36.770790100097656
2024-03-08,37.027381896972656
2024-03-11,34.15558624267578
2024-03-12,34.066768646240234
2024-03-13,33.56346130371094
2024-03-14,33.336483001708984
2024-03-15,32.99108123779297
2024-03-18,32.96147918701172
2024-03-19,33.1193733215332
2024-03-20,33.37595748901367
2024-03-21,33.908870697021484
2024-03-22,33.908870697021484
2024-03-25,34.36282730102539
2024-03-26,34.49112319946289
2024-03-27,35.59641647338867
2024-03-28,36.583290100097656
2024-04-01,36.62276077270508
2024-04-02,36.38591384887695
2024-04-03,36.70171356201172
2024-04-04,36.27735900878906
2024-04-05,36.001033782958984
2024-04-08,36.35630798339844
2024-04-09,37.45173645019531
2024-04-10,37.21488571166992
2024-04-11,36.997772216796875
2024-04-12,36.76092529296875
2024-04-15,36.04051208496094
2024-04-16,35.72471237182617
2024-04-17,35.566810607910156
2024-04-18,35.744449615478516
2024-04-19,36.16880798339844
2024-04-22,37.47146987915039
2024-04-23,37.48133850097656
2024-04-24,38.91230010986328
2024-04-25,39.87943649291992
2024-04-26,40.07680892944336
2024-04-29,40.51103210449219
2024-04-30,39.563636779785156
2024-05-01,38.15241241455078
2024-05-02,38.96164321899414
2024-05-03,39.74127197265625
2024-05-06,40.501163482666016
2024-05-07,40.132625579833984
2024-05-08,39.5382194519043
2024-05-09,39.647193908691406
2024-05-10,38.56734848022461
2024-05-13,39.41933822631836
2024-05-14,40.33076858520508
2024-05-15,40.5487174987793
2024-05-16,40.132625579833984
2024-05-17,40.78647994995117
2024-05-20,41.52949142456055
2024-05-21,40.80629348754883
2024-05-22,40.826107025146484
2024-05-23,39.5382194519043
2024-05-24,39.77598190307617
2024-05-28,40.855831146240234
2024-05-29,40.31095504760742
2024-05-30,40.81620407104492
2024-05-31,40.70722579956055
2024-06-03,40.59825134277344
2024-06-04,40.24160385131836
2024-06-05,40.558624267578125
2024-06-06,40.28123474121094
2024-06-07,40.162349700927734
