,NTRS
2016-01-07,52.6321907043457
2016-01-08,51.652870178222656
2016-01-11,51.62153625488281
2016-01-12,51.950592041015625
2016-01-13,50.7284049987793
2016-01-14,51.5040168762207
2016-01-15,49.96846389770508
2016-01-19,50.08597946166992
2016-01-20,48.127349853515625
2016-01-21,46.23139572143555
2016-01-22,47.3360595703125
2016-01-25,46.05904006958008
2016-01-26,46.889503479003906
2016-01-27,46.858158111572266
2016-01-28,46.82682800292969
2016-01-29,48.6365966796875
2016-02-01,47.986328125
2016-02-02,46.41158676147461
2016-02-03,46.583946228027344
2016-02-04,47.27338409423828
2016-02-05,47.022674560546875
2016-02-08,45.22075271606445
2016-02-09,45.43229293823242
2016-02-10,44.57832717895508
2016-02-11,42.698036193847656
2016-02-12,44.53915786743164
2016-02-16,45.6359748840332
2016-02-17,46.70147705078125
2016-02-18,46.2862434387207
2016-02-19,46.52128219604492
2016-02-22,47.71212387084961
2016-02-23,46.803314208984375
2016-02-24,46.00419998168945
2016-02-25,46.630958557128906
2016-02-26,47.195045471191406
2016-02-29,46.52128219604492
2016-03-01,48.96564483642578
2016-03-02,49.824554443359375
2016-03-03,50.7701416015625
2016-03-04,51.73936080932617
2016-03-07,51.92059326171875
2016-03-08,50.3997802734375
2016-03-09,50.147613525390625
2016-03-10,50.116111755371094
2016-03-11,51.77876281738281
2016-03-14,51.573890686035156
2016-03-15,51.21929931640625
2016-03-16,50.975013732910156
2016-03-17,51.34537124633789
2016-03-18,52.0388069152832
2016-03-21,52.10972595214844
2016-03-22,52.09395980834961
2016-03-23,51.71572494506836
2016-03-24,51.392635345458984
2016-03-28,51.26657485961914
2016-03-29,51.195655822753906
2016-03-30,51.597537994384766
2016-03-31,51.35325241088867
2016-04-01,51.88908767700195
2016-04-04,51.75514221191406
2016-04-05,50.87257385253906
2016-04-06,51.36112594604492
2016-04-07,49.65908432006836
2016-04-08,49.848201751708984
2016-04-11,50.336727142333984
2016-04-12,51.34537124633789
2016-04-13,53.27593994140625
2016-04-14,53.56748962402344
2016-04-15,53.252315521240234
2016-04-18,53.81178283691406
2016-04-19,56.609134674072266
2016-04-20,56.932212829589844
2016-04-21,56.56186294555664
2016-04-22,57.01889419555664
2016-04-25,56.47517776489258
2016-04-26,57.1055793762207
2016-04-27,56.94798278808594
2016-04-28,56.42789840698242
2016-04-29,56.010257720947266
2016-05-02,56.624908447265625
2016-05-03,55.37987518310547
2016-05-04,54.631290435791016
2016-05-05,54.36336135864258
2016-05-06,54.38700485229492
2016-05-09,54.150604248046875
2016-05-10,55.37987518310547
2016-05-11,54.70220947265625
2016-05-12,54.73372268676758
2016-05-13,53.95362091064453
2016-05-16,54.36336135864258
2016-05-17,54.31608581542969
2016-05-18,56.36485290527344
2016-05-19,55.94722366333008
2016-05-20,56.64065170288086
2016-05-23,56.19938278198242
2016-05-24,57.23165512084961
2016-05-25,58.35847854614258
2016-05-26,58.12995529174805
2016-05-27,58.50028991699219
2016-05-31,58.38998794555664
2016-06-01,58.6116943359375
2016-06-02,58.87302017211914
2016-06-03,57.26558303833008
2016-06-06,58.049495697021484
2016-06-07,57.49521255493164
2016-06-08,57.55064392089844
2016-06-09,56.90924835205078
2016-06-10,56.20452117919922
2016-06-13,55.95905303955078
2016-06-14,54.97718048095703
2016-06-15,55.21473693847656
2016-06-16,54.8583984375
2016-06-17,54.8583984375
2016-06-20,55.024681091308594
2016-06-21,55.05636215209961
2016-06-22,54.945499420166016
2016-06-23,56.64796447753906
2016-06-24,51.865264892578125
2016-06-27,48.832523345947266
2016-06-28,50.33702850341797
2016-06-29,51.68315124511719
2016-06-30,52.4670524597168
2016-07-01,51.65146255493164
2016-07-05,50.32118606567383
2016-07-06,50.25783920288086
2016-07-07,50.297428131103516
2016-07-08,51.09717559814453
2016-07-11,51.493106842041016
2016-07-12,52.490806579589844
2016-07-13,52.15823745727539
2016-07-14,52.878814697265625
2016-07-15,53.06885528564453
2016-07-18,53.38558578491211
2016-07-19,53.14011764526367
2016-07-20,52.633331298828125
2016-07-21,52.839229583740234
2016-07-22,53.116371154785156
2016-07-25,53.14011764526367
2016-07-26,53.90821075439453
2016-07-27,54.22493362426758
2016-07-28,53.63897705078125
2016-07-29,53.520206451416016
2016-08-01,53.1242790222168
2016-08-02,52.427467346191406
2016-08-03,53.06093215942383
2016-08-04,52.878814697265625
2016-08-05,54.74755096435547
2016-08-08,54.795066833496094
2016-08-09,54.787139892578125
2016-08-10,54.129905700683594
2016-08-11,54.343711853027344
2016-08-12,53.71023941040039
2016-08-15,54.11407470703125
2016-08-16,53.98738479614258
2016-08-17,54.09823989868164
2016-08-18,54.066566467285156
2016-08-19,54.296207427978516
2016-08-22,54.343711853027344
2016-08-23,54.375396728515625
2016-08-24,54.14574432373047
2016-08-25,54.5020751953125
2016-08-26,54.9138298034668
2016-08-29,55.341407775878906
2016-08-30,56.07783508300781
2016-08-31,56.19724655151367
2016-09-01,56.053955078125
2016-09-02,56.24502182006836
2016-09-06,55.616085052490234
2016-09-07,55.480743408203125
2016-09-08,55.592220306396484
2016-09-09,54.89163589477539
2016-09-12,55.50463104248047
2016-09-13,54.756317138671875
2016-09-14,54.501548767089844
2016-09-15,55.23395538330078
2016-09-16,54.42192459106445
2016-09-19,54.541351318359375
2016-09-20,54.636878967285156
2016-09-21,55.05881881713867
2016-09-22,55.24987030029297
2016-09-23,55.17823028564453
2016-09-26,53.70542907714844
2016-09-27,53.777076721191406
2016-09-28,53.808929443359375
2016-09-29,53.10038375854492
2016-09-30,54.12735366821289
2016-10-03,54.254756927490234
2016-10-04,55.592220306396484
2016-10-05,57.24013900756836
2016-10-06,57.35160827636719
2016-10-07,57.27994918823242
2016-10-10,57.37548065185547
2016-10-11,56.57938003540039
2016-10-12,56.611228942871094
2016-10-13,55.5762825012207
2016-10-14,56.19724655151367
2016-10-17,55.94248580932617
2016-10-18,56.48383712768555
2016-10-19,56.62712860107422
2016-10-20,56.50772476196289
2016-10-21,56.50772476196289
2016-10-24,56.50772476196289
2016-10-25,55.982303619384766
2016-10-26,56.889869689941406
2016-10-27,57.63820266723633
2016-10-28,57.63820266723633
2016-10-31,57.65412902832031
2016-11-01,57.892967224121094
2016-11-02,57.335670471191406
2016-11-03,57.62228775024414
2016-11-04,57.383445739746094
2016-11-07,58.91199493408203
2016-11-08,58.89606857299805
2016-11-09,61.419734954833984
2016-11-10,62.5103759765625
2016-11-11,63.59308624267578
2016-11-14,65.93364715576172
2016-11-15,66.0530776977539
2016-11-16,64.51654815673828
2016-11-17,64.88279724121094
2016-11-18,64.88279724121094
2016-11-21,65.19326782226562
2016-11-22,65.20917510986328
2016-11-23,65.2967758178711
2016-11-25,65.40025329589844
2016-11-28,64.15834045410156
2016-11-29,64.5961685180664
2016-11-30,65.7079849243164
2016-12-01,68.32349395751953
2016-12-02,67.59562683105469
2016-12-05,68.3074951171875
2016-12-06,69.09136199951172
2016-12-07,71.43494415283203
2016-12-08,71.8028564453125
2016-12-09,71.48294067382812
2016-12-12,71.03500366210938
2016-12-13,71.18700408935547
2016-12-14,70.78705596923828
2016-12-15,72.0348129272461
2016-12-16,70.75505828857422
2016-12-19,70.92301940917969
2016-12-20,72.10681915283203
2016-12-21,72.05081176757812
2016-12-22,71.74688720703125
2016-12-23,71.61090087890625
2016-12-27,71.8588638305664
2016-12-28,71.35494232177734
2016-12-29,70.89103698730469
2016-12-30,71.22695922851562
2017-01-03,71.69889068603516
2017-01-04,72.3787612915039
2017-01-05,72.06678771972656
2017-01-06,71.8588638305664
2017-01-09,71.21097564697266
2017-01-10,71.40293884277344
2017-01-11,72.00284576416016
2017-01-12,71.81885528564453
2017-01-13,72.1388168334961
2017-01-17,70.50711059570312
2017-01-18,67.1797103881836
2017-01-19,66.80378723144531
2017-01-20,66.67582702636719
2017-01-23,66.12390899658203
2017-01-24,66.77979278564453
2017-01-25,67.24369812011719
2017-01-26,67.14769744873047
2017-01-27,66.9317626953125
2017-01-30,66.50784301757812
2017-01-31,66.35585021972656
2017-02-01,66.63579559326172
2017-02-02,66.24388122558594
2017-02-03,67.50765991210938
2017-02-06,67.62763214111328
2017-02-07,67.47566986083984
2017-02-08,67.1877212524414
2017-02-09,68.3955078125
2017-02-10,68.28352355957031
2017-02-13,69.01136779785156
2017-02-14,70.05117797851562
2017-02-15,70.91502380371094
2017-02-16,69.85926055908203
2017-02-17,69.74724578857422
2017-02-21,70.43511199951172
2017-02-22,69.98717498779297
2017-02-23,70.13916778564453
2017-02-24,69.62725830078125
2017-02-27,70.01119232177734
2017-02-28,69.86722564697266
2017-03-01,71.827392578125
2017-03-02,70.96780395507812
2017-03-03,71.26504516601562
2017-03-06,70.46172332763672
2017-03-07,71.00797271728516
2017-03-08,71.4337387084961
2017-03-09,71.81936645507812
2017-03-10,71.73902893066406
2017-03-13,72.14875030517578
2017-03-14,72.076416015625
2017-03-15,71.92378234863281
2017-03-16,72.29331970214844
2017-03-17,71.24095916748047
2017-03-20,70.71074676513672
2017-03-21,69.35307312011719
2017-03-22,69.54586791992188
2017-03-23,69.68246459960938
2017-03-24,68.88714599609375
2017-03-27,68.34085083007812
2017-03-28,69.24060821533203
2017-03-29,69.18439483642578
2017-03-30,70.04395294189453
2017-03-31,69.55390930175781
2017-04-03,69.26470947265625
2017-04-04,69.31291961669922
2017-04-05,68.88714599609375
2017-04-06,69.40928649902344
2017-04-07,69.16027069091797
2017-04-10,68.70236206054688
2017-04-11,69.60211944580078
2017-04-12,68.9032211303711
2017-04-13,68.3087387084961
2017-04-17,69.42537689208984
2017-04-18,68.89518737792969
2017-04-19,69.09600830078125
2017-04-20,70.2528076171875
2017-04-21,70.18051147460938
2017-04-24,71.80329132080078
2017-04-25,72.76729583740234
2017-04-26,73.65098571777344
2017-04-27,73.52243041992188
2017-04-28,72.30137634277344
2017-05-01,72.4057846069336
2017-05-02,71.99610137939453
2017-05-03,72.47006225585938
2017-05-04,72.73514556884766
2017-05-05,72.72712707519531
2017-05-08,73.0484848022461
2017-05-09,72.93601989746094
2017-05-10,72.95207214355469
2017-05-11,72.5503921508789
2017-05-12,72.02822875976562
2017-05-15,72.421875
2017-05-16,72.78337860107422
2017-05-17,68.89518737792969
2017-05-18,69.68246459960938
2017-05-19,69.84312438964844
2017-05-22,70.43760681152344
2017-05-23,71.17665100097656
2017-05-24,71.02405548095703
2017-05-25,70.91958618164062
2017-05-26,71.24896240234375
2017-05-30,70.77501678466797
2017-05-31,70.549072265625
2017-06-01,71.8077392578125
2017-06-02,71.41241455078125
2017-06-05,71.58989715576172
2017-06-06,70.69432067871094
2017-06-07,71.96910858154297
2017-06-08,72.68719482421875
2017-06-09,74.02653503417969
2017-06-12,74.15563201904297
2017-06-13,74.81722259521484
2017-06-14,75.32552337646484
2017-06-15,75.75312042236328
2017-06-16,76.28565216064453
2017-06-19,76.89077758789062
2017-06-20,76.3582763671875
2017-06-21,76.15653991699219
2017-06-22,76.11620330810547
2017-06-23,75.8499755859375
2017-06-26,76.0032730102539
2017-06-27,76.98758697509766
2017-06-28,77.98804473876953
2017-06-29,78.26237487792969
2017-06-30,78.43183135986328
2017-07-03,79.38384246826172
2017-07-05,79.85990142822266
2017-07-06,78.69803619384766
2017-07-07,79.1740951538086
2017-07-10,79.5129623413086
2017-07-11,78.98851776123047
2017-07-12,79.05306243896484
2017-07-13,79.22250366210938
2017-07-14,79.15796661376953
2017-07-17,79.09339141845703
2017-07-18,78.5609130859375
2017-07-19,71.97718811035156
2017-07-20,70.59749603271484
2017-07-21,70.87181854248047
2017-07-24,70.92024993896484
2017-07-25,71.12194061279297
2017-07-26,70.92024993896484
2017-07-27,70.72659301757812
2017-07-28,70.40387725830078
2017-07-31,70.60557556152344
2017-08-01,71.08966827392578
2017-08-02,71.08966827392578
2017-08-03,70.98477172851562
2017-08-04,71.79966735839844
2017-08-07,71.23490905761719
2017-08-08,71.63831329345703
2017-08-09,72.00138092041016
2017-08-10,70.35545349121094
2017-08-11,70.31512451171875
2017-08-14,71.51730346679688
2017-08-15,71.55760955810547
2017-08-16,72.19503784179688
2017-08-17,70.54102325439453
2017-08-18,70.94445037841797
2017-08-21,70.89602661132812
2017-08-22,71.85615539550781
2017-08-23,71.97718811035156
2017-08-24,72.41287994384766
2017-08-25,72.39673614501953
2017-08-28,71.77546691894531
2017-08-29,71.43659973144531
2017-08-30,71.59062194824219
