,A
2018-09-19,66.47097778320312
2018-09-20,67.97127532958984
2018-09-21,67.57947540283203
2018-09-24,66.84369659423828
2018-09-25,67.25458526611328
2018-09-26,67.20679473876953
2018-09-27,67.65593719482422
2018-09-28,67.407470703125
2018-10-01,68.2396240234375
2018-10-02,68.641845703125
2018-10-03,69.06318664550781
2018-10-04,67.66507720947266
2018-10-05,67.3203353881836
2018-10-08,66.55422973632812
2018-10-09,66.46807098388672
2018-10-10,63.844200134277344
2018-10-11,62.13963317871094
2018-10-12,63.43240737915039
2018-10-15,62.84828186035156
2018-10-16,64.60069274902344
2018-10-17,64.35172271728516
2018-10-18,62.96319580078125
2018-10-19,61.7374382019043
2018-10-22,61.55549240112305
2018-10-23,60.07119369506836
2018-10-24,58.53899002075195
2018-10-25,59.95628356933594
2018-10-26,60.07119369506836
2018-10-29,59.448734283447266
2018-10-30,60.94261932373047
2018-10-31,62.04387664794922
2018-11-01,62.45565414428711
2018-11-02,63.13554763793945
2018-11-05,63.11641311645508
2018-11-06,63.18342590332031
2018-11-07,65.36680603027344
2018-11-08,64.91669464111328
2018-11-09,64.41876983642578
2018-11-12,61.76616668701172
2018-11-13,61.61294937133789
2018-11-14,60.77982711791992
2018-11-15,61.976844787597656
2018-11-16,62.235408782958984
2018-11-19,59.95628356933594
2018-11-20,64.65816497802734
2018-11-21,64.8497085571289
2018-11-23,65.31891632080078
2018-11-26,66.31483459472656
2018-11-27,66.42015838623047
2018-11-28,68.4503173828125
2018-11-29,68.53650665283203
2018-11-30,69.28346252441406
2018-12-03,71.5051040649414
2018-12-04,69.81970977783203
2018-12-06,68.86209869384766
2018-12-07,67.2724609375
2018-12-10,67.59803771972656
2018-12-11,68.03852844238281
2018-12-12,68.70886993408203
2018-12-13,68.12471771240234
2018-12-14,66.42015838623047
2018-12-17,64.97418975830078
2018-12-18,65.1082534790039
2018-12-19,63.997432708740234
2018-12-20,62.42692184448242
2018-12-21,60.607452392578125
2018-12-24,60.013729095458984
2018-12-26,62.762088775634766
2018-12-27,63.66224670410156
2018-12-28,63.32050704956055
2018-12-31,64.76046752929688
2019-01-02,63.061283111572266
2019-01-03,60.73814392089844
2019-01-04,62.84048080444336
2019-01-07,64.17486572265625
2019-01-08,65.11565399169922
2019-01-09,66.47885131835938
2019-01-10,67.10282135009766
2019-01-11,67.5636215209961
2019-01-14,66.9588394165039
2019-01-15,67.7748031616211
2019-01-16,67.22762298583984
2019-01-17,67.98600006103516
2019-01-18,69.05160522460938
2019-01-22,68.46598815917969
2019-01-23,68.78279113769531
2019-01-24,69.29157257080078
2019-01-25,70.70275115966797
2019-01-28,70.33796691894531
2019-01-29,70.61637115478516
2019-01-30,72.421142578125
2019-01-31,73.00675201416016
2019-02-01,72.99713897705078
2019-02-04,72.98749542236328
2019-02-05,73.25630187988281
2019-02-06,73.24671173095703
2019-02-07,72.31554412841797
2019-02-08,72.7667236328125
2019-02-11,73.03551483154297
2019-02-12,73.98590087890625
2019-02-13,74.15868377685547
2019-02-14,73.93791198730469
2019-02-15,75.16666412353516
2019-02-19,74.41790008544922
2019-02-20,75.41627502441406
2019-02-21,74.77310180664062
2019-02-22,75.2818832397461
2019-02-25,76.16505432128906
2019-02-26,75.40668487548828
2019-02-27,76.24186706542969
2019-02-28,76.26105499267578
2019-03-01,77.98902130126953
2019-03-04,76.92344665527344
2019-03-05,76.54905700683594
2019-03-06,75.59867858886719
2019-03-07,75.5794906616211
2019-03-08,74.85948944091797
2019-03-11,76.12666320800781
2019-03-12,76.73145294189453
2019-03-13,76.92344665527344
2019-03-14,77.3842544555664
2019-03-15,77.85462951660156
2019-03-18,77.7298583984375
2019-03-19,77.95063018798828
2019-03-20,77.68183898925781
2019-03-21,78.71863555908203
2019-03-22,75.82908630371094
2019-03-25,76.33783721923828
2019-03-26,77.42265319824219
2019-03-27,75.83868408203125
2019-03-28,76.51065826416016
2019-03-29,77.16343688964844
2019-04-01,78.45630645751953
2019-04-02,78.05229949951172
2019-04-03,78.82184600830078
2019-04-04,77.75409698486328
2019-04-05,78.36973571777344
2019-04-08,78.58136749267578
2019-04-09,78.32164001464844
2019-04-10,78.57174682617188
2019-04-11,77.99457550048828
2019-04-12,77.89839172363281
2019-04-15,77.34042358398438
2019-04-16,74.59889221191406
2019-04-17,72.5595932006836
2019-04-18,73.27141571044922
2019-04-22,72.69425964355469
2019-04-23,72.68463134765625
2019-04-24,72.90586853027344
2019-04-25,73.80050659179688
2019-04-26,74.47384643554688
2019-04-29,74.38728332519531
2019-04-30,75.51275634765625
2019-05-01,74.5219497680664
2019-05-02,75.22418212890625
2019-05-03,76.27269744873047
2019-05-06,76.33039855957031
2019-05-07,73.75239562988281
2019-05-08,73.69465637207031
2019-05-09,74.06983947753906
2019-05-10,74.16603088378906
2019-05-13,71.03007507324219
2019-05-14,73.11751556396484
2019-05-15,65.06602478027344
2019-05-16,66.662841796875
2019-05-17,66.48007202148438
2019-05-20,66.30692291259766
2019-05-21,65.72016906738281
2019-05-22,65.38347625732422
2019-05-23,65.12372589111328
2019-05-24,65.75862121582031
2019-05-28,64.5273208618164
2019-05-29,64.73896026611328
2019-05-30,64.34455108642578
2019-05-31,64.49846649169922
2019-06-03,64.44075775146484
2019-06-04,65.36424255371094
2019-06-05,65.74900817871094
2019-06-06,66.52818298339844
2019-06-07,66.87447357177734
2019-06-10,67.61518096923828
2019-06-11,67.42280578613281
2019-06-12,67.61518096923828
2019-06-13,67.62480163574219
2019-06-14,67.30736541748047
2019-06-17,67.61518096923828
2019-06-18,69.17353820800781
2019-06-19,69.8853759765625
2019-06-20,70.52989959716797
2019-06-21,70.54910278320312
2019-06-24,70.35671997070312
2019-06-25,69.75069427490234
2019-06-26,69.394775390625
2019-06-27,70.40483856201172
2019-06-28,71.82848358154297
2019-07-01,73.05672454833984
2019-07-02,72.89282989501953
2019-07-03,74.04006958007812
2019-07-05,73.0278091430664
2019-07-08,71.18643188476562
2019-07-09,70.8104476928711
2019-07-10,70.73332214355469
2019-07-11,69.16189575195312
2019-07-12,69.07514953613281
2019-07-15,68.01465606689453
2019-07-16,67.43624877929688
2019-07-17,67.08915710449219
2019-07-18,67.60975646972656
2019-07-19,66.23116302490234
2019-07-22,66.60711669921875
2019-07-23,67.3783950805664
2019-07-24,67.07953643798828
2019-07-25,67.33982849121094
2019-07-26,67.00238037109375
2019-07-29,67.84112548828125
2019-07-30,67.6290512084961
2019-07-31,66.91564178466797
2019-08-01,66.72283935546875
2019-08-02,65.6334228515625
2019-08-05,63.493194580078125
2019-08-06,65.22853088378906
2019-08-07,65.52738189697266
2019-08-08,66.99274444580078
2019-08-09,66.17330169677734
2019-08-12,64.23554992675781
