,PNC
2018-07-09,110.1751708984375
2018-07-10,109.349609375
2018-07-11,109.29403686523438
2018-07-12,109.5401382446289
2018-07-13,109.80210876464844
2018-07-16,112.61569213867188
2018-07-17,113.08726501464844
2018-07-18,113.83065795898438
2018-07-19,112.47178649902344
2018-07-20,113.902587890625
2018-07-23,115.22943115234375
2018-07-24,114.42213439941406
2018-07-25,114.07044982910156
2018-07-26,113.97451782226562
2018-07-27,115.4212875366211
2018-07-30,116.1886215209961
2018-07-31,115.76498413085938
2018-08-01,115.9168701171875
2018-08-02,116.01278686523438
2018-08-03,115.92485809326172
2018-08-06,116.22062683105469
2018-08-07,116.63623809814453
2018-08-08,116.97196197509766
2018-08-09,116.07671356201172
2018-08-10,114.74188995361328
2018-08-13,113.43099212646484
2018-08-14,114.07842254638672
2018-08-15,113.51093292236328
2018-08-16,115.46923065185547
2018-08-17,115.54118347167969
2018-08-20,115.80496978759766
2018-08-21,115.99677276611328
2018-08-22,115.54118347167969
2018-08-23,114.46207427978516
2018-08-24,114.24629211425781
2018-08-27,116.48435974121094
2018-08-28,116.76415252685547
2018-08-29,116.65225219726562
2018-08-30,114.91773223876953
2018-08-31,114.7338638305664
2018-09-04,115.04557800292969
2018-09-05,115.24545288085938
2018-09-06,114.46207427978516
2018-09-07,114.27029418945312
2018-09-10,114.02247619628906
2018-09-11,114.48606872558594
2018-09-12,112.9513931274414
2018-09-13,112.11209869384766
2018-09-14,112.2240219116211
2018-09-17,111.63252258300781
2018-09-18,111.84834289550781
2018-09-19,113.12723541259766
2018-09-20,115.46923065185547
2018-09-21,115.10958099365234
2018-09-24,112.91141510009766
2018-09-25,112.6076889038086
2018-09-26,110.79324340820312
2018-09-27,109.77812194824219
2018-09-28,108.8589096069336
2018-10-01,108.69905090332031
2018-10-02,108.91483306884766
2018-10-03,110.37757873535156
2018-10-04,111.24082946777344
2018-10-05,110.72128295898438
2018-10-08,111.70445251464844
2018-10-09,110.86518096923828
2018-10-10,108.86689758300781
2018-10-11,105.19803619384766
2018-10-12,99.32305145263672
2018-10-15,100.39412689208984
2018-10-16,100.55521392822266
2018-10-17,102.55264282226562
2018-10-18,100.04780578613281
2018-10-19,100.80489349365234
2018-10-22,97.82488250732422
2018-10-23,96.890625
2018-10-24,94.15220642089844
2018-10-25,96.35099029541016
2018-10-26,96.20600891113281
2018-10-29,98.38866424560547
2018-10-30,100.48274230957031
2018-10-31,103.48692321777344
2018-11-01,104.49366760253906
2018-11-02,104.60640716552734
2018-11-05,105.17021179199219
2018-11-06,106.12057495117188
2018-11-07,107.34479522705078
2018-11-08,108.11800384521484
2018-11-09,108.10994720458984
2018-11-12,106.9340591430664
2018-11-13,109.2052993774414
2018-11-14,108.0294189453125
2018-11-15,110.09125518798828
2018-11-16,109.84961700439453
2018-11-19,108.97172546386719
2018-11-20,107.1837387084961
2018-11-21,106.88572692871094
2018-11-23,106.81324768066406
2018-11-26,109.173095703125
2018-11-27,107.84416198730469
2018-11-28,108.0938491821289
2018-11-29,107.64278411865234
2018-11-30,109.35832977294922
2018-12-03,109.4549789428711
2018-12-04,104.30841827392578
2018-12-06,104.1473388671875
2018-12-07,101.93248748779297
2018-12-10,100.08003234863281
2018-12-11,98.63029479980469
2018-12-12,98.8558120727539
2018-12-13,96.56846618652344
2018-12-14,95.44087982177734
2018-12-17,95.29590606689453
2018-12-18,93.90254974365234
2018-12-19,91.84070587158203
2018-12-20,91.47826385498047
