,RCL
2019-06-04,118.47781372070312
2019-06-05,115.513671875
2019-06-06,115.6794204711914
2019-06-07,117.95128631591797
2019-06-10,120.35965728759766
2019-06-11,119.79412841796875
2019-06-12,121.16893005371094
2019-06-13,119.41385650634766
2019-06-14,121.03243255615234
2019-06-17,119.16033935546875
2019-06-18,119.56986236572266
2019-06-19,119.58937072753906
2019-06-20,115.77693939208984
2019-06-21,111.97425079345703
2019-06-24,114.17786407470703
2019-06-25,113.1443099975586
2019-06-26,113.64158630371094
2019-06-27,116.22545623779297
2019-06-28,118.18529510498047
2019-07-01,115.1236572265625
2019-07-02,116.06945037841797
2019-07-03,113.63182830810547
2019-07-05,112.5202865600586
2019-07-08,109.09786987304688
2019-07-09,108.44458770751953
2019-07-10,107.62554931640625
2019-07-11,107.64505767822266
2019-07-12,107.39154052734375
2019-07-15,110.0339126586914
2019-07-16,111.69149017333984
2019-07-17,108.97112274169922
2019-07-18,108.2300796508789
2019-07-19,107.40129089355469
2019-07-22,108.8443603515625
2019-07-23,110.89196014404297
2019-07-24,112.46177673339844
2019-07-25,110.21917724609375
2019-07-26,111.1162109375
2019-07-29,112.70553588867188
2019-07-30,113.09555053710938
2019-07-31,113.43682098388672
2019-08-01,111.20397186279297
2019-08-02,107.9668197631836
2019-08-05,105.002685546875
2019-08-06,104.38839721679688
2019-08-07,104.690673828125
2019-08-08,107.00151062011719
2019-08-09,106.52375030517578
2019-08-12,104.6224136352539
2019-08-13,106.30924224853516
2019-08-14,101.59001159667969
2019-08-15,101.27800750732422
2019-08-16,102.55531311035156
2019-08-19,105.07093048095703
2019-08-20,104.94416809082031
2019-08-21,104.98318481445312
2019-08-22,104.35914611816406
2019-08-23,99.97144317626953
2019-08-26,99.93244171142578
2019-08-27,99.23040771484375
2019-08-28,100.60521697998047
2019-08-29,100.80022430419922
2019-08-30,101.67778015136719
2019-09-03,100.28346252441406
2019-09-04,102.12628936767578
2019-09-05,104.27140045166016
2019-09-06,105.70471954345703
2019-09-09,107.84981536865234
2019-09-10,110.91145324707031
2019-09-11,110.98946380615234
2019-09-12,110.44343566894531
2019-09-13,111.96450805664062
2019-09-16,111.08696746826172
2019-09-17,111.24296569824219
2019-09-18,110.17041778564453
2019-09-19,110.41587829589844
2019-09-20,109.65005493164062
2019-09-23,107.55876922607422
2019-09-24,106.66531372070312
2019-09-25,107.66677856445312
2019-09-26,104.98639678955078
2019-09-27,105.0845718383789
2019-09-30,106.36094665527344
2019-10-01,102.74784088134766
2019-10-02,101.13764953613281
2019-10-03,102.286376953125
2019-10-04,101.43218994140625
2019-10-07,100.73509979248047
2019-10-08,99.19363403320312
2019-10-09,100.02818298339844
2019-10-10,101.72674560546875
2019-10-11,105.61476135253906
2019-10-14,105.99767303466797
2019-10-15,107.49005126953125
2019-10-16,106.35112762451172
2019-10-17,107.16605377197266
2019-10-18,109.15914154052734
2019-10-21,110.03296661376953
2019-10-22,106.43950653076172
2019-10-23,107.68640899658203
2019-10-24,107.1365966796875
2019-10-25,109.34569549560547
2019-10-28,110.16060638427734
2019-10-29,111.2111587524414
2019-10-30,107.4311294555664
2019-10-31,106.85186004638672
2019-11-01,109.15914154052734
2019-11-04,111.2209701538086
2019-11-05,111.4468002319336
2019-11-06,110.73005676269531
2019-11-07,112.89989471435547
2019-11-08,112.44824981689453
2019-11-11,111.86898040771484
2019-11-12,111.78060913085938
2019-11-13,112.70352935791016
2019-11-14,113.14533996582031
2019-11-15,115.74718475341797
2019-11-18,116.24791717529297
2019-11-19,116.69955444335938
2019-11-20,114.87335968017578
2019-11-21,116.53263854980469
2019-11-22,116.96464538574219
2019-11-25,117.2493667602539
2019-11-26,117.56355285644531
2019-11-27,119.09520721435547
2019-11-29,117.83847045898438
2019-12-02,116.98428344726562
2019-12-03,116.68973541259766
2019-12-04,117.91700744628906
2019-12-05,118.80065155029297
2019-12-06,119.85120391845703
2019-12-09,119.60575103759766
2019-12-10,119.37992858886719
2019-12-11,121.07847595214844
2019-12-12,122.71812438964844
2019-12-13,123.35631561279297
2019-12-16,123.90613555908203
2019-12-17,124.74068450927734
2019-12-18,125.27085876464844
2019-12-19,125.31038665771484
2019-12-20,129.48904418945312
2019-12-23,131.7808837890625
2019-12-24,131.3462371826172
2019-12-26,132.5415496826172
2019-12-27,131.7117462158203
2019-12-30,131.73150634765625
2019-12-31,131.88955688476562
2020-01-02,133.0157012939453
2020-01-03,131.86981201171875
2020-01-06,130.03237915039062
2020-01-07,128.85682678222656
2020-01-08,130.61521911621094
2020-01-09,132.29457092285156
2020-01-10,131.5734405517578
2020-01-13,131.49441528320312
2020-01-14,131.3363494873047
2020-01-15,131.01036071777344
2020-01-16,132.42300415039062
2020-01-17,133.41085815429688
2020-01-21,128.1060333251953
2020-01-22,127.5627212524414
2020-01-23,128.0171356201172
2020-01-24,124.9745101928711
2020-01-27,115.49103546142578
2020-01-28,118.96830749511719
2020-01-29,120.16362762451172
2020-01-30,118.24716186523438
2020-01-31,115.65896606445312
2020-02-03,115.03661346435547
2020-02-04,116.56780242919922
2020-02-05,116.82465362548828
2020-02-06,115.25393676757812
2020-02-07,110.19609069824219
2020-02-10,108.36854553222656
2020-02-11,111.68775939941406
2020-02-12,115.8071517944336
2020-02-13,112.240966796875
2020-02-14,111.78655242919922
2020-02-18,110.05779266357422
2020-02-19,109.66264343261719
2020-02-20,108.46733093261719
2020-02-21,104.8221206665039
2020-02-24,95.43742370605469
2020-02-25,88.46310424804688
2020-02-26,81.34061431884766
2020-02-27,76.0654296875
2020-02-28,79.43405151367188
2020-03-02,79.58222198486328
2020-03-03,77.2409896850586
2020-03-04,78.39678192138672
2020-03-05,65.62663269042969
2020-03-06,64.85842895507812
2020-03-09,48.15745544433594
2020-03-10,51.54952621459961
2020-03-11,44.26654815673828
2020-03-12,30.199424743652344
2020-03-13,32.25462341308594
2020-03-16,29.870193481445312
2020-03-17,27.595508575439453
2020-03-18,22.277936935424805
2020-03-19,22.357749938964844
2020-03-20,23.754486083984375
2020-03-23,28.1242733001709
2020-03-24,34.38963317871094
2020-03-25,42.311119079589844
2020-03-26,40.515316009521484
2020-03-27,34.419559478759766
2020-03-30,29.700590133666992
2020-03-31,32.094993591308594
2020-04-01,25.709917068481445
2020-04-02,24.762130737304688
2020-04-03,24.333133697509766
2020-04-06,29.540964126586914
2020-04-07,33.47177505493164
2020-04-08,37.47242736816406
2020-04-09,40.126224517822266
2020-04-13,33.29219436645508
2020-04-14,37.751773834228516
2020-04-15,36.89377975463867
2020-04-16,33.930702209472656
2020-04-17,37.30282211303711
2020-04-20,35.906089782714844
2020-04-21,34.34972381591797
2020-04-22,33.930702209472656
2020-04-23,36.79401397705078
2020-04-24,35.59680938720703
2020-04-27,39.37797546386719
2020-04-28,41.4930305480957
2020-04-29,47.94794845581055
2020-04-30,46.660953521728516
2020-05-01,40.67494201660156
2020-05-04,41.27354431152344
2020-05-05,37.11326599121094
2020-05-06,36.02580642700195
2020-05-07,37.94132995605469
2020-05-08,39.82692337036133
2020-05-11,37.98123550415039
2020-05-12,36.255271911621094
2020-05-13,34.44948959350586
2020-05-14,35.06804656982422
2020-05-15,37.3626823425293
2020-05-18,43.59811019897461
2020-05-19,42.051727294921875
2020-05-20,40.63503646850586
2020-05-21,43.248924255371094
