,CME
2018-01-19,122.42249298095703
2018-01-22,123.35092163085938
2018-01-23,122.39868927001953
2018-01-24,122.98590850830078
2018-01-25,122.33522033691406
2018-01-26,123.12078094482422
2018-01-29,121.76387786865234
2018-01-30,121.66867065429688
2018-01-31,121.78770446777344
2018-02-01,126.09648132324219
2018-02-02,126.25521087646484
2018-02-05,122.1685562133789
2018-02-06,125.09658813476562
2018-02-07,126.90584564208984
2018-02-08,121.43856811523438
2018-02-09,124.46185302734375
2018-02-12,127.06453704833984
2018-02-13,127.08832550048828
2018-02-14,128.66744995117188
2018-02-15,131.0161895751953
2018-02-16,128.8499298095703
2018-02-20,129.6197052001953
2018-02-21,128.3738250732422
2018-02-22,127.38194274902344
2018-02-23,130.1512908935547
2018-02-26,132.43655395507812
2018-02-27,132.26995849609375
2018-02-28,131.84939575195312
2018-03-01,128.7546844482422
2018-03-02,131.92874145507812
2018-03-05,133.69825744628906
2018-03-06,134.57110595703125
2018-03-07,133.7696990966797
2018-03-08,134.2158966064453
2018-03-09,136.59039306640625
2018-03-12,134.80557250976562
2018-03-13,131.32345581054688
2018-03-14,129.8413848876953
2018-03-15,131.78561401367188
2018-03-16,131.5704345703125
2018-03-19,130.31149291992188
2018-03-20,130.82147216796875
2018-03-21,131.07643127441406
2018-03-22,127.6182861328125
2018-03-23,125.99276733398438
2018-03-26,128.85333251953125
2018-03-27,126.69395446777344
2018-03-28,126.56646728515625
2018-03-29,128.87722778320312
2018-04-02,125.65808868408203
2018-04-03,127.94498443603516
2018-04-04,127.8812255859375
2018-04-05,129.87327575683594
2018-04-06,126.10433197021484
2018-04-09,126.83735656738281
2018-04-10,130.351318359375
2018-04-11,128.49476623535156
2018-04-12,130.8453826904297
2018-04-13,130.21591186523438
2018-04-16,130.6939697265625
2018-04-17,131.2836151123047
2018-04-18,131.63418579101562
2018-04-19,131.05255126953125
2018-04-20,131.5386199951172
2018-04-23,130.83741760253906
2018-04-24,128.76565551757812
2018-04-25,128.35133361816406
2018-04-26,127.05252838134766
2018-04-27,125.38719940185547
2018-04-30,125.64214324951172
2018-05-01,124.7019271850586
2018-05-02,124.60633087158203
2018-05-03,125.11627197265625
2018-05-04,126.82140350341797
2018-05-07,126.86922454833984
2018-05-08,126.26366424560547
2018-05-09,128.66207885742188
2018-05-10,127.45893096923828
2018-05-11,126.925048828125
2018-05-14,128.31143188476562
2018-05-15,127.8493423461914
2018-05-16,128.024658203125
2018-05-17,128.04852294921875
2018-05-18,127.31551361083984
2018-05-21,128.59036254882812
2018-05-22,128.176025390625
2018-05-23,127.57839965820312
2018-05-24,127.4987564086914
2018-05-25,127.17206573486328
2018-05-29,126.43899536132812
2018-05-30,131.86529541015625
2018-05-31,129.80154418945312
2018-06-01,133.4907684326172
2018-06-04,135.69798278808594
2018-06-05,135.82550048828125
2018-06-06,138.2797088623047
2018-06-07,137.3996124267578
2018-06-08,136.78358459472656
2018-06-11,136.5115509033203
2018-06-12,136.18356323242188
2018-06-13,136.39154052734375
2018-06-14,135.0955047607422
2018-06-15,135.8715362548828
2018-06-18,135.3675079345703
2018-06-19,133.5753936767578
2018-06-20,133.77540588378906
2018-06-21,134.58348083496094
2018-06-22,134.7434539794922
2018-06-25,133.19940185546875
2018-06-26,132.4473419189453
2018-06-27,130.5592498779297
2018-06-28,131.09523010253906
2018-06-29,131.14328002929688
2018-07-02,131.19927978515625
2018-07-03,128.90316772460938
2018-07-05,128.2471160888672
2018-07-06,128.3511199951172
2018-07-09,130.83126831054688
2018-07-10,131.3433074951172
2018-07-11,132.351318359375
2018-07-12,133.367431640625
2018-07-13,133.53543090820312
2018-07-16,134.58348083496094
2018-07-17,135.22354125976562
2018-07-18,136.82359313964844
2018-07-19,135.08749389648438
2018-07-20,135.20750427246094
2018-07-23,135.44757080078125
2018-07-24,134.7755126953125
2018-07-25,135.62355041503906
2018-07-26,133.17543029785156
2018-07-27,132.39932250976562
2018-07-30,128.97515869140625
2018-07-31,127.3031005859375
2018-08-01,129.15121459960938
2018-08-02,128.8391571044922
2018-08-03,129.31117248535156
2018-08-06,129.50320434570312
2018-08-07,130.74327087402344
2018-08-08,130.99929809570312
2018-08-09,130.3832550048828
2018-08-10,131.14328002929688
2018-08-13,131.16725158691406
2018-08-14,133.055419921875
2018-08-15,134.14344787597656
2018-08-16,134.79144287109375
2018-08-17,135.51150512695312
2018-08-20,135.7515106201172
2018-08-21,133.8954315185547
2018-08-22,133.51943969726562
2018-08-23,134.14344787597656
2018-08-24,135.46351623535156
2018-08-27,136.4715576171875
2018-08-28,135.6875457763672
2018-08-29,137.74368286132812
2018-08-30,138.6557159423828
2018-08-31,139.79176330566406
2018-09-04,141.6478729248047
2018-09-05,137.0396270751953
2018-09-06,138.8076934814453
2018-09-07,139.59487915039062
2018-09-10,139.85198974609375
2018-09-11,138.9924774169922
2018-09-12,137.8839111328125
2018-09-13,138.4141082763672
2018-09-14,139.0888671875
2018-09-17,138.0365447998047
2018-09-18,138.4863739013672
2018-09-19,139.4583740234375
2018-09-20,140.07688903808594
2018-09-21,140.67127990722656
2018-09-24,140.3741455078125
2018-09-25,139.45033264160156
2018-09-26,138.96835327148438
2018-09-27,138.10882568359375
2018-09-28,136.72720336914062
2018-10-01,139.97251892089844
2018-10-02,140.17327880859375
2018-10-03,140.93641662597656
2018-10-04,145.0010528564453
2018-10-05,145.94894409179688
2018-10-08,145.32237243652344
2018-10-09,145.5231475830078
2018-10-10,144.79217529296875
2018-10-11,141.40232849121094
2018-10-12,141.77984619140625
2018-10-15,139.62704467773438
2018-10-16,143.032958984375
2018-10-17,145.65174865722656
2018-10-18,146.1336212158203
2018-10-19,146.72007751464844
2018-10-22,145.5713653564453
2018-10-23,145.23397827148438
2018-10-24,145.45887756347656
2018-10-25,142.55908203125
2018-10-26,143.49891662597656
2018-10-29,144.1013641357422
2018-10-30,146.5754852294922
2018-10-31,147.19400024414062
2018-11-01,147.60365295410156
2018-11-02,147.69200134277344
2018-11-05,149.0094451904297
2018-11-06,149.732421875
2018-11-07,151.57191467285156
2018-11-08,152.16632080078125
2018-11-09,152.4153594970703
2018-11-12,149.77252197265625
2018-11-13,150.47947692871094
2018-11-14,151.06585693359375
2018-11-15,153.87733459472656
2018-11-16,157.13064575195312
2018-11-19,157.13064575195312
2018-11-20,154.35928344726562
2018-11-21,152.6322479248047
2018-11-23,152.0699462890625
2018-11-26,153.84521484375
2018-11-27,155.95787048339844
2018-11-28,150.30271911621094
2018-11-29,151.74862670898438
2018-11-30,152.68849182128906
2018-12-03,151.10601806640625
2018-12-04,151.17831420898438
2018-12-06,151.83702087402344
2018-12-07,150.8614044189453
2018-12-10,153.47372436523438
2018-12-11,152.79640197753906
2018-12-12,152.03858947753906
2018-12-13,151.5305938720703
2018-12-14,151.28872680664062
2018-12-17,149.6359100341797
2018-12-18,147.3782958984375
2018-12-19,149.58749389648438
2018-12-20,149.0795440673828
2018-12-21,147.2654266357422
2018-12-24,142.40359497070312
2018-12-26,146.99935913085938
2018-12-27,150.05215454101562
2018-12-28,151.50938415527344
2018-12-31,153.1457061767578
2019-01-02,151.0779266357422
2019-01-03,147.75643920898438
2019-01-04,150.34524536132812
2019-01-07,149.588134765625
2019-01-08,148.7008056640625
2019-01-09,145.3629913330078
2019-01-10,146.4132080078125
2019-01-11,146.98304748535156
2019-01-14,145.4525909423828
2019-01-15,148.13095092773438
2019-01-16,148.39959716796875
2019-01-17,147.56103515625
2019-01-18,149.3275909423828
2019-01-22,151.68846130371094
2019-01-23,152.9014892578125
2019-01-24,151.6803741455078
2019-01-25,151.37100219726562
2019-01-28,150.57321166992188
2019-01-29,147.50405883789062
2019-01-30,146.8365478515625
2019-01-31,148.39146423339844
2019-02-01,149.3358154296875
2019-02-04,147.78900146484375
2019-02-05,145.5421600341797
2019-02-06,144.71176147460938
2019-02-07,144.28030395507812
2019-02-08,145.06996154785156
2019-02-11,144.35362243652344
2019-02-12,145.66424560546875
2019-02-13,146.86094665527344
2019-02-14,144.41867065429688
2019-02-15,142.79052734375
2019-02-19,141.89501953125
2019-02-20,142.94517517089844
2019-02-21,143.6779022216797
2019-02-22,144.9559783935547
