,WY
2023-05-05,28.2793025970459
2023-05-08,28.355554580688477
2023-05-09,28.555706024169922
2023-05-10,28.689146041870117
2023-05-11,28.355554580688477
2023-05-12,28.43180274963379
2023-05-15,28.670085906982422
2023-05-16,27.936176300048828
2023-05-17,28.098209381103516
2023-05-18,28.136333465576172
2023-05-19,28.203052520751953
2023-05-22,27.936176300048828
2023-05-23,27.821802139282227
2023-05-24,27.249921798706055
2023-05-25,27.10695457458496
2023-05-26,26.925861358642578
2023-05-30,27.24039077758789
2023-05-31,27.316640853881836
2023-06-01,27.38381004333496
2023-06-02,27.662059783935547
2023-06-05,27.21109962463379
2023-06-06,27.767601013183594
2023-06-07,28.28572654724121
2023-06-08,28.266538619995117
2023-06-09,28.458436965942383
2023-06-12,28.61195182800293
2023-06-13,29.28359603881836
2023-06-14,29.28359603881836
2023-06-15,29.513872146606445
2023-06-16,29.744150161743164
2023-06-20,29.993616104125977
2023-06-21,29.64820098876953
2023-06-22,29.60022735595703
2023-06-23,29.17805290222168
2023-06-26,29.667390823364258
2023-06-27,30.550121307373047
2023-06-28,31.855026245117188
2023-06-29,31.979759216308594
2023-06-30,32.1524658203125
2023-07-03,32.18124771118164
2023-07-05,31.893404006958008
2023-07-06,31.336898803710938
2023-07-07,32.09489822387695
2023-07-10,32.52667236328125
2023-07-11,32.6609992980957
2023-07-12,32.699378967285156
2023-07-13,32.76653289794922
2023-07-14,32.699378967285156
2023-07-17,32.939247131347656
2023-07-18,33.12154769897461
2023-07-19,32.88167953491211
2023-07-20,32.939247131347656
2023-07-21,32.987220764160156
2023-07-24,32.90087127685547
2023-07-25,32.987220764160156
2023-07-26,32.987220764160156
2023-07-27,32.72815704345703
2023-07-28,32.30598449707031
2023-07-31,32.68018341064453
2023-08-01,32.59383010864258
2023-08-02,31.855026245117188
2023-08-03,31.7686710357666
2023-08-04,31.547990798950195
2023-08-07,31.79745864868164
2023-08-08,32.01813888549805
2023-08-09,32.04692459106445
2023-08-10,31.79745864868164
2023-08-11,31.682315826416016
2023-08-14,31.787860870361328
2023-08-15,31.404064178466797
2023-08-16,31.087430953979492
2023-08-17,30.857158660888672
2023-08-18,30.991485595703125
2023-08-21,31.097028732299805
2023-08-22,31.365684509277344
2023-08-23,31.970169067382812
2023-08-24,31.44244384765625
2023-08-25,31.308116912841797
2023-08-28,31.538393020629883
2023-08-29,31.67272186279297
2023-08-30,31.759071350097656
2023-08-31,31.60466957092285
2023-09-01,31.60466957092285
2023-09-05,30.80369758605957
2023-09-06,31.25725746154785
2023-09-07,31.31516456604004
2023-09-08,30.977401733398438
2023-09-11,30.91950225830078
2023-09-12,31.1607608795166
2023-09-13,31.025653839111328
2023-09-14,31.556421279907227
2023-09-15,31.411664962768555
2023-09-18,31.112510681152344
2023-09-19,30.842296600341797
2023-09-20,30.639646530151367
2023-09-21,30.089576721191406
2023-09-22,30.18608283996582
2023-09-25,30.253633499145508
2023-09-26,29.935169219970703
2023-09-27,29.944822311401367
2023-09-28,29.443008422851562
2023-09-29,29.587764739990234
2023-10-02,28.931543350219727
2023-10-03,28.46832847595215
2023-10-04,28.863990783691406
2023-10-05,28.970144271850586
2023-10-06,28.777135848999023
2023-10-09,28.88329315185547
