,AON
2017-03-30,110.28594207763672
2017-03-31,110.48141479492188
2017-04-03,110.14630126953125
2017-04-04,110.6768798828125
2017-04-05,110.98405456542969
2017-04-06,111.13301086425781
2017-04-07,111.36572265625
2017-04-10,111.4774169921875
2017-04-11,111.44950866699219
2017-04-12,110.4627914428711
2017-04-13,109.93222045898438
2017-04-17,110.81651306152344
2017-04-18,110.6396713256836
2017-04-19,110.88168334960938
2017-04-20,112.22209167480469
2017-04-21,110.2393798828125
2017-04-24,110.80718994140625
2017-04-25,111.76597595214844
2017-04-26,111.76597595214844
2017-04-27,112.16743469238281
2017-04-28,111.88733673095703
2017-05-01,112.30748748779297
2017-05-02,111.96202850341797
2017-05-03,112.35417175292969
2017-05-04,113.1570816040039
2017-05-05,114.15608215332031
2017-05-08,114.6602554321289
2017-05-09,116.05138397216797
2017-05-10,115.8553237915039
2017-05-11,116.05138397216797
2017-05-12,115.995361328125
2017-05-15,117.41449737548828
2017-05-16,117.6198959350586
2017-05-17,117.6198959350586
2017-05-18,118.28277587890625
2017-05-19,118.8336181640625
2017-05-22,119.85127258300781
2017-05-23,120.02867889404297
2017-05-24,120.61686706542969
2017-05-25,121.67186737060547
2017-05-26,121.3824691772461
2017-05-30,122.0360336303711
2017-05-31,122.22272491455078
2017-06-01,122.9042739868164
2017-06-02,122.68021392822266
2017-06-05,122.3067626953125
2017-06-06,121.80260467529297
2017-06-07,122.68954467773438
2017-06-08,122.96967315673828
2017-06-09,123.83795166015625
2017-06-12,124.20206451416016
2017-06-13,125.16372680664062
2017-06-14,126.05065155029297
2017-06-15,126.64814758300781
2017-06-16,127.40442657470703
2017-06-19,127.72189331054688
2017-06-20,127.11500549316406
2017-06-21,126.32141876220703
2017-06-22,125.3410873413086
2017-06-23,123.61385345458984
2017-06-26,124.20206451416016
2017-06-27,123.78192138671875
2017-06-28,125.08900451660156
2017-06-29,124.02462768554688
2017-06-30,124.1273422241211
2017-07-03,124.32342529296875
2017-07-05,124.14604187011719
2017-07-06,124.53813171386719
2017-07-07,126.05065155029297
2017-07-10,126.32141876220703
2017-07-11,125.14502716064453
2017-07-12,125.72389221191406
2017-07-13,126.62954711914062
2017-07-14,127.18035125732422
2017-07-17,127.75920104980469
2017-07-18,128.29139709472656
2017-07-19,128.90760803222656
2017-07-20,129.62648010253906
2017-07-21,129.90658569335938
2017-07-24,130.36404418945312
2017-07-25,130.7095184326172
2017-07-26,129.72921752929688
2017-07-27,126.89092254638672
2017-07-28,129.8115997314453
2017-07-31,129.34353637695312
2017-08-01,130.6728515625
2017-08-02,130.3358612060547
2017-08-03,130.09243774414062
2017-08-04,130.07374572753906
2017-08-07,129.9052276611328
2017-08-08,129.72732543945312
2017-08-09,131.2344970703125
2017-08-10,129.9801483154297
2017-08-11,129.54953002929688
