,NSC
2021-08-12,250.56138610839844
2021-08-13,250.47750854492188
2021-08-16,251.23196411132812
2021-08-17,248.43775939941406
2021-08-18,247.09652709960938
2021-08-19,244.21841430664062
2021-08-20,244.28358459472656
2021-08-23,245.5316925048828
2021-08-24,241.6383514404297
2021-08-25,243.2497100830078
2021-08-26,241.75946044921875
2021-08-27,242.92369079589844
2021-08-30,240.52066040039062
2021-08-31,236.1522979736328
2021-09-01,234.9507598876953
2021-09-02,236.28268432617188
2021-09-03,233.2276153564453
2021-09-07,231.13192749023438
2021-09-08,232.5104522705078
2021-09-09,230.63829040527344
2021-09-10,230.20050048828125
2021-09-13,228.700927734375
2021-09-14,228.00234985351562
2021-09-15,231.56971740722656
2021-09-16,230.9922332763672
2021-09-17,229.1666717529297
2021-09-20,224.99386596679688
2021-09-21,222.83302307128906
2021-09-22,223.09378051757812
2021-09-23,225.56202697753906
2021-09-24,228.26316833496094
2021-09-27,228.77540588378906
2021-09-28,228.40289306640625
2021-09-29,227.4901123046875
2021-09-30,222.84228515625
2021-10-01,226.83807373046875
2021-10-04,230.8804931640625
2021-10-05,237.642578125
2021-10-06,244.5257568359375
2021-10-07,241.85260009765625
2021-10-08,246.714599609375
2021-10-11,246.30477905273438
2021-10-12,243.16592407226562
2021-10-13,244.2649688720703
2021-10-14,251.3251190185547
2021-10-15,256.6807861328125
2021-10-18,256.83917236328125
2021-10-19,256.1219177246094
2021-10-20,260.10833740234375
2021-10-21,263.4056396484375
2021-10-22,266.88922119140625
2021-10-25,267.6249694824219
2021-10-26,267.07537841796875
2021-10-27,267.37347412109375
2021-10-28,273.06451416015625
2021-10-29,272.9527282714844
2021-11-01,268.8917541503906
2021-11-02,266.4048156738281
2021-11-03,267.89508056640625
2021-11-04,266.0438537597656
2021-11-05,265.4361572265625
2021-11-08,266.1280212402344
2021-11-09,266.090576171875
2021-11-10,263.3885498046875
2021-11-11,257.9658203125
2021-11-12,257.6665954589844
2021-11-15,257.48895263671875
2021-11-16,256.1520080566406
2021-11-17,256.74102783203125
2021-11-18,257.8817138671875
2021-11-19,255.918212890625
2021-11-22,259.041015625
2021-11-23,261.5373229980469
2021-11-24,259.7142028808594
2021-11-26,252.11293029785156
2021-11-29,251.2620849609375
2021-11-30,248.0177001953125
2021-12-01,251.56126403808594
2021-12-02,260.6865539550781
2021-12-03,262.9491271972656
2021-12-06,268.5495910644531
2021-12-07,268.76458740234375
2021-12-08,267.8670654296875
2021-12-09,268.28778076171875
2021-12-10,270.70001220703125
2021-12-13,265.9877624511719
2021-12-14,265.2865295410156
2021-12-15,269.05438232421875
2021-12-16,271.5227355957031
2021-12-17,266.2682800292969
2021-12-20,263.1455383300781
2021-12-21,266.6235656738281
2021-12-22,266.7357482910156
2021-12-23,268.8300476074219
2021-12-27,272.5699157714844
2021-12-28,274.2154541015625
2021-12-29,276.51544189453125
2021-12-30,275.5618591308594
2021-12-31,278.3480529785156
2022-01-03,273.33660888671875
2022-01-04,275.552490234375
2022-01-05,275.5430908203125
2022-01-06,277.3475646972656
2022-01-07,277.506591796875
2022-01-10,269.2414245605469
2022-01-11,267.792236328125
2022-01-12,269.4377746582031
2022-01-13,271.195556640625
2022-01-14,269.5312805175781
2022-01-18,257.8722839355469
2022-01-19,259.9759216308594
2022-01-20,261.0511474609375
2022-01-21,258.4425964355469
2022-01-24,258.33978271484375
2022-01-25,256.9373474121094
2022-01-26,251.533203125
2022-01-27,252.2063446044922
2022-01-28,254.30072021484375
2022-01-31,254.30072021484375
2022-02-01,256.553955078125
2022-02-02,261.8646240234375
2022-02-03,259.02850341796875
2022-02-04,253.95718383789062
2022-02-07,247.9656219482422
2022-02-08,253.5814971923828
2022-02-09,257.28167724609375
2022-02-10,255.75086975097656
2022-02-11,250.94261169433594
2022-02-14,255.69459533691406
2022-02-15,258.3804626464844
2022-02-16,259.9112243652344
2022-02-17,256.59613037109375
2022-02-18,253.7693634033203
2022-02-22,242.62200927734375
2022-02-23,238.21751403808594
2022-02-24,238.57437133789062
2022-02-25,244.57534790039062
2022-02-28,240.90341186523438
2022-03-01,239.5416717529297
2022-03-02,252.83021545410156
2022-03-03,255.4409942626953
2022-03-04,267.2457580566406
2022-03-07,261.3668518066406
2022-03-08,249.496337890625
2022-03-09,247.73080444335938
2022-03-10,253.421875
2022-03-11,251.06466674804688
2022-03-14,249.89076232910156
2022-03-15,251.7408447265625
2022-03-16,256.68060302734375
2022-03-17,257.6855163574219
2022-03-18,258.09869384765625
2022-03-21,261.21661376953125
2022-03-22,261.9678955078125
2022-03-23,260.35260009765625
2022-03-24,262.5313415527344
2022-03-25,266.10943603515625
2022-03-28,267.292724609375
2022-03-29,268.2693786621094
2022-03-30,271.5469055175781
2022-03-31,267.856201171875
2022-04-01,249.65602111816406
2022-04-04,250.65151977539062
2022-04-05,246.28456115722656
2022-04-06,241.28843688964844
2022-04-07,242.9131317138672
2022-04-08,242.4341583251953
2022-04-11,240.2366485595703
2022-04-12,242.96945190429688
2022-04-13,245.04493713378906
2022-04-14,247.04527282714844
2022-04-18,246.52874755859375
2022-04-19,248.7356719970703
2022-04-20,251.6000213623047
2022-04-21,253.39370727539062
2022-04-22,242.847412109375
2022-04-25,243.9273681640625
2022-04-26,239.13784790039062
2022-04-27,246.5474853515625
2022-04-28,249.6654052734375
2022-04-29,242.1806182861328
2022-05-02,240.98789978027344
2022-05-03,240.49017333984375
2022-05-04,248.55723571777344
2022-05-05,242.36761474609375
2022-05-06,241.30142211914062
2022-05-09,235.4136962890625
2022-05-10,231.8754119873047
2022-05-11,232.62081909179688
2022-05-12,232.1679229736328
2022-05-13,235.24386596679688
2022-05-16,233.14920043945312
2022-05-17,237.48948669433594
2022-05-18,224.1572723388672
2022-05-19,215.15585327148438
2022-05-20,215.93899536132812
2022-05-23,219.64710998535156
2022-05-24,219.19422912597656
2022-05-25,219.477294921875
2022-05-26,223.3363494873047
2022-05-27,227.42190551757812
2022-05-31,226.12925720214844
2022-06-01,228.28053283691406
2022-06-02,232.87559509277344
2022-06-03,230.84695434570312
2022-06-06,230.86581420898438
2022-06-07,235.31936645507812
2022-06-08,229.10140991210938
2022-06-09,224.04403686523438
2022-06-10,216.41078186035156
2022-06-13,210.4758758544922
2022-06-14,210.2305450439453
2022-06-15,211.82516479492188
2022-06-16,210.21168518066406
2022-06-17,208.9662322998047
2022-06-21,211.54209899902344
2022-06-22,211.4854736328125
2022-06-23,209.17381286621094
2022-06-24,217.4203643798828
2022-06-27,214.872802734375
2022-06-28,213.60841369628906
2022-06-29,214.30667114257812
2022-06-30,214.45765686035156
2022-07-01,215.64649963378906
2022-07-05,211.52322387695312
2022-07-06,212.9951629638672
2022-07-07,215.83522033691406
2022-07-08,213.42916870117188
2022-07-11,212.83474731445312
2022-07-12,209.80596923828125
2022-07-13,208.9662322998047
2022-07-14,209.18321228027344
2022-07-15,215.02377319335938
2022-07-18,216.12770080566406
2022-07-19,222.8551788330078
2022-07-20,224.44033813476562
2022-07-21,228.44093322753906
2022-07-22,229.3750457763672
2022-07-25,232.9604949951172
2022-07-26,230.79977416992188
2022-07-27,229.50714111328125
2022-07-28,231.0073699951172
2022-07-29,236.98939514160156
2022-08-01,238.7255096435547
2022-08-02,234.0172576904297
2022-08-03,236.16854858398438
2022-08-04,236.7629852294922
2022-08-05,238.02413940429688
2022-08-08,236.81039428710938
