,TT
2016-10-07,45.64481735229492
2016-10-10,45.48916244506836
2016-10-11,43.83795928955078
2016-10-12,44.609432220458984
2016-10-13,44.25077438354492
2016-10-14,44.521453857421875
2016-10-17,44.169559478759766
2016-10-18,43.959781646728516
2016-10-19,44.277835845947266
2016-10-20,44.534996032714844
2016-10-21,44.50114822387695
2016-10-24,44.521453857421875
2016-10-25,43.71615982055664
2016-10-26,44.88688659667969
2016-10-27,45.36735534667969
2016-10-28,45.306453704833984
2016-10-31,45.53654098510742
2016-11-01,45.55683898925781
2016-11-02,45.53654098510742
2016-11-03,45.33352279663086
2016-11-04,46.52455139160156
2016-11-07,47.857688903808594
2016-11-08,48.63591766357422
2016-11-09,50.25328063964844
2016-11-10,51.24129867553711
2016-11-11,51.31572723388672
2016-11-14,50.801429748535156
2016-11-15,51.37663650512695
2016-11-16,50.909698486328125
2016-11-17,50.537513732910156
2016-11-18,50.38862609863281
2016-11-21,50.82849884033203
2016-11-22,51.17362594604492
2016-11-23,51.14654541015625
2016-11-25,51.5119743347168
2016-11-28,50.57133483886719
2016-11-29,50.794654846191406
2016-11-30,50.44276428222656
2016-12-01,50.47659683227539
2016-12-02,50.415679931640625
2016-12-05,50.67961120605469
2016-12-06,51.369873046875
2016-12-07,53.063819885253906
2016-12-08,53.57406234741211
2016-12-09,53.36996078491211
2016-12-12,52.89375686645508
2016-12-13,52.954994201660156
2016-12-14,52.84613800048828
2016-12-15,52.540000915527344
2016-12-16,52.47876739501953
2016-12-19,52.3563117980957
2016-12-20,52.580814361572266
2016-12-21,52.1998405456543
2016-12-22,51.982139587402344
2016-12-23,52.28828048706055
2016-12-27,52.397132873535156
2016-12-28,51.64199447631836
2016-12-29,51.41067123413086
2016-12-30,51.05012893676758
2017-01-03,51.65560531616211
2017-01-04,51.784847259521484
2017-01-05,51.179386138916016
2017-01-06,51.06372833251953
2017-01-09,50.95488739013672
2017-01-10,51.710018157958984
2017-01-11,52.492374420166016
2017-01-12,52.138614654541016
2017-01-13,52.56721496582031
2017-01-17,52.10459899902344
2017-01-18,52.47876739501953
2017-01-19,53.23390579223633
2017-01-20,53.499229431152344
2017-01-23,53.34956741333008
2017-01-24,54.145530700683594
2017-01-25,54.696571350097656
2017-01-26,54.54008865356445
2017-01-27,54.42443084716797
2017-01-30,54.118309020996094
2017-01-31,53.98225021362305
2017-02-01,53.063819885253906
2017-02-02,53.063819885253906
2017-02-03,53.757747650146484
2017-02-06,54.36320877075195
2017-02-07,54.32240295410156
2017-02-08,54.4788703918457
2017-02-09,54.982295989990234
2017-02-10,55.2340087890625
2017-02-13,55.77145767211914
2017-02-14,55.56056213378906
2017-02-15,55.52653121948242
2017-02-16,55.172767639160156
2017-02-17,55.09794998168945
2017-02-21,55.45170211791992
2017-02-22,55.44488525390625
2017-02-23,55.26802444458008
2017-02-24,55.32243728637695
2017-02-27,55.131954193115234
2017-02-28,53.98904800415039
2017-03-01,55.1047477722168
2017-03-02,54.43804931640625
2017-03-03,54.39723205566406
2017-03-06,53.97543716430664
2017-03-07,54.145530700683594
2017-03-08,54.1318473815918
2017-03-09,53.74211120605469
2017-03-10,54.35063552856445
2017-03-13,54.46687316894531
2017-03-14,54.02244186401367
2017-03-15,55.2531852722168
2017-03-16,55.07540512084961
2017-03-17,55.37625503540039
2017-03-20,55.560855865478516
2017-03-21,54.261741638183594
2017-03-22,54.43952941894531
2017-03-23,54.569435119628906
2017-03-24,54.138675689697266
2017-03-27,53.714752197265625
2017-03-28,54.487388610839844
2017-03-29,54.576271057128906
2017-03-30,55.31471633911133
2017-03-31,55.60188674926758
2017-04-03,55.53350830078125
2017-04-04,55.711280822753906
2017-04-05,55.977943420410156
2017-04-06,56.52493667602539
2017-04-07,56.49074935913086
2017-04-10,56.921504974365234
2017-04-11,57.195003509521484
2017-04-12,56.265113830566406
2017-04-13,55.97111129760742
2017-04-17,56.23093032836914
2017-04-18,56.01897430419922
2017-04-19,55.96427536010742
2017-04-20,56.57963562011719
2017-04-21,56.77108383178711
2017-04-24,57.564212799072266
2017-04-25,58.569332122802734
2017-04-26,60.634220123291016
2017-04-27,61.02395248413086
2017-04-28,60.682090759277344
2017-05-01,60.70261001586914
2017-05-02,61.05815887451172
2017-05-03,60.9213981628418
2017-05-04,61.41368865966797
2017-05-05,61.543601989746094
2017-05-08,61.12651443481445
2017-05-09,61.099185943603516
2017-05-10,60.52484130859375
2017-05-11,60.46330642700195
2017-05-12,60.176116943359375
2017-05-15,60.531646728515625
2017-05-16,60.723114013671875
2017-05-17,59.97100067138672
2017-05-18,60.2855339050293
2017-05-19,61.01713180541992
2017-05-22,61.010292053222656
2017-05-23,60.87355041503906
2017-05-24,60.52484130859375
2017-05-25,61.06498336791992
2017-05-26,61.09234619140625
2017-05-30,60.98293685913086
2017-05-31,61.26327896118164
2017-06-01,61.26327896118164
2017-06-02,61.181236267089844
2017-06-05,61.09234619140625
2017-06-06,60.79149627685547
2017-06-07,60.530479431152344
2017-06-08,60.42060089111328
2017-06-09,60.516754150390625
2017-06-12,60.331302642822266
2017-06-13,61.58823013305664
2017-06-14,60.91511535644531
2017-06-15,61.71870040893555
2017-06-16,63.422054290771484
2017-06-19,63.59376907348633
2017-06-20,62.673423767089844
2017-06-21,62.14455795288086
2017-06-22,62.30940246582031
2017-06-23,62.5566520690918
2017-06-26,62.45363998413086
2017-06-27,62.16518020629883
2017-06-28,62.93437194824219
2017-06-29,62.069007873535156
2017-06-30,62.769561767578125
2017-07-03,62.80390167236328
2017-07-05,63.29843521118164
2017-07-06,63.27097702026367
2017-07-07,64.04708099365234
2017-07-10,64.37677764892578
2017-07-11,63.81355285644531
2017-07-12,64.22565460205078
2017-07-13,63.7723503112793
2017-07-14,63.75859451293945
2017-07-17,63.92345428466797
2017-07-18,63.50448226928711
2017-07-19,64.01273345947266
2017-07-20,63.3121452331543
2017-07-21,62.961875915527344
2017-07-24,62.53606414794922
2017-07-25,62.1376953125
2017-07-26,59.713165283203125
2017-07-27,60.29010772705078
2017-07-28,60.81208801269531
2017-07-31,60.358787536621094
2017-08-01,59.404083251953125
2017-08-02,59.85740280151367
2017-08-03,59.56893539428711
2017-08-04,60.5648307800293
2017-08-07,60.509883880615234
2017-08-08,60.097801208496094
2017-08-09,59.93294906616211
2017-08-10,58.366973876953125
2017-08-11,58.442535400390625
2017-08-14,59.00572967529297
2017-08-15,59.20491409301758
2017-08-16,59.575809478759766
2017-08-17,58.69664001464844
2017-08-18,58.504337310791016
2017-08-21,58.4699821472168
2017-08-22,59.149959564208984
2017-08-23,57.96860885620117
2017-08-24,57.53590393066406
2017-08-25,58.126590728759766
2017-08-28,57.597721099853516
2017-08-29,57.88619613647461
2017-08-30,58.74473190307617
